Date,Open,High,Low,Close,Volume
2010-01-04,11.29,11.43,11.14,11.16,1873799
2010-01-05,11.1,11.53,11.1,11.47,2914283
2010-01-06,11.52,11.97,11.41,11.91,4886419
2010-01-07,11.94,12.1,11.76,11.82,2090849
2010-01-08,11.82,12.29,11.65,12.25,4125390
2010-01-11,12.42,12.54,12.1,12.35,3797275
2010-01-12,12.26,12.55,12.23,12.39,2880156
2010-01-13,12.42,12.44,12.16,12.41,2501891
2010-01-14,12.37,12.55,12.31,12.43,2198001
2010-01-15,12.46,12.54,12.17,12.18,2434884
2010-01-19,12.21,12.24,11.9,11.94,2785981
2010-01-20,11.85,12.0,11.75,11.8,1726474
2010-01-21,11.79,12.01,11.71,11.9,4224431
2010-01-22,11.84,12.05,11.7,11.75,3196702
2010-01-25,11.91,12.05,11.78,11.82,2552885
2010-01-26,11.69,11.97,11.69,11.73,1359414
2010-01-27,11.75,11.88,11.51,11.74,2700619
2010-01-28,11.74,11.8,11.41,11.49,2469516
2010-01-29,11.51,11.73,11.28,11.29,1814645
2010-02-01,11.36,11.71,11.3,11.69,2406701
2010-02-02,11.74,11.97,11.7,11.94,1864422
2010-02-03,11.91,12.02,11.7,11.96,3140817
2010-02-04,11.78,12.01,11.64,11.65,3124446
2010-02-05,11.68,11.73,11.34,11.61,3172920
2010-02-08,11.64,11.78,11.51,11.64,1751555
2010-02-09,11.83,11.86,11.61,11.67,2767090
2010-02-10,11.62,11.72,11.5,11.61,1147200
2010-02-11,11.61,11.82,11.51,11.82,1016863
2010-02-12,11.67,11.76,11.59,11.74,1499125
2010-02-16,11.8,12.06,11.77,12.06,1022379
2010-02-17,12.01,12.7,12.01,12.52,3027904
2010-02-18,12.54,12.82,12.52,12.73,2305981
2010-02-19,12.75,12.97,12.67,12.82,1923596
2010-02-22,12.85,13.13,12.84,13.04,2167706
2010-02-23,13.04,13.17,12.72,13.05,2418283
2010-02-24,13.05,13.05,12.5,12.88,4131318
2010-02-25,12.72,12.81,12.59,12.77,3469002
2010-02-26,12.8,13.05,12.75,12.97,2905431
2010-03-01,13.03,13.46,12.83,13.45,2818231
2010-03-02,13.49,13.51,13.15,13.21,3810582
2010-03-03,13.25,13.3,12.85,13.01,3404590
2010-03-04,13.47,14.56,13.3,13.68,11219082
2010-03-05,13.76,14.34,13.65,14.24,4304035
2010-03-08,14.24,14.37,13.89,13.95,4260245
2010-03-09,13.83,14.06,13.54,13.54,4032027
2010-03-10,13.56,13.7,13.47,13.49,4497657
2010-03-11,13.45,13.98,13.21,13.95,3955655
2010-03-12,14.02,14.58,13.95,14.55,4623199
2010-03-15,14.53,14.78,14.26,14.45,4348041
2010-03-16,14.43,14.77,14.38,14.7,2336177
2010-03-17,14.79,14.94,14.63,14.67,2121341
2010-03-18,14.69,14.81,14.51,14.59,1685661
2010-03-19,14.65,14.79,14.34,14.59,3910575
2010-03-22,14.46,15.11,14.4,14.99,2417042
2010-03-23,15.02,15.13,14.74,15.1,2040117
2010-03-24,15.07,15.07,14.71,14.87,1892529
2010-03-25,14.94,14.98,14.67,14.71,2181779
2010-03-26,15.07,15.45,14.95,15.06,4479463
2010-03-29,15.14,15.39,15.11,15.14,2528071
2010-03-30,15.24,15.39,15.03,15.04,3118317
2010-03-31,15.0,15.16,14.97,15.04,2384345
2010-04-01,15.5,15.72,15.33,15.41,4521036
2010-04-05,15.49,15.6,15.34,15.5,2832646
2010-04-06,15.34,15.61,15.26,15.56,2724000
2010-04-07,15.46,15.63,15.2,15.3,2427626
2010-04-08,15.25,15.31,15.0,15.26,2563408
2010-04-09,15.33,15.38,14.98,15.3,2542363
2010-04-12,15.3,15.3,15.04,15.25,2031940
2010-04-13,15.22,15.47,15.1,15.43,1881736
2010-04-14,15.45,15.72,15.22,15.67,3235172
2010-04-15,15.95,16.07,15.76,15.97,3023164
2010-04-16,15.88,16.0,15.63,15.78,3395532
2010-04-19,15.66,15.83,15.31,15.54,3014378
2010-04-20,15.64,15.82,15.55,15.73,1530512
2010-04-21,15.71,16.03,15.53,15.93,1810820
2010-04-22,15.82,16.54,15.75,16.5,2654352
2010-04-23,16.49,16.59,16.27,16.48,1716701
2010-04-26,16.35,16.76,16.35,16.75,2113489
2010-04-27,16.68,16.73,15.89,15.92,2787967
2010-04-28,16.08,16.24,15.69,15.93,2138772
2010-04-29,16.1,16.4,15.99,16.32,1569191
2010-04-30,16.39,16.45,15.32,15.35,2768220
2010-05-03,15.45,15.79,15.39,15.63,2444903
2010-05-04,15.39,15.39,14.78,14.86,4266217
2010-05-05,14.69,15.14,14.36,14.87,4548890
2010-05-06,14.76,14.76,13.06,14.17,5546127
2010-05-07,14.11,14.46,13.57,13.94,4497325
2010-05-10,14.5,14.86,14.46,14.8,3610160
2010-05-11,14.6,15.12,14.59,14.9,2238484
2010-05-12,14.9,15.33,14.81,15.23,1595390
2010-05-13,15.13,15.21,14.29,14.36,2760043
2010-05-14,14.31,14.41,14.01,14.15,2897771
2010-05-17,14.18,14.43,13.88,14.39,2880116
2010-05-18,14.6,14.72,13.96,13.98,2377474
