Date,Open,High,Low,Close,Volume
2010-01-04,68.06,68.35,66.47,67.03,662344
2010-01-05,66.57,67.03,65.48,66.95,778779
2010-01-06,67.0,67.56,66.12,66.77,578255
2010-01-07,66.55,67.49,65.88,66.75,689607
2010-01-08,66.59,66.75,65.49,66.33,770808
2010-01-11,66.9,67.22,66.65,67.16,373900
2010-01-12,66.68,67.0,65.31,66.01,763377
2010-01-13,66.31,67.53,66.14,67.32,736997
2010-01-14,67.29,67.47,66.59,67.05,522768
2010-01-15,66.94,67.7,66.38,67.59,916495
2010-01-19,67.55,69.6,67.27,69.26,943598
2010-01-20,68.56,68.81,68.09,68.36,665807
2010-01-21,68.45,68.92,66.83,66.98,810297
2010-01-22,66.86,67.8,65.33,65.5,730077
2010-01-25,66.09,66.22,64.47,65.63,597012
2010-01-26,65.36,66.49,65.06,65.37,452531
2010-01-27,65.07,65.62,64.2,65.07,660536
2010-01-28,65.21,65.26,63.68,64.54,537747
2010-01-29,64.92,65.4,64.24,64.38,653828
2010-02-01,64.83,65.96,64.63,65.88,680928
2010-02-02,66.21,67.94,65.59,67.81,1016258
2010-02-03,67.49,67.81,66.29,66.75,451405
2010-02-04,66.19,66.42,63.62,63.73,1122168
2010-02-05,63.88,65.21,63.36,65.02,612539
2010-02-08,65.05,65.44,63.42,63.58,658957
2010-02-09,64.49,64.49,62.43,63.1,1325875
2010-02-10,63.0,64.04,61.93,63.07,604618
2010-02-11,62.79,64.01,62.43,63.74,740835
2010-02-12,62.89,64.58,62.68,64.46,601487
2010-02-16,65.03,66.4,64.94,66.22,547299
2010-02-17,66.43,67.14,66.21,67.13,599908
2010-02-18,67.26,68.11,66.66,68.08,659315
2010-02-19,67.96,68.96,67.57,68.49,567412
2010-02-22,68.73,68.98,68.22,68.58,543096
2010-02-23,68.41,68.73,68.07,68.27,1038722
2010-02-24,68.27,68.78,68.19,68.62,554461
2010-02-25,67.58,69.15,67.34,69.05,410881
2010-02-26,69.09,69.63,68.52,68.96,595972
2010-03-01,69.15,69.58,68.65,69.57,378490
2010-03-02,69.64,70.03,69.39,69.96,390497
2010-03-03,70.08,70.08,69.48,69.78,544344
2010-03-04,69.84,70.05,69.57,69.91,319476
2010-03-05,70.28,71.57,69.65,71.45,1113727
2010-03-08,71.37,72.37,71.05,72.21,433939
2010-03-09,71.96,72.54,71.59,71.81,1127240
2010-03-10,71.67,72.22,71.4,71.87,501281
2010-03-11,71.47,71.89,71.21,71.78,559938
2010-03-12,71.96,72.37,71.75,72.36,400338
2010-03-15,71.75,72.14,71.29,71.6,598741
2010-03-16,71.85,73.2,71.56,73.09,631118
2010-03-17,73.43,74.0,73.04,73.67,804902
2010-03-18,73.66,73.77,73.23,73.5,646233
2010-03-19,73.54,73.57,72.63,72.78,682541
2010-03-22,72.3,73.88,72.15,73.55,434395
2010-03-23,73.68,73.73,72.85,73.56,407858
2010-03-24,73.15,74.31,73.15,73.82,443284
2010-03-25,74.27,75.64,74.02,74.11,740018
2010-03-26,74.56,74.85,73.2,73.43,407985
2010-03-29,73.68,73.68,72.93,73.6,431201
2010-03-30,73.75,73.86,72.59,72.91,386310
2010-03-31,72.71,73.39,72.25,72.81,628563
2010-04-01,73.23,73.4,72.0,72.67,363040
2010-04-05,72.85,74.59,72.66,74.59,589054
2010-04-06,74.43,76.44,73.99,76.07,554632
2010-04-07,75.75,76.41,73.77,74.07,711763
2010-04-08,73.75,74.16,73.39,74.06,370713
2010-04-09,74.03,75.37,73.77,75.15,505689
2010-04-12,75.12,75.29,74.33,74.53,461663
2010-04-13,74.29,76.19,74.29,75.87,424263
2010-04-14,76.43,76.46,74.66,75.15,570308
2010-04-15,74.82,75.26,73.29,73.62,904016
2010-04-16,73.21,74.28,72.71,73.28,1329526
2010-04-19,73.14,74.23,72.78,73.43,549610
2010-04-20,73.77,74.58,72.92,74.56,554314
2010-04-21,74.58,76.34,74.26,76.07,780239
2010-04-22,75.37,78.01,75.15,77.83,494833
2010-04-23,77.68,78.92,77.11,78.55,755056
2010-04-26,78.59,79.08,78.18,78.6,638958
2010-04-27,78.08,78.79,75.96,76.07,547833
2010-04-28,76.68,77.03,75.86,76.17,406987
2010-04-29,77.08,78.93,76.72,78.8,538235
2010-04-30,78.78,79.79,77.1,77.39,514669
2010-05-03,77.97,79.67,77.97,79.52,499482
2010-05-04,78.09,79.42,77.43,77.96,586087
2010-05-05,78.33,78.49,76.67,76.84,511189
2010-05-06,76.54,76.88,69.87,74.25,835324
2010-05-07,74.3,75.75,72.09,73.53,872370
2010-05-10,76.64,78.35,75.96,78.3,883757
2010-05-11,77.12,78.79,76.41,78.24,528049
2010-05-12,78.44,78.95,77.97,78.86,519994
2010-05-13,78.66,78.85,77.24,77.43,739324
2010-05-14,76.94,77.04,74.94,75.49,547908
2010-05-17,75.85,76.66,72.81,74.87,461489
2010-05-18,75.65,75.92,72.51,72.79,570845
2010-05-19,72.39,73.45,70.67,71.89,525145
2010-05-20,70.05,71.12,68.24,68.35,1248917
2010-05-21,67.83,70.85,67.5,70.72,1009561
2010-05-24,70.65,71.21,69.65,69.67,628028
2010-05-25,67.95,70.79,67.44,70.57,704065
2010-05-26,71.16,72.29,70.27,70.45,833739
2010-05-27,71.91,74.36,71.17,74.23,839958
2010-05-28,73.87,74.54,73.15,73.7,639204
2010-06-01,73.29,74.16,72.41,72.53,600917
2010-06-02,73.19,74.31,71.88,74.27,701708
2010-06-03,74.63,74.65,73.38,73.58,383090
2010-06-04,72.06,73.31,69.81,70.08,811902
2010-06-07,70.51,71.58,69.97,70.32,662436
2010-06-08,70.32,71.12,69.1,70.93,874811
2010-06-09,71.66,73.31,71.15,71.47,565309
2010-06-10,72.17,73.84,72.09,73.7,549039
2010-06-11,73.07,74.56,72.7,74.5,330190
2010-06-14,75.0,75.78,74.48,75.26,595028
2010-06-15,75.5,76.61,75.05,76.47,499628
2010-06-16,76.2,76.63,75.56,75.99,306306
2010-06-17,76.02,76.67,75.48,76.15,239867
2010-06-18,76.21,76.71,75.19,75.31,721510
2010-06-21,76.1,76.46,74.37,74.65,377346
