Date,Open,High,Low,Close,Volume
2010-01-04,313.79,315.07,312.43,313.69,1957963
2010-01-05,313.9,314.23,311.08,312.31,3007857
2010-01-06,313.24,313.24,303.48,304.43,3980628
2010-01-07,305.0,305.3,296.62,297.35,6418020
2010-01-08,296.3,301.93,294.85,301.31,4724735
2010-01-11,302.53,302.53,297.32,300.86,7216804
2010-01-12,299.34,299.38,294.29,295.54,4853249
2010-01-13,288.53,294.48,287.24,293.84,6499074
2010-01-14,292.24,297.4,291.7,295.22,4241570
2010-01-15,296.09,297.08,289.31,290.29,5437698
2010-01-19,291.04,295.51,288.43,294.1,4317143
2010-01-20,293.28,293.28,287.93,290.5,3253498
2010-01-21,292.01,293.7,286.41,291.78,6307634
2010-01-22,282.53,285.59,267.7,275.28,6807653
2010-01-25,273.57,275.21,268.02,270.27,4421012
2010-01-26,269.25,275.07,268.41,271.48,4356767
2010-01-27,270.91,274.1,267.92,271.32,3965467
2010-01-28,272.52,273.77,265.57,267.41,3231041
2010-01-29,269.51,270.76,263.07,265.24,4141196
2010-02-01,267.57,268.17,265.42,266.78,2253021
2010-02-02,267.75,267.75,264.07,265.83,4096305
2010-02-03,264.6,271.32,264.38,270.68,2999890
2010-02-04,268.77,269.27,263.04,263.65,3382732
2010-02-05,264.46,267.02,261.49,265.91,3157048
2010-02-08,266.52,271.27,266.03,267.0,2695412
2010-02-09,270.04,271.04,267.8,268.49,2828685
2010-02-10,267.3,269.16,264.11,267.49,2675794
2010-02-11,266.39,270.52,265.01,268.47,2411090
2010-02-12,266.75,268.84,265.52,266.83,2280371
2010-02-16,268.84,272.34,267.42,270.92,3654824
2010-02-17,271.27,271.97,269.07,269.37,2030680
2010-02-18,269.04,272.78,268.34,271.88,2339250
2010-02-19,270.77,272.29,270.12,270.65,2555348
2010-02-22,273.95,274.02,270.77,271.67,2144741
2010-02-23,271.77,272.09,266.41,267.8,2874790
2010-02-24,267.46,269.49,265.52,266.0,2326901
2010-02-25,263.82,264.51,260.26,263.48,3309373
2010-02-26,263.97,266.14,262.0,263.66,2049372
