Date,Open,High,Low,Close,Volume
2010-01-04,38.3,38.39,38.03,38.13,836873
2010-01-05,37.96,38.15,37.55,38.09,942738
2010-01-06,38.1,38.25,37.93,38.02,656502
2010-01-07,38.05,38.29,37.89,38.23,753253
2010-01-08,38.0,38.29,37.93,38.24,789641
2010-01-11,38.4,38.68,38.13,38.67,514485
2010-01-12,38.53,38.79,38.38,38.51,664244
2010-01-13,38.65,38.93,38.38,38.7,949398
2010-01-14,38.66,38.99,38.42,38.96,700206
2010-01-15,38.9,38.99,38.78,38.79,1082115
2010-01-19,38.84,39.24,38.61,39.1,1018527
2010-01-20,38.94,38.97,38.34,38.39,988620
2010-01-21,38.48,38.86,38.1,38.15,904508
2010-01-22,38.18,38.51,38.08,38.11,904653
2010-01-25,38.0,38.82,38.0,38.3,873506
2010-01-26,38.27,38.46,38.11,38.27,588079
2010-01-27,38.31,38.43,37.78,38.06,764144
2010-01-28,38.14,38.14,37.75,37.96,882702
2010-01-29,38.07,38.19,37.66,37.68,1033498
2010-02-01,37.85,38.11,37.72,38.07,682280
2010-02-02,38.2,39.15,38.07,39.14,1003684
2010-02-03,39.03,39.35,38.79,38.81,814485
2010-02-04,38.52,38.67,37.85,37.85,813999
2010-02-05,37.78,38.03,37.09,37.7,706906
2010-02-08,37.74,37.78,36.94,36.96,702141
2010-02-09,37.09,37.76,37.09,37.57,614562
2010-02-10,37.57,37.77,37.22,37.51,501756
2010-02-11,37.39,37.96,37.13,37.91,547269
2010-02-12,37.53,38.24,37.35,38.19,806891
2010-02-16,42.2,42.2,39.2,40.75,2263998
2010-02-17,40.7,41.1,40.52,40.7,1068478
2010-02-18,40.52,40.66,40.21,40.63,750645
2010-02-19,40.44,41.07,40.33,41.03,771606
2010-02-22,41.11,41.11,40.5,40.68,523391
2010-02-23,40.66,40.85,39.83,39.89,921466
2010-02-24,40.01,40.39,40.0,40.38,656829
2010-02-25,40.05,40.38,39.75,40.3,880745
2010-02-26,40.38,40.49,40.04,40.36,507804
2010-03-01,40.48,40.97,40.16,40.81,542874
2010-03-02,41.02,41.08,40.62,40.94,772752
2010-03-03,40.77,40.84,40.26,40.31,602917
2010-03-04,40.43,40.61,39.94,40.21,753939
2010-03-05,40.47,40.56,40.11,40.4,612805
2010-03-08,40.54,40.68,40.25,40.48,533247
2010-03-09,40.48,40.71,40.38,40.56,424627
2010-03-10,40.5,40.75,40.42,40.58,528163
2010-03-11,40.59,40.92,40.34,40.9,601292
2010-03-12,40.93,40.93,40.43,40.76,472708
2010-03-15,40.8,40.91,40.36,40.5,607286
2010-03-16,40.48,40.97,40.43,40.96,587217
2010-03-17,41.01,41.43,40.93,41.26,523603
2010-03-18,41.38,41.64,41.12,41.42,557188
2010-03-19,41.75,41.79,41.33,41.6,1110980
2010-03-22,43.08,43.63,42.76,42.87,1436982
2010-03-23,43.14,43.14,42.63,43.08,784393
2010-03-24,42.96,42.98,42.25,42.38,644209
2010-03-25,42.73,42.75,42.25,42.3,667061
2010-03-26,42.47,42.5,41.78,41.88,622966
2010-03-29,41.99,42.18,41.83,42.06,529051
2010-03-30,42.05,42.62,42.03,42.57,665382
2010-03-31,42.39,42.6,42.2,42.24,682112
2010-04-01,42.36,42.86,42.28,42.66,654745
2010-04-05,42.67,43.12,42.56,43.05,502317
2010-04-06,42.78,42.99,42.64,42.89,604620
2010-04-07,42.85,43.28,42.7,42.95,695104
2010-04-08,42.92,43.05,42.68,42.99,553943
2010-04-09,43.0,43.41,42.85,43.25,617533
2010-04-12,43.39,43.49,43.12,43.22,647394
2010-04-13,43.2,43.27,42.94,43.23,983303
2010-04-14,43.41,44.78,43.27,44.63,1798415
2010-04-15,44.54,45.42,44.12,45.42,1989829
2010-04-16,45.27,45.32,42.6,42.68,2559448
2010-04-19,42.57,43.03,42.21,42.92,1103712
2010-04-20,43.15,43.26,42.84,43.06,895374
2010-04-21,42.98,43.14,42.71,43.1,738397
2010-04-22,42.85,43.06,42.33,42.98,1399215
2010-04-23,42.98,43.28,42.63,43.27,722471
2010-04-26,43.4,43.76,43.16,43.16,681970
2010-04-27,42.89,43.03,42.07,42.15,1002180
2010-04-28,42.35,42.84,42.07,42.62,1210851
2010-04-29,43.22,43.45,42.83,43.24,1108848
2010-04-30,43.3,43.43,42.8,42.8,1156981
2010-05-03,43.18,43.7,42.88,43.54,836366
2010-05-04,42.95,42.95,41.95,42.18,903261
2010-05-05,41.94,42.3,41.45,41.75,1153665
2010-05-06,41.63,41.96,38.0,40.32,2043293
2010-05-07,40.27,40.49,39.14,39.69,2201296
2010-05-10,41.09,42.57,41.09,42.54,1509013
2010-05-11,42.03,43.04,42.03,42.52,1423174
2010-05-12,42.75,42.85,42.25,42.81,844362
2010-05-13,42.74,42.78,41.9,42.0,637973
2010-05-14,41.67,41.99,40.86,41.25,1169307
2010-05-17,41.27,41.49,40.51,41.31,888267
2010-05-18,41.61,41.88,40.77,40.94,857579
2010-05-19,40.79,40.98,40.08,40.78,1089147
2010-05-20,39.85,40.3,39.39,39.45,1407905
2010-05-21,38.64,39.83,38.53,39.34,3300659
2010-05-24,39.2,39.57,39.02,39.16,964595
2010-05-25,38.36,39.82,38.04,39.76,1704263
2010-05-26,40.04,40.54,39.62,39.85,1239637
2010-05-27,40.54,40.94,40.26,40.94,707920
2010-05-28,40.94,41.04,40.37,40.61,993143
2010-06-01,40.19,41.01,39.93,39.94,911631
2010-06-02,40.2,41.05,39.77,41.05,721883
2010-06-03,40.76,41.19,39.91,40.47,1342137
2010-06-04,39.79,40.05,39.37,39.51,1417632
2010-06-07,39.54,39.69,38.97,38.98,1057507
2010-06-08,39.11,39.58,38.66,39.49,1141893
2010-06-09,39.09,39.75,38.97,39.2,947487
2010-06-10,39.75,40.4,39.74,40.35,863551
2010-06-11,40.01,40.85,39.97,40.78,772781
2010-06-14,41.25,41.44,40.74,40.8,594822
2010-06-15,41.0,41.59,40.82,41.54,812187
2010-06-16,41.3,41.61,40.94,41.4,748738
2010-06-17,41.47,41.7,40.93,41.57,591661
2010-06-18,41.67,41.9,41.56,41.68,742369
2010-06-21,42.16,42.25,41.37,41.65,519492
2010-06-22,41.69,42.0,40.62,40.69,596986
2010-06-23,40.66,41.05,40.19,40.8,657059
2010-06-24,40.45,40.6,39.96,40.12,583854
2010-06-25,40.12,40.55,39.9,40.36,934594
2010-06-28,40.51,40.95,40.23,40.65,644845
2010-06-29,40.13,40.2,39.43,39.89,1080643
2010-06-30,39.75,40.25,39.3,39.45,944098
2010-07-01,39.97,39.97,38.81,39.86,1507859
2010-07-02,39.94,40.15,39.42,39.55,766889
2010-07-06,39.93,40.16,39.07,39.44,935076
2010-07-07,39.46,40.25,39.3,40.19,1081199
2010-07-08,40.42,40.92,40.38,40.88,1147089
2010-07-09,40.94,41.28,40.78,41.12,708455
2010-07-12,40.31,40.88,40.25,40.8,733505
2010-07-13,41.08,42.3,41.02,41.78,1126790
2010-07-14,41.74,42.07,41.42,41.89,875731
2010-07-15,41.81,42.32,41.32,42.15,1163922
2010-07-16,42.53,43.44,42.08,43.23,2746187
2010-07-19,43.3,43.66,42.46,42.76,1473586
2010-07-20,42.11,43.28,42.11,43.28,885289
2010-07-21,43.52,43.55,42.26,42.47,1197464
2010-07-22,42.77,43.51,42.42,42.65,1739095
2010-07-23,42.55,43.17,42.25,43.1,1331709
2010-07-26,43.2,43.83,43.08,43.59,1170877
2010-07-27,43.71,43.98,43.03,43.09,875923
2010-07-28,43.08,43.38,42.86,42.95,814515
2010-07-29,43.29,43.75,42.35,42.69,1049388
2010-07-30,42.23,42.99,42.08,42.83,809316
2010-08-02,43.32,43.96,43.1,43.76,829572
2010-08-03,43.55,43.94,43.24,43.81,1037371
2010-08-04,43.76,44.19,43.71,44.04,1069558
2010-08-05,43.78,44.12,43.55,44.12,802798
2010-08-06,43.78,44.05,43.25,43.96,751768
2010-08-09,44.26,44.52,44.2,44.48,752521
2010-08-10,44.06,44.13,43.55,43.96,747271
2010-08-11,43.41,43.41,42.59,42.94,1235813
2010-08-12,42.18,42.9,42.08,42.57,1187621
2010-08-13,42.03,42.3,41.67,42.01,952884
2010-08-16,41.76,42.28,41.6,42.21,642237
2010-08-17,42.45,43.35,42.25,43.07,907488
2010-08-18,42.95,43.92,42.75,43.62,786089
2010-08-19,43.4,43.62,42.53,42.87,694547
2010-08-20,42.5,43.07,42.5,42.96,962178
2010-08-23,42.14,43.35,42.03,42.71,1035380
2010-08-24,42.35,42.86,41.93,42.58,1279905
2010-08-25,42.43,42.83,41.89,42.71,2184627
2010-08-26,42.83,43.09,42.28,42.4,862086
2010-08-27,42.64,43.02,42.08,42.93,732498
2010-08-30,42.86,42.95,42.2,42.22,504962
2010-08-31,42.13,42.41,41.83,41.92,1317929
2010-09-01,42.48,43.35,42.35,43.29,1039105
2010-09-02,43.19,43.91,43.19,43.74,581521
2010-09-03,44.25,44.55,43.55,43.94,925799
2010-09-07,43.67,43.7,42.58,42.73,1135399
2010-09-08,42.63,42.63,41.98,42.24,1311453
2010-09-09,42.73,42.8,42.27,42.62,1016451
2010-09-10,42.72,42.8,42.52,42.66,554100
2010-09-13,43.03,43.5,42.88,43.44,789538
2010-09-14,43.51,43.59,43.1,43.18,986309
2010-09-15,43.02,43.57,42.93,43.5,648582
2010-09-16,43.34,43.65,43.01,43.31,633653
2010-09-17,44.03,44.03,43.34,43.48,952498
2010-09-20,43.7,44.36,43.58,44.3,511288
2010-09-21,44.42,44.57,44.05,44.37,700267
2010-09-22,44.47,44.85,44.11,44.19,505516
2010-09-23,43.99,44.41,43.81,43.93,485545
2010-09-24,44.4,44.94,44.27,44.88,477812
2010-09-27,44.98,44.98,44.52,44.61,511795
2010-09-28,44.71,45.26,44.16,45.21,575838
2010-09-29,44.98,45.08,44.35,44.92,736515
2010-09-30,44.98,45.32,44.38,44.59,856098
2010-10-01,44.93,44.93,44.25,44.55,693451
2010-10-04,44.53,44.7,44.13,44.43,742756
2010-10-05,44.72,44.86,44.46,44.68,1311435
2010-10-06,44.68,44.85,44.51,44.72,804306
2010-10-07,44.8,44.96,44.46,44.68,555156
2010-10-08,44.81,45.1,44.6,45.02,610139
2010-10-11,45.09,45.34,44.9,45.06,901323
2010-10-12,44.98,45.34,44.55,45.23,1063625
2010-10-13,45.52,45.91,45.24,45.69,1282760
2010-10-14,45.62,45.79,45.24,45.54,926435
2010-10-15,46.36,48.43,46.35,47.7,4579820
2010-10-18,48.0,48.21,47.08,47.96,1466866
2010-10-19,47.19,47.86,46.94,47.24,1263677
2010-10-20,47.29,47.86,47.13,47.62,961911
2010-10-21,47.85,48.08,47.09,47.58,743968
2010-10-22,47.58,47.82,47.23,47.49,584963
2010-10-25,47.87,48.07,47.53,47.67,972378
2010-10-26,47.55,47.82,47.31,47.46,608126
2010-10-27,47.26,47.26,46.71,47.2,529516
2010-10-28,47.46,47.66,47.33,47.6,831847
2010-10-29,47.64,48.14,47.4,47.86,1021472
2010-11-01,48.15,48.39,47.21,47.44,740986
