Date,Open,High,Low,Close,Volume
2010-01-04,20.73,20.73,20.45,20.54,9185786
2010-01-05,20.6,21.06,20.47,20.79,18297237
2010-01-06,20.7,21.08,20.58,21.04,15155020
2010-01-07,21.39,21.39,19.96,20.27,24846549
2010-01-08,20.3,20.45,20.08,20.4,10904010
2010-01-11,20.51,20.66,20.27,20.62,8764891
2010-01-12,20.09,20.33,19.75,19.96,14531115
2010-01-13,20.06,20.06,19.87,19.98,10162675
2010-01-14,20.08,20.1,19.62,19.74,10180211
2010-01-15,19.79,19.89,19.56,19.56,8116547
2010-01-19,19.51,19.99,19.47,19.99,8029639
2010-01-20,19.8,19.83,19.6,19.78,7147887
2010-01-21,19.76,19.86,19.1,19.19,13461647
2010-01-22,19.09,19.35,18.8,18.86,10456065
2010-01-25,19.0,19.11,18.64,19.0,7780354
2010-01-26,18.92,19.26,18.9,18.95,5973027
2010-01-27,19.01,19.26,18.8,19.2,8656565
2010-01-28,19.35,19.37,18.96,19.03,8412146
2010-01-29,19.16,19.35,19.02,19.08,8947652
2010-02-01,19.21,19.34,19.1,19.16,7820731
2010-02-02,19.22,19.55,19.21,19.47,9946126
2010-02-03,19.33,19.49,19.02,19.02,12702815
2010-02-04,19.57,20.0,19.25,19.48,29565866
2010-02-05,19.73,19.95,19.6,19.88,16252150
2010-02-08,19.85,19.93,19.66,19.67,9554362
2010-02-09,19.86,20.0,19.74,19.93,8327537
2010-02-10,19.84,19.99,19.6,19.89,9266883
2010-02-11,19.82,20.2,19.76,20.13,8439879
2010-02-12,19.95,20.02,19.68,19.95,8483988
2010-02-16,19.74,19.78,19.52,19.77,7446973
2010-02-17,19.84,19.97,19.74,19.9,6604156
2010-02-18,19.9,20.05,19.82,19.99,6115743
2010-02-19,19.91,20.11,19.78,19.85,5248548
2010-02-22,19.92,20.01,19.71,19.77,6428678
2010-02-23,19.74,19.94,19.56,19.88,7760941
2010-02-24,19.92,20.3,19.89,20.29,6156420
2010-02-25,20.02,20.51,19.88,20.39,12371718
2010-02-26,21.06,21.76,20.85,21.5,19742535
2010-03-01,21.52,21.7,21.41,21.6,9567292
2010-03-02,21.64,21.74,21.36,21.55,8351111
2010-03-03,21.58,21.86,21.45,21.76,10209971
2010-03-04,22.04,22.24,21.86,22.05,10666946
2010-03-05,21.96,22.35,21.9,22.32,6817927
2010-03-08,22.16,22.38,22.07,22.33,4148816
2010-03-09,22.14,22.32,22.09,22.24,6730845
2010-03-10,22.33,22.39,22.12,22.37,7308303
2010-03-11,22.19,22.71,22.09,22.68,9097428
2010-03-12,22.75,22.87,22.67,22.8,5175044
2010-03-15,22.44,23.07,22.44,23.07,6822082
2010-03-16,23.04,23.3,23.01,23.3,7209587
2010-03-17,23.21,23.26,23.03,23.15,6917951
2010-03-18,23.03,23.34,22.95,23.31,5961411
2010-03-19,23.35,23.42,23.07,23.22,7237914
2010-03-22,23.04,23.51,22.98,23.4,4420118
2010-03-23,23.36,23.45,23.12,23.21,8373995
2010-03-24,23.08,23.21,22.95,23.06,5750955
2010-03-25,23.15,23.63,23.07,23.4,5340507
2010-03-26,23.43,23.55,23.16,23.42,6185602
2010-03-29,23.43,23.58,23.04,23.23,4371734
2010-03-30,23.28,23.49,23.16,23.25,5657840
2010-03-31,23.15,23.29,23.05,23.11,6889606
2010-04-01,23.33,23.66,23.3,23.63,6055207
2010-04-05,23.62,23.79,23.41,23.78,4540431
2010-04-06,23.76,23.85,23.46,23.84,6092426
2010-04-07,23.73,23.96,23.62,23.86,7836580
2010-04-08,25.0,25.02,24.33,24.59,16715229
2010-04-09,24.62,24.86,24.5,24.85,6917830
2010-04-12,25.06,25.18,24.82,24.93,8657601
2010-04-13,24.92,25.27,24.88,25.02,6894422
2010-04-14,25.03,25.24,24.82,25.24,6962937
2010-04-15,25.25,25.4,25.09,25.34,4974277
2010-04-16,25.25,25.31,24.82,25.0,6072801
2010-04-19,24.78,25.13,24.59,25.04,6484358
2010-04-20,25.21,25.44,24.99,25.02,4960290
2010-04-21,24.97,25.72,24.97,25.62,6584307
2010-04-22,25.49,26.18,25.28,26.07,8675301
2010-04-23,26.14,26.29,25.82,26.06,4819470
2010-04-26,26.17,26.34,26.0,26.21,5763128
2010-04-27,26.17,26.17,25.14,25.14,9781252
2010-04-28,25.15,25.69,25.05,25.21,7900170
2010-04-29,25.34,25.83,25.26,25.63,5768535
2010-04-30,25.57,25.75,24.65,24.73,9891106
2010-05-03,24.86,26.04,24.73,25.7,8730464
2010-05-04,25.47,25.7,24.69,24.71,12620445
2010-05-05,24.53,25.15,24.29,24.68,14044108
2010-05-06,23.89,24.0,21.67,22.91,20075740
2010-05-07,22.87,23.5,21.83,22.27,20289049
2010-05-10,23.39,23.86,23.2,23.75,8707902
2010-05-11,23.39,24.14,23.24,23.83,6723618
2010-05-12,23.84,24.19,23.61,24.17,6849783
2010-05-13,24.05,24.06,23.05,23.11,7116588
2010-05-14,23.01,23.25,22.72,22.96,6624410
2010-05-17,23.04,23.35,22.52,23.22,6700353
2010-05-18,23.26,23.46,22.45,22.58,8641895
2010-05-19,22.47,22.83,22.04,22.34,8319729
2010-05-20,21.7,22.3,21.57,21.74,10304555
2010-05-21,21.15,22.48,20.99,22.15,16226007
2010-05-24,22.09,22.15,21.63,21.67,8169684
2010-05-25,20.94,21.98,20.94,21.93,11079364
2010-05-26,21.99,22.16,21.16,21.22,18758869
2010-05-27,21.55,22.0,21.36,21.99,9854063
2010-05-28,21.95,22.01,21.6,21.8,7893984
2010-06-01,21.6,22.03,21.38,21.39,8274081
2010-06-02,21.38,21.95,21.38,21.93,9554664
2010-06-03,22.07,22.36,21.53,21.8,10812715
2010-06-04,21.28,21.55,20.77,20.96,15350299
2010-06-07,20.96,21.37,20.72,20.72,12709002
2010-06-08,20.66,21.16,20.52,21.13,13496833
2010-06-09,21.13,21.75,21.05,21.2,13927395
2010-06-10,21.48,22.08,21.48,22.06,10554379
2010-06-11,21.66,22.16,21.65,21.99,10661478
2010-06-14,22.19,22.24,21.96,22.03,7711870
2010-06-15,22.12,22.25,21.83,22.18,6686248
2010-06-16,21.93,22.08,21.57,21.67,7255252
2010-06-17,21.7,21.81,21.06,21.22,8664025
2010-06-18,21.29,21.6,21.24,21.24,9608315
2010-06-21,21.47,21.65,20.83,20.94,6333672
2010-06-22,20.97,21.31,20.37,20.44,7397823
2010-06-23,20.25,20.61,20.07,20.47,8533810
2010-06-24,20.36,20.37,19.89,20.1,10535463
2010-06-25,20.15,20.45,19.94,20.2,9077772
2010-06-28,20.12,20.55,20.08,20.17,7439883
2010-06-29,19.96,19.96,19.4,19.55,12574063
2010-06-30,19.48,19.98,19.41,19.46,12260082
2010-07-01,19.41,19.98,19.27,19.9,11367951
2010-07-02,19.89,19.97,19.45,19.48,8745355
2010-07-06,19.76,20.04,19.1,19.37,12515551
2010-07-07,19.39,19.84,19.02,19.72,14979021
2010-07-08,19.17,19.26,17.77,18.22,31430608
2010-07-09,18.26,18.7,18.2,18.53,12068689
2010-07-12,18.44,19.01,18.44,18.81,11795201
2010-07-13,18.97,19.01,18.62,18.89,11354886
2010-07-14,18.8,18.84,18.52,18.62,11400497
2010-07-15,18.64,18.84,18.38,18.79,10008861
2010-07-16,18.65,18.71,18.06,18.13,10489354
2010-07-19,18.12,18.46,18.08,18.29,6440567
2010-07-20,18.12,18.56,18.03,18.48,9549266
2010-07-21,18.57,18.65,18.01,18.11,9093811
2010-07-22,18.31,18.5,18.16,18.33,12138416
2010-07-23,18.29,18.45,18.06,18.41,9570989
2010-07-26,18.38,19.04,18.32,19.04,9980230
2010-07-27,19.18,19.22,18.26,18.29,9366111
2010-07-28,18.28,18.45,17.95,17.95,9811663
2010-07-29,18.09,18.27,17.75,18.01,11127259
2010-07-30,17.79,18.17,17.45,18.11,9712243
2010-08-02,18.49,18.5,18.17,18.45,8358397
2010-08-03,18.37,18.4,17.62,17.69,10481017
2010-08-04,17.77,18.31,17.77,18.13,11529106
2010-08-05,18.4,18.66,18.03,18.46,12308602
2010-08-06,18.25,18.3,17.99,18.28,8319694
2010-08-09,18.43,18.65,18.39,18.56,5626238
2010-08-10,18.44,18.58,18.13,18.25,7019753
2010-08-11,17.81,18.06,17.67,17.87,11372383
2010-08-12,17.53,18.02,17.38,17.95,8342443
2010-08-13,17.92,18.03,17.64,17.67,5583355
2010-08-16,17.56,17.92,17.46,17.63,4575708
2010-08-17,17.81,17.94,17.64,17.64,5627747
2010-08-18,17.64,18.1,17.59,17.98,7503059
2010-08-19,17.94,18.2,17.59,17.71,11138700
2010-08-20,18.02,18.2,17.03,17.32,13788332
