Date,Open,High,Low,Close,Volume
2010-01-04,170.05,174.25,169.51,173.08,9138979
2010-01-05,173.0,176.26,172.57,176.14,11667885
2010-01-06,175.38,175.38,173.76,174.26,7382071
2010-01-07,174.32,178.75,173.95,177.67,8727377
2010-01-08,176.33,177.43,173.95,174.31,7270763
2010-01-11,175.06,175.06,170.52,171.56,7714455
2010-01-12,170.01,170.48,167.03,167.82,10362621
2010-01-13,168.01,169.67,166.12,169.07,11271202
2010-01-14,168.0,170.72,167.21,168.53,10526732
2010-01-15,167.6,167.8,164.58,165.21,10900610
2010-01-19,165.01,167.4,163.9,166.86,7705236
2010-01-20,165.8,168.18,164.32,167.79,8893890
2010-01-21,169.29,171.0,156.77,160.87,51738223
2010-01-22,158.69,159.75,152.25,154.12,30175582
2010-01-25,156.13,158.3,154.5,154.98,17876989
2010-01-26,154.91,156.5,150.7,150.88,15989492
2010-01-27,150.75,152.93,148.27,151.5,19901885
2010-01-28,154.23,155.2,149.95,153.29,16163117
2010-01-29,154.44,154.88,147.81,148.72,18507263
2010-02-01,149.82,155.25,149.21,153.13,12980767
2010-02-02,153.65,157.5,153.65,156.94,17301460
2010-02-03,157.92,159.94,157.11,157.23,16789855
2010-02-04,155.27,156.06,150.45,150.68,18894955
2010-02-05,150.82,154.46,148.87,154.16,18759121
2010-02-08,154.27,154.6,150.82,151.1,10260553
2010-02-09,152.7,153.53,149.65,152.49,14021791
2010-02-10,152.77,155.35,151.76,153.63,10558206
2010-02-11,154.4,155.32,152.25,154.05,11166069
2010-02-12,152.37,154.5,151.14,153.93,10294003
2010-02-16,155.3,157.74,154.6,157.4,11501092
2010-02-17,158.0,158.19,155.81,157.26,10071776
2010-02-18,155.61,156.59,154.88,155.73,10998711
2010-02-19,154.51,157.0,154.49,156.18,8693387
2010-02-22,157.2,157.97,156.03,156.71,7376850
2010-02-23,156.81,160.21,155.91,156.7,15698122
2010-02-24,157.34,159.25,156.87,158.33,8367274
2010-02-25,156.23,156.44,154.32,156.44,10522247
2010-02-26,156.26,156.99,155.26,156.35,7813025
2010-03-01,156.51,158.29,156.17,156.54,6526759
2010-03-02,157.18,159.75,156.91,158.75,11995851
2010-03-03,159.04,159.45,157.23,157.72,10007994
2010-03-04,158.25,163.85,158.11,163.61,15442493
2010-03-05,165.11,168.25,165.0,167.18,12229015
2010-03-08,167.88,170.69,167.46,169.84,9350334
2010-03-09,169.22,172.2,168.0,168.85,12964485
2010-03-10,170.26,172.34,168.87,171.94,13109056
2010-03-11,171.4,173.57,171.1,173.51,9075235
2010-03-12,175.01,176.34,174.0,174.96,10219733
2010-03-15,173.95,175.2,170.38,173.53,13962000
2010-03-16,174.33,176.42,173.56,176.19,11691266
2010-03-17,176.86,177.88,175.57,176.64,10142893
2010-03-18,176.2,177.75,175.66,177.45,6890076
2010-03-19,178.19,178.21,175.95,177.9,10896531
2010-03-22,176.21,176.95,175.23,176.16,7320365
2010-03-23,176.25,176.81,173.29,174.83,10810763
2010-03-24,173.64,175.96,173.64,174.41,8403097
2010-03-25,175.24,178.73,174.78,174.9,9535070
2010-03-26,175.38,175.48,171.91,172.87,11815436
2010-03-29,173.87,174.43,171.64,174.05,11787153
2010-03-30,174.26,174.78,170.7,171.38,8186068
2010-03-31,170.0,171.66,169.85,170.63,8245706
2010-04-01,171.72,172.0,169.5,170.22,6482031
2010-04-05,170.68,173.37,169.77,173.16,6137584
2010-04-06,172.61,173.89,172.15,172.9,7745506
2010-04-07,172.89,177.9,172.81,176.36,13888151
2010-04-08,176.1,180.8,175.28,179.5,10668741
2010-04-09,180.28,181.0,177.5,179.12,8465296
2010-04-12,179.36,180.38,177.84,177.84,6042226
2010-04-13,177.56,180.0,177.11,179.25,6467785
2010-04-14,183.91,185.94,183.07,184.92,12559543
2010-04-15,185.54,185.6,183.66,184.27,7841950
2010-04-16,183.62,186.41,155.55,160.7,102044993
2010-04-19,155.6,163.73,155.0,163.32,54299112
2010-04-20,166.44,166.71,158.0,159.98,42196524
2010-04-21,161.67,163.14,157.0,158.93,30385643
2010-04-22,157.93,162.0,156.29,159.05,24832945
2010-04-23,160.19,160.72,157.0,157.4,14915918
