Date,Open,High,Low,Close,Volume
2010-01-04,14.32,14.87,14.25,14.79,3905527
2010-01-05,14.77,15.88,14.77,15.75,6882950
2010-01-06,15.76,15.97,15.6,15.83,3111886
2010-01-07,15.81,15.9,15.45,15.61,2950471
2010-01-08,15.57,16.18,15.45,15.94,3448920
2010-01-11,16.11,16.39,15.89,15.93,3391303
2010-01-12,15.78,15.78,15.12,15.49,2887352
2010-01-13,15.49,15.52,14.59,14.82,5063310
2010-01-14,14.88,15.21,14.62,15.19,2813324
2010-01-15,,,,15.02,0
2010-01-19,14.91,15.04,14.7,14.76,3330526
2010-01-20,14.59,14.65,14.3,14.37,2804879
2010-01-21,14.35,14.38,13.69,13.75,7301262
2010-01-22,13.78,13.92,13.15,13.24,3920081
2010-01-25,13.51,13.63,13.19,13.22,2430338
2010-01-26,13.17,13.56,13.02,13.4,3795791
2010-01-27,13.48,14.35,13.35,14.12,7413044
2010-01-28,14.32,14.37,13.21,13.35,4297583
2010-01-29,13.62,13.9,13.17,13.34,3955161
2010-02-01,13.48,13.65,13.3,13.57,2699698
2010-02-02,13.62,14.08,13.59,13.93,2595857
2010-02-03,13.85,13.96,13.65,13.74,2396261
2010-02-04,13.52,13.52,12.88,12.9,3560850
2010-02-05,12.87,12.96,12.06,12.64,4587464
2010-02-08,12.6,12.86,12.32,12.5,2701575
2010-02-09,12.79,13.0,12.66,12.88,2963253
2010-02-10,12.86,13.08,12.66,12.84,2409496
2010-02-11,12.79,13.29,12.71,13.25,3548401
2010-02-12,,,,13.28,0
2010-02-16,13.43,13.5,13.19,13.41,3063803
2010-02-17,13.35,13.99,13.35,13.9,4430454
2010-02-18,14.36,14.79,14.05,14.3,7640367
2010-02-19,14.18,14.23,13.3,13.46,9208048
2010-02-22,13.53,13.57,13.1,13.15,5198079
2010-02-23,13.06,13.22,12.73,12.74,5942161
2010-02-24,12.84,13.08,12.72,13.07,5817896
2010-02-25,12.78,12.83,12.57,12.74,7262740
2010-02-26,12.81,13.09,12.75,12.99,6597035
2010-03-01,13.06,13.49,13.06,13.29,4401844
2010-03-02,13.46,13.56,13.24,13.32,4781356
2010-03-03,13.37,13.48,13.23,13.31,2854036
2010-03-04,13.27,13.35,13.12,13.33,3652874
2010-03-05,13.5,13.75,13.24,13.7,5240820
2010-03-08,13.79,13.79,13.52,13.68,2081402
