Date,Open,High,Low,Close,Volume
2010-01-04,32.53,32.75,32.32,32.54,1652725
2010-01-05,32.63,32.63,31.84,32.18,1647055
2010-01-06,32.22,32.22,31.7,32.15,1307484
2010-01-07,32.06,32.26,31.37,31.69,3140272
2010-01-08,32.09,32.34,31.47,31.77,2699554
2010-01-11,31.9,32.0,31.5,31.74,1082479
2010-01-12,31.65,31.69,31.04,31.24,3105483
2010-01-13,31.22,31.76,31.2,31.69,1277277
2010-01-14,31.61,32.07,31.51,32.02,1268973
2010-01-15,31.99,32.24,31.7,32.16,2017188
2010-01-19,32.18,32.43,31.98,32.33,998446
2010-01-20,32.08,32.31,31.8,32.26,1499032
2010-01-21,32.15,32.54,32.0,32.1,2252344
2010-01-22,32.0,32.27,31.23,31.29,1615044
2010-01-25,31.45,31.62,31.21,31.42,1100979
2010-01-26,31.3,31.59,31.25,31.28,1045439
2010-01-27,31.21,31.53,31.01,31.49,1042300
2010-01-28,31.56,31.73,31.22,31.54,971568
2010-01-29,31.62,31.62,30.53,30.55,2446979
2010-02-01,30.72,31.38,30.55,31.19,2400600
2010-02-02,31.27,32.0,31.07,31.96,2634932
2010-02-03,31.85,32.23,31.69,32.07,1631523
2010-02-04,31.84,32.03,31.22,31.26,2043380
2010-02-05,31.2,31.35,30.2,30.8,2782788
2010-02-08,33.65,35.19,33.53,34.71,11448689
2010-02-09,34.76,35.28,34.47,35.06,4257000
2010-02-10,35.04,35.61,34.89,35.3,3308205
2010-02-11,35.33,36.19,35.06,36.14,2432554
2010-02-12,35.92,36.0,35.47,35.55,4321767
2010-02-16,35.84,35.98,34.76,35.03,3858138
2010-02-17,35.14,35.51,35.02,35.43,1485782
2010-02-18,35.33,35.82,35.18,35.76,1821421
2010-02-19,35.62,35.99,35.37,35.8,1565117
2010-02-22,35.91,35.92,35.42,35.52,1627927
2010-02-23,35.5,35.54,35.05,35.28,1284071
2010-02-24,35.48,35.54,35.11,35.48,1461064
2010-02-25,35.2,35.74,34.65,35.69,2058023
2010-02-26,35.53,35.99,35.41,35.78,1570682
2010-03-01,35.8,36.19,35.5,36.06,1668519
2010-03-02,36.16,36.68,36.05,36.61,2394367
2010-03-03,36.59,36.66,36.3,36.33,1665035
2010-03-04,36.31,36.73,36.31,36.73,1514484
2010-03-05,36.94,37.52,36.61,37.47,1363835
2010-03-08,37.47,37.73,37.29,37.5,1398475
2010-03-09,37.4,37.93,37.4,37.68,1147517
2010-03-10,37.67,38.01,37.43,38.01,1622987
2010-03-11,37.9,38.15,37.65,38.09,897985
2010-03-12,38.82,38.82,37.75,38.2,942214
