Date,Open,High,Low,Close,Volume
2010-01-04,6.07,6.22,6.07,6.18,3658080
2010-01-05,6.18,6.27,6.13,6.2,2300388
2010-01-06,6.22,6.23,6.15,6.22,1972812
2010-01-07,6.2,6.28,6.09,6.11,3283912
2010-01-08,6.11,6.2,6.05,6.18,2953284
2010-01-11,6.24,6.36,6.15,6.16,2662792
2010-01-12,6.09,6.11,5.9,5.97,3633500
2010-01-13,6.0,6.05,5.88,6.03,4269764
2010-01-14,6.0,6.11,5.98,6.1,1902720
2010-01-15,6.1,6.14,5.96,5.99,1761988
2010-01-19,6.01,6.04,5.94,5.98,3280652
2010-01-20,5.91,5.94,5.59,5.86,9663452
2010-01-21,5.86,5.95,5.77,5.77,4024784
2010-01-22,5.77,5.89,5.7,5.72,2407644
2010-01-25,5.8,5.8,5.68,5.72,2163516
2010-01-26,5.7,5.82,5.69,5.75,2957164
2010-01-27,5.74,5.84,5.7,5.79,3149660
2010-01-28,5.62,6.05,5.61,5.94,7439976
2010-01-29,5.97,6.02,5.73,5.74,3995128
2010-02-01,5.76,5.83,5.67,5.79,3011496
2010-02-02,5.79,5.82,5.71,5.8,3220476
2010-02-03,5.78,5.78,5.61,5.66,3061136
2010-02-04,5.61,5.61,5.4,5.42,3843464
2010-02-05,5.4,5.46,5.24,5.44,4368080
2010-02-08,5.46,5.57,5.4,5.45,2963020
2010-02-09,5.54,5.65,5.51,5.59,2731220
2010-02-10,5.6,5.72,5.58,5.67,3033200
2010-02-11,5.64,5.78,5.6,5.76,1676752
2010-02-12,5.7,5.88,5.64,5.88,3217088
2010-02-16,5.92,5.98,5.86,5.94,2157936
2010-02-17,5.94,6.06,5.92,6.0,2915344
2010-02-18,6.01,6.06,6.0,6.02,2443664
2010-02-19,6.02,6.13,6.0,6.07,2002020
2010-02-22,6.08,6.17,6.08,6.14,2502496
2010-02-23,6.16,6.27,6.05,6.08,4076296
2010-02-24,6.12,6.22,6.08,6.21,3299744
