Date,Open,High,Low,Close,Volume
2010-01-04,44.51,44.96,43.93,44.04,1426504
2010-01-05,44.28,44.74,43.87,44.66,1173208
2010-01-06,44.75,44.95,44.31,44.44,1061653
2010-01-07,44.5,44.86,43.98,44.53,1528789
2010-01-08,44.28,44.55,43.85,44.07,1089636
2010-01-11,43.68,44.24,43.62,44.17,1249540
2010-01-12,43.88,44.38,43.5,43.77,1260958
2010-01-13,43.99,44.81,43.92,44.71,1368829
2010-01-14,44.69,44.69,44.15,44.38,938330
2010-01-15,44.25,44.55,44.17,44.3,1531764
2010-01-19,44.31,45.6,44.31,45.43,1350452
2010-01-20,45.22,45.37,44.68,45.25,1324328
2010-01-21,45.29,45.61,44.08,44.18,1607569
2010-01-22,44.17,44.55,43.1,43.21,1934674
2010-01-25,43.65,43.65,42.62,43.32,1679258
2010-01-26,43.02,43.5,42.92,43.09,1181724
2010-01-27,43.1,43.46,42.46,43.42,1442500
2010-01-28,43.61,43.68,42.89,43.29,1826769
2010-01-29,43.35,43.98,42.81,43.0,1955310
2010-02-01,43.27,43.48,42.8,43.06,1598721
2010-02-02,43.12,43.55,42.59,43.36,2214362
2010-02-03,43.29,43.3,42.24,42.74,1622383
2010-02-04,41.88,42.08,40.42,40.42,3131631
2010-02-05,40.36,41.05,39.82,41.02,2704148
2010-02-08,41.0,41.12,40.19,40.26,1660356
2010-02-09,40.63,40.78,39.99,40.32,1804177
2010-02-10,40.41,41.08,39.94,40.48,1158729
2010-02-11,40.47,41.08,40.19,40.99,1119112
2010-02-12,40.65,40.81,40.08,40.76,1491084
2010-02-16,41.01,41.75,40.86,41.71,1526986
2010-02-17,41.79,42.18,41.66,42.02,1039298
2010-02-18,41.94,42.54,41.54,42.35,1493711
2010-02-19,42.23,42.32,41.72,41.86,2147939
2010-02-22,42.1,42.19,41.68,42.0,1319553
2010-02-23,41.94,42.05,41.47,41.54,1622754
2010-02-24,41.69,42.26,41.45,42.26,1604957
2010-02-25,41.76,42.67,41.55,42.63,2602509
2010-02-26,42.7,42.75,42.36,42.36,1855045
2010-03-01,42.53,42.75,42.31,42.7,1369119
2010-03-02,42.79,42.9,42.33,42.53,1118810
2010-03-03,42.47,42.54,42.18,42.34,913301
2010-03-04,42.5,42.72,42.24,42.63,916881
2010-03-05,42.89,43.26,42.59,43.16,1668211
2010-03-08,43.16,43.47,43.02,43.4,1000798
2010-03-09,43.23,43.85,43.12,43.63,1294431
2010-03-10,43.52,44.07,43.31,44.04,1984497
2010-03-11,43.89,44.48,43.75,44.48,1147286
2010-03-12,44.59,44.98,44.43,44.78,1220223
2010-03-15,44.79,45.05,44.52,44.96,1023450
2010-03-16,45.06,46.06,44.85,45.98,2871200
2010-03-17,45.99,46.36,45.84,46.21,1647061
2010-03-18,45.74,46.05,45.5,45.91,1328697
2010-03-19,45.96,46.22,45.3,45.75,1627765
2010-03-22,45.57,46.36,45.41,46.26,1062221
2010-03-23,46.38,46.38,45.8,46.25,937731
2010-03-24,46.2,46.69,46.09,46.31,1346602
2010-03-25,46.5,46.79,46.25,46.27,1244676
2010-03-26,46.5,46.52,45.69,45.88,1268931
2010-03-29,46.1,46.18,45.66,45.83,917210
2010-03-30,45.88,46.18,45.64,45.71,803165
2010-03-31,45.48,45.72,45.19,45.23,1019964
2010-04-01,45.4,45.67,44.68,45.09,1129987
2010-04-05,45.25,45.65,45.12,45.39,866574
2010-04-06,45.23,45.91,45.1,45.91,1481841
2010-04-07,45.72,45.92,45.05,45.13,1222017
2010-04-08,45.09,45.2,44.8,45.09,1319934
2010-04-09,45.26,45.86,45.1,45.63,1774172
2010-04-12,45.79,45.97,45.24,45.3,1555717
2010-04-13,45.25,46.29,45.19,46.15,1082456
2010-04-14,46.44,46.44,45.7,45.92,1138235
2010-04-15,45.87,45.88,44.26,44.26,1789212
2010-04-16,44.2,44.58,43.24,43.28,2590064
2010-04-19,43.25,43.93,43.09,43.25,2687507
2010-04-20,43.52,43.85,43.01,43.85,1381277
2010-04-21,43.84,44.79,43.67,44.4,1098812
2010-04-22,44.1,44.87,44.02,44.76,1062335
2010-04-23,44.68,45.35,44.5,45.23,1334287
2010-04-26,45.24,46.05,45.15,45.46,1261422
2010-04-27,45.31,45.54,44.42,44.45,2087990
2010-04-28,44.88,45.05,44.38,44.62,1855069
2010-04-29,44.99,45.85,44.97,45.78,1500422
2010-04-30,45.64,46.02,44.9,44.93,1315418
2010-05-03,45.27,46.06,45.24,45.94,1189046
2010-05-04,45.46,45.64,44.12,44.39,1876531
2010-05-05,43.77,44.27,43.27,43.53,2225413
2010-05-06,42.13,43.06,38.42,40.74,3712943
2010-05-07,41.07,41.68,39.95,40.55,2522103
2010-05-10,42.39,42.96,41.78,42.89,2457735
2010-05-11,42.28,43.23,42.16,42.91,1520098
2010-05-12,43.27,43.27,42.7,43.04,1383513
2010-05-13,43.1,43.13,42.4,42.62,1425085
2010-05-14,42.37,42.39,41.71,42.01,1879003
2010-05-17,42.0,42.6,41.25,42.08,2084137
2010-05-18,42.48,42.67,41.27,41.42,1997623
2010-05-19,41.2,41.74,40.44,41.08,1939190
2010-05-20,40.97,41.3,39.99,40.0,3661515
2010-05-21,39.76,41.57,39.5,41.51,2918604
2010-05-24,42.37,42.37,41.5,41.51,2512383
2010-05-25,40.82,42.73,40.5,42.62,3345685
2010-05-26,43.1,43.27,41.66,41.86,2793026
2010-05-27,42.74,43.64,42.25,43.6,1759045
2010-05-28,43.63,43.89,42.93,43.08,1571800
2010-06-01,42.81,43.22,42.28,42.36,1768394
2010-06-02,42.55,42.77,41.8,42.77,2077772
2010-06-03,42.95,43.04,42.39,42.57,1153593
2010-06-04,41.77,42.24,41.05,41.21,2017189
2010-06-07,41.49,41.98,41.13,41.15,1763493
2010-06-08,41.22,42.24,40.7,42.15,1905130
2010-06-09,42.52,43.15,42.16,42.39,2294059
