Date,Open,High,Low,Close,Volume
2010-01-04,61.84,63.43,61.77,63.16,3729291
2010-01-05,63.6,64.22,63.14,63.55,3195704
2010-01-06,63.31,64.51,63.31,63.72,3546012
2010-01-07,63.56,65.27,63.08,64.94,4994215
2010-01-08,64.62,65.9,64.08,65.83,2164342
2010-01-11,66.48,66.49,64.6,65.14,3038339
2010-01-12,64.48,64.48,62.37,62.53,5338623
2010-01-13,62.7,63.1,61.0,62.94,4254883
2010-01-14,62.89,63.21,62.31,63.01,1725559
2010-01-15,62.89,63.41,61.11,62.43,3832861
2010-01-19,62.13,63.04,61.65,63.04,2006716
2010-01-20,62.25,62.38,60.86,62.04,2369782
2010-01-21,62.3,62.77,59.91,60.19,5539437
2010-01-22,59.75,61.5,58.69,58.69,6095544
2010-01-25,59.46,60.58,59.46,59.99,3809849
2010-01-26,59.11,60.42,58.42,59.09,4414014
2010-01-27,59.65,61.75,57.2,58.89,7759965
2010-01-28,59.26,59.46,57.47,57.87,3654868
2010-01-29,58.43,59.86,57.36,57.79,5222223
2010-02-01,58.45,59.89,58.18,59.72,3635932
2010-02-02,59.66,61.28,59.66,61.21,3454694
2010-02-03,60.9,61.17,59.6,60.07,2447100
2010-02-04,59.75,59.76,56.99,57.32,5163859
2010-02-05,57.56,58.04,55.89,57.98,6741941
2010-02-08,57.91,58.48,56.91,57.03,3301719
2010-02-09,58.05,58.94,57.31,57.69,4967550
2010-02-10,57.69,58.65,56.56,57.87,4740210
2010-02-11,57.88,59.2,57.53,59.03,2757284
2010-02-12,58.0,58.83,57.63,58.42,3918261
2010-02-16,59.82,60.62,59.2,60.46,3241452
2010-02-17,60.82,61.26,60.26,60.76,3294771
2010-02-18,60.54,61.14,59.65,60.68,3206131
2010-02-19,60.51,61.09,60.0,60.84,2453194
2010-02-22,61.31,61.31,59.93,60.13,2135761
2010-02-23,59.78,59.94,58.37,58.73,2750735
2010-02-24,58.97,59.52,58.34,59.0,2211036
2010-02-25,57.99,58.71,57.01,58.66,2873247
2010-02-26,58.73,59.08,58.22,58.8,2587168
2010-03-01,59.14,60.11,59.13,60.0,2388033
2010-03-02,60.33,61.0,59.98,60.22,3556956
2010-03-03,60.49,61.05,60.37,60.55,2888265
2010-03-04,60.69,60.89,59.81,60.42,2807706
2010-03-05,60.99,61.58,60.64,61.54,3403565
2010-03-08,61.69,61.81,60.62,61.25,2126487
2010-03-09,60.83,60.97,60.06,60.5,3453702
2010-03-10,60.36,61.57,60.36,61.27,2898355
2010-03-11,60.91,61.17,60.5,60.95,2358905
2010-03-12,61.32,61.66,61.0,61.26,1628804
2010-03-15,60.87,61.08,60.03,60.43,3022750
2010-03-16,60.78,61.76,60.34,61.65,3079942
2010-03-17,62.02,63.11,61.99,62.65,2901889
2010-03-18,62.45,62.54,60.8,61.66,2830365
2010-03-19,61.89,62.13,60.46,61.19,4025571
2010-03-22,60.49,61.63,60.28,61.38,2496050
2010-03-23,61.23,61.63,60.79,61.43,2575442
2010-03-24,60.92,61.89,60.65,61.44,2616609
2010-03-25,62.02,62.02,60.17,60.25,2397487
2010-03-26,60.64,60.81,59.33,59.67,3240988
2010-03-29,60.1,61.44,59.73,61.08,3434449
2010-03-30,61.25,62.39,60.82,62.12,3511917
2010-03-31,62.23,63.15,61.8,62.55,2894758
2010-04-01,63.08,64.24,63.06,63.7,3503963
2010-04-05,64.27,64.61,64.0,64.28,3479716
2010-04-06,64.01,64.52,63.85,64.29,3333025
2010-04-07,64.13,64.23,62.77,63.07,3658681
2010-04-08,62.59,64.49,61.97,64.19,4161049
2010-04-09,64.77,65.15,64.31,64.75,3072857
2010-04-12,65.21,65.58,64.77,65.28,2136676
2010-04-13,65.25,65.6,63.93,65.07,3057205
2010-04-14,65.61,66.15,64.44,65.56,3735798
2010-04-15,65.5,65.5,64.34,64.91,3384311
2010-04-16,64.41,64.96,62.84,63.65,3832008
2010-04-19,62.99,63.55,62.25,63.48,2814362
2010-04-20,63.9,65.77,63.9,65.3,3790339
2010-04-21,65.18,65.53,64.17,64.75,2560298
2010-04-22,63.4,64.33,63.05,64.2,2864685
2010-04-23,64.25,65.53,63.65,65.53,3318779
2010-04-26,65.41,65.9,64.97,65.35,2618325
2010-04-27,64.87,66.22,63.28,63.35,3567539
2010-04-28,64.27,64.95,62.34,63.67,5040220
2010-04-29,64.12,64.84,63.39,64.32,3369986
2010-04-30,64.41,64.75,62.08,63.55,4569449
2010-05-03,63.93,64.62,62.72,64.03,3111506
2010-05-04,63.22,63.29,61.01,62.38,3679321
2010-05-05,61.14,62.39,60.06,61.41,6901541
2010-05-06,60.8,61.2,55.0,58.21,9146288
2010-05-07,58.31,58.59,56.0,56.74,6263274
2010-05-10,59.47,60.46,58.21,59.95,7148950
2010-05-11,58.97,60.19,58.27,58.61,5102062
2010-05-12,58.97,59.36,57.82,58.84,4588134
2010-05-13,58.78,58.94,57.71,58.0,5771903
2010-05-14,57.34,57.43,55.23,56.06,5001948
2010-05-17,56.36,56.63,53.92,55.5,4410765
2010-05-18,56.44,57.02,54.81,55.2,5299771
2010-05-19,54.76,55.46,53.56,55.0,5325629
2010-05-20,53.59,53.59,51.43,51.52,6481942
2010-05-21,50.44,53.33,50.1,52.91,6105177
2010-05-24,52.68,52.68,51.25,51.28,4534489
2010-05-25,49.76,52.37,49.5,52.24,5379193
2010-05-26,53.17,53.25,51.39,51.62,3962111
2010-05-27,53.0,54.63,52.89,54.55,3819633
2010-05-28,54.3,54.64,52.82,53.2,3976538
2010-06-01,52.36,53.1,50.39,50.49,4488764
2010-06-02,50.33,52.13,49.88,52.13,4136800
2010-06-03,52.25,52.8,51.44,52.59,3076471
2010-06-04,51.39,52.21,50.12,50.5,3413543
2010-06-07,50.68,51.95,50.21,50.37,3694404
2010-06-08,49.79,50.1,48.7,49.69,6024965
2010-06-09,50.17,51.46,49.61,49.88,4209156
2010-06-10,51.05,52.7,50.88,52.66,4575068
2010-06-11,51.78,53.57,51.78,53.45,3110294
2010-06-14,54.19,54.75,53.56,53.67,4235797
2010-06-15,54.24,55.39,53.97,55.31,2612800
2010-06-16,54.85,55.48,54.57,55.0,2510137
2010-06-17,55.15,55.2,54.17,54.69,3510039
2010-06-18,54.9,56.22,54.27,56.18,4059952
2010-06-21,57.09,57.45,55.59,56.01,3593581
2010-06-22,55.9,56.06,54.34,54.51,4327987
2010-06-23,54.46,55.47,53.97,55.07,3992113
2010-06-24,54.82,54.98,53.38,53.73,4527692
2010-06-25,53.96,54.48,53.11,53.8,3181740
2010-06-28,53.79,53.84,52.66,52.97,3179509
2010-06-29,52.18,52.21,50.78,50.95,4095065
2010-06-30,51.03,51.86,50.21,50.34,4065679
2010-07-01,49.82,50.74,48.71,49.96,5958211
2010-07-02,50.17,50.76,49.64,50.08,2873414
2010-07-06,51.2,51.92,50.3,50.95,4340945
2010-07-07,51.29,53.22,51.23,53.22,3720246
2010-07-08,53.79,54.11,52.76,54.1,2817197
2010-07-09,54.04,54.11,52.63,53.23,2931990
2010-07-12,53.05,53.69,52.7,53.69,2288248
2010-07-13,54.39,54.74,53.99,54.35,2439834
2010-07-14,53.96,54.49,53.33,53.59,2707858
2010-07-15,53.9,53.9,52.42,53.32,3314603
2010-07-16,52.49,52.88,51.26,51.49,3320528
2010-07-19,51.88,52.38,51.48,51.83,2036511
2010-07-20,51.05,52.93,51.0,52.88,3433304
2010-07-21,53.59,53.59,50.41,50.89,5432817
2010-07-22,51.46,52.89,51.34,52.2,5847916
2010-07-23,52.04,52.94,51.32,52.7,4839262
2010-07-26,52.61,53.06,52.2,52.78,5061360
2010-07-27,52.9,53.36,52.41,53.3,6413497
2010-07-28,53.11,53.94,52.01,52.47,7081137
2010-07-29,52.51,54.03,52.49,53.85,6362336
2010-07-30,53.37,53.91,52.94,53.59,4473990
2010-08-02,54.63,56.08,54.52,55.94,4425635
2010-08-03,56.06,56.15,55.07,56.08,3477043
2010-08-04,56.2,56.56,55.74,56.5,2962122
2010-08-05,56.0,56.59,55.79,56.31,2146849
2010-08-06,55.82,56.19,54.65,55.59,2565370
2010-08-09,56.07,56.2,55.31,56.06,2188540
2010-08-10,55.07,55.95,54.65,55.56,2799889
2010-08-11,54.41,54.51,53.04,53.4,2922409
2010-08-12,52.37,53.48,52.28,53.16,2152386
2010-08-13,52.88,53.74,52.73,52.77,1975790
2010-08-16,52.49,52.76,52.05,52.62,3102972
2010-08-17,53.4,53.62,52.78,53.44,2899556
2010-08-18,53.37,53.37,52.2,52.9,2821714
2010-08-19,52.51,52.74,51.89,51.99,3815616
2010-08-20,51.44,52.0,50.96,51.24,2753172
2010-08-23,51.18,51.72,51.02,51.23,1827501
2010-08-24,50.55,50.99,50.12,50.21,4278973
2010-08-25,49.99,50.66,49.79,50.41,4447700
2010-08-26,50.76,51.02,49.8,49.88,2494265
2010-08-27,50.2,51.56,49.6,51.46,2583466
2010-08-30,51.18,51.49,50.49,50.52,2083072
2010-08-31,50.27,50.9,49.81,50.26,2130047
2010-09-01,51.32,53.19,51.18,53.11,3486448
2010-09-02,53.42,54.91,53.25,54.89,4283244
2010-09-03,55.14,55.44,54.49,55.29,2446105
2010-09-07,54.82,54.82,53.0,53.38,4562924
2010-09-08,53.36,54.8,53.25,54.3,2892945
2010-09-09,54.98,55.16,53.86,54.12,2421167
2010-09-10,54.54,55.08,54.3,54.42,2631702
2010-09-13,55.32,55.32,54.37,54.49,3733215
2010-09-14,54.28,55.07,53.84,54.8,3363179
2010-09-15,54.39,55.23,54.0,55.0,2960801
2010-09-16,54.59,55.88,54.44,55.82,3800747
2010-09-17,56.12,56.24,54.95,54.97,5243817
2010-09-20,55.25,56.85,55.18,56.67,3403446
2010-09-21,56.31,56.86,55.31,56.14,2781898
2010-09-22,56.25,57.93,56.24,56.4,3373873
2010-09-23,55.68,56.72,55.46,56.05,2199335
2010-09-24,56.91,58.17,56.54,57.81,2573635
2010-09-27,57.81,57.89,57.46,57.67,2783628
2010-09-28,57.74,58.47,57.18,58.19,3974017
2010-09-29,58.12,59.35,57.86,58.78,3009935
2010-09-30,59.35,59.79,58.13,59.12,3426115
2010-10-01,60.0,61.12,59.99,60.92,4574246
2010-10-04,60.62,60.97,59.23,59.49,4397186
2010-10-05,60.69,62.18,60.65,61.42,5033597
2010-10-06,61.15,62.29,61.15,61.61,2767316
2010-10-07,62.2,62.33,60.88,61.81,2711215
2010-10-08,61.76,62.74,61.51,62.53,2837324
2010-10-11,62.52,63.56,62.52,63.04,2147732
2010-10-12,62.71,62.98,61.85,62.67,1911668
2010-10-13,63.0,63.73,62.9,63.37,2534497
2010-10-14,63.3,63.78,62.38,62.75,2446888
2010-10-15,63.52,64.04,62.77,63.83,3414324
2010-10-18,63.71,64.68,63.43,64.36,2772647
2010-10-19,63.52,63.75,62.07,62.27,3336187
2010-10-20,62.58,63.84,62.38,63.28,2415927
2010-10-21,63.54,64.48,62.58,63.12,2792230
2010-10-22,63.22,63.68,62.48,63.25,2603887
2010-10-25,63.8,64.1,62.46,62.55,3625736
2010-10-26,62.09,62.84,61.43,62.51,3280190
2010-10-27,63.18,64.41,61.3,62.51,4590147
2010-10-28,63.18,63.75,62.91,63.23,2205333
