Date,Open,High,Low,Close,Volume
2010-01-04,39.61,40.38,39.48,40.35,7389171
2010-01-05,40.16,40.46,40.09,40.43,6479178
2010-01-06,40.44,40.54,40.23,40.43,5919795
2010-01-07,40.44,41.36,40.08,41.21,9787770
2010-01-08,40.92,42.2,40.79,42.12,6824821
2010-01-11,42.31,43.13,42.3,42.65,5116501
2010-01-12,42.39,42.51,41.86,42.17,4509737
2010-01-13,42.16,42.5,41.84,42.32,4097839
2010-01-14,42.24,42.73,42.12,42.57,3430560
2010-01-15,42.54,42.81,42.21,42.63,5729232
2010-01-19,42.72,43.21,42.48,42.85,5220311
2010-01-20,42.57,42.67,41.9,42.36,4616815
2010-01-21,42.36,42.51,40.68,40.73,7419720
2010-01-22,40.57,41.08,39.85,39.88,6924024
2010-01-25,40.29,40.67,40.08,40.22,3079339
2010-01-26,40.05,40.46,39.71,39.97,2775685
2010-01-27,40.15,40.38,39.44,40.26,5901069
2010-01-28,40.53,40.59,39.26,39.82,5906297
2010-01-29,38.5,39.17,37.58,38.64,15229002
2010-02-01,38.92,39.42,38.86,39.37,5141531
2010-02-02,39.43,39.6,39.06,39.52,7046554
2010-02-03,39.36,39.54,38.93,39.21,4363001
2010-02-04,39.16,39.16,37.68,37.73,9669119
2010-02-05,37.73,37.91,36.68,37.47,8519627
2010-02-08,37.54,37.54,36.8,36.87,6238088
2010-02-09,37.37,38.24,37.25,37.82,6870842
2010-02-10,37.72,38.0,37.37,37.72,3997936
2010-02-11,37.61,38.35,37.29,38.23,4424336
2010-02-12,37.8,38.0,37.33,37.86,5702427
2010-02-16,38.13,38.97,38.08,38.92,5972020
2010-02-17,38.91,39.22,38.74,39.09,4718039
2010-02-18,39.07,39.95,38.98,39.85,5311456
2010-02-19,39.78,40.47,39.54,40.22,5813006
2010-02-22,40.42,40.5,40.0,40.15,4068738
2010-02-23,40.15,40.47,39.79,39.93,5202113
2010-02-24,40.11,40.85,40.05,40.58,4823075
2010-02-25,40.0,40.23,39.49,40.19,5644328
2010-02-26,40.18,40.43,39.91,40.16,4462201
2010-03-01,40.25,40.84,40.25,40.57,4546365
2010-03-02,40.71,40.99,40.53,40.68,4049337
2010-03-03,40.7,41.18,40.7,40.92,5546002
2010-03-04,40.97,41.22,40.75,41.18,3699264
2010-03-05,41.34,41.92,41.23,41.91,5500800
2010-03-08,41.9,41.99,41.45,41.49,3514768
2010-03-09,41.48,42.5,41.41,42.27,5541148
2010-03-10,42.17,42.5,42.1,42.34,4797255
2010-03-11,42.23,42.62,41.96,42.62,3529689
2010-03-12,42.8,43.13,42.46,42.93,5554502
2010-03-15,42.91,43.03,42.6,42.97,4904480
2010-03-16,43.14,43.18,42.65,43.03,6399689
2010-03-17,43.22,43.37,42.64,42.91,5122412
2010-03-18,42.92,43.53,42.79,43.43,4962313
2010-03-19,43.99,44.29,43.6,43.82,9693010
2010-03-22,43.54,43.99,43.41,43.56,4772469
2010-03-23,43.67,44.33,43.59,44.19,5539048
2010-03-24,44.23,45.05,44.05,44.48,7845785
2010-03-25,44.75,45.28,44.3,44.34,6026145
2010-03-26,44.43,44.99,44.35,44.6,4455506
2010-03-29,44.91,45.13,44.75,44.87,4319722
2010-03-30,45.01,45.28,44.55,44.95,4885198
2010-03-31,45.63,45.78,45.1,45.27,8920352
2010-04-01,45.51,45.85,44.72,45.03,6706338
2010-04-05,45.28,45.64,45.08,45.45,4204319
2010-04-06,45.45,45.75,45.35,45.46,3965727
2010-04-07,45.5,45.76,45.08,45.25,4993609
2010-04-08,45.21,45.61,45.01,45.49,4207568
2010-04-09,45.67,45.98,45.37,45.77,3769323
2010-04-12,45.86,46.17,45.79,45.99,3235701
2010-04-13,45.97,46.07,45.52,45.66,3729205
2010-04-14,45.8,46.37,45.77,46.33,4576648
2010-04-15,46.3,46.53,46.1,46.47,3341699
2010-04-16,46.44,46.51,45.32,45.82,7864555
2010-04-19,45.45,45.86,45.18,45.75,4869931
2010-04-20,46.06,46.43,45.72,46.38,4647213
2010-04-21,46.49,46.73,46.14,46.69,4515459
2010-04-22,46.32,47.46,45.87,47.44,7163502
2010-04-23,47.72,47.78,46.7,47.72,7685159
2010-04-26,47.82,48.43,47.78,48.27,5714404
2010-04-27,48.23,48.23,46.83,46.94,7077096
2010-04-28,47.26,47.38,46.51,47.05,4939745
2010-04-29,47.48,48.55,47.34,48.52,5708959
2010-04-30,48.48,48.63,47.47,47.47,5467852
2010-05-03,47.81,48.53,47.75,48.51,4067130
2010-05-04,47.86,47.96,46.48,46.86,7282417
2010-05-05,46.02,46.31,45.4,45.88,5807310
2010-05-06,45.5,46.22,39.98,44.3,9834399
2010-05-07,43.69,44.62,42.86,43.52,8668999
2010-05-10,45.69,46.41,45.35,46.07,6251297
2010-05-11,45.64,46.61,45.57,45.85,4553889
2010-05-12,46.17,47.0,46.06,46.87,4099204
2010-05-13,46.83,46.94,46.13,46.19,2818296
2010-05-14,45.79,45.9,44.73,45.48,8538499
2010-05-17,45.52,45.81,44.64,45.44,6854094
2010-05-18,45.5,46.1,44.53,44.72,7438309
2010-05-19,44.27,44.58,43.3,43.86,7496665
2010-05-20,42.48,42.89,41.5,41.79,9466520
2010-05-21,40.9,42.55,40.77,42.07,11108213
2010-05-24,42.15,42.67,41.74,41.84,6422908
2010-05-25,40.58,41.83,40.1,41.79,7730136
2010-05-26,42.15,42.99,41.94,42.11,8520960
2010-05-27,43.16,43.5,42.65,43.42,5764198
2010-05-28,43.36,43.53,42.41,42.77,4553437
2010-06-01,42.24,46.56,41.83,41.9,5104082
2010-06-02,42.21,42.96,41.95,42.93,5046259
2010-06-03,43.0,43.43,42.85,43.26,3465029
2010-06-04,42.05,42.4,40.88,41.07,5562219
2010-06-07,41.13,41.2,39.98,40.0,5268753
2010-06-08,39.97,40.5,39.31,40.43,8081379
2010-06-09,40.62,41.42,39.94,40.01,10294644
2010-06-10,40.79,41.47,40.63,41.26,7263753
2010-06-11,40.75,41.38,40.48,41.32,6640104
2010-06-14,41.35,42.19,41.35,41.53,6073910
2010-06-15,41.96,43.05,41.8,43.04,5398307
2010-06-16,42.58,43.0,42.51,42.75,5222542
2010-06-17,42.87,42.91,42.06,42.65,6514386
2010-06-18,42.77,42.96,42.5,42.92,8643813
2010-06-21,43.42,43.77,42.65,42.93,5312286
2010-06-22,43.11,43.28,42.12,42.2,4753720
2010-06-23,42.17,42.33,41.5,41.84,5034691
2010-06-24,41.61,41.78,40.9,41.0,5183171
2010-06-25,41.12,41.84,40.94,41.6,6270853
2010-06-28,41.82,41.87,41.11,41.2,3017882
2010-06-29,40.48,40.54,39.07,39.33,7577272
2010-06-30,38.59,39.91,38.54,39.03,8210362
2010-07-01,38.99,38.99,37.89,38.55,8037542
2010-07-02,38.59,39.03,38.18,38.53,5100862
2010-07-06,39.14,39.35,38.37,38.71,5493936
2010-07-07,38.74,40.19,38.71,40.19,5942747
2010-07-08,40.67,40.85,40.16,40.73,3940752
2010-07-09,40.84,41.35,40.6,41.27,4998354
2010-07-12,41.13,41.37,40.67,40.82,2972448
2010-07-13,41.42,42.1,41.31,41.85,4693689
2010-07-14,41.65,42.02,41.39,41.69,3525504
2010-07-15,41.75,42.06,40.72,41.79,5221671
2010-07-16,41.43,41.55,40.08,40.19,5516835
2010-07-19,40.43,40.55,40.03,40.35,3974875
2010-07-20,39.75,41.27,39.6,41.2,4393567
2010-07-21,41.46,41.93,40.86,41.13,4893222
2010-07-22,41.64,42.78,41.6,42.66,5809339
2010-07-23,43.32,43.87,42.5,43.5,8147861
2010-07-26,43.45,44.23,43.36,43.89,5450158
2010-07-27,44.24,44.3,43.36,43.43,6354859
