Date,Open,High,Low,Close,Volume
2010-01-04,36.01,36.26,35.76,36.22,1048013
2010-01-05,36.24,37.91,36.0,37.17,3829177
2010-01-06,37.32,37.53,36.75,36.85,1492364
2010-01-07,37.02,37.02,36.36,36.49,1148258
2010-01-08,36.55,36.63,36.2,36.38,836568
2010-01-11,36.42,36.42,35.83,36.18,1257353
2010-01-12,36.2,37.8,36.15,37.75,2369672
2010-01-13,37.37,38.05,36.46,36.61,4881033
2010-01-14,36.73,37.08,36.51,36.96,1765282
2010-01-15,36.64,36.86,35.97,36.25,1959213
2010-01-19,37.26,38.01,37.26,37.35,3543713
2010-01-20,37.32,37.32,36.72,37.08,1827560
2010-01-21,37.34,37.34,36.18,36.19,2642185
2010-01-22,36.53,36.89,36.1,36.28,1648798
2010-01-25,36.4,36.82,36.15,36.45,1876076
2010-01-26,35.95,36.55,35.95,36.5,2754832
2010-01-27,36.43,37.35,36.4,37.29,2956657
2010-01-28,37.29,37.38,36.83,37.13,1950826
2010-01-29,37.2,37.23,36.43,36.43,2409794
2010-02-01,36.59,36.81,36.06,36.81,2241951
2010-02-02,37.85,37.96,36.95,37.2,2704446
2010-02-03,37.23,37.57,36.95,37.15,1416159
2010-02-04,37.01,37.16,36.75,36.9,2431934
2010-02-05,36.83,37.5,36.77,37.35,2325551
2010-02-08,37.46,37.46,36.9,36.95,1472290
2010-02-09,37.24,37.37,37.05,37.2,1693942
2010-02-10,37.07,37.28,36.75,37.22,1231258
2010-02-11,37.23,37.45,36.84,37.4,1341536
2010-02-12,37.25,37.73,37.03,37.6,1858310
2010-02-16,37.61,38.38,37.53,38.38,1722768
2010-02-17,38.31,38.48,38.22,38.39,1330740
2010-02-18,37.92,38.84,37.81,38.83,1442044
2010-02-19,38.9,40.01,38.5,39.97,3565036
2010-02-22,39.98,40.1,39.55,39.74,4638823
2010-02-23,39.39,39.67,39.09,39.26,1119106
2010-02-24,39.34,39.69,39.25,39.64,1467664
2010-02-25,39.41,39.75,39.25,39.73,2333825
2010-02-26,39.71,39.99,39.66,39.76,1433803
2010-03-01,39.91,40.21,39.79,39.91,1538970
2010-03-02,40.01,40.33,39.91,40.17,1185683
2010-03-03,40.27,40.81,40.05,40.76,2376744
2010-03-04,40.78,41.23,40.76,41.1,1878985
2010-03-05,41.29,41.46,40.97,41.45,1596633
2010-03-08,41.3,41.5,40.85,41.2,1724134
2010-03-09,41.01,41.72,40.95,41.57,1679753
