Date,Open,High,Low,Close,Volume
2010-01-04,26.85,27.18,26.72,27.04,325156
2010-01-05,26.88,27.08,26.78,27.08,223434
2010-01-06,27.02,27.37,27.02,27.15,262222
2010-01-07,27.04,28.32,26.97,28.18,748156
2010-01-08,28.21,28.45,27.9,27.96,642604
2010-01-11,28.02,28.96,28.02,28.88,697108
2010-01-12,28.85,28.88,28.59,28.84,492636
2010-01-13,28.82,29.66,28.82,29.58,1039964
2010-01-14,29.6,29.98,29.6,29.82,505938
2010-01-15,29.75,29.82,29.26,29.55,422540
2010-01-19,29.5,29.88,29.3,29.68,582684
2010-01-20,29.56,29.76,29.24,29.54,353320
2010-01-21,29.48,29.54,29.12,29.18,349722
2010-01-22,29.23,29.28,28.53,28.6,500828
2010-01-25,28.84,28.84,28.23,28.38,584106
2010-01-26,28.38,28.55,28.3,28.46,248052
2010-01-27,28.32,28.53,28.09,28.35,469346
2010-01-28,28.3,29.01,28.02,28.98,691222
2010-01-29,28.41,29.05,26.24,26.24,3663600
2010-02-01,26.38,26.65,24.52,24.96,3696362
2010-02-02,25.06,25.59,24.76,25.46,2081516
2010-02-03,25.38,25.48,25.17,25.44,720668
2010-02-04,25.23,25.56,25.05,25.24,1427884
2010-02-05,25.18,25.42,24.63,25.02,1174652
2010-02-08,24.8,25.13,24.62,25.0,730786
2010-02-09,24.96,25.32,24.88,25.28,574532
2010-02-10,25.35,25.5,24.96,25.2,600960
2010-02-11,25.28,26.07,25.13,26.0,844680
2010-02-12,25.66,26.72,25.66,26.66,855832
2010-02-16,26.52,26.79,26.28,26.79,766060
2010-02-17,26.77,27.18,26.58,26.82,488332
2010-02-18,26.89,27.1,26.64,26.94,405994
2010-02-19,26.85,27.08,26.45,26.48,746510
2010-02-22,26.46,26.59,26.25,26.34,752748
2010-02-23,26.32,26.81,26.2,26.25,607666
2010-02-24,26.38,26.6,26.34,26.52,307076
2010-02-25,26.35,26.72,26.04,26.25,613556
2010-02-26,26.18,26.74,26.17,26.4,555950
2010-03-01,26.4,27.16,26.08,27.11,815810
2010-03-02,27.04,27.8,26.99,27.71,664112
2010-03-03,27.78,28.1,27.72,27.95,564298
2010-03-04,28.02,28.28,27.66,27.72,385478
2010-03-05,27.72,28.25,27.6,28.22,386614
2010-03-08,28.28,28.35,28.04,28.28,445032
2010-03-09,28.2,28.35,28.0,28.08,427918
2010-03-10,28.0,28.26,27.88,27.98,454866
2010-03-11,27.79,28.01,27.65,27.94,401032
2010-03-12,27.92,28.13,27.5,28.13,405618
2010-03-15,27.9,28.32,27.9,28.31,459120
2010-03-16,28.35,28.63,28.17,28.26,970276
2010-03-17,28.36,28.44,28.27,28.38,292440
2010-03-18,28.26,28.78,28.26,28.78,277102
2010-03-19,28.96,29.04,28.6,28.92,721484
2010-03-22,28.74,29.51,28.72,29.38,468694
2010-03-23,29.32,29.6,29.2,29.58,311032
2010-03-24,29.57,29.64,28.66,28.66,843196
2010-03-25,28.87,29.13,28.62,28.62,379040
2010-03-26,28.62,28.7,27.87,27.94,684412
2010-03-29,28.0,28.86,27.63,28.78,458458
2010-03-30,28.75,29.03,28.64,28.82,383622
2010-03-31,28.76,28.96,28.68,28.78,307522
2010-04-05,29.0,29.11,28.81,28.98,450852
2010-04-06,28.8,28.96,28.79,28.84,351244
2010-04-07,29.06,29.3,28.96,29.08,467908
2010-04-08,29.08,29.26,28.66,29.17,369076
2010-04-09,29.12,29.5,29.08,29.5,215980
2010-04-12,29.43,29.76,29.43,29.72,385498
2010-04-13,29.74,29.75,29.52,29.75,191066
2010-04-14,29.75,30.0,29.57,29.97,269018
2010-04-15,29.9,30.44,29.82,30.44,496798
2010-04-16,30.27,30.66,30.11,30.16,658888
2010-04-19,30.1,30.4,29.88,29.96,997944
2010-04-20,30.12,30.12,29.85,30.04,1103908
2010-04-21,30.09,30.1,29.8,29.87,576148
2010-04-22,29.74,30.28,29.26,30.2,777700
2010-04-23,30.3,34.28,30.21,33.43,5843558
2010-04-26,33.32,33.34,32.77,33.18,1248516
2010-04-27,33.16,33.54,32.84,33.06,979188
2010-04-28,33.12,33.5,32.78,32.83,1412864
2010-04-29,33.08,33.48,32.94,33.13,1033838
2010-04-30,33.24,33.62,33.02,33.07,615182
2010-05-03,33.24,33.6,33.08,33.58,443034
2010-05-04,33.18,33.4,32.88,33.12,764710
2010-05-05,32.96,33.73,32.62,32.87,694698
2010-05-06,32.66,33.02,30.5,31.94,1160122
2010-05-07,32.02,32.02,30.72,30.78,1141168
2010-05-10,31.5,32.46,31.5,32.33,461614
2010-05-11,32.01,33.47,31.65,32.77,616098
2010-05-12,32.68,33.42,32.68,33.32,479050
2010-05-13,33.15,33.5,33.02,33.29,457208
2010-05-14,33.06,33.26,31.99,32.28,413400
2010-05-17,32.47,32.94,31.56,32.34,343002
2010-05-18,32.72,32.72,31.84,31.92,404458
2010-05-19,31.74,32.06,31.5,31.83,441922
2010-05-20,31.18,31.4,30.26,30.26,655632
2010-05-21,30.34,31.18,30.06,31.01,643596
2010-05-24,30.86,31.25,30.53,30.54,306416
2010-05-25,29.88,30.4,29.28,30.34,425990
2010-05-26,30.36,31.04,30.04,30.24,597612
2010-05-27,30.76,31.4,30.62,31.1,481638
2010-05-28,30.98,31.83,30.98,31.62,571876
2010-06-01,31.62,31.92,31.1,31.16,358712
2010-06-02,31.35,32.14,30.94,32.12,411616
2010-06-03,32.02,32.44,31.64,32.17,196552
2010-06-04,31.71,32.3,31.0,31.09,405990
2010-06-07,31.18,31.56,30.36,30.44,333700
2010-06-08,30.43,30.72,30.08,30.64,319740
2010-06-09,30.88,31.38,30.8,31.09,512530
2010-06-10,31.5,31.94,31.1,31.86,314092
2010-06-11,31.46,32.36,31.46,32.3,227104
2010-06-14,32.35,32.62,32.0,32.08,306890
2010-06-15,32.13,32.4,31.61,32.3,477486
2010-06-16,32.06,32.53,32.06,32.35,277734
2010-06-17,32.3,32.61,32.28,32.52,339010
2010-06-18,32.47,32.7,32.0,32.42,721926
2010-06-21,32.68,33.01,32.28,32.42,275424
2010-06-22,32.38,32.9,31.62,31.7,400564
2010-06-23,31.78,32.14,31.22,31.43,173752
2010-06-24,31.26,31.5,30.96,31.0,270806
2010-06-25,31.14,31.47,30.69,31.42,895630
2010-06-28,31.53,31.98,31.16,31.67,187484
2010-06-29,31.31,31.44,30.38,30.58,467278
2010-06-30,30.6,31.18,30.32,30.45,365682
2010-07-01,30.4,30.6,29.39,30.38,697672
2010-07-02,30.53,30.75,30.28,30.44,175950
2010-07-06,30.92,31.06,30.0,30.16,502008
2010-07-07,30.28,31.72,30.28,31.65,503100
2010-07-08,31.82,31.98,31.0,31.36,499340
2010-07-09,31.33,31.9,31.33,31.86,328822
2010-07-12,31.71,32.0,31.48,31.7,296164
2010-07-13,31.92,32.0,31.73,31.87,426016
2010-07-14,31.72,32.0,31.5,31.66,380766
2010-07-15,31.7,31.87,30.87,31.29,557798
2010-07-16,31.14,31.18,30.44,30.44,629118
2010-07-19,30.42,30.42,29.75,29.82,1225656
2010-07-20,29.52,30.58,29.25,30.48,1053166
2010-07-21,30.7,30.7,29.72,29.74,700010
2010-07-22,30.0,31.1,29.91,31.02,1254168
2010-07-23,30.66,30.66,29.26,29.94,1486456
2010-07-26,30.0,30.34,29.75,30.19,882016
2010-07-27,30.28,30.79,30.25,30.35,791032
2010-07-28,30.41,30.61,29.47,29.54,1044608
2010-07-29,29.95,30.05,28.91,29.22,639026
2010-07-30,28.94,29.42,28.74,29.37,391104
2010-08-02,29.82,29.98,29.52,29.83,509278
2010-08-03,29.74,29.85,29.51,29.64,756006
2010-08-04,29.75,30.06,29.7,30.06,544730
2010-08-05,29.82,30.08,29.65,29.78,511246
2010-08-06,29.44,29.7,29.28,29.6,421880
2010-08-09,29.68,30.08,29.68,29.9,292604
2010-08-10,29.76,29.81,29.33,29.34,695344
2010-08-11,29.02,29.28,28.29,28.51,639866
2010-08-12,28.2,28.51,27.85,28.27,347678
2010-08-13,28.14,28.47,28.02,28.14,340164
2010-08-16,27.93,28.3,27.9,28.09,520616
2010-08-17,28.28,28.74,28.22,28.46,357058
2010-08-18,28.4,28.82,28.0,28.58,248898
2010-08-19,28.38,28.6,28.13,28.46,573908
2010-08-20,28.26,28.56,28.14,28.52,391166
2010-08-23,28.58,28.83,28.38,28.4,346906
2010-08-24,28.04,28.21,27.4,27.84,724094
2010-08-25,27.6,28.16,27.54,28.02,682608
2010-08-26,28.17,28.22,27.86,27.92,356520
2010-08-27,28.12,28.64,27.76,28.5,388452
2010-08-30,28.36,28.52,27.75,27.75,403780
2010-08-31,27.65,27.98,27.52,27.64,527328
2010-09-01,28.02,28.59,27.77,28.57,466814
2010-09-02,28.48,29.07,28.48,29.02,245646
2010-09-03,29.26,29.67,28.97,29.15,447124
2010-09-07,29.73,29.73,28.56,28.72,334248
2010-09-08,28.7,29.08,28.65,28.82,257188
2010-09-09,29.1,29.28,28.64,28.67,324894
2010-09-10,28.67,28.94,28.46,28.74,210424
2010-09-13,28.88,29.1,28.78,28.86,484936
2010-09-14,28.84,29.31,28.78,29.13,324520
2010-09-15,28.98,29.62,28.78,29.5,445574
2010-09-16,29.45,29.66,29.27,29.53,258380
2010-09-17,29.62,30.08,29.55,29.96,556730
2010-09-20,30.0,30.5,29.84,30.43,368366
2010-09-21,30.32,30.44,29.6,29.64,563794
2010-09-22,29.54,30.0,29.26,29.68,296776
2010-09-23,29.44,30.1,29.38,29.88,445464
2010-09-24,30.25,30.52,29.91,30.28,331550
2010-09-27,30.25,30.29,29.82,30.15,472400
2010-09-28,30.16,30.46,29.92,30.38,184268
2010-09-29,30.36,30.5,30.18,30.46,252078
2010-09-30,30.52,31.2,30.52,30.86,823484
2010-10-01,31.03,31.25,30.7,31.14,548154
2010-10-04,31.03,31.25,30.78,30.94,368336
2010-10-05,31.14,31.58,31.04,31.42,339312
2010-10-06,31.42,31.58,31.0,31.12,443806
2010-10-07,31.23,31.27,30.88,30.98,547014
2010-10-08,30.89,31.26,30.76,30.93,397546
2010-10-11,30.9,31.12,30.84,30.92,162898
2010-10-12,30.8,30.89,30.46,30.76,237808
2010-10-13,30.99,31.24,30.78,31.07,301452
2010-10-14,31.06,31.5,30.98,31.06,406228
2010-10-15,31.2,31.32,30.86,31.14,308960
2010-10-18,31.09,31.87,31.09,31.86,332892
2010-10-19,31.43,31.7,31.1,31.2,697728
2010-10-20,31.25,31.45,31.17,31.25,450230
2010-10-21,31.25,31.53,31.08,31.23,613948
2010-10-22,31.4,31.74,31.0,31.57,596766
2010-10-25,31.5,31.52,30.75,30.78,837450
2010-10-26,30.57,31.02,30.5,30.5,678820
2010-10-27,30.35,30.54,30.05,30.17,547680
2010-10-28,30.38,30.5,30.08,30.24,245368
2010-10-29,30.06,30.24,29.92,29.98,383180
2010-11-01,30.08,30.32,29.82,30.1,530848
2010-11-02,30.24,30.5,30.02,30.02,440456
2010-11-03,30.02,30.54,30.02,30.44,327854
2010-11-04,30.8,31.45,30.63,30.88,706754
2010-11-05,30.79,30.92,30.5,30.9,430520
2010-11-08,30.69,31.34,30.68,31.34,474012
2010-11-09,31.4,31.55,31.3,31.47,615848
2010-11-10,31.34,32.18,31.27,32.18,626842
2010-11-11,31.85,32.17,31.8,31.98,361380
2010-11-12,31.75,31.94,31.46,31.55,414920
2010-11-15,31.62,32.08,31.43,31.8,309984
2010-11-16,31.6,31.66,31.32,31.6,643078
2010-11-17,31.58,31.92,31.3,31.74,580448
2010-11-18,32.11,32.58,32.03,32.24,255158
2010-11-19,32.25,32.42,32.06,32.28,230646
2010-11-22,32.06,32.28,31.75,32.12,352708
2010-11-23,31.95,32.58,31.75,32.48,581458
2010-11-24,32.62,32.98,32.4,32.92,381308
2010-11-26,32.63,32.78,32.36,32.46,174022
2010-11-29,32.2,32.27,31.7,32.14,512490
2010-11-30,31.92,32.3,31.9,32.1,424660
2010-12-01,32.44,33.0,32.37,32.82,392440
2010-12-02,32.52,33.25,32.52,33.12,289136
2010-12-03,32.84,33.46,32.84,33.37,356884
2010-12-06,33.38,33.46,32.98,33.12,330832
2010-12-07,33.44,33.7,33.36,33.52,373874
2010-12-08,33.5,34.08,33.35,33.58,464362
2010-12-09,33.8,33.94,33.59,33.7,213148
2010-12-10,33.72,34.9,33.72,34.87,583160
2010-12-13,34.87,35.36,34.7,35.05,491408
2010-12-14,35.01,35.84,35.01,35.53,496408
2010-12-15,35.52,36.2,35.52,35.74,627582
2010-12-16,35.52,35.66,35.33,35.5,603274
2010-12-17,35.62,35.96,35.36,35.92,705698
2010-12-20,35.89,36.12,35.75,35.84,294470
2010-12-21,35.88,35.92,35.5,35.59,259874
2010-12-22,35.5,35.94,35.5,35.67,257326
2010-12-23,35.64,35.84,35.5,35.51,128906
2010-12-27,35.36,35.96,35.32,35.73,390974
2010-12-28,35.62,35.75,35.47,35.61,327522
2010-12-29,35.62,35.78,35.23,35.23,302148
2010-12-30,35.14,35.47,34.94,35.1,264082
2010-12-31,35.08,35.12,34.56,34.61,356142
2011-01-03,34.92,35.54,34.82,34.88,926838
2011-01-04,34.82,34.96,34.24,34.44,487140
2011-01-05,34.14,34.92,33.65,34.55,668480
2011-01-06,34.52,34.76,34.4,34.5,286932
2011-01-07,34.62,34.63,33.98,34.24,267064
2011-01-10,34.01,34.46,33.74,34.25,657948
2011-01-11,34.24,34.51,33.96,34.47,797218
2011-01-12,34.45,34.74,34.45,34.68,498728
2011-01-13,34.57,34.72,34.17,34.25,747510
2011-01-14,34.24,34.78,34.16,34.66,528828
2011-01-18,34.58,35.3,34.55,35.28,1003128
2011-01-19,35.12,35.6,35.0,35.06,1092252
2011-01-20,35.0,35.22,34.95,35.02,724326
2011-01-21,35.16,35.25,35.0,35.1,455254
2011-01-24,35.1,35.88,35.1,35.65,573458
2011-01-25,35.5,36.04,35.28,36.03,402558
2011-01-26,36.18,36.9,36.17,36.54,918460
2011-01-27,36.6,36.7,36.4,36.55,632886
2011-01-28,36.7,37.0,35.27,35.43,1208648
2011-01-31,35.34,36.0,35.29,35.85,506424
2011-02-01,36.03,36.4,35.14,36.27,453384
2011-02-02,36.12,36.54,35.96,36.31,324600
2011-02-03,36.24,37.05,36.24,36.92,424880
2011-02-04,37.0,37.34,36.66,37.21,325624
2011-02-07,37.26,37.77,37.02,37.54,358724
2011-02-08,37.62,37.84,37.46,37.5,340842
2011-02-09,37.48,37.73,37.34,37.52,570674
2011-02-10,37.38,37.88,37.24,37.78,498270
2011-02-11,37.6,38.36,37.34,38.36,228072
2011-02-14,38.1,38.8,38.1,38.8,379820
2011-02-15,38.62,39.42,38.62,39.08,474322
2011-02-16,39.22,39.42,38.91,39.06,395824
2011-02-17,38.9,39.12,38.74,38.94,658114
2011-02-18,38.98,39.66,38.91,39.66,760384
2011-02-22,39.48,39.57,38.72,38.75,635938
2011-02-23,38.76,38.82,37.62,38.12,619560
2011-02-24,38.1,38.34,37.69,37.87,575396
2011-02-25,37.98,38.82,36.77,38.82,583986
2011-02-28,39.01,39.39,38.79,38.85,581866
2011-03-01,39.0,39.45,38.63,38.82,480762
2011-03-02,38.86,39.4,38.66,39.28,430934
