Date,Open,High,Low,Close,Volume
2010-01-04,31.12,31.23,30.42,30.55,1793692
2010-01-05,30.37,30.5,29.76,30.35,3039614
2010-01-06,30.24,32.43,30.24,32.22,4065664
2010-01-07,32.24,33.21,32.0,32.77,9060352
2010-01-08,32.6,33.28,32.08,33.15,2681535
2010-01-11,33.3,34.03,33.05,33.82,2214938
2010-01-12,33.73,39.24,33.09,39.17,16031967
2010-01-13,39.66,40.9,38.79,40.51,12339424
2010-01-14,40.15,40.33,38.44,39.03,3641426
2010-01-15,39.3,39.93,38.49,39.02,2911159
2010-01-19,38.93,39.26,37.23,38.09,3804814
2010-01-20,37.93,38.25,37.03,37.69,3315872
2010-01-21,37.77,38.38,37.49,37.54,3133374
2010-01-22,37.41,38.17,36.4,36.5,2562552
2010-01-25,36.72,37.0,36.25,36.45,1558931
2010-01-26,36.13,36.84,35.7,36.28,1793326
2010-01-27,36.01,37.09,35.84,37.04,2426872
2010-01-28,37.25,38.33,35.91,36.3,2481177
2010-01-29,36.33,37.57,36.33,36.69,1943170
2010-02-01,36.7,37.53,36.54,37.24,1653014
2010-02-02,37.12,37.92,36.75,37.83,1057396
2010-02-03,37.81,38.33,37.13,37.85,2749762
2010-02-04,37.42,37.49,36.39,36.62,2199935
2010-02-05,35.18,36.81,34.25,35.48,4533614
2010-02-08,35.53,36.05,35.0,35.67,1207919
2010-02-09,35.5,36.0,35.34,35.83,1638909
2010-02-10,35.3,35.81,34.94,35.59,1102664
2010-02-11,35.6,37.0,35.5,36.63,1394585
2010-02-12,36.45,37.03,36.25,37.01,1325139
2010-02-16,37.02,37.21,36.41,37.18,1116166
2010-02-17,36.95,37.29,36.6,36.73,1199706
2010-02-18,36.84,37.07,36.42,36.64,1280925
2010-02-19,36.69,36.83,36.38,36.6,1106406
2010-02-22,36.53,36.75,36.06,36.37,1158218
2010-02-23,36.37,36.45,35.95,36.01,871605
2010-02-24,36.21,36.47,35.96,36.14,921052
2010-02-25,36.04,36.5,35.4,36.47,2246158
2010-02-26,35.82,36.46,35.81,36.32,1088956
2010-03-01,36.59,37.99,36.31,37.99,2570149
2010-03-02,37.84,38.42,37.59,38.02,1356462
2010-03-03,38.21,38.99,38.1,38.88,1579856
2010-03-04,38.9,38.92,38.14,38.27,655965
2010-03-05,38.29,39.0,38.16,38.82,1050865
2010-03-08,38.68,38.95,38.26,38.67,1042795
2010-03-09,38.69,39.42,38.26,39.0,1167325
2010-03-10,38.89,39.44,38.69,39.44,1213047
2010-03-11,39.42,40.41,38.99,40.3,3483463
2010-03-12,40.36,40.72,39.94,40.51,1153000
2010-03-15,40.53,40.6,39.68,39.98,982603
2010-03-16,40.0,40.34,39.75,40.15,1629669
2010-03-17,39.85,40.43,39.71,39.85,800444
2010-03-18,39.74,40.0,39.46,39.65,647540
2010-03-19,39.75,40.12,39.63,39.85,1077259
2010-03-22,39.84,40.43,39.8,40.19,934937
2010-03-23,40.14,40.2,39.47,40.02,878892
2010-03-24,40.0,40.12,39.21,39.3,1345287
2010-03-25,39.37,39.46,38.63,39.02,1015950
2010-03-26,39.0,39.42,38.29,39.17,649331
2010-03-29,39.11,39.48,38.93,39.2,760056
2010-03-30,39.09,39.32,38.71,39.17,746810
2010-03-31,39.08,39.22,38.81,38.9,748878
2010-04-05,39.3,39.52,39.07,39.26,686831
2010-04-06,39.01,39.33,38.97,39.2,672195
2010-04-07,39.03,39.11,38.75,38.94,877531
2010-04-08,38.77,38.8,37.95,38.25,1388813
2010-04-09,38.14,38.54,38.0,38.51,835284
2010-04-12,38.54,38.72,37.95,38.11,809598
2010-04-13,38.0,38.22,37.5,38.22,1558874
2010-04-14,38.31,38.79,38.25,38.57,1965219
2010-04-15,38.51,38.64,38.22,38.49,622913
2010-04-16,38.3,38.67,38.08,38.38,1009295
2010-04-19,38.21,38.46,37.06,37.35,1730242
2010-04-20,37.52,37.67,37.03,37.49,2478469
2010-04-21,37.37,37.47,37.02,37.17,1490410
2010-04-22,37.04,37.52,36.7,37.23,2436732
2010-04-23,37.01,37.29,36.73,37.12,998444
2010-04-26,37.11,37.15,36.75,36.91,2006111
2010-04-27,36.98,38.11,36.85,36.93,1213886
2010-04-28,37.0,38.46,36.87,37.64,3169734
2010-04-29,41.0,43.11,40.87,42.52,8166817
2010-04-30,42.82,43.11,41.54,41.83,2507888
2010-05-03,40.92,41.97,40.85,41.79,1642744
2010-05-04,41.0,41.8,40.56,41.54,1836880
2010-05-05,41.52,42.51,41.12,42.02,1899229
2010-05-06,41.58,41.74,39.54,40.71,2104763
2010-05-07,40.44,40.81,39.23,39.92,2447889
2010-05-10,41.56,42.39,41.03,41.89,1721806
2010-05-11,41.16,42.48,41.02,42.16,1172898
2010-05-12,42.2,42.94,42.02,42.82,1299788
2010-05-13,42.61,42.81,42.17,42.17,1038037
2010-05-14,41.92,41.99,41.1,41.94,1288388
2010-05-17,42.0,42.15,40.66,41.49,591611
2010-05-18,41.67,42.03,41.11,41.34,1190488
2010-05-19,41.31,41.42,40.4,40.58,863575
2010-05-20,39.7,40.52,39.25,39.47,1325152
2010-05-21,39.03,39.8,38.9,39.3,1746781
2010-05-24,39.2,39.39,38.84,39.03,2300222
2010-05-25,38.35,39.94,38.09,39.63,3467096
2010-05-26,39.93,41.07,39.36,40.51,2873454
2010-05-27,41.01,42.26,41.01,42.25,1311685
2010-05-28,42.25,42.71,41.75,42.04,1061042
2010-06-01,42.0,42.45,41.44,41.49,954528
2010-06-02,41.62,43.0,41.32,42.93,1443056
2010-06-03,42.83,43.6,42.62,43.41,1012139
2010-06-04,41.64,43.04,41.24,41.6,1217036
2010-06-07,42.02,43.6,42.01,42.45,1279509
2010-06-08,42.31,42.39,41.08,42.14,2207986
2010-06-09,42.56,44.47,42.5,42.67,2490093
2010-06-10,43.18,44.31,43.01,43.94,1307222
2010-06-11,43.7,45.04,43.61,44.99,1875223
2010-06-14,45.09,45.6,44.38,44.45,1147872
2010-06-15,44.64,45.0,44.26,44.8,1167070
2010-06-16,44.48,45.16,44.48,45.01,1551042
2010-06-17,44.96,45.32,44.43,44.84,786478
2010-06-18,44.63,44.94,44.22,44.51,995935
2010-06-21,44.9,45.26,44.44,44.58,675878
2010-06-22,44.54,44.99,43.86,43.91,852529
2010-06-23,44.19,44.8,43.6,43.74,1233933
2010-06-24,43.62,44.35,43.54,43.62,770392
2010-06-25,43.66,44.98,43.39,44.62,998964
2010-06-28,44.75,45.72,44.14,45.06,1035895
2010-06-29,44.69,44.69,43.31,43.37,1613373
2010-06-30,43.4,44.6,42.86,43.53,1723205
2010-07-01,44.1,44.1,41.42,42.81,2294128
2010-07-02,42.82,43.4,42.37,43.09,896583
2010-07-06,43.39,43.78,42.16,42.47,838851
2010-07-07,41.6,43.85,41.37,43.82,1885952
2010-07-08,43.84,44.74,43.65,44.44,942198
2010-07-09,44.27,44.85,44.12,44.72,764504
2010-07-12,44.43,44.63,43.26,43.6,874832
2010-07-13,43.9,45.08,43.78,44.65,692390
2010-07-14,44.53,44.76,43.64,44.25,1136469
2010-07-15,44.09,45.62,43.8,44.82,1372043
2010-07-16,44.98,44.98,43.16,43.63,1061130
2010-07-19,43.85,44.4,43.39,43.89,594898
2010-07-20,42.5,43.52,42.5,43.35,1072512
2010-07-21,43.39,43.39,42.24,42.51,564955
2010-07-22,42.8,43.72,42.6,43.04,737667
2010-07-23,42.49,42.79,41.81,42.5,1363515
2010-07-26,42.5,43.97,42.36,42.75,1289660
2010-07-27,42.86,43.05,41.16,41.26,2157134
2010-07-28,44.48,45.49,43.11,44.05,4523751
2010-07-29,44.21,44.55,42.95,44.05,1799181
2010-07-30,43.43,44.92,43.22,44.83,1133182
2010-08-02,45.0,46.1,44.83,45.4,945540
2010-08-03,45.07,45.28,44.15,44.92,648497
2010-08-04,43.89,46.06,43.89,46.04,971027
2010-08-05,45.67,46.68,45.67,46.51,1014868
2010-08-06,46.4,47.28,46.26,47.21,1358237
2010-08-09,47.2,47.44,46.6,47.22,726341
2010-08-10,46.92,47.25,46.1,46.41,805018
2010-08-11,45.73,46.07,44.97,45.93,1071444
2010-08-12,45.23,46.1,45.22,45.43,875201
2010-08-13,45.45,46.4,45.42,45.76,982051
2010-08-16,45.76,45.91,45.15,45.43,787283
2010-08-17,45.57,46.28,45.38,45.84,526628
2010-08-18,45.58,46.4,44.76,46.0,701406
2010-08-19,46.08,46.08,44.4,44.9,985578
2010-08-20,44.96,45.36,44.35,45.0,610453
2010-08-23,45.1,45.74,44.51,44.71,570547
2010-08-24,44.4,44.5,43.48,43.51,1032791
2010-08-25,43.52,44.0,42.74,43.9,1494999
2010-08-26,43.95,44.17,43.43,43.51,922724
2010-08-27,43.59,44.18,42.92,44.03,1007277
2010-08-30,43.81,44.2,43.37,43.37,573192
2010-08-31,43.03,43.76,42.6,42.89,1762568
2010-09-01,43.2,44.25,42.9,43.89,812507
2010-09-02,43.77,44.76,43.64,44.76,750197
2010-09-03,44.8,45.0,44.47,44.61,463547
2010-09-07,44.61,44.67,44.24,44.58,447063
2010-09-08,44.71,45.35,44.7,45.0,919218
2010-09-09,45.21,45.24,44.7,45.01,894556
2010-09-10,45.19,45.22,43.88,45.04,1655149
2010-09-13,45.08,45.19,44.29,44.54,762300
2010-09-14,44.28,46.35,44.2,46.02,1141918
2010-09-15,45.4,46.99,45.4,46.98,849270
2010-09-16,46.52,49.18,46.13,48.95,2923002
2010-09-17,49.0,49.41,48.1,48.3,1434590
2010-09-20,48.92,49.4,47.72,49.23,851421
2010-09-21,49.07,49.93,48.9,49.65,1746453
2010-09-22,49.79,50.54,49.29,49.41,1542665
2010-09-23,49.26,50.93,48.88,49.59,990439
2010-09-24,50.15,50.22,49.52,50.17,984432
2010-09-27,50.01,50.17,49.5,49.52,673542
2010-09-28,49.38,50.54,48.66,49.95,691914
2010-09-29,49.93,50.51,49.54,50.0,1049866
2010-09-30,50.03,50.64,48.93,49.2,1324920
2010-10-01,49.43,49.59,48.85,49.09,897303
2010-10-04,49.04,50.06,49.0,49.77,1007922
2010-10-05,50.43,51.99,50.43,51.16,2246714
2010-10-06,50.99,51.33,50.52,50.78,875612
2010-10-07,50.79,50.98,49.15,49.39,1593966
2010-10-08,49.5,49.76,48.91,49.13,858065
2010-10-11,48.99,49.4,48.8,48.88,959919
2010-10-12,48.62,49.82,48.1,49.76,1189548
2010-10-13,50.0,50.0,49.44,49.49,845546
2010-10-14,49.74,50.0,48.12,48.54,1579380
2010-10-15,48.98,49.19,47.7,48.74,1497914
