Date,Open,High,Low,Close,Volume
2010-01-04,27.19,27.45,27.04,27.18,3979107
2010-01-05,27.17,28.45,27.01,28.14,5177002
2010-01-06,27.65,28.61,27.63,27.82,5783820
2010-01-07,27.67,27.7,26.67,26.76,6977000
2010-01-08,26.76,27.03,26.23,26.93,4530943
2010-01-11,27.24,27.24,26.36,26.61,4401581
2010-01-12,26.28,27.52,26.28,26.68,8009807
2010-01-13,26.75,27.02,26.38,26.62,3667350
2010-01-14,26.58,26.6,26.09,26.23,3255990
2010-01-15,26.19,26.56,25.7,26.08,4845235
2010-01-19,26.12,26.99,25.92,26.96,4563127
2010-01-20,26.62,26.79,25.95,26.28,3559393
2010-01-21,26.39,26.48,24.44,24.45,7530320
2010-01-22,24.54,25.02,23.8,24.43,8590803
2010-01-25,25.08,25.42,24.45,24.5,4890483
2010-01-26,24.24,24.9,24.2,24.47,4368318
2010-01-27,24.34,24.35,23.13,23.88,7613296
2010-01-28,24.03,24.03,22.63,23.07,6749912
2010-01-29,23.27,23.53,22.82,22.91,4221643
2010-02-01,23.24,23.93,23.0,23.9,5554268
2010-02-02,23.94,24.32,23.65,24.02,6413000
2010-02-03,22.69,23.24,22.12,22.67,15262303
2010-02-04,22.77,22.77,21.85,22.15,9766716
2010-02-05,22.15,22.73,21.66,22.67,11822449
2010-02-08,22.6,23.05,22.12,22.51,7465912
2010-02-09,22.86,23.3,22.5,22.92,6754421
2010-02-10,22.91,23.01,22.05,22.41,5966860
2010-02-11,22.28,22.66,22.17,22.37,6867085
2010-02-12,22.19,22.6,21.68,22.57,6650368
2010-02-16,22.77,24.15,22.77,24.1,10236218
2010-02-17,24.05,24.47,23.55,23.71,5980727
2010-02-18,23.56,24.45,23.51,24.23,4738276
2010-02-19,24.03,24.59,23.85,24.25,4558716
2010-02-22,24.26,24.44,23.32,23.99,5380901
2010-02-23,24.02,24.88,23.87,24.01,7005943
2010-02-24,24.01,24.31,23.77,23.9,3995477
2010-02-25,23.69,24.03,23.29,23.89,5215795
2010-02-26,23.89,23.97,23.12,23.17,6694407
2010-03-01,23.4,24.21,23.3,24.18,5952522
2010-03-02,24.38,25.16,23.51,25.03,8625253
2010-03-03,25.11,25.6,24.91,25.2,6232236
2010-03-04,25.33,25.5,24.58,24.98,4402201
2010-03-05,25.19,25.52,25.07,25.35,6017601
2010-03-08,25.35,25.42,24.96,25.25,4413143
2010-03-09,25.15,25.44,24.92,25.09,5830190
2010-03-10,25.07,25.51,24.88,25.11,4836946
2010-03-11,25.0,25.22,24.79,25.2,5900929
2010-03-12,25.45,25.71,25.25,25.34,6144918
2010-03-15,25.22,25.29,24.74,24.91,4808712
2010-03-16,25.11,25.5,25.03,25.38,7948615
2010-03-17,25.48,27.29,25.48,27.02,15638101
2010-03-18,26.86,26.99,26.14,26.42,6987563
2010-03-19,26.7,26.73,25.74,25.82,6889344
2010-03-22,25.81,26.16,25.55,26.05,8061558
2010-03-23,26.05,26.2,25.8,26.16,8900323
2010-03-24,26.1,26.47,25.82,26.21,9167534
2010-03-25,26.5,26.58,25.21,25.21,7859280
2010-03-26,25.38,25.62,24.95,24.99,9100562
2010-03-29,25.24,25.48,25.06,25.15,6509050
2010-03-30,25.24,25.52,24.9,25.26,4211227
2010-03-31,25.11,25.12,24.53,24.61,5603092
2010-04-01,24.83,25.29,24.83,25.24,6252825
2010-04-05,25.37,25.57,25.2,25.5,5888784
2010-04-06,25.32,25.93,25.2,25.91,7871601
2010-04-07,26.05,27.33,26.05,27.01,14237432
2010-04-08,26.8,27.49,26.48,27.42,7859450
2010-04-09,27.42,27.7,27.04,27.47,5240722
2010-04-12,27.62,27.62,26.94,27.14,6067166
2010-04-13,27.07,27.31,26.86,27.23,5852125
2010-04-14,27.43,28.15,27.43,28.1,5391598
2010-04-15,27.93,28.47,27.82,28.1,5679172
2010-04-16,27.94,28.58,27.45,27.85,8331114
2010-04-19,27.65,27.83,26.91,27.44,5860999
2010-04-20,27.71,28.06,27.23,27.42,7414341
2010-04-21,27.47,28.43,27.47,28.17,7680819
2010-04-22,27.84,28.42,27.57,28.37,4167493
2010-04-23,28.41,28.8,28.16,28.63,4585076
2010-04-26,28.67,29.25,28.12,28.41,5895350
2010-04-27,28.31,28.31,26.9,27.05,6458966
2010-04-28,27.17,27.66,26.86,27.18,5965685
2010-04-29,27.99,29.14,27.78,28.0,8545210
2010-04-30,28.27,28.45,26.73,26.74,7447485
2010-05-03,26.95,27.13,25.99,26.64,9033172
2010-05-04,26.19,26.19,24.81,25.01,11181034
2010-05-05,24.6,25.45,24.3,24.76,7952309
2010-05-06,24.55,25.16,20.5,23.34,15296889
2010-05-07,23.1,23.8,21.53,23.16,15103781
2010-05-10,25.01,25.45,24.22,24.79,8014407
2010-05-11,24.49,24.88,24.11,24.29,5764329
2010-05-12,24.47,24.96,24.33,24.93,6070814
2010-05-13,24.72,24.92,24.22,24.31,5679846
2010-05-14,23.96,24.04,23.46,23.78,8891089
2010-05-17,23.92,24.37,23.03,23.6,9227234
2010-05-18,23.97,24.33,22.87,22.93,6303274
2010-05-19,22.66,22.84,21.72,22.52,10137392
2010-05-20,21.68,22.3,21.23,21.76,13972932
2010-05-21,21.18,22.72,21.09,22.28,10002644
2010-05-24,22.13,22.53,21.74,21.75,6264344
2010-05-25,20.94,22.26,20.77,22.23,9357756
2010-05-26,22.58,23.25,22.06,22.34,7416141
2010-05-27,23.04,23.77,22.74,23.76,7515494
2010-05-28,23.7,23.83,23.0,23.23,5955307
2010-06-01,22.82,23.35,22.23,22.24,5560382
2010-06-02,22.34,22.99,22.25,22.97,5731006
2010-06-03,23.09,23.68,22.84,23.39,7189435
2010-06-04,22.74,23.12,21.86,21.93,7961036
2010-06-07,22.01,22.06,21.05,21.08,10441235
2010-06-08,21.17,21.72,21.04,21.64,8778548
2010-06-09,21.9,22.69,21.75,21.87,7333041
2010-06-10,22.34,23.03,22.34,23.02,5832689
2010-06-11,23.29,24.37,23.02,24.3,9241806
2010-06-14,24.71,25.7,24.67,25.05,12753621
2010-06-15,25.4,26.23,25.08,26.2,9696019
2010-06-16,25.83,26.04,25.48,25.66,6393745
2010-06-17,25.8,25.85,25.06,25.52,6441438
