Date,Open,High,Low,Close,Volume
2010-01-04,36.0,36.45,35.9,36.25,2368302
2010-01-05,36.1,36.26,35.64,35.89,2014924
2010-01-06,35.89,35.98,35.39,35.63,2615208
2010-01-07,35.65,36.5,35.43,35.99,3166297
2010-01-08,35.83,36.68,35.66,36.61,2461050
2010-01-11,36.87,37.86,36.74,37.51,3391531
2010-01-12,37.12,37.23,36.44,36.72,2503720
2010-01-13,36.78,36.85,36.42,36.68,2315700
2010-01-14,36.6,37.03,36.52,36.99,1556701
2010-01-15,37.02,37.26,36.73,37.06,2685495
2010-01-19,36.98,37.82,36.91,37.49,4934550
2010-01-20,37.21,37.28,36.45,37.24,4012456
2010-01-21,37.39,37.44,36.56,36.67,4220177
2010-01-22,36.59,36.78,35.23,35.24,3253873
2010-01-25,35.53,35.79,35.0,35.01,3013609
2010-01-26,34.88,35.1,34.18,34.76,3816022
2010-01-27,34.48,34.5,33.19,33.88,5856555
2010-01-28,33.91,34.0,32.76,33.29,3643904
2010-01-29,33.4,33.62,32.44,32.46,4099097
2010-02-01,33.06,33.36,32.63,33.03,4567420
2010-02-02,33.31,34.79,33.15,34.49,5106682
2010-02-03,34.24,34.85,34.13,34.54,2140630
2010-02-04,34.28,34.28,33.01,33.06,2967645
2010-02-05,32.98,33.09,31.92,32.91,5237554
2010-02-08,32.82,33.5,32.31,32.88,2251817
2010-02-09,34.01,34.91,33.47,33.56,4430457
2010-02-10,33.54,33.98,33.19,33.39,3754570
2010-02-11,33.38,34.07,33.08,33.98,4163101
2010-02-12,30.98,31.64,30.12,31.26,17390499
2010-02-16,31.44,31.99,31.19,31.88,3767677
2010-02-17,31.94,32.8,31.67,32.53,4253986
2010-02-18,32.5,33.4,32.3,33.24,3459248
2010-02-19,33.1,33.58,32.9,33.36,2511928
2010-02-22,33.43,33.6,33.21,33.27,2803208
2010-02-23,33.02,33.26,32.28,32.51,4823953
2010-02-24,32.57,32.67,31.95,32.4,4408575
2010-02-25,31.96,32.11,31.47,31.99,5237329
2010-02-26,31.99,32.05,31.59,31.91,3647531
2010-03-01,31.94,32.83,31.92,32.69,4473039
2010-03-02,32.95,32.98,32.63,32.83,5589951
2010-03-03,33.0,34.05,32.98,33.65,4963913
2010-03-04,33.95,34.02,33.01,33.18,5841809
2010-03-05,33.51,34.12,33.46,33.94,3301688
2010-03-08,33.93,34.15,33.63,34.03,2354183
2010-03-09,33.72,34.34,33.69,33.84,2710430
2010-03-10,33.85,34.06,33.55,33.89,2273779
2010-03-11,33.77,34.76,33.59,34.72,4943657
2010-03-12,34.67,35.0,34.5,34.81,5553327
2010-03-15,34.54,35.08,34.4,34.94,3046746
2010-03-16,35.15,35.9,35.0,35.7,3934025
2010-03-17,35.71,35.87,35.07,35.19,4170586
2010-03-18,35.27,35.45,34.89,35.33,2770338
2010-03-19,35.47,35.63,34.52,34.87,4122271
2010-03-22,34.53,35.66,34.41,35.61,3096558
2010-03-23,35.52,36.21,35.52,36.15,2823796
2010-03-24,35.95,36.07,34.81,34.9,4126772
2010-03-25,35.16,35.63,34.52,34.52,4101762
2010-03-26,34.54,34.92,34.36,34.64,3496515
2010-03-29,34.82,35.1,34.61,34.65,1876387
2010-03-30,34.82,35.6,34.7,34.88,3184984
2010-03-31,34.74,35.11,34.63,34.87,2323113
2010-04-01,35.2,35.98,35.18,35.55,2290368
2010-04-05,35.65,36.4,35.65,36.3,2621871
2010-04-06,36.01,36.58,35.96,36.44,3185136
2010-04-07,36.21,36.82,36.11,36.66,5057243
2010-04-08,36.24,36.91,36.06,36.81,4419626
2010-04-09,36.95,37.37,36.67,37.33,3952532
2010-04-12,37.9,37.95,37.24,37.45,5140454
2010-04-13,37.44,37.44,36.78,37.0,3894639
2010-04-14,37.29,37.43,37.01,37.35,3129407
2010-04-15,37.26,38.07,37.09,37.82,4833176
2010-04-16,37.76,37.98,36.99,37.16,3730662
2010-04-19,36.92,37.29,36.6,37.26,2997337
2010-04-20,37.61,38.3,37.61,38.05,5396811
2010-04-21,38.09,38.26,37.9,38.24,5233584
2010-04-22,38.04,39.41,37.51,39.0,5366596
2010-04-23,36.8,37.23,35.7,37.1,15621896
2010-04-26,37.33,38.42,37.07,37.84,5273015
2010-04-27,37.79,37.99,36.5,36.69,4457142
2010-04-28,36.96,37.19,36.37,36.55,4428433
2010-04-29,36.94,37.38,36.79,37.26,3883287
2010-04-30,37.22,38.0,36.74,36.98,3523501
2010-05-03,37.16,38.1,37.14,38.05,2978017
2010-05-04,37.38,37.41,36.39,36.61,3914252
2010-05-05,36.11,37.88,35.76,37.35,8401304
2010-05-06,36.93,37.71,33.96,36.2,10693437
2010-05-07,35.98,37.11,34.89,35.24,8741170
2010-05-10,37.02,38.11,36.4,37.61,6222811
2010-05-11,37.04,38.42,36.97,38.11,4681717
2010-05-12,38.55,39.63,38.48,39.61,6743245
2010-05-13,39.3,40.6,39.08,40.01,5472665
2010-05-14,39.66,39.66,38.37,38.75,3783762
2010-05-17,38.91,39.0,37.81,38.74,4914502
2010-05-18,38.07,38.98,37.85,38.01,5190724
2010-05-19,37.84,38.23,36.65,37.05,5148026
2010-05-20,36.2,36.38,35.13,35.5,4605131
2010-05-21,34.89,36.04,34.69,35.88,4628359
2010-05-24,35.7,36.39,35.56,35.7,3711748
