Date,Open,High,Low,Close,Volume
2010-01-04,48.59,48.94,48.06,48.57,2728060
2010-01-05,48.44,48.58,48.08,48.44,2247681
2010-01-06,48.49,48.49,48.03,48.33,2575110
2010-01-07,48.14,48.69,48.14,48.64,2593072
2010-01-08,48.52,49.15,48.46,49.1,3119444
2010-01-11,49.41,50.15,49.1,49.95,2944271
2010-01-12,49.06,49.69,48.44,48.69,3908692
2010-01-13,48.7,48.88,48.22,48.66,2433606
2010-01-14,48.48,48.6,48.23,48.51,1803483
2010-01-15,48.61,48.61,47.79,47.88,3264193
2010-01-19,47.93,48.67,47.81,48.66,3319044
2010-01-20,48.15,48.35,47.78,48.25,2660605
2010-01-21,48.05,48.21,45.85,45.9,5861976
2010-01-22,45.73,46.25,45.29,45.35,3519350
2010-01-25,45.75,46.02,45.24,45.43,2080287
2010-01-26,45.23,45.74,44.85,45.19,3237608
2010-01-27,42.85,44.56,42.39,43.99,7651282
2010-01-28,44.66,44.89,43.81,43.93,4071786
2010-01-29,44.14,44.69,43.5,43.59,3473363
2010-02-01,43.92,44.28,43.49,43.7,3298210
2010-02-02,43.8,44.15,43.64,44.02,5056070
2010-02-03,43.75,44.07,43.5,43.74,3233109
2010-02-04,43.4,43.42,42.46,42.53,4016930
2010-02-05,42.6,42.7,41.94,42.66,4144120
2010-02-08,42.71,43.03,42.24,42.25,2383323
2010-02-09,42.71,43.92,42.61,43.29,3267071
2010-02-10,43.24,43.35,42.64,42.99,2125912
2010-02-11,43.25,43.99,42.68,43.9,3633559
2010-02-12,43.38,43.81,42.92,43.64,3109326
2010-02-16,43.97,44.78,43.77,44.69,2493838
2010-02-17,44.95,45.55,44.73,45.45,3814921
2010-02-18,45.46,46.73,45.46,46.57,4462489
2010-02-19,46.34,47.11,46.28,46.76,3001707
2010-02-22,46.97,47.0,46.35,46.46,2000833
2010-02-23,46.27,46.53,45.4,45.61,3139088
2010-02-24,45.87,45.92,45.18,45.43,3925163
2010-02-25,44.97,45.3,44.3,45.22,2772433
2010-02-26,45.24,45.71,45.08,45.52,2254548
2010-03-01,45.75,46.26,45.73,46.09,2135692
2010-03-02,46.37,46.49,45.96,46.04,2505605
2010-03-03,46.1,46.92,46.1,46.2,2526363
2010-03-04,46.45,46.75,46.18,46.48,2374183
2010-03-05,46.79,47.52,46.71,47.27,2518179
2010-03-08,47.4,47.5,46.65,46.66,2355199
2010-03-09,46.65,46.84,46.4,46.64,2394801
2010-03-10,46.71,47.09,46.48,46.74,2024157
2010-03-11,46.62,46.75,45.9,46.66,3519716
2010-03-12,46.84,46.98,46.0,46.65,4984873
2010-03-15,46.54,46.6,45.23,45.47,4762893
2010-03-16,45.55,46.17,45.48,45.8,4462760
2010-03-17,46.0,46.74,45.91,46.28,4342835
2010-03-18,46.27,47.39,46.19,47.19,3877401
2010-03-19,47.59,48.41,46.6,46.77,4643906
2010-03-22,46.39,47.16,46.31,46.94,2658051
2010-03-23,47.09,47.6,46.68,47.54,2294106
2010-03-24,47.25,47.44,46.78,46.9,2749082
2010-03-25,47.18,47.49,46.74,46.79,2781067
2010-03-26,46.91,47.42,46.81,47.23,3179992
2010-03-29,47.34,47.48,47.02,47.21,3240830
2010-03-30,47.35,47.72,47.17,47.43,2507947
2010-03-31,47.41,47.74,47.02,47.36,2468907
2010-04-01,47.53,48.0,47.14,47.68,3976929
2010-04-05,47.74,48.0,47.45,47.88,3175246
2010-04-06,47.71,47.78,47.38,47.7,2258621
2010-04-07,47.59,47.67,47.0,47.24,3455222
2010-04-08,47.15,47.27,46.61,47.21,2141830
2010-04-09,47.22,47.76,47.18,47.73,2250340
2010-04-12,47.74,47.97,47.36,47.96,3005827
2010-04-13,47.78,48.08,47.5,47.9,3115199
2010-04-14,48.08,48.43,47.78,48.36,4904571
2010-04-15,48.91,49.69,48.66,49.55,7125412
2010-04-16,49.38,49.58,48.53,49.01,4784002
2010-04-19,49.01,49.6,48.36,48.81,4919262
2010-04-20,50.22,51.28,50.21,50.71,9909086
2010-04-21,50.84,51.17,50.26,51.05,5143266
2010-04-22,50.68,52.48,50.32,52.35,6796678
2010-04-23,52.05,52.49,50.84,52.43,5254564
2010-04-26,52.11,52.72,52.11,52.5,3967343
2010-04-27,52.27,52.27,50.87,50.98,5002041
2010-04-28,51.21,51.4,50.6,51.22,4294615
2010-04-29,51.67,52.3,51.44,52.28,2540656
2010-04-30,52.38,52.57,51.05,51.1,3760196
2010-05-03,51.43,52.1,51.1,52.0,2283537
2010-05-04,51.31,51.36,50.1,50.37,2679312
2010-05-05,49.96,50.29,49.56,49.77,2915902
2010-05-06,49.53,50.45,45.45,48.24,5478846
2010-05-07,48.12,48.63,46.93,47.71,5777419
2010-05-10,49.88,50.48,49.55,50.24,4217545
2010-05-11,49.66,50.9,49.6,50.12,4329293
2010-05-12,50.44,51.55,50.44,51.49,3762514
2010-05-13,51.45,51.47,50.36,50.49,3335746
2010-05-14,49.98,50.18,48.86,49.36,3711187
2010-05-17,49.48,50.13,48.76,49.72,3664744
2010-05-18,50.2,50.68,48.69,48.8,3535720
2010-05-19,48.5,48.72,47.02,47.5,4711374
2010-05-20,46.55,46.58,45.11,45.12,4813684
2010-05-21,44.26,45.87,44.08,45.54,5858144
2010-05-24,45.27,46.0,45.15,45.26,3684325
2010-05-25,44.02,45.21,43.34,45.11,3352443
2010-05-26,45.49,46.23,45.11,45.16,3633466
2010-05-27,46.16,46.96,46.0,46.93,3356179
2010-05-28,46.89,47.05,46.08,46.43,3354853
2010-06-01,46.09,46.73,45.08,45.16,4046159
2010-06-02,45.31,46.46,45.05,46.43,2821975
2010-06-03,46.82,47.04,46.43,46.76,2815179
2010-06-04,45.83,45.89,44.06,44.24,4178684
2010-06-07,44.33,44.49,43.27,43.28,3102619
2010-06-08,43.36,43.86,42.87,43.4,4614188
2010-06-09,43.74,44.8,43.52,43.68,3691738
2010-06-10,43.71,45.25,43.71,45.0,3753233
2010-06-11,44.87,45.61,44.42,45.55,2753743
2010-06-14,45.81,46.49,45.58,45.65,4114907
2010-06-15,46.18,46.84,45.86,46.78,3493484
2010-06-16,46.55,47.07,46.21,46.43,3989483
2010-06-17,46.5,46.53,45.45,46.01,3552528
2010-06-18,46.09,46.22,45.03,45.26,5657408
2010-06-21,45.89,46.82,45.78,46.14,4644830
2010-06-22,46.27,46.4,44.46,44.55,3541114
2010-06-23,44.58,44.77,43.7,44.09,3987103
2010-06-24,43.79,44.2,43.27,43.36,3400068
2010-06-25,43.55,44.29,43.46,44.16,9673294
2010-06-28,43.97,43.99,43.17,43.19,3307750
2010-06-29,42.48,42.53,41.05,41.37,7172189
2010-06-30,41.28,42.25,41.11,41.28,4542437
2010-07-01,41.21,41.72,40.73,41.57,5912938
2010-07-02,41.7,41.96,40.96,41.13,4395373
2010-07-06,41.62,42.0,40.79,41.21,3337130
2010-07-07,41.21,42.51,41.13,42.49,3431565
2010-07-08,42.78,43.17,42.53,43.04,3688459
2010-07-09,43.08,43.41,42.92,43.33,2491630
2010-07-12,43.28,43.37,42.69,42.86,2795717
2010-07-13,44.21,44.58,43.78,44.18,5383169
2010-07-14,43.94,44.48,43.62,44.15,4071881
2010-07-15,44.04,44.05,43.18,43.97,3489745
2010-07-16,43.58,43.81,42.6,42.7,3130130
2010-07-19,42.85,43.08,42.28,42.85,3712392
2010-07-20,42.21,42.88,41.38,42.75,7394463
2010-07-21,43.09,43.37,41.94,42.06,6070080
2010-07-22,42.94,42.94,41.66,42.19,9462792
2010-07-23,42.3,43.36,42.12,43.31,6337135
2010-07-26,43.51,43.64,42.96,43.52,4302605
2010-07-27,43.85,44.06,43.4,43.58,4697337
2010-07-28,43.56,43.76,43.11,43.34,3136758
2010-07-29,43.68,43.91,43.09,43.33,4201616
2010-07-30,42.92,43.74,42.54,43.5,3664788
2010-08-02,44.27,44.98,43.99,44.77,4041474
2010-08-03,44.69,45.13,44.55,44.96,4377614
2010-08-04,45.29,45.7,44.99,45.54,3698194
2010-08-05,45.33,45.99,45.16,45.64,3301019
2010-08-06,45.2,45.81,45.02,45.61,3821130
2010-08-09,45.73,45.96,45.26,45.7,2346714
2010-08-10,45.21,45.4,44.83,45.22,3904101
2010-08-11,44.44,44.49,43.35,43.6,3885802
2010-08-12,42.83,43.42,42.8,43.19,4140617
2010-08-13,42.96,43.41,42.86,43.02,2455709
2010-08-16,42.69,42.99,42.27,42.63,3813265
2010-08-17,42.86,44.1,42.86,43.57,4340019
2010-08-18,42.89,43.02,42.55,42.62,6070530
2010-08-19,42.47,42.62,41.94,42.04,5082850
2010-08-20,41.78,42.19,41.58,42.1,3473029
2010-08-23,42.37,42.55,41.78,41.84,3470683
