Date,Open,High,Low,Close,Volume
2010-01-04,13.62,13.88,13.56,13.66,6263728
2010-01-05,13.58,13.72,13.41,13.59,5996162
2010-01-06,13.59,13.76,13.51,13.65,6165591
2010-01-07,13.58,14.14,13.58,14.11,6926148
2010-01-08,14.05,14.18,13.78,13.93,5636970
2010-01-11,14.06,14.17,13.88,14.13,5671368
2010-01-12,13.75,14.06,13.67,13.74,9849361
2010-01-13,13.72,14.39,13.68,14.19,7826270
2010-01-14,14.11,14.19,13.8,13.97,5803021
2010-01-15,13.88,13.99,13.54,13.62,7875047
2010-01-19,13.37,13.86,13.33,13.81,8136858
2010-01-20,13.65,13.67,13.4,13.61,7683417
2010-01-21,13.67,13.75,13.25,13.27,9368318
2010-01-22,13.28,13.53,12.96,13.04,9154054
2010-01-25,13.28,13.28,12.8,13.05,6171286
2010-01-26,12.98,13.1,12.79,12.84,6221918
2010-01-27,12.85,12.9,12.52,12.83,7591468
2010-01-28,12.99,12.99,12.4,12.59,6152797
2010-01-29,12.69,12.84,12.46,12.62,7352993
2010-02-01,12.72,12.93,12.66,12.93,4493865
2010-02-02,12.95,13.09,12.76,13.01,5560257
2010-02-03,12.97,13.07,12.54,12.66,5976813
2010-02-04,12.57,12.91,12.49,12.66,13464871
2010-02-05,12.66,13.19,12.63,12.97,12127807
2010-02-08,12.95,13.11,12.58,12.6,6487090
2010-02-09,12.75,12.89,12.56,12.8,10004938
2010-02-10,12.83,13.0,12.5,12.76,3429027
2010-02-11,12.78,12.85,12.54,12.73,5017652
2010-02-12,12.63,12.84,12.5,12.82,4772837
2010-02-16,12.95,13.26,12.88,13.23,4421910
2010-02-17,13.33,13.57,13.23,13.42,4424423
2010-02-18,13.34,13.86,13.34,13.74,5190970
2010-02-19,13.7,13.79,13.49,13.71,4500364
2010-02-22,13.7,13.8,13.59,13.64,3401087
2010-02-23,13.57,13.68,13.38,13.44,4255509
2010-02-24,13.51,13.8,13.44,13.8,4363715
2010-02-25,13.61,14.01,13.48,13.95,4946272
2010-02-26,13.98,14.09,13.88,13.89,8049831
2010-03-01,13.95,14.1,13.87,14.0,5629913
2010-03-02,14.07,14.12,13.94,14.02,6764327
2010-03-03,14.0,14.14,13.89,14.0,5604520
2010-03-04,14.05,14.09,13.94,14.04,4368258
2010-03-05,14.13,14.66,14.01,14.61,5533636
2010-03-08,14.61,14.85,14.6,14.75,3082554
2010-03-09,14.69,14.93,14.54,14.68,4133589
2010-03-10,14.75,14.87,14.57,14.75,3404704
2010-03-11,14.69,14.95,14.56,14.93,3014597
2010-03-12,15.01,15.2,14.96,15.12,2874399
2010-03-15,15.02,15.19,14.86,15.09,3570151
2010-03-16,15.17,15.62,15.11,15.57,5046082
2010-03-17,15.63,16.05,15.55,15.9,4893092
2010-03-18,15.91,15.91,15.6,15.64,5784836
2010-03-19,15.61,15.76,15.45,15.57,5360945
2010-03-22,15.48,15.85,15.36,15.79,3762986
2010-03-23,15.84,15.9,15.54,15.69,5477495
2010-03-24,15.64,15.99,15.62,15.88,4129490
2010-03-25,15.99,16.44,15.98,16.06,4768642
2010-03-26,16.1,16.23,15.88,16.1,5636186
2010-03-29,16.19,16.21,15.94,16.16,4428723
2010-03-30,16.17,16.21,15.96,16.04,5245829
2010-03-31,15.89,15.94,15.63,15.64,6897983
2010-04-01,15.79,15.88,15.58,15.74,5960635
2010-04-05,15.75,16.13,15.74,16.06,6218495
2010-04-06,16.0,16.55,15.94,16.53,5386725
2010-04-07,16.47,16.55,15.92,15.99,6464856
2010-04-08,15.96,16.22,15.87,16.09,5031531
2010-04-09,16.15,16.47,16.09,16.4,5508770
2010-04-12,16.42,16.51,16.16,16.16,4679182
2010-04-13,16.15,16.59,16.15,16.5,5268728
2010-04-14,16.66,16.72,16.23,16.29,6227514
2010-04-15,16.28,16.3,15.58,15.65,7215640
2010-04-16,15.59,15.77,15.11,15.13,11120903
2010-04-19,15.01,15.31,14.81,15.15,10497773
2010-04-20,15.34,15.34,14.92,15.12,9806706
2010-04-21,15.11,15.51,15.06,15.31,7471695
2010-04-22,15.18,15.77,15.05,15.7,5520506
2010-04-23,15.75,15.91,15.57,15.75,4559453
2010-04-26,15.75,16.14,15.75,15.91,4692749
2010-04-27,15.76,16.0,15.34,15.36,5839120
2010-04-28,15.54,15.7,15.32,15.49,5330829
2010-04-29,15.64,16.3,15.64,16.29,5965124
2010-04-30,16.21,16.48,15.57,15.59,6446720
2010-05-03,15.76,16.18,15.74,16.11,5866674
2010-05-04,15.88,16.01,15.47,15.7,7613763
2010-05-05,15.4,15.67,15.14,15.3,5199514
2010-05-06,15.21,15.66,13.71,15.05,12436703
2010-05-07,15.11,15.66,14.65,15.01,9778622
2010-05-10,15.86,16.39,15.81,16.35,10292571
2010-05-11,16.08,16.59,15.87,16.4,8575032
2010-05-12,16.49,16.71,16.36,16.6,5662966
2010-05-13,16.55,16.65,16.17,16.2,6268285
2010-05-14,15.92,16.06,15.57,15.73,7947144
2010-05-17,15.74,16.13,15.2,15.6,7714398
2010-05-18,15.83,15.99,14.97,15.03,6703315
2010-05-19,14.94,15.37,14.33,14.69,7038442
2010-05-20,14.35,14.44,13.78,13.8,9101182
2010-05-21,13.56,14.3,13.43,14.28,8631789
2010-05-24,14.31,14.36,13.77,13.81,4513102
2010-05-25,13.34,13.89,13.07,13.86,6320482
2010-05-26,14.08,14.33,13.68,13.8,7805930
2010-05-27,14.12,14.58,13.94,14.56,5832287
2010-05-28,14.5,14.66,14.24,14.3,5265572
2010-06-01,14.13,14.54,13.99,14.07,6537710
2010-06-02,14.22,14.5,14.0,14.48,5403539
2010-06-03,14.44,14.56,14.24,14.41,3883516
2010-06-04,14.09,14.34,13.23,13.31,9312777
2010-06-07,13.42,13.73,13.33,13.43,7708506
2010-06-08,13.37,13.71,13.03,13.69,8184333
2010-06-09,13.81,14.2,13.64,13.72,7096168
2010-06-10,13.98,14.51,13.89,14.49,5255446
2010-06-11,14.26,14.57,14.19,14.54,5008255
2010-06-14,14.69,15.0,14.58,14.83,6220303
2010-06-15,14.95,15.33,14.74,15.29,4274572
2010-06-16,15.14,15.25,14.92,15.0,4889370
2010-06-17,15.04,15.13,14.69,14.96,6313593
