Date,Open,High,Low,Close,Volume
2010-01-04,36.6,37.37,36.57,36.92,2826978
2010-01-05,36.85,36.93,36.27,36.51,2136132
2010-01-06,36.4,36.83,36.27,36.37,2379342
2010-01-07,36.21,36.64,35.73,36.57,2311892
2010-01-08,36.47,37.18,36.34,37.12,2379528
2010-01-11,37.23,37.41,36.35,36.96,1961397
2010-01-12,36.7,36.76,35.3,35.67,3002111
2010-01-13,35.89,36.27,34.95,36.09,3977395
2010-01-14,35.73,35.95,34.81,35.0,5868142
2010-01-15,34.93,35.24,33.27,33.34,6721567
2010-01-19,33.48,33.77,33.2,33.64,4374410
2010-01-20,33.3,33.34,32.62,33.23,4605811
2010-01-21,33.35,33.9,32.76,32.85,3852332
2010-01-22,32.23,32.38,30.72,30.86,7991240
2010-01-25,30.79,31.4,30.78,30.96,4021217
2010-01-26,30.72,31.32,30.66,30.67,3843348
2010-01-27,30.56,31.2,30.16,30.85,4557504
2010-01-28,30.9,30.98,28.93,29.38,8676526
2010-01-29,29.73,29.75,27.8,28.2,10519597
2010-02-01,28.45,29.2,28.3,29.19,6984860
2010-02-02,29.14,29.39,28.69,29.1,5245701
2010-02-03,28.95,29.41,28.72,29.29,6157872
2010-02-04,29.24,29.44,28.12,28.31,5891131
2010-02-05,28.47,28.96,28.06,28.79,5902058
2010-02-08,28.79,29.31,28.3,28.72,3299771
2010-02-09,29.11,29.54,28.76,29.17,3539885
2010-02-10,29.15,29.5,28.7,28.99,2354847
2010-02-11,28.92,29.65,28.63,29.48,4173324
2010-02-12,29.1,30.12,28.76,29.67,4493530
2010-02-16,30.12,30.83,29.78,30.82,4337273
2010-02-17,30.9,30.96,30.05,30.43,3327831
2010-02-18,30.27,30.27,29.67,30.25,3179957
2010-02-19,30.45,30.73,30.1,30.58,3699121
2010-02-22,30.79,30.82,30.18,30.33,2849267
2010-02-23,30.02,30.15,28.8,28.89,5228937
2010-02-24,29.11,29.5,28.9,29.09,5315781
2010-02-25,28.49,28.93,27.98,28.9,4440597
2010-02-26,28.92,29.14,28.44,29.13,3311678
2010-03-01,29.39,30.16,29.37,30.14,3653193
2010-03-02,30.48,30.7,30.19,30.26,3016664
2010-03-03,30.35,30.72,30.08,30.23,2371809
2010-03-04,30.18,30.44,29.62,30.03,2037500
2010-03-05,30.2,30.63,29.96,30.29,2579571
2010-03-08,30.38,30.48,30.11,30.13,2000920
2010-03-09,29.93,30.1,29.58,29.75,3126539
2010-03-10,29.68,30.2,29.64,30.13,2733679
2010-03-11,29.98,30.16,29.58,29.99,2789193
2010-03-12,30.04,30.09,29.31,29.45,3970435
2010-03-15,28.67,28.73,27.7,28.09,7296117
2010-03-16,28.18,29.06,28.08,29.01,4718283
2010-03-17,29.21,29.47,29.0,29.42,4209260
2010-03-18,29.32,29.79,28.87,29.09,3698094
2010-03-19,29.48,29.53,28.49,28.79,3941439
2010-03-22,28.68,29.85,28.57,29.77,3351714
2010-03-23,29.7,31.2,29.62,31.09,6879430
2010-03-24,30.73,31.29,30.44,30.66,5360286
2010-03-25,31.09,31.46,30.84,30.88,4207277
2010-03-26,31.17,31.4,30.25,30.41,4017820
2010-03-29,30.6,30.9,30.44,30.61,2651591
2010-03-30,30.83,31.06,30.53,30.88,2296950
2010-03-31,30.55,31.32,30.49,30.92,4200051
2010-04-05,31.51,32.2,31.41,32.11,3574987
2010-04-06,31.93,32.13,31.74,31.94,2132086
2010-04-07,31.71,31.95,31.35,31.69,3420271
2010-04-08,31.63,31.63,30.92,31.09,3713634
2010-04-09,31.11,31.56,30.95,31.52,2294530
2010-04-12,31.6,31.95,31.37,31.66,2109361
2010-04-13,31.69,32.02,31.41,31.98,2972452
2010-04-14,32.62,33.36,32.51,33.29,4071227
2010-04-15,33.22,33.41,32.96,33.19,2728635
2010-04-16,33.13,33.43,32.7,33.38,4971896
2010-04-19,33.34,33.94,32.54,33.26,4617650
2010-04-20,33.51,33.87,33.12,33.45,3092885
2010-04-21,33.71,33.85,32.88,33.44,2954573
2010-04-22,33.15,34.55,32.61,34.45,5707165
2010-04-23,34.39,34.53,33.8,34.48,2328461
2010-04-26,34.56,34.94,34.4,34.61,2309376
2010-04-27,34.41,34.82,33.6,33.66,3530894
2010-04-28,33.83,34.16,33.35,33.6,3839861
2010-04-29,33.75,34.78,33.75,34.69,4495838
2010-04-30,35.75,36.07,34.04,34.06,7378077
2010-05-03,34.39,35.5,34.26,35.3,4701353
2010-05-04,34.87,34.98,33.2,33.89,7327679
2010-05-05,33.67,34.78,32.69,33.04,4882958
2010-05-06,32.9,35.0,29.97,31.9,6572562
2010-05-07,31.68,32.2,30.25,31.14,5511443
2010-05-10,32.39,32.96,31.99,32.69,3570970
2010-05-11,32.44,33.29,32.09,32.67,3669350
2010-05-12,32.77,33.25,32.61,33.22,3008633
2010-05-13,33.0,33.14,31.98,32.12,3053054
2010-05-14,31.82,31.93,30.58,30.98,4458242
2010-05-17,31.08,31.69,30.58,31.57,4808467
2010-05-18,32.0,32.09,30.5,30.55,3376450
2010-05-19,30.53,31.14,30.0,30.7,3529137
2010-05-20,30.31,30.48,29.48,29.86,5937093
2010-05-21,29.2,30.86,29.07,30.23,4541667
2010-05-24,29.88,30.23,29.44,29.51,3019851
2010-05-25,28.87,29.78,28.44,29.75,4329655
2010-05-26,30.22,30.6,29.54,29.58,3937026
2010-05-27,30.32,31.3,30.09,31.26,3577270
2010-05-28,31.25,31.25,30.32,30.77,2555979
2010-06-01,30.54,31.05,29.85,29.93,2824241
2010-06-02,30.05,30.85,29.73,30.85,3521156
2010-06-03,30.92,31.74,30.91,31.63,4551954
2010-06-04,30.68,31.33,29.7,29.92,4994168
2010-06-07,29.96,30.19,28.31,28.41,7540652
2010-06-08,28.42,28.6,27.72,28.35,8373246
2010-06-09,28.47,29.1,27.96,28.08,4063818
2010-06-10,28.63,29.19,28.44,29.02,3702369
2010-06-11,28.62,29.44,28.56,29.16,4106940
2010-06-14,29.56,29.9,29.26,29.3,3890813
2010-06-15,29.55,30.48,29.38,30.39,5339626
2010-06-16,30.25,30.56,29.79,30.26,5811929
2010-06-17,30.37,30.48,29.58,30.4,3233513
2010-06-18,30.43,30.85,30.28,30.8,4463439
2010-06-21,31.17,32.3,31.16,31.55,7424401
2010-06-22,31.63,32.0,30.62,30.78,4855161
2010-06-23,30.84,31.36,30.32,30.91,2699443
2010-06-24,30.77,30.82,29.67,29.79,3573477
2010-06-25,29.78,30.3,29.13,29.88,5380881
2010-06-28,29.93,30.4,29.44,30.01,3664730
2010-06-29,29.37,29.37,28.09,28.27,7259886
2010-06-30,28.3,28.64,27.79,27.88,3919327
2010-07-01,27.79,27.99,26.69,27.16,8217416
2010-07-02,27.32,27.49,26.73,27.21,3169787
2010-07-06,27.77,27.99,27.02,27.3,3935301
2010-07-07,27.18,28.69,27.18,28.66,3982927
