Date,Open,High,Low,Close,Volume
2010-01-04,64.29,64.52,63.59,64.27,1567449
2010-01-05,64.31,64.62,63.66,64.32,2364108
2010-01-06,64.35,64.35,63.48,63.53,2352417
2010-01-07,63.68,63.68,62.62,63.11,3112941
2010-01-08,62.87,62.96,61.79,62.71,2942989
2010-01-11,62.69,62.7,61.2,62.63,2870019
2010-01-12,62.53,63.41,62.4,63.02,2451509
2010-01-13,63.27,63.7,63.0,63.62,1825675
2010-01-14,63.68,63.68,62.91,63.02,1936049
2010-01-15,62.84,62.96,62.13,62.22,3538174
2010-01-19,62.38,63.25,62.31,62.8,3209200
2010-01-20,62.61,62.61,61.22,62.09,2669036
2010-01-21,62.23,62.52,61.0,61.11,3385374
2010-01-22,59.9,61.48,59.58,60.23,4188848
2010-01-25,60.75,60.8,59.75,60.45,2948659
2010-01-26,60.75,60.75,59.78,60.11,3995854
2010-01-27,60.12,60.45,59.19,59.5,3795717
2010-01-28,59.82,60.08,59.07,59.11,4226896
2010-01-29,59.48,60.18,59.08,59.39,3659583
2010-02-01,59.93,59.93,59.01,59.51,3279803
2010-02-02,59.67,60.87,59.27,60.68,3177837
2010-02-03,60.59,60.59,59.77,60.39,3336017
2010-02-04,60.01,60.25,59.18,59.23,2515132
2010-02-05,59.22,59.53,58.25,58.96,3078117
2010-02-08,59.16,59.58,58.58,58.95,2727297
2010-02-09,59.46,59.94,59.06,59.62,2277886
2010-02-10,59.47,59.61,58.66,58.93,2516875
2010-02-11,59.1,59.4,58.72,59.19,2252796
2010-02-12,58.95,59.15,58.54,58.86,2622562
2010-02-16,59.0,59.26,58.7,59.26,2782052
2010-02-17,59.41,59.64,59.25,59.35,2582522
2010-02-18,59.3,60.54,59.25,60.4,2239286
2010-02-19,60.35,60.59,59.9,60.25,2128596
2010-02-22,60.38,60.63,59.8,59.9,2405652
2010-02-23,59.8,60.62,59.6,60.38,3110367
2010-02-24,60.58,60.63,60.1,60.3,2965260
2010-02-25,60.02,60.44,59.57,60.4,2574190
2010-02-26,60.64,61.05,60.33,60.74,2662519
2010-03-01,61.44,61.44,60.54,60.75,3103821
2010-03-02,59.94,60.6,59.18,60.34,6422716
2010-03-03,59.95,60.39,59.9,60.02,2595831
2010-03-04,60.3,60.45,59.61,60.04,3115524
2010-03-05,60.24,60.46,59.78,60.11,2982353
2010-03-08,60.21,60.26,59.7,60.12,2692214
2010-03-09,60.01,60.32,59.99,60.01,2145345
2010-03-10,60.1,60.1,59.25,59.48,3763963
2010-03-11,59.62,59.75,59.23,59.71,3013709
2010-03-12,59.81,60.22,59.58,60.08,3689962
2010-03-15,60.15,60.35,59.86,60.35,2505083
2010-03-16,59.78,60.54,59.75,60.53,4344291
2010-03-17,60.61,61.02,60.25,60.93,2897073
2010-03-18,61.02,61.34,60.82,61.29,2946517
2010-03-19,61.39,61.59,61.08,61.43,3714647
2010-03-22,61.46,63.06,61.46,63.0,4773516
2010-03-23,63.28,63.6,62.85,63.51,3225185
2010-03-24,63.49,63.49,62.7,62.89,1952392
2010-03-25,63.11,63.35,62.58,63.04,3214482
2010-03-26,63.07,63.3,62.5,62.81,2598128
2010-03-29,62.88,63.42,62.71,63.22,2052060
2010-03-30,63.33,63.44,62.95,63.14,1604284
2010-03-31,62.92,63.13,62.51,62.88,2035415
2010-04-01,63.18,63.18,61.98,62.5,3240909
2010-04-05,62.85,62.88,62.08,62.26,2332681
2010-04-06,62.25,62.44,61.65,62.2,2370070
2010-04-07,61.85,61.98,61.39,61.54,2845030
2010-04-08,61.37,61.62,61.18,61.33,2358716
2010-04-09,61.32,61.68,61.1,61.68,1869902
2010-04-12,61.94,62.0,61.18,61.39,2420478
2010-04-13,61.37,61.42,60.9,61.06,2436399
2010-04-14,61.12,61.34,60.78,61.24,2619104
2010-04-15,61.1,61.9,60.97,61.59,2455668
2010-04-16,61.31,62.23,61.31,61.82,2748410
2010-04-19,61.68,62.19,61.68,62.15,3304595
2010-04-20,62.42,62.57,61.97,62.53,3139733
2010-04-21,62.69,63.04,62.5,62.95,2797157
2010-04-22,62.68,62.75,61.6,62.12,3411254
2010-04-23,62.28,62.28,60.51,60.93,4286556
2010-04-26,61.55,61.55,60.65,60.94,3846884
2010-04-27,60.87,61.47,60.69,60.72,3805142
2010-04-28,61.03,61.41,60.53,61.02,2817955
2010-04-29,61.31,61.62,60.84,61.28,2413160
2010-04-30,61.43,62.04,61.25,61.26,2975835
2010-05-03,61.34,61.48,60.94,61.15,2483061
2010-05-04,60.78,61.42,60.54,61.19,4255896
2010-05-05,61.13,62.02,61.13,61.52,3273567
2010-05-06,61.36,61.82,59.78,61.09,6550896
2010-05-07,60.91,61.26,60.16,61.0,8649346
2010-05-10,62.42,63.14,62.31,62.93,6533769
2010-05-11,62.63,63.24,62.48,62.79,3222410
2010-05-12,62.99,63.1,62.29,62.8,3518093
2010-05-13,62.85,62.91,62.14,62.18,2338371
2010-05-14,61.96,62.2,61.39,61.61,2750673
2010-05-17,61.81,62.45,61.45,62.29,2974444
2010-05-18,62.65,62.84,61.85,62.0,3571517
2010-05-19,61.8,62.41,61.29,62.0,4221077
2010-05-20,61.01,62.12,60.94,61.23,5907559
2010-05-21,60.51,61.64,60.02,61.62,4582769
2010-05-24,61.39,61.65,60.94,60.98,2717523
2010-05-25,60.24,60.69,59.57,60.55,4467706
2010-05-26,60.85,61.18,60.21,60.25,3116371
2010-05-27,60.88,61.19,60.53,61.18,2341746
2010-05-28,61.36,61.37,60.6,60.7,3015527
2010-06-01,60.42,61.88,60.11,61.12,4701133
2010-06-02,60.64,61.1,60.01,61.1,3102042
2010-06-03,61.24,61.45,60.92,61.28,2504964
2010-06-04,60.73,60.83,59.98,60.18,6271146
2010-06-07,60.19,61.25,60.19,60.88,4199550
2010-06-08,60.88,61.73,60.74,61.66,3765040
2010-06-09,61.79,62.16,61.43,61.77,2955977
2010-06-10,62.33,62.64,62.07,62.22,2889409
2010-06-11,61.96,62.2,61.41,62.15,2295011
2010-06-14,62.51,62.86,62.42,62.45,2536483
2010-06-15,62.74,63.06,62.63,63.03,2421293
2010-06-16,62.77,63.18,62.7,62.83,2604971
2010-06-17,63.17,63.24,62.51,63.13,2392364
