Date,Open,High,Low,Close,Volume
2010-01-04,28.58,28.61,28.45,28.52,13870548
2010-01-05,28.42,28.5,28.07,28.18,23173028
2010-01-06,28.18,28.22,27.99,28.16,19265472
2010-01-07,28.16,28.18,27.88,28.1,13234530
2010-01-08,27.73,27.82,27.38,27.58,28717474
2010-01-11,27.58,28.22,27.4,28.14,28643528
2010-01-12,28.04,28.5,28.03,28.44,23269606
2010-01-13,28.43,28.72,28.34,28.52,15157758
2010-01-14,28.52,28.62,28.38,28.56,12392514
2010-01-15,28.48,28.68,28.02,28.14,27462892
2010-01-19,28.11,28.24,27.96,28.21,14615206
2010-01-20,28.08,28.2,27.64,27.75,18813290
2010-01-21,27.78,27.79,27.1,27.18,27400624
2010-01-22,27.18,27.43,26.99,27.12,23551608
2010-01-25,27.24,27.27,26.94,27.18,16853166
2010-01-26,27.04,27.25,26.94,27.07,15515000
2010-01-27,27.0,27.33,26.85,27.26,20414672
2010-01-28,27.36,27.42,27.06,27.09,20907948
2010-01-29,27.22,27.47,26.95,27.12,22149018
2010-02-01,27.26,27.28,27.0,27.19,14536172
2010-02-02,27.26,27.6,27.08,27.52,16888614
2010-02-03,27.46,27.48,27.26,27.44,15899402
2010-02-04,27.28,27.34,26.7,26.72,21344376
2010-02-05,26.62,26.72,26.26,26.54,29287906
2010-02-08,26.64,26.64,26.28,26.32,16725218
2010-02-09,26.84,27.49,26.68,27.0,31495982
2010-02-10,27.3,27.3,26.58,26.9,18717406
2010-02-11,26.8,27.16,26.64,27.11,26327126
2010-02-12,26.96,27.2,26.81,26.99,24640866
2010-02-16,27.26,27.41,26.96,27.41,19339344
2010-02-17,27.4,27.78,27.38,27.66,17064572
2010-02-18,27.58,27.96,27.58,27.96,17267968
2010-02-19,27.9,27.95,27.59,27.86,18944650
2010-02-22,27.9,27.93,27.64,27.69,13487482
2010-02-23,27.7,27.8,27.4,27.42,14835498
2010-02-24,27.5,27.59,27.34,27.58,14474086
2010-02-25,26.57,26.79,26.3,26.56,63665866
2010-02-26,26.54,26.54,26.12,26.36,63096744
2010-03-01,26.61,26.68,26.4,26.64,39450796
2010-03-02,26.69,26.84,26.58,26.65,24506136
2010-03-03,26.65,27.06,26.59,26.96,26575144
2010-03-04,27.35,27.52,27.16,27.24,28985272
2010-03-05,27.34,27.48,27.18,27.35,24238520
2010-03-08,27.36,27.44,27.16,27.23,18916536
2010-03-09,27.17,27.3,26.98,27.09,23071280
2010-03-10,27.13,27.18,27.02,27.1,21578064
2010-03-11,26.89,26.89,26.5,26.8,29154626
2010-03-12,26.84,26.88,26.63,26.68,22335368
2010-03-15,26.86,26.92,26.68,26.82,23873882
2010-03-16,26.9,26.94,26.78,26.85,22287648
2010-03-17,26.91,27.0,26.8,26.92,26074316
2010-03-18,26.95,27.02,26.87,26.98,23497480
2010-03-19,27.07,27.53,26.8,27.38,43610768
2010-03-22,27.24,27.42,27.2,27.27,18127330
2010-03-23,27.36,27.67,27.2,27.65,19082630
2010-03-24,27.61,27.68,27.3,27.31,17053186
