Date,Open,High,Low,Close,Volume
2010-01-04,19.37,19.76,19.27,19.31,3959383
2010-01-05,19.24,19.43,18.53,18.68,9097497
2010-01-06,18.56,19.12,18.34,19.07,6888989
2010-01-07,19.42,19.59,18.45,18.76,7511606
2010-01-08,18.86,19.62,18.78,19.59,5684188
2010-01-11,20.1,20.61,19.93,20.46,6663563
2010-01-12,20.23,20.9,20.15,20.43,4553545
2010-01-13,20.47,20.54,19.96,20.23,3190384
2010-01-14,20.2,20.32,19.73,19.92,3322085
2010-01-15,19.82,20.02,19.36,19.39,3155341
2010-01-19,19.39,19.54,19.17,19.34,4890617
2010-01-20,19.11,19.24,18.89,18.9,5126554
2010-01-21,18.95,19.09,18.52,18.68,6916586
2010-01-22,18.81,18.92,18.36,18.38,5490332
2010-01-25,18.6,18.75,18.39,18.6,3461037
2010-01-26,18.96,19.82,18.65,19.4,8012892
2010-01-27,19.35,19.81,19.21,19.71,5122087
2010-01-28,19.75,19.75,19.14,19.21,4523453
2010-01-29,19.37,19.46,18.94,19.02,3554676
2010-02-01,19.23,19.67,19.12,19.65,3074596
2010-02-02,19.68,20.33,19.66,20.32,5572447
2010-02-03,20.23,20.32,20.0,20.26,6300997
2010-02-04,20.17,20.3,19.96,20.03,8675375
2010-02-05,19.98,20.51,19.84,20.47,7955782
2010-02-08,20.49,20.49,20.01,20.01,6362719
2010-02-09,20.23,20.45,19.98,20.34,5263551
2010-02-10,20.25,20.36,19.9,20.09,3786737
2010-02-11,20.0,20.37,19.88,20.34,2641415
2010-02-12,20.05,20.55,19.84,20.48,5100084
2010-02-16,20.74,20.84,20.48,20.83,3052923
2010-02-17,20.91,21.17,20.77,21.05,3577675
2010-02-18,20.96,21.37,20.9,21.34,2260302
2010-02-19,21.2,21.48,21.17,21.4,2877490
2010-02-22,21.6,21.73,21.32,21.5,5583529
2010-02-23,21.45,21.52,20.97,21.03,7453417
2010-02-24,20.87,21.56,20.87,21.54,7090251
2010-02-25,22.03,22.53,21.9,22.15,17572560
2010-02-26,22.15,22.26,21.99,22.11,6981247
2010-03-01,22.25,22.72,22.16,22.53,4907442
2010-03-02,22.66,22.76,22.4,22.43,4186045
2010-03-03,22.5,22.75,22.35,22.65,3273238
2010-03-04,22.73,23.02,22.51,22.98,4048684
2010-03-05,23.17,23.38,22.92,23.28,2861303
2010-03-08,23.32,23.62,23.21,23.47,3407747
2010-03-09,23.48,23.62,23.31,23.59,4247180
2010-03-10,23.6,23.77,23.44,23.49,4881632
2010-03-11,23.35,23.66,23.24,23.61,2738365
2010-03-12,23.7,23.74,23.42,23.74,3086161
2010-03-15,23.73,23.79,23.46,23.71,2439938
2010-03-16,24.05,24.85,23.99,24.71,8787850
2010-03-17,24.91,24.94,24.44,24.68,6765532
2010-03-18,24.78,24.84,24.5,24.75,3452424
2010-03-19,24.79,24.91,24.43,24.67,3480905
2010-03-22,24.54,25.4,24.45,25.29,4867690
2010-03-23,25.38,25.49,24.96,25.46,3588345
2010-03-24,25.31,25.37,24.89,24.98,3697510
2010-03-25,25.25,25.68,25.15,25.34,4861924
2010-03-26,25.46,25.7,25.32,25.54,3729329
2010-03-29,25.6,25.82,25.2,25.78,3935511
2010-03-30,25.71,26.37,25.71,25.88,6888473
2010-03-31,24.88,24.97,24.56,24.62,6207694
2010-04-01,24.86,25.0,24.66,24.8,4944756
2010-04-05,24.81,25.77,24.81,25.73,4619234
2010-04-06,25.62,25.75,25.45,25.72,4392219
2010-04-07,25.71,25.8,25.33,25.68,6790434
2010-04-08,25.67,26.38,25.37,26.28,7797871
2010-04-09,26.36,26.67,25.96,26.62,5191392
2010-04-12,26.61,27.09,26.56,26.89,5508634
2010-04-13,26.69,27.22,26.6,27.19,5826765
2010-04-14,27.2,27.4,26.77,27.03,8089546
2010-04-15,26.94,27.84,26.75,27.56,6169801
2010-04-16,27.4,27.54,26.81,27.07,6160470
2010-04-19,27.08,27.33,26.74,27.26,5605616
2010-04-20,27.52,27.68,27.27,27.59,3266684
2010-04-21,27.57,28.09,27.5,28.03,3268084
2010-04-22,27.87,28.76,27.6,28.59,3816860
2010-04-23,28.49,28.76,28.25,28.48,3432749
2010-04-26,28.5,28.78,28.42,28.57,3432299
2010-04-27,28.32,28.43,27.66,27.75,4623763
2010-04-28,27.88,28.12,27.06,27.15,5508782
2010-04-29,27.22,27.8,27.22,27.55,5273653
2010-04-30,27.6,27.69,26.36,26.8,6687578
2010-05-03,26.98,28.19,26.87,27.8,5395500
2010-05-04,27.47,27.47,26.71,26.87,6195424
2010-05-05,26.39,27.31,26.15,26.5,4904009
2010-05-06,26.11,26.11,22.61,25.13,10503470
2010-05-07,24.99,25.84,24.17,24.93,8741613
2010-05-10,26.3,26.94,26.06,26.92,4744480
2010-05-11,26.43,27.54,26.43,27.16,4721808
2010-05-12,27.23,27.39,26.64,27.27,4517905
2010-05-13,27.23,27.23,25.83,25.99,5516627
2010-05-14,25.73,25.9,25.19,25.45,5022347
2010-05-17,25.58,25.75,24.76,25.37,8136142
2010-05-18,25.75,25.87,24.34,24.47,9725204
2010-05-19,25.06,25.18,24.16,24.49,10010825
2010-05-20,23.6,24.56,23.36,23.88,10664928
2010-05-21,23.31,25.13,23.31,24.82,6600782
2010-05-24,24.77,25.12,24.57,24.75,5922113
2010-05-25,24.01,24.75,23.62,24.67,7901186
2010-05-26,24.99,25.11,24.19,24.33,6994091
2010-05-27,25.02,25.44,24.94,25.43,5203565
