Date,Open,High,Low,Close,Volume
2010-01-04,12.81,13.02,12.65,13.01,4494127
2010-01-05,12.95,13.6,12.72,13.55,6205424
2010-01-06,13.51,13.75,13.25,13.7,6365823
2010-01-07,14.93,16.0,14.62,15.46,28709379
2010-01-08,15.4,16.07,15.19,15.95,8641973
2010-01-11,16.07,16.35,15.98,16.26,6410372
2010-01-12,16.15,16.53,15.95,16.13,7382471
2010-01-13,16.29,16.44,15.85,16.25,5184111
2010-01-14,16.52,16.84,16.28,16.35,4990722
2010-01-15,16.27,16.38,15.85,15.96,5639969
2010-01-19,15.76,16.34,15.76,16.21,4799118
2010-01-20,16.06,16.14,15.71,15.74,5534612
2010-01-21,15.77,15.88,15.28,15.31,4561314
2010-01-22,15.31,15.57,14.71,14.78,6357460
2010-01-25,15.05,15.1,14.42,14.7,4982323
2010-01-26,14.62,14.95,14.51,14.56,4113366
2010-01-27,14.55,15.16,14.3,15.11,6272818
2010-01-28,15.33,15.87,15.02,15.39,8282140
2010-01-29,15.49,15.96,15.27,15.36,7065145
2010-02-01,15.47,15.49,15.06,15.32,4641099
2010-02-02,15.64,16.63,15.64,16.55,10419453
2010-02-03,16.37,16.52,15.91,16.26,4311725
2010-02-04,15.89,15.99,15.24,15.34,5813759
2010-02-05,15.3,15.45,14.22,14.71,8638799
2010-02-08,14.75,15.84,14.52,15.39,8991045
2010-02-09,15.4,15.67,15.03,15.6,5324815
2010-02-10,15.67,15.7,15.18,15.61,4027240
2010-02-11,15.96,17.0,15.8,16.99,12714189
2010-02-12,16.78,17.19,16.54,16.96,10487035
2010-02-16,17.18,17.37,17.15,17.34,5447968
2010-02-17,17.52,17.88,17.09,17.34,5749077
2010-02-18,17.23,17.29,16.75,17.04,5284981
2010-02-19,16.92,17.44,16.92,17.31,6152780
2010-02-22,17.43,17.54,16.97,17.17,5789201
2010-02-23,17.08,17.24,16.09,16.28,8342075
2010-02-24,16.45,16.56,15.26,16.27,13126959
2010-02-25,15.91,16.32,15.59,16.27,7172365
2010-02-26,16.21,16.47,15.79,16.41,5790423
2010-03-01,16.48,16.7,16.41,16.64,3895534
2010-03-02,16.8,16.95,16.5,16.6,3402465
2010-03-03,16.64,16.97,16.56,16.79,3879557
2010-03-04,16.68,16.93,16.34,16.55,4159928
2010-03-05,16.71,17.04,16.61,17.01,4041165
2010-03-08,17.1,17.31,16.98,17.2,4497958
2010-03-09,17.27,17.47,17.0,17.29,4009804
2010-03-10,17.29,17.41,16.8,16.93,5407590
2010-03-11,16.81,16.88,16.43,16.64,5836008
2010-03-12,16.74,16.82,16.22,16.33,4350797
2010-03-15,16.5,16.5,15.86,16.09,6229985
2010-03-16,16.26,16.84,16.1,16.74,7307662
2010-03-17,16.76,17.01,16.58,16.64,4327692
2010-03-18,16.56,16.74,16.41,16.54,2575510
2010-03-19,16.48,16.73,16.1,16.11,5462360
2010-03-22,15.89,16.41,15.89,16.3,4565398
2010-03-23,16.38,17.13,16.17,17.06,9603145
2010-03-24,18.09,18.33,17.53,17.69,15437558
2010-03-25,17.98,18.58,17.81,18.05,9200068
2010-03-26,18.22,18.93,18.17,18.3,10289037
2010-03-29,18.47,18.56,17.8,18.24,6459047
2010-03-30,17.87,18.49,17.87,18.05,6332936
2010-03-31,17.92,18.04,17.17,17.21,7740252
2010-04-01,17.32,17.6,17.01,17.13,5832944
