Date,Open,High,Low,Close,Volume
2010-01-04,9.84,10.12,9.76,9.84,1656164
2010-01-05,9.81,9.92,9.74,9.92,709134
2010-01-06,9.72,9.92,9.68,9.9,968320
2010-01-07,9.96,9.98,9.84,9.92,1031154
2010-01-08,9.92,10.07,9.9,10.07,748332
2010-01-11,10.13,10.28,10.08,10.27,1028680
2010-01-12,10.25,10.29,10.06,10.19,758474
2010-01-13,10.18,10.18,10.0,10.14,1241552
2010-01-14,10.14,10.19,9.99,10.01,1052912
2010-01-15,10.03,10.06,9.96,10.0,1202236
2010-01-19,10.28,10.28,9.88,10.0,1172244
2010-01-20,10.04,10.29,9.93,10.0,2606720
2010-01-21,10.06,10.18,9.84,9.92,1570094
2010-01-22,9.94,9.94,9.7,9.8,1215256
2010-01-25,9.88,9.93,9.74,9.86,1032248
2010-01-26,9.85,9.86,9.69,9.7,1014952
2010-01-27,9.64,9.7,9.58,9.64,1058654
2010-01-28,9.62,9.62,9.44,9.48,607786
2010-01-29,9.5,9.56,9.32,9.38,1096348
2010-02-01,9.38,9.4,9.25,9.32,1321420
2010-02-02,9.3,9.58,9.22,9.45,1556200
2010-02-03,9.44,9.48,9.24,9.3,1495942
2010-02-04,9.25,9.32,9.01,9.16,1411640
2010-02-05,9.12,9.18,9.02,9.18,874036
2010-02-08,9.15,9.28,9.08,9.08,637874
2010-02-09,9.18,9.3,9.08,9.22,459846
2010-02-10,9.18,9.27,9.08,9.25,860156
2010-02-11,9.22,9.3,9.14,9.29,637596
2010-02-12,9.2,9.42,9.11,9.42,1235070
2010-02-16,9.44,9.5,9.38,9.41,780386
2010-02-17,9.4,9.51,9.4,9.42,834876
2010-02-18,9.45,9.49,9.41,9.44,813332
2010-02-19,9.44,9.48,9.36,9.41,700216
2010-02-22,9.46,9.57,9.36,9.38,576874
2010-02-23,9.34,9.46,9.26,9.28,703360
2010-02-24,9.3,9.49,9.24,9.47,843426
2010-02-25,9.4,9.5,9.28,9.47,1330796
2010-02-26,9.53,9.65,9.43,9.58,2193706
2010-03-01,9.58,9.75,9.55,9.68,1908890
2010-03-02,9.66,9.9,9.61,9.88,1125824
2010-03-03,9.91,10.04,9.77,9.95,1053468
2010-03-04,9.95,10.1,9.92,9.94,1385374
2010-03-05,10.01,10.1,9.98,10.08,1313726
2010-03-08,10.04,10.19,10.0,10.1,1110386
2010-03-09,10.1,10.38,10.06,10.29,1392758
2010-03-10,10.26,10.28,10.12,10.28,2531910
2010-03-11,10.22,10.38,10.18,10.38,1377690
2010-03-12,10.38,10.42,10.24,10.36,1268016
2010-03-15,10.36,10.45,10.22,10.3,938076
2010-03-16,10.29,10.4,10.22,10.32,1130940
2010-03-17,10.38,10.4,10.18,10.2,1385968
2010-03-18,10.19,10.24,10.13,10.18,1133952
2010-03-19,10.22,10.22,9.93,10.05,2797098
2010-03-22,10.0,10.23,9.96,10.18,1497526
2010-03-23,10.21,10.31,10.04,10.24,1850556
2010-03-24,10.19,10.23,10.04,10.1,873018
2010-03-25,10.18,10.22,9.9,9.92,1489248
2010-03-26,9.93,9.98,9.77,9.81,1651232
2010-03-29,9.83,10.02,9.77,10.02,1124954
2010-03-30,9.98,10.14,9.98,10.1,1111830
2010-03-31,10.1,10.25,10.06,10.15,1268920
2010-04-05,10.18,10.18,10.01,10.1,961442
2010-04-06,10.04,10.14,10.0,10.08,1280332
2010-04-07,10.1,10.18,10.02,10.08,1312210
2010-04-08,10.08,10.11,9.92,10.06,1126744
2010-04-09,10.03,10.1,9.94,10.1,1096652
2010-04-12,10.14,10.25,10.04,10.2,1097184
2010-04-13,10.2,10.23,9.96,10.16,1036446
2010-04-14,10.18,10.26,10.08,10.26,733776
2010-04-15,10.22,10.4,10.19,10.35,916036
2010-04-16,10.31,10.38,10.16,10.22,525934
2010-04-19,10.22,10.32,10.13,10.29,639678
2010-04-20,10.34,10.44,10.26,10.41,800540
2010-04-21,10.42,10.48,10.24,10.38,1368040
2010-04-22,10.29,10.5,10.2,10.5,1262852
2010-04-23,10.5,10.71,10.42,10.71,863440
2010-04-26,10.67,10.86,10.59,10.78,1470096
2010-04-27,10.69,10.85,10.52,10.57,1194776
2010-04-28,10.6,10.7,10.47,10.6,812098
2010-04-29,10.96,11.0,10.46,10.59,2028960
2010-04-30,10.64,10.74,10.5,10.54,1657290
2010-05-03,10.6,10.69,10.44,10.62,1801002
2010-05-04,10.5,10.52,10.1,10.21,1393158
2010-05-05,10.19,10.34,10.02,10.06,1268612
2010-05-06,10.04,10.2,9.25,9.71,1648086
2010-05-07,9.67,9.67,9.27,9.32,1582994
2010-05-10,9.68,10.34,9.68,9.87,1140616
2010-05-11,9.76,10.02,9.6,9.86,855762
2010-05-12,9.9,10.14,9.73,10.12,1099696
2010-05-13,10.08,10.18,9.9,9.94,722462
2010-05-14,9.88,9.92,9.5,9.56,1196882
2010-05-17,9.57,9.65,9.26,9.48,1205020
2010-05-18,9.55,9.66,9.14,9.21,1520852
2010-05-19,9.16,9.26,8.98,9.12,1793626
2010-05-20,8.96,9.0,8.73,8.75,2369690
2010-05-21,8.68,9.1,8.68,9.0,2696334
2010-05-24,9.0,9.22,8.9,8.98,1614460
2010-05-25,8.72,9.12,8.64,9.1,2604866
2010-05-26,9.16,9.27,8.88,9.05,2079682
2010-05-27,9.24,9.46,9.2,9.31,1437388
2010-05-28,9.29,9.6,9.15,9.21,1571252
2010-06-01,9.18,9.5,8.94,8.96,2164136
2010-06-02,8.98,9.14,8.91,9.14,2108256
2010-06-03,9.2,9.42,9.12,9.32,1216088
2010-06-04,9.19,9.28,9.02,9.05,1496714
2010-06-07,9.06,9.12,8.82,8.82,1176824
2010-06-08,8.86,8.95,8.74,8.86,1284842
2010-06-09,8.97,9.14,8.84,8.94,1229976
2010-06-10,9.04,9.33,8.98,9.33,1340272
2010-06-11,9.22,9.46,9.08,9.44,1204172
2010-06-14,9.54,9.67,9.43,9.46,844486
2010-06-15,9.5,9.73,9.5,9.68,657942
2010-06-16,9.65,9.8,9.62,9.7,712232
2010-06-17,9.74,9.87,9.61,9.84,1453798
2010-06-18,9.86,9.9,9.73,9.88,1760214
2010-06-21,10.0,10.07,9.84,9.89,1326726
2010-06-22,9.93,10.0,9.7,9.74,1391018
2010-06-23,9.76,9.96,9.7,9.84,1524044
2010-06-24,9.84,10.02,9.7,9.82,2113928
2010-06-25,9.82,9.87,9.62,9.8,2077938
2010-06-28,9.84,9.99,9.78,9.86,854658
2010-06-29,9.72,9.8,9.5,9.58,1613774
2010-06-30,9.58,9.82,9.54,9.64,1569004
2010-07-01,9.62,9.72,9.46,9.6,1819052
2010-07-02,9.63,9.68,9.46,9.47,1706502
2010-07-06,9.61,9.72,9.37,9.51,2103148
2010-07-07,9.56,9.88,9.56,9.88,1552486
2010-07-08,9.98,10.05,9.84,10.0,1108410
2010-07-09,10.0,10.12,9.92,10.08,1198636
2010-07-12,10.02,10.13,9.93,10.09,850548
2010-07-13,10.16,10.28,10.09,10.22,821932
2010-07-14,10.22,10.37,10.14,10.36,1156598
2010-07-15,10.35,10.36,10.18,10.32,609854
2010-07-16,10.24,10.27,9.96,9.97,696328
2010-07-19,10.02,10.11,9.94,10.07,844106
2010-07-20,9.94,10.22,9.9,10.22,817334
2010-07-21,10.26,10.31,10.06,10.12,907228
2010-07-22,10.18,10.44,10.08,10.41,747346
2010-07-23,10.35,10.5,10.28,10.48,1067034
2010-07-26,10.48,10.51,10.4,10.48,1068170
2010-07-27,10.48,10.51,10.3,10.5,1026762
2010-07-28,10.44,10.54,10.36,10.5,1823034
2010-07-29,10.52,10.52,9.68,9.86,5654104
2010-07-30,9.77,9.98,9.64,9.89,1931852
2010-08-02,10.0,10.22,9.91,10.21,1080572
2010-08-03,10.19,10.24,9.92,10.08,1163080
2010-08-04,10.12,10.24,10.12,10.21,1338308
2010-08-05,10.13,10.21,10.08,10.14,853482
2010-08-06,10.01,10.15,9.94,10.1,884818
2010-08-09,10.18,10.26,10.09,10.26,901108
2010-08-10,10.13,10.18,10.02,10.07,836132
2010-08-11,9.94,9.94,9.74,9.79,955372
2010-08-12,9.62,9.79,9.5,9.74,555342
2010-08-13,9.72,9.92,9.64,9.69,860964
2010-08-16,9.6,9.76,9.58,9.76,762536
2010-08-17,9.82,9.92,9.78,9.83,967244
2010-08-18,9.84,9.86,9.7,9.78,1057040
2010-08-19,9.71,9.77,9.52,9.59,1051858
2010-08-20,9.52,9.64,9.44,9.54,822584
2010-08-23,9.58,9.61,9.38,9.4,675670
2010-08-24,9.3,9.3,9.1,9.11,1015700
2010-08-25,9.02,9.04,8.9,9.0,1467578
2010-08-26,9.0,9.1,8.98,9.06,1609620
2010-08-27,9.15,9.32,8.98,9.29,1445554
2010-08-30,9.19,9.34,9.16,9.22,2366040
2010-08-31,9.24,9.34,9.14,9.3,2135956
2010-09-01,9.48,9.78,9.43,9.66,1386160
2010-09-02,9.64,9.82,9.62,9.75,958510
2010-09-03,9.89,10.08,9.84,10.03,1016244
2010-09-07,10.32,10.34,9.78,9.78,738008
2010-09-08,9.78,9.91,9.66,9.86,769082
2010-09-09,9.96,10.0,9.85,9.92,640820
2010-09-10,9.91,9.91,9.74,9.78,654578
2010-09-13,9.84,10.02,9.78,9.96,815956
2010-09-14,9.96,10.02,9.94,9.94,1158352
2010-09-15,9.9,10.08,9.88,9.98,1074114
2010-09-16,9.99,10.03,9.84,9.99,482724
2010-09-17,9.98,10.0,9.88,9.91,1206140
2010-09-20,9.97,10.3,9.97,10.28,1046554
2010-09-21,10.23,10.38,10.2,10.32,773030
2010-09-22,10.32,10.46,10.22,10.4,854406
2010-09-23,10.25,10.35,10.1,10.13,535324
2010-09-24,10.3,10.44,10.3,10.4,612134
2010-09-27,10.45,10.49,10.32,10.37,748654
2010-09-28,10.37,10.44,10.0,10.08,2054358
2010-09-29,10.1,10.28,10.06,10.28,1191602
2010-09-30,10.37,10.54,10.26,10.4,1756202
2010-10-01,10.52,10.52,10.16,10.38,995598
2010-10-04,10.38,10.42,10.16,10.21,441918
2010-10-05,10.33,10.53,10.3,10.48,673912
2010-10-06,10.5,10.54,10.34,10.42,531338
2010-10-07,10.49,10.49,10.36,10.44,372854
2010-10-08,10.46,10.54,10.36,10.5,834180
2010-10-11,10.47,10.65,10.42,10.58,448058
2010-10-12,10.58,10.7,10.47,10.64,502446
2010-10-13,10.72,10.86,10.69,10.8,1890564
2010-10-14,10.8,10.9,10.68,10.76,736298
2010-10-15,10.88,10.96,10.76,10.94,981224
2010-10-18,10.97,10.98,10.88,10.94,726726
2010-10-19,10.76,10.94,10.68,10.76,693942
2010-10-20,10.84,11.04,10.76,10.94,1098512
2010-10-21,10.96,11.12,10.88,10.92,799308
2010-10-22,10.96,11.02,10.88,10.98,407130
2010-10-25,11.07,11.12,10.91,11.0,735790
2010-10-26,10.95,11.05,10.82,10.98,1109382
2010-10-27,10.86,10.99,10.75,10.8,1201954
2010-10-28,10.84,11.09,10.84,11.0,1146400
2010-10-29,10.98,11.0,10.83,10.88,1327632
2010-11-01,10.88,10.92,10.76,10.88,1423490
2010-11-02,10.88,11.0,10.82,10.98,1332152
2010-11-03,11.03,11.03,10.88,11.0,1354296
2010-11-04,11.06,11.22,10.96,11.22,1760918
2010-11-05,11.2,11.33,11.18,11.3,774482
2010-11-08,11.26,11.33,11.18,11.22,978106
2010-11-09,11.24,11.3,11.12,11.14,968676
2010-11-10,11.18,11.3,11.04,11.28,977996
2010-11-11,11.2,11.42,11.18,11.4,1363896
2010-11-12,11.36,11.46,11.28,11.28,999836
2010-11-15,11.31,11.4,11.14,11.16,878302
2010-11-16,11.08,11.24,10.89,10.98,1427486
2010-11-17,11.01,11.12,10.94,11.06,699058
2010-11-18,11.19,11.26,11.1,11.16,1097324
2010-11-19,11.16,11.17,10.94,10.97,1489038
2010-11-22,10.9,10.98,10.75,10.9,1739912
2010-11-23,10.76,10.9,10.68,10.74,1444908
2010-11-24,10.85,10.95,10.73,10.88,1569806
2010-11-26,10.8,11.0,10.8,10.92,597676
2010-11-29,10.83,10.85,10.5,10.66,1596360
2010-11-30,10.55,10.84,10.45,10.79,1667306
2010-12-01,10.94,11.06,10.92,10.97,1584024
2010-12-02,11.0,11.1,10.98,10.98,1388962
2010-12-03,10.99,11.06,10.98,11.02,1111198
2010-12-06,11.02,11.26,10.98,11.26,1200324
2010-12-07,11.3,11.36,11.12,11.18,1501006
2010-12-08,11.22,11.3,11.18,11.24,928494
2010-12-09,11.26,11.38,11.24,11.26,1470510
2010-12-10,11.28,11.4,11.21,11.39,846032
2010-12-13,11.42,11.52,11.37,11.4,783162
2010-12-14,11.48,11.62,11.34,11.52,1123580
2010-12-15,11.54,11.62,11.4,11.42,1060964
2010-12-16,11.48,11.6,11.36,11.52,594542
2010-12-17,11.56,11.56,11.42,11.44,1965488
2010-12-20,11.48,11.5,11.34,11.36,1090702
2010-12-21,11.38,11.48,11.34,11.41,1193496
2010-12-22,11.4,11.49,11.33,11.42,699236
2010-12-23,11.42,11.48,11.27,11.3,682218
2010-12-27,11.29,11.41,11.18,11.4,881218
