Date,Open,High,Low,Close,Volume
2010-01-04,25.32,25.91,24.93,25.88,3811312
2010-01-05,25.8,26.61,25.72,26.42,4839143
2010-01-06,26.25,26.93,25.93,26.82,4519958
2010-01-07,26.82,27.59,26.47,27.45,5713804
2010-01-08,27.18,27.48,26.65,27.03,3478985
2010-01-11,27.32,27.53,26.99,27.39,3233068
2010-01-12,28.4,28.44,26.67,26.93,5980075
2010-01-13,26.9,27.53,26.32,27.31,4143488
2010-01-14,27.18,27.56,26.49,27.46,4901693
2010-01-15,27.23,27.36,26.69,26.89,3940311
2010-01-19,26.85,27.71,26.6,27.69,3802317
2010-01-20,27.46,27.46,26.89,27.07,2664081
2010-01-21,27.11,27.4,25.83,26.01,5978038
2010-01-22,25.99,26.18,24.32,24.47,7236754
2010-01-25,25.1,25.65,24.54,24.81,3253769
2010-01-26,24.56,25.58,24.45,24.67,4413657
2010-01-27,24.47,25.57,24.34,25.49,3778164
2010-01-28,25.81,25.81,24.4,24.82,4469566
2010-01-29,25.09,25.68,24.43,24.58,4326231
2010-02-01,25.0,25.27,24.71,24.93,3444534
2010-02-02,25.0,26.3,24.71,26.17,6030535
2010-02-03,26.0,26.08,25.22,25.47,4034708
2010-02-04,25.19,25.19,23.75,23.77,7142656
2010-02-05,23.81,24.28,22.52,23.72,7099705
2010-02-08,23.82,24.52,23.37,23.5,5034529
2010-02-09,24.5,25.2,23.84,24.5,10533642
2010-02-10,24.5,24.88,24.05,24.46,3340187
2010-02-11,24.44,24.88,23.71,24.82,3891146
2010-02-12,24.46,24.8,23.96,24.7,3857388
2010-02-16,24.57,24.95,24.11,24.93,3897530
2010-02-17,25.19,25.4,24.91,25.15,3309473
2010-02-18,24.88,25.76,24.88,25.72,4458656
2010-02-19,25.43,25.71,24.76,25.48,4873630
2010-02-22,25.6,25.89,25.46,25.78,3442218
2010-02-23,25.61,25.61,24.42,24.65,5113322
2010-02-24,24.77,25.36,24.64,25.34,3345209
2010-02-25,24.8,25.3,24.51,25.27,5087600
2010-02-26,25.22,25.27,24.81,25.18,3086569
2010-03-01,25.27,25.69,25.19,25.62,2629620
2010-03-02,25.72,26.54,25.69,26.11,5537397
2010-03-03,26.15,26.35,25.94,26.27,3396075
2010-03-04,26.22,26.68,26.12,26.58,3089741
2010-03-05,26.66,27.1,26.53,26.98,3131717
2010-03-08,27.06,27.43,26.87,26.94,2779182
2010-03-09,26.9,27.4,26.56,27.18,2365980
2010-03-10,27.38,27.66,27.04,27.21,3229258
2010-03-11,27.06,27.34,26.84,27.33,1862700
2010-03-12,27.55,27.75,27.18,27.36,2695964
2010-03-15,27.12,28.32,27.12,28.2,5472688
2010-03-16,28.3,28.53,27.75,28.48,3756217
2010-03-17,29.1,30.74,29.07,29.73,9951174
2010-03-18,29.53,29.81,29.08,29.24,4512025
2010-03-19,29.33,29.49,28.74,28.76,3821787
2010-03-22,28.34,28.88,27.83,28.82,3557574
2010-03-23,28.84,29.05,28.41,28.96,2709348
2010-03-24,28.72,29.51,28.72,29.09,3061432
2010-03-25,29.44,29.94,28.94,28.99,4615231
2010-03-26,29.12,30.32,29.12,29.75,4706546
2010-03-29,30.07,30.27,29.89,30.22,3721833
2010-03-30,30.23,30.34,29.82,30.08,2137883
2010-03-31,29.9,30.7,29.86,30.7,3901446
