Date,Open,High,Low,Close,Volume
2010-01-04,24.07,24.77,23.9,24.75,913178
2010-01-05,24.67,25.16,24.67,25.14,729864
2010-01-06,25.13,26.06,25.13,25.92,1460745
2010-01-07,25.84,25.95,25.59,25.76,815992
2010-01-08,25.6,25.7,25.43,25.69,621916
2010-01-11,25.71,25.97,25.59,25.85,518304
2010-01-12,25.7,25.91,25.25,25.37,624275
2010-01-13,25.39,25.67,25.26,25.64,476330
2010-01-14,25.53,25.67,25.38,25.47,637698
2010-01-15,25.34,25.55,24.67,24.81,870741
2010-01-19,24.92,25.06,24.65,24.95,532746
2010-01-20,24.79,24.9,24.36,24.8,651963
2010-01-21,24.81,24.99,24.49,24.51,1292783
2010-01-22,24.5,24.52,23.53,23.57,1320047
2010-01-25,23.95,24.13,23.72,23.89,748914
2010-01-26,23.81,23.81,23.03,23.1,798949
2010-01-27,23.04,23.3,22.68,23.06,1103255
2010-01-28,23.23,23.42,22.52,22.83,779330
2010-01-29,22.9,23.51,22.28,22.33,989921
2010-02-01,22.48,23.08,22.39,23.07,796070
2010-02-02,23.07,23.5,22.98,23.48,757598
2010-02-03,23.35,23.48,23.2,23.32,525425
2010-02-04,23.14,23.31,21.77,21.8,1409533
2010-02-05,21.72,22.05,21.3,21.95,1460574
2010-02-08,21.96,22.25,21.68,21.72,777425
2010-02-09,22.22,22.4,21.74,22.0,904613
2010-02-10,22.01,22.1,21.68,21.79,625121
2010-02-11,21.76,22.14,21.45,22.08,859673
2010-02-12,21.82,21.92,21.56,21.82,1145433
2010-02-16,22.06,22.48,21.82,22.45,612344
2010-02-17,22.54,22.98,22.32,22.91,895664
2010-02-18,22.87,23.13,22.74,23.09,577587
2010-02-19,22.94,23.25,22.78,23.19,747333
2010-02-22,23.46,23.48,23.17,23.4,464323
2010-02-23,23.38,23.43,22.45,22.67,707611
2010-02-24,22.8,23.19,22.65,23.06,595755
2010-02-25,22.71,23.39,22.51,23.33,687362
2010-02-26,23.42,23.78,23.18,23.74,771669
2010-03-01,23.86,24.42,23.81,24.37,1061522
2010-03-02,24.45,24.9,24.43,24.53,718869
2010-03-03,24.56,24.91,24.47,24.51,607487
2010-03-04,24.51,24.54,24.14,24.46,534738
2010-03-05,24.62,24.98,24.5,24.95,738729
2010-03-08,25.0,25.13,24.88,24.98,560762
2010-03-09,24.88,25.5,24.85,25.14,571535
2010-03-10,25.25,25.44,24.95,25.02,861351
2010-03-11,24.94,25.31,24.8,25.31,558662
2010-03-12,25.59,25.59,25.2,25.26,527628
2010-03-15,25.2,25.25,24.87,25.06,536994
2010-03-16,25.14,25.34,25.03,25.34,402406
2010-03-17,25.48,25.63,25.32,25.59,704078
2010-03-18,25.6,25.6,25.25,25.56,403277
2010-03-19,25.66,25.9,25.37,25.37,1425441
2010-03-22,25.24,25.63,25.11,25.61,638427
2010-03-23,25.68,25.82,25.44,25.82,563186
2010-03-24,25.68,25.77,25.5,25.54,524103
2010-03-25,25.81,25.81,25.23,25.26,558385
2010-03-26,25.28,25.51,24.94,25.16,619581
2010-03-29,25.28,25.53,24.99,25.0,981240
2010-03-30,25.02,25.36,24.84,25.03,814864
2010-03-31,24.92,25.08,24.73,24.81,908858
2010-04-01,25.03,25.38,24.95,25.36,590313
2010-04-05,25.44,25.75,25.2,25.56,683284
2010-04-06,25.5,25.91,25.3,25.91,584530
2010-04-07,25.85,25.85,25.48,25.6,572392
2010-04-08,25.45,25.71,25.26,25.5,657082
2010-04-09,25.54,25.65,25.4,25.58,444533
2010-04-12,25.59,27.18,25.54,26.84,2435497
2010-04-13,26.91,27.22,26.67,27.01,1800499
2010-04-14,27.13,27.85,27.08,27.75,1363462
2010-04-15,27.74,28.37,27.64,28.05,1408847
2010-04-16,27.99,28.19,26.8,26.8,1918452
