Date,Open,High,Low,Close,Volume
2010-01-04,16.9,17.35,16.8,17.06,8823080
2010-01-05,17.02,17.21,16.79,16.86,9931679
2010-01-06,16.95,17.29,16.87,17.1,13240630
2010-01-07,17.54,17.66,16.96,17.49,19939504
2010-01-08,17.14,17.2,16.85,16.92,13218029
2010-01-11,17.11,17.11,16.38,16.62,13104404
2010-01-12,16.41,16.63,16.2,16.37,9282709
2010-01-13,16.45,16.76,16.39,16.44,11280188
2010-01-14,16.34,16.56,16.17,16.51,7264646
2010-01-15,16.51,16.78,16.34,16.55,7861362
2010-01-19,16.52,16.75,16.52,16.69,6200085
2010-01-20,16.58,16.65,16.31,16.44,8340303
2010-01-21,16.48,16.74,15.71,15.74,15398218
2010-01-22,15.8,16.11,15.44,15.57,14624874
2010-01-25,15.77,15.87,15.48,15.53,8914086
2010-01-26,15.54,16.07,15.39,15.82,12576863
2010-01-27,15.74,15.95,15.46,15.67,9142076
2010-01-28,15.8,15.96,15.53,15.78,11604123
2010-01-29,16.12,16.32,15.92,15.93,13552513
2010-02-01,15.61,15.92,15.34,15.92,21044851
2010-02-02,15.89,16.32,15.77,16.21,11490220
2010-02-03,16.01,16.29,15.89,16.24,9002476
2010-02-04,16.83,17.06,16.41,16.67,25824956
2010-02-05,16.67,16.72,15.8,16.42,15113023
2010-02-08,16.47,16.69,16.24,16.27,11105931
2010-02-09,16.47,16.88,16.32,16.71,9663688
2010-02-10,16.72,16.9,16.51,16.75,10031801
2010-02-11,16.68,17.14,16.53,17.13,8385261
2010-02-12,16.91,17.39,16.76,17.32,8156952
2010-02-16,17.29,17.92,17.29,17.89,10002995
2010-02-17,17.84,18.1,17.76,17.93,8487206
2010-02-18,17.85,18.29,17.67,18.16,9652246
2010-02-19,18.08,18.62,18.08,18.54,8311236
2010-02-22,18.61,18.85,18.33,18.47,16614810
2010-02-23,18.39,18.86,18.28,18.67,14244586
2010-02-24,18.57,19.55,18.57,19.52,15246705
2010-02-25,19.14,19.38,19.03,19.28,16659687
2010-02-26,19.28,19.35,19.03,19.15,11371356
2010-03-01,19.21,19.96,19.18,19.78,13501389
2010-03-02,19.96,20.05,19.56,20.0,15374159
2010-03-03,19.95,20.1,19.81,20.03,12867056
2010-03-04,20.12,20.53,19.82,19.88,20926114
2010-03-05,20.03,20.6,19.94,20.45,11863110
2010-03-08,20.84,21.17,20.62,21.04,13075747
2010-03-09,20.98,21.06,20.46,20.68,9295129
2010-03-10,20.66,21.32,20.58,20.98,10624500
2010-03-11,20.88,21.28,20.81,21.06,7720938
2010-03-12,21.32,21.8,21.21,21.75,13393829
2010-03-15,21.59,21.74,21.33,21.56,11341466
2010-03-16,21.6,21.68,21.41,21.64,5545352
2010-03-17,21.79,21.82,21.34,21.58,7045357
2010-03-18,21.52,21.63,21.19,21.39,6875201
2010-03-19,21.46,21.5,20.81,20.89,10886506
2010-03-22,20.68,22.05,20.65,22.0,15856615
2010-03-23,22.11,22.16,21.42,21.87,12568804
2010-03-24,21.74,21.86,21.37,21.5,6577142
2010-03-25,21.72,22.1,21.49,21.5,6482950
2010-03-26,21.6,22.0,21.53,21.72,5452454
2010-03-29,21.87,21.99,21.6,21.64,5918162
2010-03-30,21.62,22.27,21.43,22.12,10229059
2010-03-31,21.93,22.13,21.65,21.77,8912394
2010-04-01,21.99,22.4,21.93,22.34,7789182
2010-04-05,22.4,22.86,22.24,22.84,9910193
2010-04-06,22.75,22.81,22.43,22.61,6338548
2010-04-07,22.64,22.95,22.23,22.46,11047841
2010-04-08,22.2,22.74,22.08,22.65,11379304
2010-04-09,22.61,23.53,22.51,23.51,9924826
2010-04-12,23.5,23.59,22.92,22.94,8161002
2010-04-13,22.96,23.39,22.91,23.24,7152424
2010-04-14,23.39,23.97,23.16,23.96,9683397
2010-04-15,23.87,24.13,23.7,23.76,8949915
2010-04-16,23.58,23.74,22.88,22.98,10103802
2010-04-19,22.9,23.19,22.24,22.9,9214653
2010-04-20,23.02,23.35,22.83,23.01,6970844
2010-04-21,23.08,23.46,22.65,23.44,9741137
2010-04-22,23.26,24.56,23.14,24.48,12120659
2010-04-23,24.59,24.85,24.34,24.83,8289941
2010-04-26,24.93,25.25,24.74,24.85,10826542
2010-04-27,24.57,24.73,23.84,23.91,15620520
2010-04-28,24.07,24.48,23.54,24.03,10493212
2010-04-29,24.14,24.78,24.08,24.68,8213832
2010-04-30,24.73,24.77,23.13,23.2,13736916
2010-05-03,23.38,23.92,23.25,23.74,9581747
2010-05-04,23.42,23.54,22.66,22.77,11596930
2010-05-05,22.4,23.59,22.07,23.22,14015758
2010-05-06,22.95,23.5,21.0,22.42,16699772
2010-05-07,22.42,23.0,21.22,21.94,19231178
2010-05-10,22.93,24.03,22.93,23.97,13556123
2010-05-11,23.48,24.59,23.48,23.9,11652678
2010-05-12,24.43,24.84,23.73,24.7,16556320
2010-05-13,24.57,24.57,23.36,23.48,10928585
2010-05-14,23.12,23.27,22.17,22.54,14567057
2010-05-17,22.7,22.85,21.61,22.31,13805463
2010-05-18,22.6,22.67,21.28,21.37,17846868
2010-05-19,21.67,21.94,20.93,21.35,15519416
2010-05-20,20.78,21.04,20.27,20.35,22172118
2010-05-21,20.07,21.24,19.9,21.05,16883172
2010-05-24,21.03,21.59,20.93,21.15,12801131
2010-05-25,20.34,21.53,20.12,21.51,13351272
2010-05-26,21.82,21.88,20.9,21.02,12148401
2010-05-27,21.62,22.08,21.25,22.05,10428767
2010-05-28,22.03,22.62,21.93,22.21,10119118
2010-06-01,22.33,22.93,21.86,21.88,13186465
2010-06-02,22.07,22.43,21.79,22.4,9234784
2010-06-03,22.64,23.06,22.28,22.49,11679137
2010-06-04,21.9,22.03,20.86,21.03,12302526
2010-06-07,21.1,21.39,20.58,20.58,10050690
2010-06-08,20.67,20.88,20.03,20.58,10358789
2010-06-09,20.74,21.22,20.35,20.52,11730310
2010-06-10,21.0,21.4,20.88,21.33,8205744
2010-06-11,20.99,21.58,20.75,21.24,6824074
2010-06-14,21.5,22.11,21.41,21.73,7655539
2010-06-15,21.99,22.31,21.54,22.21,11637256
2010-06-16,21.93,22.12,21.55,21.8,7042867
2010-06-17,21.96,21.97,21.28,21.67,6524851
2010-06-18,21.73,21.84,21.27,21.46,6990169
2010-06-21,21.78,21.8,20.57,20.74,8110866
2010-06-22,20.8,21.15,20.0,20.06,11087883
2010-06-23,20.03,20.28,19.55,20.09,13746229
2010-06-24,19.84,19.88,18.8,18.85,16068359
2010-06-25,18.88,19.27,18.67,19.02,14157708
2010-06-28,19.0,19.22,18.58,18.82,10097469
2010-06-29,18.43,18.48,17.63,17.77,14539141
2010-06-30,17.85,18.39,17.8,17.9,12077954
2010-07-01,17.82,18.38,17.58,18.33,17295677
2010-07-02,18.48,18.54,17.73,17.85,7059935
2010-07-06,18.29,18.4,17.2,17.41,11937905
2010-07-07,17.35,17.94,17.34,17.91,15118930
2010-07-08,18.4,18.56,17.76,18.44,15866147
2010-07-09,18.46,18.59,18.14,18.53,8152965
2010-07-12,18.45,18.56,17.79,17.98,8036041
2010-07-13,18.18,18.59,18.03,18.47,8043235
2010-07-14,18.42,18.54,18.03,18.38,7003383
2010-07-15,18.4,18.47,17.92,18.3,8319703
2010-07-16,18.21,18.25,17.11,17.16,9126070
2010-07-19,17.39,17.59,16.92,17.53,6977649
2010-07-20,17.26,18.44,17.08,18.42,12855764
2010-07-21,18.49,18.93,18.09,18.2,14750951
2010-07-22,18.48,19.38,18.43,19.24,12465045
2010-07-23,19.17,19.48,18.83,19.38,9023723
2010-07-26,19.48,20.15,19.1,20.14,7897648
2010-07-27,20.3,20.35,19.5,19.58,9281768
2010-07-28,19.48,19.73,19.0,19.05,7137465
2010-07-29,19.22,19.5,18.39,18.64,10589754
2010-07-30,18.39,18.77,18.25,18.65,9609848
2010-08-02,19.08,19.5,18.75,19.46,8272235
2010-08-03,19.44,19.45,18.7,18.84,9463880
2010-08-04,18.95,19.48,18.95,19.44,9171227
2010-08-05,19.1,19.95,18.76,19.78,13107167
2010-08-06,19.56,19.78,19.03,19.44,7567713
2010-08-09,19.62,19.98,19.37,19.76,6331580
2010-08-10,19.85,19.85,19.22,19.38,11610925
2010-08-11,19.62,20.58,19.43,20.52,24965649
2010-08-12,20.14,20.33,19.74,20.25,14537331
2010-08-13,20.14,20.47,20.05,20.13,9364764
2010-08-16,19.89,20.34,19.75,20.14,7894209
2010-08-17,20.36,20.77,20.19,20.51,8515370
2010-08-18,20.47,21.19,20.42,21.05,10032628
2010-08-19,20.87,20.97,20.54,20.72,7126878
2010-08-20,20.54,21.12,20.41,20.97,7054458
2010-08-23,20.93,21.07,20.16,20.2,8156373
2010-08-24,20.0,20.0,19.29,19.59,11874178
2010-08-25,19.45,20.0,19.2,19.79,9588068
2010-08-26,19.86,20.05,19.05,19.21,10105565
2010-08-27,19.37,19.78,19.05,19.6,9657422
2010-08-30,19.54,19.73,19.12,19.19,6423970
2010-08-31,19.08,19.74,19.0,19.4,8390393
2010-09-01,19.7,20.26,19.66,20.19,6945601
2010-09-02,20.41,20.77,20.16,20.71,7841583
2010-09-03,21.07,21.32,20.76,20.87,7508428
2010-09-07,20.76,21.0,20.42,20.48,5836760
2010-09-08,20.35,20.87,20.22,20.42,8991126
2010-09-09,20.82,20.89,20.4,20.63,5106211
2010-09-10,20.6,20.95,20.41,20.8,4727370
2010-09-13,21.06,21.26,20.94,21.05,5511465
2010-09-14,21.31,22.12,21.07,21.65,10214774
2010-09-15,21.46,21.64,21.35,21.5,5434193
2010-09-16,21.4,21.74,21.27,21.69,5552062
2010-09-17,21.86,21.89,21.38,21.74,7224489
2010-09-20,21.78,22.23,21.55,22.13,7309873
2010-09-21,22.09,22.23,21.63,21.99,7600229
2010-09-22,21.75,22.1,21.45,22.0,11509902
2010-09-23,21.82,22.71,21.64,22.28,13304649
2010-09-24,22.69,23.0,22.51,22.75,7321208
2010-09-27,22.86,22.97,22.61,22.73,5085215
2010-09-28,22.76,23.04,22.36,22.97,8458468
2010-09-29,22.84,23.23,22.77,23.17,5817549
2010-09-30,23.29,23.4,22.7,23.08,6948635
2010-10-01,23.32,23.4,23.04,23.15,8078087
2010-10-04,22.71,22.77,22.01,22.76,11540377
2010-10-05,23.27,23.7,23.08,23.52,10866863
2010-10-06,23.47,23.73,23.09,23.7,9846577
2010-10-07,23.44,23.98,23.25,23.85,9368930
2010-10-08,23.93,24.5,23.83,24.36,8884237
2010-10-11,24.41,25.26,24.38,24.85,11767557
2010-10-12,24.72,25.07,24.56,24.96,7008283
2010-10-13,25.1,25.18,24.28,24.34,9215699
2010-10-14,24.38,24.71,23.79,24.04,9213525
2010-10-15,24.31,24.38,23.88,24.18,6672721
2010-10-18,24.24,24.6,23.94,24.0,8379184
2010-10-19,23.64,23.8,22.46,22.64,18822431
2010-10-20,22.79,22.98,22.36,22.43,13424063
2010-10-21,22.55,22.62,21.9,22.25,9322639
2010-10-22,22.33,22.4,21.99,22.18,7421732
2010-10-25,22.34,22.95,22.32,22.47,8319826
2010-10-26,22.37,23.14,22.19,22.96,8788067
2010-10-27,22.8,23.21,22.51,23.04,10446547
2010-10-28,23.52,23.67,22.83,23.29,10465989
2010-10-29,23.23,23.93,23.09,23.67,8939257
2010-11-01,23.87,24.26,23.73,23.97,8170476
2010-11-02,24.18,24.37,23.69,24.02,8271074
2010-11-03,24.03,24.11,23.56,23.97,6687579
2010-11-04,24.67,25.85,24.6,25.56,11477720
2010-11-05,25.73,26.03,25.5,25.57,7505361
2010-11-08,25.39,25.63,25.07,25.57,6575882
