Date,Open,High,Low,Close,Volume
2010-01-04,25.8,25.82,25.61,25.68,9320420
2010-01-05,25.78,25.8,25.3,25.61,12905260
2010-01-06,25.62,25.62,25.25,25.56,10786010
2010-01-07,25.34,25.41,25.1,25.39,11273080
2010-01-08,25.23,25.49,25.17,25.4,8634160
2010-01-11,25.46,25.54,24.79,24.98,11172560
2010-01-12,24.96,25.29,24.86,24.97,8594370
2010-01-13,25.18,25.62,24.97,25.62,8584330
2010-01-14,25.62,26.18,25.45,26.05,12434480
2010-01-15,26.18,26.59,26.06,26.26,19421700
2010-01-19,26.25,26.99,26.17,26.48,14632190
2010-01-20,26.3,26.62,26.22,26.34,10211000
2010-01-21,26.36,26.7,25.61,25.85,14130670
2010-01-22,25.74,26.1,25.11,25.18,13250290
2010-01-25,25.34,25.42,24.85,25.24,10810070
2010-01-26,25.2,25.31,24.8,24.86,11198610
2010-01-27,24.97,25.64,24.84,25.63,10065640
2010-01-28,25.63,25.8,24.58,24.94,16119530
2010-01-29,25.12,25.51,24.91,24.99,15045610
2010-02-01,25.11,25.65,25.11,25.34,9329470
2010-02-02,25.62,25.63,25.18,25.26,13405850
2010-02-03,25.24,25.4,24.71,24.76,17992240
2010-02-04,23.43,23.55,22.09,22.21,108396550
2010-02-05,22.54,22.54,21.72,22.07,58137070
2010-02-08,22.1,22.85,22.02,22.64,28166180
2010-02-09,22.86,22.86,22.3,22.34,16493240
2010-02-10,22.17,22.79,22.17,22.69,18325790
2010-02-11,22.69,22.93,22.48,22.9,12220900
2010-02-12,22.78,22.78,22.46,22.55,14837990
2010-02-16,22.66,22.82,22.45,22.53,17567430
2010-02-17,22.56,22.6,22.34,22.48,12499260
2010-02-18,22.43,22.43,22.16,22.2,17285080
2010-02-19,22.19,22.39,21.96,22.26,17619860
2010-02-22,22.28,22.7,22.28,22.42,10855650
2010-02-23,22.32,22.37,21.94,22.2,16546430
2010-02-24,22.2,22.31,21.9,22.18,15190550
2010-02-25,21.96,22.32,21.64,22.15,19895220
2010-02-26,22.3,22.51,22.11,22.44,10949630
2010-03-01,22.59,23.29,22.54,23.27,24264070
2010-03-02,23.23,23.35,22.91,23.18,13247240
2010-03-03,23.18,23.45,23.1,23.22,13619170
2010-03-04,23.17,23.35,22.98,23.3,10161880
2010-03-05,23.37,23.98,23.27,23.95,32910190
2010-03-08,23.91,24.71,23.84,24.56,29560880
2010-03-09,24.5,25.19,24.47,24.65,21856600
2010-03-10,24.71,25.05,24.61,24.96,19562960
2010-03-11,24.8,25.05,24.61,25.02,11507770
2010-03-12,25.11,25.18,24.85,25.0,8735950
2010-03-15,25.1,25.1,24.6,25.01,11269490
2010-03-16,25.02,25.13,24.69,24.93,9671170
2010-03-17,24.97,25.1,24.68,24.86,11143070
2010-03-18,24.88,24.88,24.46,24.63,7592770
2010-03-19,24.75,24.81,24.26,24.44,9800040
2010-03-22,24.28,24.82,24.22,24.71,8088620
2010-03-23,24.71,25.06,24.44,24.56,11015830
2010-03-24,24.52,24.69,24.4,24.47,7699140
2010-03-25,24.64,25.03,24.61,24.61,13146100
2010-03-26,24.72,24.88,24.51,24.62,10835960
2010-03-29,24.69,24.92,24.66,24.8,7286230
2010-03-30,24.92,25.38,24.92,25.24,12045150
2010-03-31,25.22,25.43,25.14,25.4,9332460
2010-04-01,25.56,25.59,25.21,25.39,11190320
2010-04-05,25.45,25.63,25.29,25.56,7456250
2010-04-06,25.48,26.1,25.48,25.88,13992170
2010-04-07,25.89,25.96,25.49,25.57,7831590
2010-04-08,25.41,25.73,25.41,25.69,6401110
2010-04-09,25.88,26.0,25.68,25.89,4965410
2010-04-12,25.83,26.1,25.83,25.96,6536270
2010-04-13,25.87,26.05,25.72,25.85,7130450
2010-04-14,25.91,26.42,25.8,26.31,11660160
2010-04-15,26.46,26.47,26.22,26.26,6284010
2010-04-16,26.1,26.37,25.83,25.95,11495600
2010-04-19,25.88,26.15,25.47,25.73,9571270
2010-04-20,25.9,26.29,25.72,26.14,7374330
2010-04-21,26.34,26.34,25.88,26.06,5034070
2010-04-22,25.88,26.25,25.2,26.16,8644950
2010-04-23,26.36,26.76,26.2,26.72,10390060
2010-04-26,26.82,26.92,26.57,26.58,7094720
2010-04-27,26.58,26.58,25.48,25.48,10984440
2010-04-28,25.65,25.73,25.06,25.3,18005850
2010-04-29,25.37,25.84,25.18,25.54,14102810
2010-04-30,25.72,25.74,24.6,24.8,16694850
2010-05-03,25.12,25.14,24.45,25.07,16931850
2010-05-04,25.34,25.74,24.83,25.12,29394230
2010-05-05,24.8,24.9,23.6,23.79,25630510
2010-05-06,23.54,23.8,21.1,23.03,34284500
2010-05-07,22.84,23.4,22.2,22.31,29309830
2010-05-10,23.4,23.61,22.83,23.03,29826530
2010-05-11,22.74,22.75,22.12,22.32,29272290
2010-05-12,22.5,23.62,22.46,23.26,29124680
2010-05-13,23.27,23.99,23.06,23.23,22071690
2010-05-14,21.53,22.0,20.91,21.24,101988410
2010-05-17,21.52,21.67,20.82,21.08,34153090
2010-05-18,21.29,21.46,19.56,20.28,70840570
2010-05-19,20.3,21.32,19.6,20.24,91587700
2010-05-20,19.67,21.0,19.67,20.55,51168140
2010-05-21,20.24,21.73,20.22,21.38,43426470
2010-05-24,21.54,21.65,20.98,20.98,17858560
2010-05-25,20.41,20.87,20.38,20.69,22478660
2010-05-26,21.03,21.3,20.5,20.5,21776890
2010-05-27,21.02,21.13,20.58,20.78,19666930
2010-05-28,20.74,20.82,20.12,20.18,25474140
2010-06-01,20.1,20.37,19.98,20.04,22637830
2010-06-02,20.13,20.19,19.96,20.1,20430320
2010-06-03,20.13,20.36,20.12,20.2,19653360
2010-06-04,19.95,20.09,19.65,19.67,33177980
2010-06-07,19.73,20.55,19.73,20.01,26879800
2010-06-08,20.11,20.23,19.54,19.75,33613550
2010-06-09,19.8,20.06,19.38,19.55,26893350
2010-06-10,19.82,20.63,19.8,20.51,45767080
2010-06-11,20.4,20.54,20.16,20.49,19568570
2010-06-14,20.68,20.73,20.31,20.42,12165600
2010-06-15,20.54,20.97,20.29,20.96,18281420
2010-06-16,20.72,21.15,20.63,21.06,15793580
2010-06-17,21.22,21.72,21.11,21.4,22359120
2010-06-18,21.55,21.64,21.24,21.43,13863170
2010-06-21,21.57,23.05,21.27,22.33,53828360
2010-06-22,22.33,22.7,22.06,22.09,22197870
2010-06-23,22.18,22.23,21.55,21.98,13794360
2010-06-24,21.78,22.1,21.34,21.49,12290900
2010-06-25,21.47,21.84,21.12,21.84,18497310
2010-06-28,21.8,21.91,21.11,21.15,12428140
2010-06-29,21.0,21.0,20.11,20.3,17985150
2010-06-30,20.33,20.57,19.94,19.95,27040580
2010-07-01,19.96,20.45,19.47,20.27,17033760
2010-07-02,20.49,20.49,20.07,20.28,8443110
2010-07-06,20.4,20.6,19.81,20.0,16348690
2010-07-07,20.06,20.76,20.06,20.76,12674270
2010-07-08,20.82,21.0,20.67,20.97,9492800
2010-07-09,21.08,21.55,20.86,21.55,11867810
2010-07-12,21.3,21.58,21.13,21.37,7161310
2010-07-13,21.64,21.69,21.08,21.46,16829390
2010-07-14,21.5,21.6,21.21,21.32,8179020
2010-07-15,21.41,21.41,20.86,21.18,8166140
2010-07-16,20.64,20.68,19.72,19.72,28877030
2010-07-19,19.77,19.95,19.41,19.58,23195140
2010-07-20,19.3,20.54,19.3,20.53,17402300
2010-07-21,20.7,20.79,20.13,20.15,11655640
2010-07-22,20.49,20.93,20.35,20.84,9642290
2010-07-23,20.82,21.33,20.77,21.29,9820130
2010-07-26,21.36,21.7,21.14,21.28,9820820
2010-07-27,21.46,21.56,21.24,21.42,7513450
2010-07-28,21.27,21.49,21.01,21.01,8826730
2010-07-29,21.01,21.17,20.45,20.84,14649860
2010-07-30,20.55,21.04,20.55,21.0,7862410
2010-08-02,20.75,20.81,20.12,20.25,29193030
2010-08-03,19.86,20.46,19.8,20.09,31652420
2010-08-04,20.26,20.54,20.0,20.53,17867610
2010-08-05,20.39,20.54,20.11,20.16,18691900
2010-08-06,20.0,20.8,20.0,20.74,18456830
2010-08-09,20.96,21.51,20.82,21.49,19636520
2010-08-10,21.38,21.74,21.17,21.64,16621390
2010-08-11,21.25,21.47,20.97,20.97,16626810
2010-08-12,20.82,21.33,20.7,21.18,11461440
2010-08-13,21.28,21.3,21.04,21.06,8249560
2010-08-16,20.92,21.23,20.8,21.04,6005350
2010-08-17,21.12,21.5,21.06,21.4,7612970
2010-08-18,21.5,21.51,21.22,21.29,5573090
2010-08-19,21.27,21.4,20.86,20.89,8566930
2010-08-20,20.83,21.04,20.48,20.64,7898990
2010-08-23,20.83,20.85,20.47,20.52,6295820
2010-08-24,20.37,20.53,20.22,20.25,15150770
