Date,Open,High,Low,Close,Volume
2010-01-04,36.38,37.11,34.47,34.84,2642428
2010-01-05,34.53,34.75,34.08,34.43,2700915
2010-01-06,34.51,34.86,33.2,33.34,2775947
2010-01-07,33.38,33.69,32.64,33.47,2887542
2010-01-08,33.59,33.59,32.26,32.84,2171221
2010-01-11,33.33,33.5,32.8,32.93,1459960
2010-01-12,32.5,32.97,31.94,32.23,1709817
2010-01-13,32.26,33.11,31.97,32.99,1558988
2010-01-14,32.83,33.47,32.38,33.27,1555069
2010-01-15,33.18,33.31,32.66,32.78,1367196
2010-01-19,32.79,34.32,32.78,34.14,1765082
2010-01-20,33.67,34.35,33.5,33.7,2116069
2010-01-21,33.9,34.0,32.27,32.38,2137450
2010-01-22,32.32,33.04,31.44,31.55,1868815
2010-01-25,32.17,32.47,31.18,32.4,1368357
2010-01-26,32.2,32.57,31.32,31.37,1480449
2010-01-27,31.22,32.09,30.76,31.94,1798425
2010-01-28,32.1,32.13,30.7,31.09,1367726
2010-01-29,31.36,31.85,30.27,30.85,2141142
2010-02-01,31.11,31.71,30.99,31.45,1607546
2010-02-02,31.7,32.66,31.19,32.0,2436872
2010-02-03,31.75,31.92,30.78,31.28,1220025
2010-02-04,30.86,31.01,30.16,30.17,2672490
2010-02-05,30.3,31.37,30.17,31.31,2322873
2010-02-08,31.12,31.49,30.58,30.58,1749940
2010-02-09,31.16,31.18,30.18,30.5,2652936
2010-02-10,30.42,31.21,30.03,30.57,1745827
2010-02-11,29.75,30.11,29.3,29.97,2445246
2010-02-12,29.73,31.02,29.42,30.85,2402010
2010-02-16,31.25,32.07,30.95,32.0,2111202
2010-02-17,32.01,33.88,32.01,33.68,2907422
2010-02-18,33.41,34.31,33.12,34.06,2456698
2010-02-19,34.04,34.29,33.56,33.64,1761767
2010-02-22,33.85,33.9,33.3,33.37,1575929
2010-02-23,33.24,33.98,33.14,33.67,2114546
2010-02-24,33.8,35.24,33.5,35.1,2642040
2010-02-25,34.37,35.98,34.26,35.87,1657944
2010-02-26,35.82,36.06,35.09,35.64,1329108
2010-03-01,35.9,36.02,35.47,35.93,1115152
2010-03-02,36.12,36.94,36.12,36.79,2296349
2010-03-03,36.92,37.28,36.24,36.3,1105097
2010-03-04,36.35,36.7,36.17,36.44,1351605
2010-03-05,36.66,38.85,36.66,38.58,2319527
2010-03-08,38.35,38.98,38.06,38.81,1118052
2010-03-09,38.51,39.61,38.27,38.6,1775993
2010-03-10,38.67,38.99,38.04,38.14,1605748
2010-03-11,38.28,38.73,37.65,38.61,1931626
2010-03-12,38.91,39.6,38.4,39.19,1088741
2010-03-15,39.17,39.35,38.26,39.11,1081080
2010-03-16,39.16,41.2,39.02,40.95,2930294
2010-03-17,41.18,41.34,40.64,41.07,1470054
2010-03-18,40.74,41.05,40.04,40.08,1472028
2010-03-19,40.17,40.17,39.22,39.4,1511301
2010-03-22,39.15,40.31,38.95,40.02,1265422
2010-03-23,40.09,40.09,39.01,39.26,1592180
2010-03-24,39.0,39.46,38.98,39.2,3124330
2010-03-25,39.69,40.79,39.55,39.61,1436511
2010-03-26,39.9,40.5,39.17,39.28,1206738
2010-03-29,39.38,40.08,39.17,39.63,1060151
2010-03-30,39.8,39.8,38.71,38.92,736885
2010-03-31,38.8,39.08,38.08,38.31,1241489
2010-04-01,38.67,38.92,38.17,38.77,942364
2010-04-05,39.06,40.53,38.94,40.43,1087923
2010-04-06,40.09,42.64,39.94,42.47,2537256
2010-04-07,42.26,42.5,40.19,40.47,1516215
2010-04-08,40.22,40.71,40.01,40.29,1213189
2010-04-09,41.05,42.18,40.95,41.99,1857313
2010-04-12,42.0,42.31,41.42,41.9,1648701
2010-04-13,41.77,43.64,41.68,43.51,2482023
2010-04-14,44.03,44.09,43.15,43.73,1400630
2010-04-15,40.93,40.98,40.0,40.9,28272010
2010-04-16,40.76,41.05,39.62,39.83,5965275
2010-04-19,39.47,40.7,39.31,40.14,2676220
2010-04-20,40.41,40.99,40.0,40.74,1858966
2010-04-21,40.74,41.99,40.74,41.83,2423750
2010-04-22,41.49,43.24,41.47,43.24,3532483
2010-04-23,43.32,45.28,42.59,45.0,6151184
2010-04-26,44.96,45.73,44.83,45.49,2715014
2010-04-27,44.89,45.56,43.14,43.18,2674462
2010-04-28,43.74,43.94,42.86,43.52,2019353
2010-04-29,44.17,46.1,44.12,45.61,2780449
2010-04-30,45.6,46.7,44.21,44.71,3752876
2010-05-03,45.19,47.19,44.89,46.5,2072092
2010-05-04,45.26,45.26,43.95,44.45,3492687
2010-05-05,42.94,44.55,42.36,44.12,2679479
2010-05-06,43.16,43.83,37.94,41.6,3564251
2010-05-07,41.47,42.81,39.76,40.75,4243342
2010-05-10,43.12,44.18,42.84,44.12,3167468
2010-05-11,43.15,45.2,42.8,44.38,1917786
2010-05-12,44.81,46.09,44.66,45.49,2256985
2010-05-13,45.4,45.73,44.02,44.34,2006569
2010-05-14,43.76,44.13,42.75,43.31,2223300
2010-05-17,43.59,44.59,41.8,43.54,1986179
2010-05-18,44.39,44.48,41.75,42.37,1955078
2010-05-19,42.0,42.91,40.21,41.54,2091036
2010-05-20,40.16,40.92,39.03,39.48,2934889
2010-05-21,38.54,40.72,37.88,40.33,2824779
2010-05-24,40.25,41.34,39.84,40.15,2167592
2010-05-25,38.55,39.2,37.71,38.97,4674186
2010-05-26,39.6,40.74,38.77,39.25,6906524
2010-05-27,40.74,41.56,39.62,41.43,3058775
2010-05-28,41.46,42.33,40.88,41.36,2007691
2010-06-01,40.63,41.65,39.76,39.93,1853895
2010-06-02,40.37,40.54,39.18,40.35,2548352
2010-06-03,40.31,40.82,39.5,40.29,2019385
2010-06-04,39.05,39.87,37.57,37.81,2699002
2010-06-07,38.0,38.75,36.89,36.99,2492387
2010-06-08,37.05,37.74,35.82,37.6,2160505
2010-06-09,38.13,39.33,37.84,38.3,2643838
2010-06-10,39.28,40.3,38.78,39.94,2676831
2010-06-11,39.22,41.05,38.92,40.96,1760944
2010-06-14,41.54,42.31,41.0,41.61,1542576
2010-06-15,41.91,43.38,41.67,43.22,1242071
2010-06-16,42.92,43.12,41.75,42.06,1507851
2010-06-17,42.33,42.53,41.38,42.05,1269291
2010-06-18,42.74,43.07,41.77,42.91,2168431
2010-06-21,43.65,43.83,41.97,42.27,1520117
2010-06-22,42.56,42.9,40.49,40.52,1586210
2010-06-23,40.34,41.02,39.37,40.37,1311340
2010-06-24,40.04,40.4,38.75,38.95,1856910
2010-06-25,39.25,40.57,38.77,40.27,1864920
2010-06-28,40.47,40.47,39.2,39.33,1155936
2010-06-29,38.37,38.49,36.87,37.24,2006045
2010-06-30,37.22,38.6,37.13,37.32,1954211
2010-07-01,37.27,37.52,35.74,37.21,2039191
2010-07-02,37.59,37.68,36.34,36.59,1660459
2010-07-06,37.49,37.93,35.5,35.95,2406383
2010-07-07,35.95,38.73,35.94,38.69,2296333
2010-07-08,39.27,39.66,37.98,38.92,1772204
2010-07-09,38.8,39.62,38.65,39.58,1000750
2010-07-12,39.35,39.46,38.59,39.08,1133078
2010-07-13,39.76,40.5,39.45,40.0,1704856
2010-07-14,39.65,40.43,39.15,39.67,1312668
2010-07-15,39.6,39.68,38.38,39.4,937933
2010-07-16,39.11,39.11,37.03,37.51,2183789
2010-07-19,37.51,38.97,37.21,38.64,1488595
2010-07-20,37.91,39.37,37.64,39.06,1863899
2010-07-21,39.48,39.62,37.86,38.09,1699065
2010-07-22,38.8,39.88,38.46,39.57,1934590
2010-07-23,39.23,40.17,38.45,40.12,1604732
2010-07-26,40.21,41.89,39.97,41.39,1588225
2010-07-27,41.75,42.12,40.32,40.67,1223194
2010-07-28,40.52,41.65,40.41,40.95,1230920
2010-07-29,41.42,41.53,40.28,41.04,1074901
2010-07-30,40.2,41.68,39.99,41.45,1302356
2010-08-02,42.36,43.66,41.93,43.32,1765465
2010-08-03,43.04,43.13,42.18,42.31,1391071
2010-08-04,42.6,42.69,41.79,42.19,1726030
2010-08-05,41.65,42.39,41.35,41.39,1362914
2010-08-06,40.71,41.81,40.54,41.73,1250198
2010-08-09,42.04,42.67,41.23,41.75,1780498
2010-08-10,41.61,42.08,40.88,41.41,1659651
2010-08-11,40.28,41.12,39.26,39.79,1850183
2010-08-12,39.07,39.81,38.69,39.35,1884248
2010-08-13,39.26,39.9,38.91,39.29,1314399
2010-08-16,39.0,39.56,38.56,39.07,1506595
2010-08-17,39.64,41.25,39.3,40.82,1506838
2010-08-18,40.63,40.91,39.69,40.66,1466291
2010-08-19,40.56,40.65,39.65,39.86,1745145
2010-08-20,39.7,39.99,39.29,39.79,790152
2010-08-23,40.02,40.15,39.31,39.46,745029
2010-08-24,38.68,39.79,38.39,39.36,826505
2010-08-25,38.93,40.11,38.85,39.96,1048220
