Date,Open,High,Low,Close,Volume
2010-01-04,27.61,27.93,27.2,27.63,2695901
2010-01-05,27.57,27.92,27.37,27.79,2476714
2010-01-06,27.74,28.02,27.53,27.87,2629445
2010-01-07,27.75,28.17,27.7,27.98,2413417
2010-01-08,27.78,28.17,27.76,28.04,3733203
2010-01-11,28.13,28.34,27.81,27.98,2558192
2010-01-12,27.79,27.85,27.22,27.74,2836602
2010-01-13,27.81,28.22,27.72,28.13,2481536
2010-01-14,28.06,29.88,27.97,29.69,6727791
2010-01-15,29.68,29.68,29.04,29.3,4588823
2010-01-19,29.41,29.53,29.14,29.5,2460611
2010-01-20,29.32,29.38,28.67,28.79,3349983
2010-01-21,28.93,29.37,28.12,28.13,4130326
2010-01-22,28.12,28.25,27.4,27.45,3132539
2010-01-25,27.73,27.89,27.32,27.51,1868251
2010-01-26,27.39,27.74,27.12,27.14,3848849
2010-01-27,27.12,27.22,26.3,26.88,3666966
2010-01-28,27.05,27.23,26.32,26.67,2684197
2010-01-29,26.78,27.13,26.14,26.23,4771811
2010-02-01,26.39,26.63,26.34,26.56,2628806
2010-02-02,26.69,27.0,26.59,26.8,3690721
2010-02-03,26.69,26.71,26.38,26.51,3794452
2010-02-04,26.7,27.2,25.74,25.74,6065720
2010-02-05,25.78,26.22,25.63,26.2,7432044
2010-02-08,26.23,26.44,25.83,25.95,3008148
2010-02-09,26.37,26.45,25.99,26.12,4293118
2010-02-10,26.28,26.78,26.23,26.4,5498726
2010-02-11,26.39,26.75,25.92,26.66,4958441
2010-02-12,26.81,26.99,26.26,26.84,4123676
2010-02-16,27.13,27.27,26.7,27.12,5576102
2010-02-17,27.07,27.32,26.93,27.09,4329673
2010-02-18,26.82,27.1,26.75,27.05,2902910
2010-02-19,26.87,27.33,26.86,27.26,3079321
2010-02-22,27.27,27.5,27.16,27.36,4153711
2010-02-23,27.32,27.42,26.82,27.07,3133796
2010-02-24,27.2,27.28,26.97,27.26,2964160
2010-02-25,27.02,27.03,26.64,27.0,3571704
2010-02-26,27.0,27.24,26.72,27.11,2708511
2010-03-01,27.23,27.49,27.06,27.22,2554729
2010-03-02,27.46,27.5,26.81,26.87,3912148
2010-03-03,27.01,27.06,26.52,26.72,4174598
2010-03-04,26.7,27.02,26.57,26.99,3823410
2010-03-05,27.1,28.02,27.04,27.87,5562989
2010-03-08,27.96,27.96,27.57,27.9,2816878
2010-03-09,27.85,28.34,27.49,28.1,4816314
2010-03-10,28.08,28.19,27.69,28.1,3416442
2010-03-11,27.94,28.35,27.75,28.33,3674357
2010-03-12,28.39,28.8,28.28,28.7,4614432
2010-03-15,28.66,28.69,28.24,28.62,2472253
2010-03-16,28.62,28.8,28.42,28.8,2871472
2010-03-17,28.76,28.89,28.5,28.72,2863778
2010-03-18,28.76,28.88,28.48,28.74,2727409
2010-03-19,29.12,29.46,28.94,29.06,3619953
2010-03-22,28.71,29.75,28.71,29.55,3927549
2010-03-23,29.62,29.85,29.43,29.75,4707840
2010-03-24,29.61,29.77,29.41,29.67,3825804
2010-03-25,30.35,30.83,30.1,30.15,17339214
2010-03-26,30.28,31.24,30.2,31.09,8003676
2010-03-29,31.14,31.46,31.03,31.28,5516087
2010-03-30,31.28,31.98,31.22,31.78,5630453
2010-03-31,31.61,31.92,31.45,31.52,3924749
2010-04-05,32.1,32.76,32.1,32.44,3615945
2010-04-06,32.23,32.8,32.18,32.7,3394820
