Date,Open,High,Low,Close,Volume
2010-01-04,35.88,36.34,35.46,36.3,4766927
2010-01-05,36.08,37.23,36.01,37.14,5604225
2010-01-06,37.12,37.6,36.81,37.52,4208565
2010-01-07,37.26,38.11,37.02,38.05,6303467
2010-01-08,37.8,38.27,37.44,38.25,4809949
2010-01-11,38.65,38.9,38.21,38.5,7141883
2010-01-12,39.0,39.31,38.35,38.51,6480128
2010-01-13,38.59,38.87,37.64,37.92,6666427
2010-01-14,37.88,38.44,37.07,38.28,5641942
2010-01-15,38.03,38.03,37.34,37.85,7618285
2010-01-19,37.87,40.31,37.64,39.35,14776402
2010-01-20,38.94,39.0,38.0,38.7,6822756
2010-01-21,37.8,38.45,36.61,37.35,11330948
2010-01-22,37.22,37.31,35.98,36.12,8264288
2010-01-25,36.63,37.12,36.29,36.41,4629404
2010-01-26,35.98,36.88,35.57,35.73,4872852
2010-01-27,35.74,36.55,35.32,36.4,5668821
2010-01-28,36.47,36.61,35.32,35.63,5061641
2010-01-29,36.04,36.33,35.16,35.32,4910357
2010-02-01,36.1,36.79,35.69,35.94,4725971
2010-02-02,36.49,36.64,35.65,36.37,6360362
2010-02-03,35.39,35.6,34.32,34.8,15040850
2010-02-04,35.13,35.36,34.33,34.73,13309249
2010-02-05,35.03,35.35,33.57,34.68,10360594
2010-02-08,34.61,34.65,33.6,33.64,6369177
2010-02-09,34.0,35.73,33.4,35.15,16339862
2010-02-10,35.1,35.3,34.53,34.93,7349801
2010-02-11,34.7,34.77,34.31,34.54,6843762
2010-02-12,34.12,34.71,33.7,34.64,7606061
2010-02-16,35.07,35.23,34.46,35.06,6904651
2010-02-17,35.23,35.37,34.73,34.87,6088404
2010-02-18,34.74,35.03,34.74,34.85,6384011
2010-02-19,34.7,35.24,34.46,35.03,7754372
2010-02-22,35.12,35.43,34.91,35.27,6372613
2010-02-23,35.21,35.39,34.37,34.84,7503830
2010-02-24,34.79,35.65,34.63,35.59,5668196
2010-02-25,35.2,35.87,34.82,35.84,8378116
2010-02-26,35.89,36.61,35.41,36.39,9668669
2010-03-01,36.51,37.3,36.26,36.54,5319846
2010-03-02,36.63,36.91,36.35,36.79,4529695
2010-03-03,36.88,37.02,36.62,36.75,3832658
2010-03-04,36.93,38.18,36.83,38.11,9054721
2010-03-05,38.31,39.04,38.13,38.92,7082361
2010-03-08,40.65,41.06,40.04,40.9,15603494
2010-03-09,40.75,41.5,40.48,40.81,9184174
2010-03-10,40.95,42.2,40.81,41.78,10721334
2010-03-11,41.87,42.47,41.45,42.32,9195241
2010-03-12,42.65,42.94,41.91,42.11,6422208
2010-03-15,41.97,42.51,41.64,42.25,5753958
2010-03-16,42.2,42.72,42.11,42.69,4616399
2010-03-17,43.03,43.63,42.85,43.03,6089410
2010-03-18,43.31,43.31,42.19,42.45,6597082
2010-03-19,42.68,42.79,41.67,41.83,8516796
2010-03-22,41.46,42.2,41.06,41.72,6699384
2010-03-23,41.77,42.2,41.32,42.17,4876429
2010-03-24,42.03,42.69,41.85,41.92,4807269
2010-03-25,42.31,43.0,42.03,42.11,5692892
2010-03-26,42.16,43.02,42.02,42.26,4595541
2010-03-29,42.48,43.09,42.36,43.0,4788864
2010-03-30,42.99,43.24,42.83,42.87,3558276
2010-03-31,42.57,43.35,42.57,43.34,4884114
2010-04-01,43.59,44.04,43.41,44.01,5605894
2010-04-05,44.21,45.0,44.18,44.95,4508409
2010-04-06,44.9,45.15,44.73,44.84,4537931
2010-04-07,44.63,44.9,43.8,44.08,6392530
2010-04-08,43.93,45.62,43.85,45.5,7776643
2010-04-09,45.73,45.95,44.84,45.27,4738329
2010-04-12,45.56,45.72,45.23,45.63,4025920
2010-04-13,45.44,45.53,44.82,45.46,2913058
2010-04-14,45.25,46.55,45.25,46.43,4877695
2010-04-15,45.49,46.33,45.48,46.27,3679224
2010-04-16,46.0,46.29,44.75,45.37,7971477
2010-04-19,44.97,46.01,44.88,45.98,5249560
2010-04-20,46.28,46.97,46.01,46.95,3993191
2010-04-21,46.92,47.03,45.61,46.29,6159063
2010-04-22,45.78,46.74,45.4,46.68,4634944
2010-04-23,46.12,47.14,45.8,47.1,4672725
2010-04-26,46.99,47.75,46.72,46.84,4782773
2010-04-27,46.43,46.64,44.05,44.3,6996936
2010-04-28,44.85,45.73,43.67,43.91,10224731
2010-04-29,44.47,45.74,44.24,45.62,6681166
2010-04-30,46.24,47.72,45.53,45.58,11632281
2010-05-03,45.95,46.45,45.6,45.76,6635560
2010-05-04,45.21,45.21,44.13,44.48,7202564
2010-05-05,43.87,44.54,43.58,43.89,6685679
2010-05-06,43.78,43.95,38.14,42.15,11250339
2010-05-07,42.15,42.73,40.07,40.71,11573917
2010-05-10,42.68,44.84,42.68,44.11,9719560
2010-05-11,43.28,44.08,42.95,43.23,6868349
2010-05-12,43.57,44.05,43.23,43.84,6199809
2010-05-13,43.71,43.98,43.02,43.07,3949598
2010-05-14,42.54,42.77,40.72,41.32,8348616
2010-05-17,41.32,42.0,40.52,41.8,6368882
2010-05-18,42.46,42.57,40.74,40.91,7240569
2010-05-19,40.52,41.24,39.45,40.52,9084181
2010-05-20,38.94,39.37,37.86,37.88,10087866
2010-05-21,36.48,39.7,36.48,39.48,11800559
2010-05-24,39.58,39.87,38.52,38.61,6222015
2010-05-25,37.48,39.25,36.7,39.21,10217993
2010-05-26,39.93,40.48,39.01,39.25,6854504
2010-05-27,40.01,41.49,39.38,41.4,6935937
2010-05-28,41.41,41.41,40.25,40.49,5098570
2010-06-01,39.97,40.87,39.67,39.84,5451585
2010-06-02,40.27,41.62,39.81,41.58,5936283
2010-06-03,41.46,42.03,40.79,41.37,5205580
2010-06-04,40.19,40.53,38.25,38.48,10657164
2010-06-07,39.18,39.28,37.78,37.87,10017471
2010-06-08,38.1,38.98,37.13,38.9,8854847
2010-06-09,39.26,40.21,38.66,38.87,7684995
2010-06-10,39.6,40.76,39.6,40.68,6125249
2010-06-11,40.03,41.22,39.98,41.1,7662981
2010-06-14,41.55,42.06,41.02,41.05,7982061
