Date,Open,High,Low,Close,Volume
2010-01-04,36.41,36.41,36.06,36.3,489907
2010-01-05,36.22,36.32,36.06,36.2,548652
2010-01-06,36.18,36.38,36.01,36.34,587836
2010-01-07,36.43,36.65,36.18,36.62,699840
2010-01-08,36.61,36.72,36.22,36.72,666230
2010-01-11,36.7,37.16,36.68,37.02,509867
2010-01-12,36.86,37.37,36.82,37.36,498876
2010-01-13,37.45,37.96,37.45,37.7,779476
2010-01-14,37.46,37.69,37.41,37.66,435062
2010-01-15,37.65,37.96,37.29,37.59,840154
2010-01-19,37.58,37.79,37.43,37.74,463368
2010-01-20,37.68,37.68,37.1,37.29,437177
2010-01-21,37.37,37.74,36.92,37.04,719182
2010-01-22,37.04,37.35,36.76,36.77,445868
2010-01-25,36.92,37.24,36.72,37.22,542405
2010-01-26,37.05,37.15,36.82,37.09,628235
2010-01-27,37.13,37.63,36.95,37.54,1048504
2010-01-28,37.75,37.75,36.29,36.45,1573071
2010-01-29,36.64,37.0,36.1,36.3,1118390
2010-02-01,36.42,36.64,36.21,36.58,417538
2010-02-02,36.71,37.01,36.52,37.0,521677
2010-02-03,36.83,36.83,36.41,36.49,587359
2010-02-04,36.36,36.36,35.69,35.76,757122
2010-02-05,35.71,35.86,35.53,35.77,1241684
2010-02-08,35.74,35.96,35.46,35.56,623015
2010-02-09,35.71,35.98,35.4,35.85,706738
2010-02-10,35.9,36.0,35.62,35.92,754958
2010-02-11,35.95,35.98,35.4,35.96,681124
2010-02-12,35.8,36.19,35.71,36.08,774759
2010-02-16,36.25,36.58,35.95,36.58,613235
2010-02-17,36.6,37.29,36.6,37.12,685620
2010-02-18,37.11,37.66,37.11,37.61,500091
2010-02-19,37.56,37.87,37.43,37.76,541608
2010-02-22,37.77,37.86,37.37,37.47,507013
2010-02-23,37.47,37.64,37.1,37.15,672031
2010-02-24,37.26,37.36,36.91,37.26,561438
2010-02-25,36.92,37.11,36.7,37.1,733746
2010-02-26,37.19,37.22,36.85,37.11,514942
2010-03-01,37.25,37.34,36.98,37.33,405551
2010-03-02,37.44,37.86,37.4,37.72,648551
2010-03-03,37.81,37.96,37.62,37.82,365659
2010-03-04,37.96,37.99,37.65,37.9,775468
2010-03-05,38.0,38.0,37.66,38.0,916911
2010-03-08,37.91,38.0,37.61,37.76,564007
2010-03-09,37.62,38.0,37.61,37.97,711171
2010-03-10,37.91,38.15,37.87,38.1,812825
2010-03-11,37.96,38.3,37.93,38.3,483351
2010-03-12,38.29,38.42,38.17,38.31,480560
2010-03-15,38.32,38.73,38.32,38.66,788947
2010-03-16,38.69,38.69,38.52,38.63,857135
2010-03-17,38.69,38.89,38.53,38.89,524791
2010-03-18,38.82,39.07,38.81,38.85,487573
2010-03-19,39.09,39.19,38.82,39.11,989993
2010-03-22,39.06,39.4,38.84,39.4,800748
2010-03-23,39.37,39.71,39.2,39.71,589277
2010-03-24,39.58,39.61,39.19,39.37,1038463
2010-03-25,39.19,39.4,37.95,38.03,2607486
2010-03-26,37.99,38.37,37.55,37.63,964940
2010-03-29,37.78,37.98,37.61,37.85,850807
2010-03-30,37.97,38.29,37.97,38.29,762610
2010-03-31,38.27,38.54,38.11,38.36,733392
2010-04-01,38.53,38.67,38.4,38.58,495622
2010-04-05,38.63,38.65,38.05,38.14,575831
2010-04-06,38.0,38.38,38.0,38.37,579797
2010-04-07,38.22,38.32,38.04,38.17,622873
2010-04-08,38.0,38.25,37.88,38.15,634224
2010-04-09,38.25,38.43,38.09,38.43,379496
2010-04-12,38.49,38.56,38.28,38.37,456922
2010-04-13,38.23,38.5,38.13,38.41,401758
2010-04-14,38.43,38.47,38.15,38.26,622340
2010-04-15,38.26,38.62,37.99,38.62,734060
2010-04-16,38.58,38.74,38.5,38.64,1035957
2010-04-19,38.47,38.76,38.32,38.76,504315
2010-04-20,38.82,39.05,38.67,39.03,671360
2010-04-21,39.05,39.38,38.98,39.17,803054
2010-04-22,39.09,39.45,38.92,39.45,876353
2010-04-23,39.35,39.49,38.99,39.49,608534
2010-04-26,39.63,39.84,39.49,39.54,591315
2010-04-27,39.46,39.58,38.98,39.0,984224
2010-04-28,39.09,39.29,38.76,39.08,537352
2010-04-29,39.19,39.85,39.11,39.77,491377
2010-04-30,39.9,40.19,39.54,39.57,797680
2010-05-03,39.6,39.77,39.5,39.61,973246
2010-05-04,39.3,39.56,39.14,39.4,785895
2010-05-05,39.15,39.56,39.15,39.44,557968
2010-05-06,39.44,39.51,37.74,38.6,1355983
2010-05-07,38.52,38.69,37.9,37.95,1523173
2010-05-10,38.78,39.43,38.78,39.3,736761
2010-05-11,39.0,39.65,39.0,39.33,542702
2010-05-12,39.44,39.63,39.2,39.58,562327
2010-05-13,39.48,39.96,39.47,39.52,608966
2010-05-14,39.45,39.62,39.19,39.28,957357
2010-05-17,39.36,39.73,39.2,39.62,798977
2010-05-18,39.73,39.85,39.03,39.12,918908
2010-05-19,38.88,39.4,38.73,39.16,973467
2010-05-20,38.6,38.82,38.34,38.5,1327265
2010-05-21,38.11,38.77,37.69,38.75,1290587
2010-05-24,38.54,38.78,38.32,38.51,856398
2010-05-25,37.88,37.92,37.18,37.9,1430487
2010-05-26,38.14,38.56,37.79,38.08,1479228
2010-05-27,38.55,38.79,38.2,38.79,766591
2010-05-28,38.7,38.78,38.37,38.57,833277
2010-06-01,38.28,38.88,38.25,38.42,633481
2010-06-02,38.47,39.33,38.43,39.33,698927
2010-06-03,39.35,39.71,39.29,39.7,762166
2010-06-04,39.18,39.33,38.62,38.71,973531
2010-06-07,38.82,39.07,38.57,38.6,532714
2010-06-08,38.6,39.06,38.45,39.02,903240
2010-06-09,39.3,39.33,38.83,38.99,842307
2010-06-10,39.4,39.85,39.33,39.83,859879
2010-06-11,39.62,39.89,39.19,39.68,712217
2010-06-14,39.8,39.97,39.57,39.61,1134881
2010-06-15,39.83,40.27,39.64,40.25,887079
2010-06-16,39.97,40.34,39.83,40.22,828210
2010-06-17,40.12,40.77,40.11,40.77,915577
2010-06-18,40.64,40.73,40.4,40.54,828604
2010-06-21,40.34,40.71,39.7,39.9,1078153
2010-06-22,39.85,40.05,39.54,39.55,878386
2010-06-23,39.64,39.72,39.11,39.17,1568802
2010-06-24,39.32,40.34,38.84,38.96,3382756
2010-06-25,39.61,39.61,38.76,38.97,2415716
2010-06-28,39.1,39.39,38.85,39.27,872177
2010-06-29,38.93,39.08,38.42,38.58,868391
2010-06-30,38.44,38.5,37.95,37.96,803153
2010-07-01,37.85,37.86,37.39,37.76,1382408
2010-07-02,37.76,37.82,37.37,37.53,1025480
2010-07-06,37.87,38.14,37.66,37.93,715022
2010-07-07,37.94,38.56,37.85,38.56,1182032
2010-07-08,38.67,38.67,38.16,38.23,1061743
2010-07-09,38.23,38.39,38.11,38.29,691980
