Date,Open,High,Low,Close,Volume
2010-01-04,19.77,19.87,19.58,19.79,11049140
2010-01-05,19.81,19.85,19.67,19.8,11742084
2010-01-06,19.85,20.11,19.8,20.09,21307452
2010-01-07,20.08,20.14,19.95,20.06,14983892
2010-01-08,20.04,20.12,19.87,20.11,10823244
2010-01-11,20.28,20.35,20.11,20.26,11920991
2010-01-12,20.21,20.25,20.03,20.15,15306321
2010-01-13,20.12,20.4,20.12,20.24,11940429
2010-01-14,20.23,20.45,20.16,20.38,9621500
2010-01-15,20.44,20.64,20.31,20.42,16159115
2010-01-19,20.26,20.57,20.25,20.38,17748476
2010-01-20,20.27,20.36,20.15,20.33,12584064
2010-01-21,20.33,20.37,19.81,19.89,21865268
2010-01-22,19.89,20.04,19.7,19.71,13657067
2010-01-25,19.82,20.08,19.68,19.91,15154781
2010-01-26,19.75,20.05,19.75,19.96,13103102
2010-01-27,19.97,20.05,19.83,19.99,12544585
2010-01-28,19.9,20.1,19.8,20.01,16447550
2010-01-29,20.08,20.1,19.83,19.86,19336156
2010-02-01,19.9,19.98,19.78,19.88,10254672
2010-02-02,19.93,19.99,19.81,19.93,12403675
2010-02-03,19.93,19.94,19.69,19.78,11684048
2010-02-04,19.7,19.72,19.4,19.42,13405494
2010-02-05,19.38,19.41,19.14,19.38,14334169
2010-02-08,19.43,19.63,19.35,19.37,13842373
2010-02-09,19.54,19.58,19.23,19.46,16964980
2010-02-10,19.54,19.54,19.25,19.38,11380695
2010-02-11,19.4,19.74,19.25,19.61,17005748
2010-02-12,19.54,19.74,19.4,19.63,15748980
2010-02-16,19.84,19.89,19.57,19.73,15082300
2010-02-17,19.77,19.85,19.7,19.78,8758017
2010-02-18,19.75,20.08,19.73,20.0,11182155
2010-02-19,19.93,20.21,19.93,20.16,12753868
2010-02-22,20.13,20.33,20.08,20.27,12790528
2010-02-23,20.23,20.25,19.93,19.97,21169967
2010-02-24,20.08,20.31,19.95,20.26,18103168
2010-02-25,20.14,20.46,20.01,20.41,21309251
2010-02-26,20.48,20.48,20.12,20.12,15722690
2010-03-01,20.17,20.34,20.17,20.27,10422063
2010-03-02,20.36,20.45,20.3,20.33,12662488
2010-03-03,20.47,20.48,20.3,20.35,12762441
2010-03-04,20.4,20.44,20.28,20.42,14095923
2010-03-05,20.5,20.78,20.48,20.71,12250648
2010-03-08,20.8,20.81,20.67,20.74,13902138
2010-03-09,20.73,20.83,20.7,20.77,16555099
2010-03-10,20.8,20.86,20.7,20.82,15681601
2010-03-11,20.48,20.58,20.18,20.37,13051775
