Date,Open,High,Low,Close,Volume
2010-01-04,82.36,83.92,82.36,83.43,3424228
2010-01-05,83.76,85.61,83.26,85.27,5616713
2010-01-06,83.5,86.99,82.46,86.27,13334861
2010-01-07,85.7,86.68,84.8,85.96,5601212
2010-01-08,85.58,86.73,85.32,86.65,4298144
2010-01-11,86.67,87.06,84.44,85.01,4162489
2010-01-12,83.37,83.97,81.64,83.31,6174700
2010-01-13,81.8,84.12,80.5,83.95,6910494
2010-01-14,83.03,84.0,81.82,82.79,6313815
2010-01-15,82.6,83.09,80.91,81.16,5832217
2010-01-19,80.99,82.22,80.78,81.75,4207151
2010-01-20,81.13,82.17,80.55,81.42,3963678
2010-01-21,81.44,82.38,79.74,79.82,5533555
2010-01-22,79.84,79.87,77.82,77.89,5077578
2010-01-25,78.51,79.73,77.89,77.9,5011212
2010-01-26,77.68,78.8,77.09,77.88,3558087
2010-01-27,77.65,78.08,76.98,77.81,5319456
2010-01-28,77.64,78.25,76.88,77.34,4463072
2010-01-29,78.1,78.38,75.5,75.88,4283964
2010-02-01,76.39,77.5,76.0,77.31,3381040
2010-02-02,77.43,77.71,76.66,77.28,3075861
2010-02-03,77.18,78.59,76.91,77.54,3755005
2010-02-04,76.94,77.33,75.38,75.48,4520995
2010-02-05,75.64,77.53,71.11,76.74,8362229
2010-02-08,76.58,76.74,74.06,74.21,6250002
2010-02-09,75.55,77.6,75.4,75.72,6954244
2010-02-10,76.59,76.59,74.75,75.57,4566404
2010-02-11,75.58,76.06,74.61,75.76,5261631
2010-02-12,75.2,76.33,74.75,75.82,3983493
2010-02-16,76.41,77.48,76.29,77.29,3111986
2010-02-17,78.34,78.49,77.61,78.1,4355176
2010-02-18,77.8,78.44,77.15,77.83,2953138
2010-02-19,77.39,78.02,77.17,77.75,3737463
2010-02-22,78.58,78.59,76.5,76.79,3635982
2010-02-23,76.72,77.28,75.69,75.9,3442606
2010-02-24,75.37,76.43,73.48,74.04,8326176
2010-02-25,72.98,73.3,70.8,71.18,15299866
2010-02-26,71.43,71.5,70.53,70.65,12945594
2010-03-01,71.07,71.6,70.05,71.24,9933318
2010-03-02,72.4,73.0,71.62,71.77,9931595
2010-03-03,72.3,74.55,72.25,73.25,8182035
2010-03-04,73.4,74.63,73.3,74.15,7574743
2010-03-05,74.59,74.8,71.8,72.5,11178466
2010-03-08,72.6,73.04,71.78,72.02,7408667
2010-03-09,71.87,72.28,70.99,71.28,8332272
2010-03-10,71.73,71.9,70.93,71.11,6996979
2010-03-11,70.92,72.0,70.63,71.61,6264817
2010-03-12,72.52,72.9,72.15,72.35,6171159
2010-03-15,72.3,72.3,71.48,71.83,4966513
2010-03-16,72.39,72.4,71.85,72.08,6662420
2010-03-17,73.0,73.0,72.04,72.26,8565999
2010-03-18,72.82,72.94,71.9,72.03,7814652
2010-03-19,72.36,72.65,71.78,72.2,6752029
2010-03-22,71.9,72.92,71.61,72.67,4178636
2010-03-23,72.85,72.98,72.11,72.96,6301032
2010-03-24,72.97,73.91,72.87,73.11,6805772
2010-03-25,73.61,73.72,71.09,71.25,6134421
2010-03-26,71.6,71.85,70.73,71.1,7764906
2010-03-29,71.93,71.95,71.0,71.06,6664584
2010-03-30,71.34,71.75,71.1,71.41,4081907
2010-03-31,71.26,71.8,71.26,71.42,5351015
2010-04-01,72.02,72.02,70.45,70.83,6399329
2010-04-05,70.94,71.03,70.37,70.44,7853742
2010-04-06,70.29,70.33,69.51,69.8,9771106
2010-04-07,67.55,71.26,67.25,68.09,33385264
2010-04-08,68.05,69.55,67.95,68.86,13304507
2010-04-09,69.11,69.71,68.55,68.85,5790315
2010-04-12,68.99,69.23,68.67,69.0,5265617
2010-04-13,68.53,68.65,67.5,67.75,8301649
2010-04-14,67.9,67.97,65.18,65.73,18861931
2010-04-15,66.24,66.69,65.57,65.63,13342181
2010-04-16,65.6,65.69,63.75,64.73,17863543
2010-04-19,64.9,66.93,64.79,66.75,14015023
2010-04-20,67.11,67.18,65.78,66.88,8112489
2010-04-21,67.02,67.07,65.93,66.37,6577453
