Date,Open,High,Low,Close,Volume
2010-01-04,60.45,62.36,60.08,61.71,4072580
2010-01-05,62.43,63.83,62.43,63.15,6505798
2010-01-06,64.36,65.95,62.97,65.57,9999874
2010-01-07,65.09,66.35,64.45,65.76,5544038
2010-01-08,65.74,66.97,65.48,66.7,4074672
2010-01-11,67.85,68.28,65.38,66.31,4031579
2010-01-12,63.33,64.36,61.67,62.49,10233790
2010-01-13,62.26,62.75,60.7,62.54,6831724
2010-01-14,62.77,63.09,60.62,60.84,4516844
2010-01-15,,,,61.56,0
2010-01-19,61.5,63.1,61.39,63.04,4479742
2010-01-20,62.19,62.38,60.81,62.03,4317814
2010-01-21,62.08,63.4,60.02,60.07,5740943
2010-01-22,60.08,60.5,58.32,58.63,3873403
2010-01-25,59.37,60.67,58.74,58.76,3218604
2010-01-26,58.15,60.23,57.06,58.58,4684060
2010-01-27,58.81,59.33,56.74,58.04,4181531
2010-01-28,57.5,58.2,54.82,55.56,7026072
2010-01-29,56.24,57.29,53.2,53.51,5922599
2010-02-01,54.08,56.27,54.05,56.27,3568842
2010-02-02,56.76,56.85,55.25,56.35,5062740
2010-02-03,57.35,58.44,56.76,57.64,4822858
2010-02-04,56.42,56.7,54.01,54.01,4871256
2010-02-05,54.44,55.35,52.87,55.18,4786861
2010-02-08,55.66,56.61,54.51,54.54,3892534
2010-02-09,55.54,57.5,55.54,56.91,5045132
2010-02-10,57.59,58.13,56.48,57.42,5103219
2010-02-11,57.7,58.92,57.41,58.42,6277905
2010-02-12,,,,58.83,0
2010-02-16,60.0,60.44,59.44,60.38,4502187
2010-02-17,61.37,61.59,60.2,61.26,4766945
2010-02-18,60.91,61.25,59.92,60.56,4969944
2010-02-19,61.09,61.35,60.3,60.78,4481110
2010-02-22,61.42,61.42,60.3,60.68,4226506
2010-02-23,60.58,60.76,58.54,58.88,4260845
2010-02-24,58.5,58.87,57.02,57.62,4302030
2010-02-25,57.0,58.8,55.95,58.52,5281175
2010-02-26,58.74,59.14,57.84,58.39,2887830
2010-03-01,58.51,59.5,57.97,59.45,3433402
2010-03-02,61.24,62.25,60.9,61.49,4777313
2010-03-03,61.49,62.24,61.06,61.27,3094275
2010-03-04,61.51,61.87,60.14,60.43,3675924
2010-03-05,61.35,62.15,61.21,61.6,3965355
2010-03-08,62.05,62.49,61.27,61.38,2208823
2010-03-09,61.0,62.12,60.62,60.98,3738638
2010-03-10,61.27,61.3,59.95,60.35,4440171
2010-03-11,60.37,60.44,59.17,59.93,3485680
2010-03-12,63.37,64.7,63.11,63.8,11277966
2010-03-15,63.52,63.79,62.0,62.39,4364530
2010-03-16,63.0,63.77,62.7,63.04,3694131
2010-03-17,63.65,63.69,61.58,61.91,4055928
2010-03-18,61.74,62.25,59.17,59.56,8501333
2010-03-19,59.74,59.89,58.11,58.42,5150210
2010-03-22,57.61,59.38,57.33,59.19,4736529
2010-03-23,58.94,59.8,58.3,59.14,3513418
2010-03-24,58.54,60.85,58.45,60.28,6419048
2010-03-25,61.14,61.3,58.31,58.44,4789439
2010-03-26,58.83,60.2,58.62,59.35,3815113
2010-03-29,60.07,60.79,59.41,60.22,3212047
2010-03-30,60.23,60.58,59.41,60.05,2679082
2010-03-31,59.64,60.8,59.64,60.77,4435646
2010-04-01,,,,58.33,0
2010-04-05,59.09,59.09,57.7,57.99,4739719
2010-04-06,57.5,58.29,57.36,57.54,3518333
2010-04-07,57.46,58.09,56.67,56.99,4965582
2010-04-08,56.51,57.68,56.17,57.59,2741130
2010-04-09,58.22,58.22,56.33,56.65,5012404
2010-04-12,56.87,57.05,56.35,56.75,2990814
2010-04-13,56.52,57.17,56.14,56.78,4738466
2010-04-14,55.56,56.0,54.56,55.4,9088298
2010-04-15,55.56,56.38,54.97,55.16,4966379
2010-04-16,55.01,55.14,53.91,54.13,5499288
2010-04-19,53.66,53.86,51.9,53.19,6197607
2010-04-20,53.79,55.1,53.7,54.92,4508506
2010-04-21,55.36,55.36,52.71,53.23,5440561
2010-04-22,52.75,54.11,52.26,54.08,4157318
2010-04-23,54.36,54.37,52.6,53.78,4285260
2010-04-26,53.52,54.0,52.05,52.19,6521152
2010-04-27,51.99,52.06,50.3,50.58,8069611
2010-04-28,50.95,52.23,50.33,51.95,6389116
2010-04-29,52.05,52.76,50.8,51.51,5175731
