Date,Open,High,Low,Close,Volume
2010-01-04,31.75,32.17,31.63,32.11,5496261
2010-01-05,32.24,32.34,32.03,32.14,5657940
2010-01-06,32.11,32.9,32.01,32.85,9086984
2010-01-07,32.75,32.75,32.22,32.65,4657000
2010-01-08,32.48,32.8,32.35,32.7,4524596
2010-01-11,32.97,33.05,32.44,32.7,5975825
2010-01-12,32.33,32.48,32.13,32.25,5380061
2010-01-13,32.23,32.28,31.63,32.14,5843545
2010-01-14,32.27,32.27,31.77,31.97,5052708
2010-01-15,31.91,31.91,31.01,31.64,8599989
2010-01-19,31.47,32.17,31.42,32.13,6604639
2010-01-20,31.89,32.28,31.61,32.19,7221533
2010-01-21,32.23,32.37,31.41,31.5,7397343
2010-01-22,31.21,31.5,30.54,30.58,7067747
2010-01-25,30.75,31.15,30.67,30.71,4301658
2010-01-26,30.51,30.87,30.17,30.4,5442951
2010-01-27,30.39,31.8,29.96,30.37,6343062
2010-01-28,30.44,30.65,29.92,30.17,7352097
2010-01-29,30.54,30.76,29.62,29.81,7150323
2010-02-01,30.17,30.66,30.0,30.65,5819120
2010-02-02,30.0,30.91,29.99,30.9,10264976
2010-02-03,30.83,30.86,30.14,30.37,6467401
2010-02-04,30.1,30.16,28.82,28.86,9837401
2010-02-05,28.7,28.82,27.64,28.46,12130304
2010-02-08,28.56,28.58,28.0,28.04,8702099
2010-02-09,28.44,28.95,28.23,28.62,7088688
2010-02-10,28.54,28.6,27.94,28.39,6509441
2010-02-11,28.3,28.97,28.16,28.83,5639789
2010-02-12,28.34,28.85,28.14,28.61,9068761
2010-02-16,29.45,29.78,29.25,29.69,7373543
2010-02-17,29.8,29.92,29.5,29.63,6318828
2010-02-18,29.61,29.97,29.51,29.95,4369784
2010-02-19,29.89,30.14,29.67,29.97,5302751
2010-02-22,30.15,30.2,29.39,29.51,6545765
2010-02-23,29.42,29.42,28.77,28.87,6779517
2010-02-24,28.99,29.24,28.69,29.17,4872003
2010-02-25,28.75,29.0,28.41,28.94,4836068
2010-02-26,29.06,29.17,28.67,28.95,5732437
2010-03-01,29.15,29.32,28.99,29.16,4639533
2010-03-02,29.33,29.55,29.21,29.36,5680417
2010-03-03,29.49,29.86,29.37,29.47,7012707
2010-03-04,29.52,29.66,29.28,29.58,6415916
2010-03-05,29.97,30.67,29.84,30.61,7775650
2010-03-08,30.7,30.92,30.65,30.8,6157028
2010-03-09,30.52,31.09,30.52,30.88,5810977
2010-03-10,30.97,31.5,30.9,31.49,8596681
2010-03-11,31.44,31.9,31.39,31.67,7586375
2010-03-12,31.8,31.88,31.37,31.48,5326265
2010-03-15,31.39,31.39,30.88,31.23,5110906
2010-03-16,31.4,31.74,31.16,31.71,5923324
2010-03-17,31.94,32.37,31.79,32.33,6682044
2010-03-18,32.3,32.44,31.84,32.1,4769247
2010-03-19,32.18,32.3,31.43,31.98,8694552
2010-03-22,31.37,31.81,31.23,31.66,5967608
2010-03-23,31.7,31.8,31.49,31.74,4794897
2010-03-24,31.32,31.74,31.18,31.38,6732193
2010-03-25,31.63,31.77,31.07,31.1,6776133
2010-03-26,31.29,31.38,30.73,30.84,5874742
2010-03-29,31.04,31.55,31.04,31.46,5153998
2010-03-30,31.54,31.56,31.28,31.4,4417647
2010-03-31,31.4,32.01,31.38,31.64,7123094
2010-04-01,31.93,32.31,31.81,32.09,6044737
2010-04-05,32.3,32.56,32.1,32.42,4912127
2010-04-06,32.29,32.85,32.16,32.58,4911906
2010-04-07,32.5,32.5,31.72,31.95,7653238
2010-04-08,31.43,32.0,31.25,31.87,8873306
2010-04-09,32.14,32.21,31.71,32.19,7012728
2010-04-12,32.11,32.39,32.04,32.2,5962479
2010-04-13,32.23,32.43,31.92,32.21,6539815
2010-04-14,32.38,32.84,32.3,32.82,6427545
2010-04-15,32.72,33.03,32.6,32.7,7241832
2010-04-16,32.47,32.57,31.76,32.02,7584233
2010-04-19,31.64,32.13,31.46,32.05,5099818
2010-04-20,32.26,32.73,32.17,32.6,4896281
2010-04-21,32.77,32.9,32.26,32.54,5298166
2010-04-22,32.17,32.52,31.93,32.48,4570561
2010-04-23,32.36,33.08,32.28,33.08,5735181
2010-04-26,33.05,33.2,32.83,33.04,5415705
2010-04-27,32.81,32.99,31.92,31.98,6619115
2010-04-28,32.2,32.3,31.67,32.21,6745622
2010-04-29,32.4,32.71,32.24,32.4,5023747
2010-04-30,32.51,32.67,32.06,32.15,6690545
2010-05-03,32.23,32.63,32.1,32.27,6740967
2010-05-04,32.68,32.88,31.65,32.15,11441774
2010-05-05,31.67,32.11,31.37,31.77,6638370
2010-05-06,31.62,31.76,28.97,30.66,11740521
2010-05-07,30.51,31.28,30.02,30.44,11787072
2010-05-10,31.53,31.78,31.06,31.58,9987528
2010-05-11,31.08,31.53,30.97,31.07,7248831
2010-05-12,31.13,31.8,30.92,31.71,6052799
2010-05-13,31.57,32.1,31.34,31.68,7060332
2010-05-14,31.52,31.61,31.02,31.29,9190749
2010-05-17,31.28,31.66,30.63,31.61,11600912
2010-05-18,32.24,32.81,32.05,32.25,14314706
2010-05-19,32.07,32.78,31.94,32.53,13849181
2010-05-20,31.72,32.17,31.34,31.41,14860318
2010-05-21,30.29,31.45,30.2,31.42,16742929
2010-05-24,31.33,32.08,31.06,31.6,10107858
2010-05-25,30.6,30.76,29.91,30.62,14869705
2010-05-26,31.11,31.23,30.23,30.37,10863431
2010-05-27,30.99,31.68,30.95,31.64,9807986
2010-05-28,31.63,31.74,30.88,31.09,8583356
2010-06-01,30.71,31.44,30.16,30.19,9924244
2010-06-02,30.49,31.35,30.4,31.33,7158096
2010-06-03,31.56,31.76,31.01,31.74,4681343
2010-06-04,30.98,31.62,30.53,30.7,8496202
2010-06-07,30.9,31.57,30.77,31.04,9960458
2010-06-08,31.19,31.59,30.75,31.51,8402285
2010-06-09,31.74,31.86,30.77,30.92,9513405
2010-06-10,31.61,32.23,31.5,32.19,7706590
2010-06-11,31.91,32.38,31.76,32.37,5100069
2010-06-14,32.69,32.99,32.48,32.56,6536186
2010-06-15,32.98,33.5,32.86,33.4,8431199
2010-06-16,33.14,33.45,32.97,33.22,6142397
2010-06-17,32.94,33.48,32.92,33.39,6225800
2010-06-18,33.4,33.82,33.36,33.79,5838883
2010-06-21,34.11,34.4,33.96,34.11,10564889
2010-06-22,33.84,34.18,33.05,33.11,6815201
2010-06-23,33.06,33.44,32.9,33.25,5084013
2010-06-24,33.04,33.43,32.72,32.85,8419376
2010-06-25,33.09,33.26,32.36,32.75,10302416
2010-06-28,32.86,33.0,32.29,32.29,6040790
2010-06-29,31.9,31.95,31.21,31.37,6960657
2010-06-30,31.53,31.86,31.04,31.09,6099329
2010-07-01,31.21,31.35,30.5,30.85,9354483
2010-07-02,30.98,31.34,30.57,30.83,4688367
2010-07-06,31.15,31.6,30.68,31.01,4909719
2010-07-07,31.16,32.04,31.12,32.04,6582966
2010-07-08,32.46,32.5,31.72,32.08,9827232
2010-07-09,32.09,32.15,31.83,32.08,5337807
2010-07-12,32.06,32.24,31.88,32.1,3549934
2010-07-13,32.49,33.13,32.47,32.97,5868712
2010-07-14,32.81,32.93,32.22,32.54,6093767
2010-07-15,32.56,32.65,31.99,32.52,4131884
2010-07-16,32.27,32.53,31.55,31.7,7183749
2010-07-19,31.92,32.14,31.56,31.79,5290365
2010-07-20,31.37,32.73,31.08,32.68,5609413
2010-07-21,32.78,32.84,31.92,32.22,5796034
2010-07-22,32.6,33.15,32.53,32.7,6528753
2010-07-23,32.55,32.93,32.3,32.88,4299754
2010-07-26,32.83,33.37,32.83,33.37,3419994
2010-07-27,33.54,33.74,33.11,33.23,4885023
2010-07-28,33.09,33.28,33.01,33.18,4184791
2010-07-29,33.34,33.63,32.95,33.36,5094684
2010-07-30,33.1,33.67,32.87,33.45,5435022
2010-08-02,33.96,34.35,33.93,34.28,7297203
2010-08-03,34.06,34.58,33.8,34.15,5091245
2010-08-04,34.12,34.77,33.79,34.7,6149351
2010-08-05,34.56,34.98,34.3,34.98,4127210
2010-08-06,34.58,34.87,33.8,34.39,7328740
2010-08-09,34.56,34.72,34.2,34.48,3377416
2010-08-10,34.2,34.37,34.0,34.18,5531488
2010-08-11,33.63,33.73,33.12,33.25,4979620
2010-08-12,32.95,33.14,32.8,32.97,4321824
2010-08-13,32.94,33.25,32.74,32.76,3583616
2010-08-16,32.35,32.66,32.18,32.53,3541944
2010-08-17,33.0,33.0,32.53,32.63,5245581
2010-08-18,32.54,32.66,32.12,32.54,4347565
2010-08-19,32.41,32.47,31.92,32.0,4663345
2010-08-20,31.79,31.89,31.2,31.52,4802499
2010-08-23,31.51,31.92,31.51,31.66,4649251
2010-08-24,31.3,31.6,31.14,31.23,6158194
2010-08-25,31.04,31.05,30.28,30.77,7401000
2010-08-26,30.96,31.01,30.07,30.21,6211580
2010-08-27,30.38,31.02,30.04,30.94,5022574
2010-08-30,30.9,31.08,30.55,30.55,3783310
2010-08-31,30.42,30.65,30.2,30.5,5444403
2010-09-01,30.86,31.57,30.73,31.55,5440241
2010-09-02,31.57,31.88,31.43,31.87,4699833
2010-09-03,32.0,32.3,31.93,32.16,4123536
2010-09-07,31.81,31.99,31.52,31.74,3740331
2010-09-08,31.75,32.11,31.65,31.74,4047997
2010-09-09,32.24,32.56,31.54,31.77,3916795
2010-09-10,31.96,32.55,31.91,32.32,5832824
2010-09-13,32.63,32.68,32.05,32.25,4732232
2010-09-14,32.25,32.53,31.9,32.04,6040877
2010-09-15,31.85,32.16,31.67,32.11,4809124
2010-09-16,31.9,32.05,31.75,32.0,3314036
2010-09-17,32.24,32.25,31.58,31.61,5448300
2010-09-20,31.64,32.42,31.62,32.34,3907536
2010-09-21,32.65,32.66,32.01,32.26,5183611
2010-09-22,32.31,32.59,31.91,31.99,3682117
2010-09-23,31.73,31.81,31.32,31.46,5661540
2010-09-24,31.83,32.34,31.71,32.21,4449106
2010-09-27,32.36,32.49,32.18,32.19,3792822
2010-09-28,32.35,32.55,32.01,32.49,4660657
2010-09-29,32.39,33.26,32.26,33.01,6260105
2010-09-30,33.23,33.63,32.75,33.1,5957964
2010-10-01,33.43,33.9,33.33,33.81,6232290
2010-10-04,33.59,33.74,33.08,33.37,4927126
2010-10-05,33.76,34.5,33.61,34.32,8105083
2010-10-06,34.21,35.13,34.08,35.1,9814355
2010-10-07,35.28,35.28,34.53,34.85,4447168
2010-10-08,34.49,35.53,34.47,35.48,4853323
2010-10-11,35.31,35.52,35.12,35.26,4088035
2010-10-12,35.09,35.44,34.74,35.28,3675031
2010-10-13,35.43,35.95,35.37,35.69,4575150
2010-10-14,35.69,35.94,35.23,35.51,4420698
2010-10-15,35.73,35.93,35.34,35.75,5776554
2010-10-18,35.85,36.0,35.65,35.87,4311596
2010-10-19,35.4,35.42,34.77,35.1,7128007
2010-10-20,35.27,35.84,35.19,35.68,3685676
2010-10-21,35.6,35.85,35.18,35.55,4668041
2010-10-22,35.65,35.77,35.42,35.61,2767931
2010-10-25,36.07,36.43,35.84,35.89,4789143
2010-10-26,35.79,35.88,35.49,35.6,5955700
2010-10-27,35.29,35.5,34.99,35.29,4817580
2010-10-28,35.59,35.71,35.12,35.27,6604403
2010-10-29,35.09,35.63,35.09,35.57,3998111
2010-11-01,35.9,36.11,35.3,35.49,4292258
2010-11-02,34.19,34.72,33.52,33.61,17952209
2010-11-03,33.71,33.73,32.45,33.07,14530512
2010-11-04,33.35,34.0,33.15,33.83,10362742
2010-11-05,33.77,33.98,33.42,33.92,8854720
2010-11-08,33.87,34.23,33.72,33.93,8862641
2010-11-09,34.21,34.33,33.46,33.61,6273003
2010-11-10,33.6,34.03,33.29,34.03,4977515
2010-11-11,33.91,34.26,33.8,34.14,5092836
2010-11-12,33.95,34.05,33.5,33.74,5707560
2010-11-15,33.78,34.16,33.6,33.67,4565212
2010-11-16,33.4,33.54,32.92,33.31,6728705
2010-11-17,33.33,33.53,33.08,33.23,5145422
2010-11-18,33.84,34.21,33.61,34.16,4763614
2010-11-19,34.1,34.29,33.75,34.27,4161558
2010-11-22,34.13,34.47,33.75,34.3,5931036
2010-11-23,33.93,33.93,33.21,33.32,6334787
2010-11-24,33.61,33.85,33.43,33.79,3508538
2010-11-26,33.55,33.71,33.43,33.48,1431837
2010-11-29,33.42,33.8,33.01,33.69,4344233
2010-11-30,33.2,33.83,33.1,33.47,5287561
2010-12-01,33.97,34.28,33.83,34.15,5213231
2010-12-02,34.16,35.05,34.14,35.04,5355096
2010-12-03,35.05,35.33,34.84,35.11,5628048
2010-12-06,35.12,35.25,34.78,34.78,4412000
2010-12-07,35.29,35.39,34.86,35.0,7683375
2010-12-08,35.09,35.24,34.77,35.17,4736994
2010-12-09,35.37,35.43,34.69,34.83,5002310
2010-12-10,35.07,35.28,34.9,35.15,4658540
2010-12-13,35.27,35.3,34.56,34.97,6643164
2010-12-14,34.91,35.24,34.76,34.97,4523405
2010-12-15,34.89,35.2,34.81,34.86,3916243
2010-12-16,34.9,35.2,34.6,35.17,3890472
2010-12-17,35.14,35.28,34.96,35.21,4371847
2010-12-20,35.39,36.1,35.33,35.91,5532515
2010-12-21,36.05,36.4,35.9,36.19,4193166
2010-12-22,36.3,36.67,36.1,36.53,3124114
2010-12-23,36.57,36.73,36.24,36.41,2790671
2010-12-27,36.35,36.59,36.24,36.51,2343146
2010-12-28,36.66,36.7,36.35,36.49,2867493
2010-12-29,36.5,37.14,36.44,36.92,2933562
2010-12-30,36.9,37.05,36.76,36.84,2963919
