Date,Open,High,Low,Close,Volume
2010-01-04,30.7,31.97,30.63,30.91,20373994
2010-01-05,31.01,32.13,30.93,32.04,22523317
2010-01-06,31.97,32.59,31.79,32.45,17029777
2010-01-07,32.46,33.27,32.27,32.92,18692919
2010-01-08,32.6,32.82,31.98,32.25,15994905
2010-01-11,32.39,32.46,31.76,32.04,10090988
2010-01-12,31.63,31.86,30.99,31.13,14815833
2010-01-13,31.09,32.0,30.71,31.26,18723488
2010-01-14,31.1,31.3,30.35,31.2,24694552
2010-01-15,30.97,31.09,29.98,30.38,27909402
2010-01-19,30.48,31.26,30.33,31.16,16986861
2010-01-20,30.76,31.24,30.35,30.63,21204387
2010-01-21,30.29,30.55,28.24,29.34,56780048
2010-01-22,28.65,29.18,27.42,27.8,46720113
2010-01-25,28.22,28.52,27.36,27.74,21102401
2010-01-26,27.68,28.29,27.21,27.33,24384898
2010-01-27,27.34,28.11,26.91,27.95,31049303
2010-01-28,28.2,28.25,27.12,27.49,25486505
2010-01-29,27.83,27.85,26.65,26.78,21169199
2010-02-01,26.95,28.0,26.92,27.56,19559851
2010-02-02,27.6,28.21,27.51,28.06,21015578
2010-02-03,28.16,28.43,27.69,27.89,18502798
2010-02-04,27.61,27.65,26.5,26.63,29785228
2010-02-05,26.58,27.29,26.15,27.26,25553908
2010-02-08,27.09,27.54,26.38,26.6,14520256
2010-02-09,26.86,27.3,26.59,27.13,19517382
2010-02-10,27.08,27.75,27.03,27.51,13861161
2010-02-11,27.4,27.53,26.88,27.12,18827735
2010-02-12,26.61,27.3,26.45,27.16,16630937
2010-02-16,27.45,27.93,27.36,27.82,15770581
2010-02-17,27.87,27.96,27.23,27.39,16597872
2010-02-18,27.23,27.49,27.0,27.26,12147396
2010-02-19,27.1,27.5,26.92,27.41,12359607
2010-02-22,27.52,27.87,27.31,27.71,14505663
2010-02-23,27.64,28.42,27.1,27.15,20897947
2010-02-24,27.27,27.98,27.09,27.83,17937013
2010-02-25,27.31,27.83,27.1,27.74,15302871
2010-02-26,27.73,28.41,27.6,28.18,18674887
2010-03-01,28.3,28.64,28.11,28.19,9221556
2010-03-02,28.38,28.92,28.33,28.7,13052237
2010-03-03,28.64,28.85,28.29,28.32,17667429
2010-03-04,28.39,29.28,28.39,29.2,20650592
2010-03-05,29.53,29.75,29.27,29.41,18018876
2010-03-08,29.52,29.74,29.33,29.58,11056871
2010-03-09,29.45,29.51,28.96,29.05,20074379
2010-03-10,29.22,30.3,28.83,29.97,29183589
2010-03-11,29.93,30.12,29.63,30.02,15002056
2010-03-12,30.15,30.79,29.83,29.91,19440716
2010-03-15,29.77,30.0,29.28,29.64,17781182
2010-03-16,29.74,30.42,29.54,30.31,16674648
2010-03-17,30.53,30.67,30.06,30.28,18426278
2010-03-18,30.2,30.36,29.7,30.08,16293108
2010-03-19,30.14,30.21,29.5,29.63,24665966
2010-03-22,29.3,29.74,29.08,29.6,12571500
2010-03-23,29.63,29.74,29.35,29.53,12144982
2010-03-24,29.42,29.68,29.26,29.37,12962271
2010-03-25,29.54,29.79,28.87,28.91,21709215
2010-03-26,29.08,29.22,28.58,28.85,18226260
2010-03-29,29.28,29.6,29.0,29.43,15041010
2010-03-30,29.31,29.46,28.82,29.21,14467939
2010-03-31,28.95,29.51,28.8,29.29,12762865
2010-04-01,29.46,29.87,29.09,29.2,17778521
2010-04-05,29.28,29.49,29.13,29.29,11429691
2010-04-06,29.25,29.62,28.96,29.36,13643730
2010-04-07,29.31,30.37,29.25,30.02,21880895
2010-04-08,29.9,30.95,29.73,30.88,20876557
2010-04-09,31.1,31.45,30.75,30.98,18781431
2010-04-12,31.14,31.31,30.75,30.93,13095758
2010-04-13,30.83,30.99,30.4,30.48,13988537
2010-04-14,30.95,31.45,30.5,31.14,28740200
2010-04-15,31.11,31.21,30.73,30.88,15022739
2010-04-16,30.75,30.79,28.67,29.16,60501649
2010-04-19,28.9,29.89,28.76,29.56,29216154
2010-04-20,29.83,30.52,29.44,30.45,29176034
2010-04-21,31.38,32.29,31.09,31.68,44641140
2010-04-22,31.14,32.1,30.89,31.9,22974250
2010-04-23,31.97,32.16,31.62,31.94,13908940
2010-04-26,31.88,31.96,30.76,30.94,17905050
2010-04-27,30.61,31.23,29.76,29.93,27671245
2010-04-28,30.27,30.9,29.95,30.33,19167650
2010-04-29,30.65,31.76,30.43,31.31,18862162
2010-04-30,30.99,31.08,30.2,30.22,25201492
2010-05-03,30.25,30.6,29.8,30.43,14632048
2010-05-04,30.05,30.05,29.33,29.49,20462893
2010-05-05,28.97,29.6,28.75,29.29,15766607
2010-05-06,29.0,29.27,26.31,27.64,36393673
2010-05-07,27.83,28.24,26.96,27.75,32446469
2010-05-10,29.03,29.43,28.32,28.86,21761177
2010-05-11,28.39,28.99,28.18,28.38,16381597
2010-05-12,27.34,27.9,26.86,27.8,44438784
2010-05-13,28.07,28.36,27.61,27.62,18748739
2010-05-14,27.2,27.25,26.76,27.08,25327101
2010-05-17,27.04,27.26,26.51,27.11,19194268
2010-05-18,27.44,27.44,26.46,26.73,19707522
2010-05-19,26.59,27.25,26.41,27.04,23832644
