Date,Open,High,Low,Close,Volume
2010-01-04,55.12,56.06,55.11,55.92,1418233
2010-01-05,56.12,56.92,55.76,56.83,1543928
2010-01-06,56.85,58.03,56.55,57.7,1847319
2010-01-07,57.6,58.55,57.32,58.35,1727301
2010-01-08,58.11,59.92,57.63,59.71,2370806
2010-01-11,60.17,60.29,59.15,59.59,2227758
2010-01-12,58.15,58.58,56.5,57.47,2702807
2010-01-13,57.47,57.65,56.0,57.46,1648333
2010-01-14,57.15,57.89,56.79,57.75,1046749
2010-01-15,57.48,57.87,56.22,56.85,1700544
2010-01-19,56.48,56.94,55.87,56.85,1431407
2010-01-20,56.22,56.23,55.37,56.0,1234507
2010-01-21,55.89,55.95,53.78,54.1,2586477
2010-01-22,53.91,54.51,52.66,52.76,2038194
2010-01-25,53.3,53.72,52.47,52.8,1438825
2010-01-26,52.26,53.25,51.97,52.12,1549073
2010-01-27,51.97,52.49,51.14,51.87,2001060
2010-01-28,51.62,52.44,50.17,51.07,2740275
2010-01-29,51.63,52.02,50.72,51.08,3636723
2010-02-01,51.5,52.59,51.49,52.5,1488270
2010-02-02,52.58,53.53,52.16,53.42,1992199
2010-02-03,53.03,53.2,52.11,52.49,1525531
2010-02-04,51.87,51.98,50.23,50.38,1582198
2010-02-05,50.63,50.77,49.0,50.75,2181578
2010-02-08,50.63,51.14,50.12,50.13,2057458
2010-02-09,50.87,52.03,50.51,51.52,2108096
2010-02-10,51.4,51.66,50.35,50.9,1718316
2010-02-11,50.6,51.7,50.31,51.52,1436504
2010-02-12,50.63,51.64,50.33,51.26,1666378
2010-02-16,51.93,52.7,51.86,52.7,1754922
2010-02-17,52.81,52.87,52.04,52.48,1398057
2010-02-18,52.36,53.2,52.12,53.06,1205121
2010-02-19,52.82,53.77,52.81,53.5,1251407
2010-02-22,53.69,54.03,53.02,53.15,1546039
2010-02-23,52.98,53.1,51.75,51.78,1465563
2010-02-24,52.01,52.28,51.39,51.9,1138615
2010-02-25,50.82,51.66,50.32,51.55,1175576
2010-02-26,51.83,52.13,51.13,51.9,1720918
2010-03-01,52.33,53.29,52.19,53.25,1719806
2010-03-02,53.5,54.08,53.3,53.66,1782305
2010-03-03,53.82,54.1,53.28,53.44,1575911
2010-03-04,53.4,53.58,52.65,53.21,1466667
2010-03-05,53.69,54.25,53.62,53.9,1670502
2010-03-08,53.88,54.32,53.52,53.7,1398507
2010-03-09,53.31,53.95,53.19,53.57,1626916
2010-03-10,53.39,54.14,53.39,53.94,1340953
2010-03-11,53.72,54.04,53.5,53.79,1046814
2010-03-12,54.15,54.25,53.71,54.0,1432223
2010-03-15,53.74,53.81,52.98,53.71,1384452
2010-03-16,53.99,54.98,53.84,54.68,3370130
2010-03-17,54.99,55.98,54.94,55.62,1761248
2010-03-18,55.45,55.71,54.92,55.42,1654546
2010-03-19,55.54,55.67,54.21,55.03,1928030
2010-03-22,54.3,55.27,54.04,55.0,1123914
2010-03-23,55.13,55.55,54.73,55.27,1166011
2010-03-24,54.77,55.82,54.61,55.08,1841700
2010-03-25,55.72,55.75,53.88,53.89,1994761
2010-03-26,54.2,54.34,52.92,53.43,2030499
2010-03-29,53.79,54.98,53.63,54.98,1876725
2010-03-30,55.13,55.5,54.8,55.14,1599887
2010-03-31,55.37,56.7,55.31,56.19,2326708
2010-04-01,56.75,57.87,56.72,57.64,2201658
2010-04-05,57.9,59.66,57.74,59.47,2112483
2010-04-06,59.24,60.02,58.89,59.73,2151679
2010-04-07,59.68,59.85,59.13,59.36,2100078
2010-04-08,58.71,59.93,58.52,59.76,1688674
2010-04-09,60.06,60.46,59.66,60.4,1833966
2010-04-12,60.39,61.59,60.27,61.29,2741193
2010-04-13,61.23,61.39,60.36,60.98,1903525
2010-04-14,61.28,61.79,60.79,61.71,1514975
2010-04-15,61.67,62.2,61.46,61.67,1916749
2010-04-16,61.13,61.5,59.9,60.2,2393756
2010-04-19,59.59,60.19,59.15,60.08,2050179
2010-04-20,60.83,61.86,60.63,61.68,1781361
2010-04-21,61.36,61.57,60.22,60.83,1665753
2010-04-22,59.94,61.07,59.56,60.98,1134420
2010-04-23,61.14,61.86,60.46,61.82,1436579
2010-04-26,62.0,62.1,61.38,61.55,1439587
2010-04-27,61.1,61.96,59.75,59.83,1474905
2010-04-28,60.48,61.11,59.97,60.95,1489603
2010-04-29,61.43,61.96,60.14,60.69,1389701
2010-04-30,61.02,61.04,59.54,60.15,2098322
2010-05-03,60.53,61.24,59.51,60.71,1648632
2010-05-04,59.83,59.83,58.05,58.31,1748417
2010-05-05,57.67,58.17,55.89,56.38,3037712
2010-05-06,55.82,56.84,50.6,54.03,3533712
2010-05-07,54.02,54.7,51.83,52.7,2829948
2010-05-10,55.55,56.12,54.3,55.34,2219837
2010-05-11,54.4,56.3,54.4,55.78,3497609
2010-05-12,56.58,58.39,56.5,58.04,3228576
2010-05-13,57.79,58.14,57.04,57.44,2256502
2010-05-14,56.68,56.93,55.18,56.47,2237680
2010-05-17,56.43,56.93,54.2,55.46,2063960
2010-05-18,56.37,56.83,54.12,54.46,2439382
2010-05-19,54.04,54.72,52.85,53.88,2001330
2010-05-20,52.49,52.72,51.0,51.31,2217890
2010-05-21,50.5,52.34,50.1,52.32,2286444
2010-05-24,52.32,52.32,50.44,50.57,2290766
2010-05-25,49.35,51.5,49.08,51.38,2688731
2010-05-26,51.86,52.32,50.75,51.04,2050882
2010-05-27,51.97,53.55,51.75,53.46,1900608
2010-05-28,54.34,54.41,52.94,53.38,2269858
2010-06-01,52.54,53.59,51.05,51.08,2005424
2010-06-02,51.4,51.73,50.64,51.73,4538302
2010-06-03,52.11,52.25,51.02,52.13,2141005
2010-06-04,51.02,51.87,50.0,50.23,1988959
2010-06-07,50.6,51.16,49.86,50.0,2463971
2010-06-08,50.23,50.8,49.32,50.73,1845661
2010-06-09,51.27,52.55,50.44,50.68,1859901
2010-06-10,51.95,54.27,51.95,54.23,2888630
2010-06-11,53.48,54.36,52.92,54.26,1884405
2010-06-14,55.04,55.77,54.42,54.56,1656827
2010-06-15,55.0,55.91,54.87,55.78,1748899
2010-06-16,55.32,56.09,55.06,55.66,1565963
2010-06-17,55.84,55.99,54.96,55.59,1397334
2010-06-18,55.5,55.78,54.97,55.7,1852139
2010-06-21,56.61,56.9,55.2,55.64,1023057
2010-06-22,55.68,55.68,53.72,53.78,1558929
2010-06-23,53.7,53.97,52.99,53.5,1593933
2010-06-24,53.34,53.61,52.19,52.38,1425864
2010-06-25,52.47,53.06,51.81,52.6,2416650
2010-06-28,52.44,52.81,51.56,51.63,1618913
2010-06-29,50.7,50.81,49.25,49.71,2487106
2010-06-30,49.74,50.79,49.41,49.55,1991428
2010-07-01,49.5,49.9,48.2,48.93,2076441
2010-07-02,48.93,49.67,48.28,48.44,1741189
2010-07-06,49.36,49.79,48.14,48.67,1676047
2010-07-07,48.84,50.43,48.63,50.35,1745209
2010-07-08,50.8,51.11,50.02,51.02,1584693
2010-07-09,50.9,51.16,50.59,50.88,1436214
2010-07-12,50.63,51.28,50.14,50.6,1009534
2010-07-13,51.39,51.39,50.68,50.9,2423065
2010-07-14,50.55,50.89,50.16,50.56,1432629
2010-07-15,50.59,50.88,49.55,50.71,1278101
2010-07-16,51.01,51.01,49.86,50.18,2520051
2010-07-19,50.52,50.71,49.7,50.16,948329
2010-07-20,49.5,51.02,49.31,50.93,2141643
2010-07-21,51.14,51.35,50.02,50.51,1520150
2010-07-22,51.15,52.15,50.74,51.82,1560912
2010-07-23,52.21,55.35,52.09,55.2,5628584
2010-07-26,55.14,55.97,54.78,55.77,1841954
2010-07-27,56.0,56.48,55.19,55.52,2065650
2010-07-28,55.04,55.51,54.72,54.87,1263031
2010-07-29,55.33,55.85,53.87,54.43,1909124
2010-07-30,53.74,54.99,53.69,54.75,1713165
2010-08-02,55.69,56.9,55.26,56.31,1941362
2010-08-03,56.0,56.27,55.48,55.75,1559498
2010-08-04,56.08,57.05,55.88,56.73,2124393
2010-08-05,56.0,57.83,55.01,57.24,2568851
2010-08-06,56.37,56.99,55.45,56.34,1729822
2010-08-09,56.52,56.87,56.15,56.75,1155502
2010-08-10,55.84,56.24,55.43,56.17,2157346
2010-08-11,55.03,55.16,53.58,53.81,1683032
2010-08-12,52.8,53.84,52.8,53.59,1830872
2010-08-13,53.59,55.19,53.59,54.82,2519552
2010-08-16,54.54,55.63,54.02,55.46,1714364
2010-08-17,56.06,56.95,55.56,56.59,2093077
2010-08-18,56.14,56.26,55.34,55.95,1782551
2010-08-19,55.65,55.85,54.83,55.45,2074317
2010-08-20,54.97,55.39,54.28,54.9,1888935
2010-08-23,55.13,55.97,55.03,55.03,1125277
2010-08-24,54.26,54.61,53.89,54.07,1528433
2010-08-25,53.67,54.39,52.96,54.18,1383687
2010-08-26,54.44,54.85,53.66,53.9,1154383
2010-08-27,54.31,55.21,53.17,55.09,1436551
2010-08-30,54.99,55.37,54.44,54.45,853845
2010-08-31,54.29,54.61,53.32,53.6,1994282
