Date,Open,High,Low,Close,Volume
2010-01-04,56.1,56.87,56.1,56.85,1460161
2010-01-05,56.7,57.45,56.7,56.95,1680310
2010-01-06,56.8,57.22,56.59,57.17,1992199
2010-01-07,56.92,57.96,56.72,57.76,4292434
2010-01-08,57.37,58.1,57.15,57.44,1557383
2010-01-11,57.75,57.95,57.2,57.5,1376347
2010-01-12,57.24,57.59,56.8,57.56,1491411
2010-01-13,57.75,59.57,57.75,59.29,2466212
2010-01-14,59.24,59.83,58.57,59.3,1847009
2010-01-15,59.06,59.21,58.12,58.62,1668589
2010-01-19,58.61,59.61,58.17,58.94,2222780
2010-01-20,58.43,58.71,57.51,58.29,1679238
2010-01-21,58.15,58.34,56.58,56.68,2423296
2010-01-22,56.78,56.86,55.53,55.63,1972267
2010-01-25,56.25,56.25,55.36,55.7,2257933
2010-01-26,55.64,56.44,55.3,56.03,1878633
2010-01-27,55.85,56.96,55.59,56.74,2781759
2010-01-28,56.83,57.2,55.73,56.64,2415534
2010-01-29,56.96,57.06,56.31,56.6,2336226
2010-02-01,56.88,58.1,56.81,57.92,3369145
2010-02-02,57.88,58.2,57.14,58.18,2898789
2010-02-03,57.85,58.75,57.77,58.51,1964179
2010-02-04,58.13,60.39,56.86,57.9,6166577
2010-02-05,58.27,58.5,56.56,57.66,2565438
2010-02-08,57.76,58.72,57.17,57.97,2345480
2010-02-09,58.57,59.96,58.18,59.55,2720614
2010-02-10,59.47,59.5,58.34,58.54,2379020
2010-02-11,58.53,59.42,58.0,59.41,1912835
2010-02-12,58.83,59.05,58.24,58.89,2543604
2010-02-16,59.38,59.66,58.91,59.56,2381241
2010-02-17,59.72,59.95,59.4,59.94,1953029
2010-02-18,59.72,61.51,59.66,61.51,3292529
2010-02-19,61.48,61.79,60.94,61.21,2766419
2010-02-22,61.22,62.05,61.18,61.67,1727357
2010-02-23,61.48,62.23,61.21,61.24,1761382
2010-02-24,61.47,62.0,61.18,61.69,1862069
2010-02-25,61.17,61.19,60.16,61.12,2765134
2010-02-26,61.14,61.42,60.36,61.26,3412078
2010-03-01,61.25,63.23,61.15,63.01,2448370
2010-03-02,62.96,63.67,62.8,62.91,2122835
2010-03-03,62.94,63.03,61.95,62.32,2492976
2010-03-04,62.29,63.3,62.08,63.08,3422595
2010-03-05,63.42,64.36,63.38,64.22,1378328
2010-03-08,64.16,64.44,63.75,64.16,1272598
2010-03-09,63.96,64.52,63.69,64.0,1831360
2010-03-10,63.86,64.71,63.78,64.55,1418108
2010-03-11,64.55,64.8,63.87,64.75,1302408
2010-03-12,64.73,64.97,63.85,64.0,1872092
2010-03-15,63.98,64.37,63.8,64.31,1739322
2010-03-16,64.43,64.89,64.29,64.63,1557276
2010-03-17,64.88,65.34,64.56,64.9,1487144
2010-03-18,65.03,65.1,64.73,65.05,1497392
2010-03-19,65.19,65.61,64.91,65.54,4342103
2010-03-22,65.26,65.37,64.8,64.94,2150867
2010-03-23,65.05,65.32,64.83,65.19,2143446
2010-03-24,65.14,65.35,64.73,64.94,1690926
2010-03-25,65.42,65.6,64.94,64.98,1568839
2010-03-26,65.02,65.68,65.02,65.53,1758832
2010-03-29,65.72,66.06,65.52,65.78,2019242
2010-03-30,65.95,65.95,65.35,65.72,1426643
2010-03-31,65.39,65.88,65.19,65.57,1969403
2010-04-01,66.05,66.61,65.79,66.25,1581898
2010-04-05,66.45,66.69,66.19,66.42,1380973
2010-04-06,66.2,66.2,65.54,65.73,1433459
2010-04-07,65.44,65.9,65.14,65.22,2007276
2010-04-08,65.18,65.26,64.64,65.1,1657894
2010-04-09,65.08,66.19,65.07,66.15,1813760
2010-04-12,66.15,66.63,66.1,66.22,1388842
2010-04-13,66.05,66.79,65.6,66.64,1777247
2010-04-14,66.84,66.86,65.84,66.85,1377627
2010-04-15,66.64,67.0,66.34,66.82,1321036
2010-04-16,66.79,66.83,65.43,65.97,1734765
2010-04-19,65.68,66.5,65.6,66.42,1348271
2010-04-20,66.62,67.61,66.47,67.43,1620377
2010-04-21,67.17,68.39,66.94,68.37,1505701
2010-04-22,67.96,69.07,67.79,68.99,1847401
2010-04-23,69.04,69.04,68.15,68.99,1142969
2010-04-26,69.04,69.63,68.85,68.93,1607348
2010-04-27,68.77,68.77,67.1,67.18,1996289
2010-04-28,69.47,69.8,67.75,68.67,3333015
2010-04-29,68.98,69.75,68.4,69.38,1792009
2010-04-30,69.31,69.72,67.77,67.83,2024483
2010-05-03,68.22,69.38,68.11,69.24,1365443
2010-05-04,68.48,68.48,66.22,66.66,2148719
2010-05-05,66.2,67.11,66.2,66.88,1567301
2010-05-06,66.6,66.72,60.34,64.57,2552591
2010-05-07,64.34,64.68,62.34,62.84,2796965
2010-05-10,65.13,65.43,63.73,64.88,2842730
2010-05-11,63.72,65.7,63.42,64.89,1888071
2010-05-12,64.89,65.88,64.83,65.75,1089229
2010-05-13,65.49,65.94,64.79,64.98,907342
2010-05-14,64.42,64.79,62.79,63.29,1453265
2010-05-17,63.21,64.09,62.38,63.67,1490043
2010-05-18,64.17,64.58,62.84,62.85,1764392
2010-05-19,62.49,62.97,61.38,62.27,1968441
2010-05-20,61.12,61.47,59.67,60.02,2537859
2010-05-21,59.03,61.18,58.56,61.13,3033694
2010-05-24,60.81,61.48,60.18,60.25,2120559
2010-05-25,58.89,60.99,58.7,60.8,4046508
2010-05-26,61.31,61.68,60.09,60.18,3427660
2010-05-27,61.06,61.06,60.21,61.03,2241156
2010-05-28,61.16,61.37,60.27,60.49,2103570
2010-06-01,60.17,61.11,59.5,59.54,2030959
2010-06-02,59.9,60.87,59.66,60.82,2654031
2010-06-03,61.05,61.97,60.67,60.93,1854260
2010-06-04,59.63,59.91,58.04,58.24,1894841
2010-06-07,58.36,58.37,57.06,57.09,2303545
2010-06-08,56.73,57.46,56.33,57.38,2072318
2010-06-09,57.63,58.69,57.32,57.56,1878237
2010-06-10,58.41,59.17,58.24,59.05,1541397
2010-06-11,58.43,59.74,58.12,59.69,1621032
2010-06-14,60.17,60.71,59.62,59.74,1886461
2010-06-15,59.92,60.62,59.74,60.5,2696362
2010-06-16,60.41,61.27,60.33,61.08,2216145
2010-06-17,61.52,61.88,60.81,61.5,1758169
2010-06-18,61.56,62.16,61.44,62.08,2019208
2010-06-21,62.95,63.06,61.0,61.24,1983583
2010-06-22,61.08,61.67,60.12,60.25,1862041
2010-06-23,60.11,60.52,59.45,59.93,1602529
2010-06-24,59.73,60.06,58.7,58.88,2044603
2010-06-25,59.02,59.06,58.05,58.6,2515519
2010-06-28,58.81,59.39,58.26,58.42,2178764
2010-06-29,57.6,57.85,55.21,55.52,3572593
2010-06-30,55.42,55.78,54.37,54.44,3789608
2010-07-01,54.33,54.5,53.5,54.15,3462795
2010-07-02,54.01,54.69,53.78,54.1,2325263
2010-07-06,54.65,54.74,53.57,54.12,2397944
2010-07-07,54.42,55.62,54.27,55.59,2801758
2010-07-08,56.34,56.36,55.48,56.17,1995903
2010-07-09,55.91,55.97,54.81,55.45,1629351
2010-07-12,54.43,54.8,54.15,54.55,2214917
2010-07-13,55.08,55.59,54.8,55.26,2261742
2010-07-14,55.85,57.5,55.85,56.99,3541907
2010-07-15,57.72,57.72,56.15,56.61,2123805
2010-07-16,56.4,56.55,54.54,54.74,2049379
2010-07-19,55.09,55.7,55.0,55.49,2157804
2010-07-20,54.8,56.36,54.48,56.32,1839525
2010-07-21,57.04,57.29,55.57,56.03,1570512
2010-07-22,56.67,57.98,56.55,57.9,3013945
2010-07-23,57.85,58.49,57.76,58.17,2724669
2010-07-26,58.43,59.05,58.0,59.04,1872834
2010-07-27,59.4,59.4,58.02,58.14,1547007
2010-07-28,58.15,58.78,57.8,58.39,1652527
2010-07-29,59.49,60.0,57.81,58.44,2462451
2010-07-30,57.99,58.87,57.2,58.64,2317861
2010-08-02,59.48,59.48,58.25,59.21,1652978
2010-08-03,58.94,59.4,58.59,58.92,1334506
2010-08-04,58.9,59.54,58.82,59.52,1584838
2010-08-05,59.19,59.67,59.02,59.51,2004719
2010-08-06,59.02,60.15,58.97,60.01,2378529
2010-08-09,60.23,60.25,59.57,60.1,2021321
2010-08-10,59.26,59.67,58.41,59.15,2178963
2010-08-11,57.58,58.09,56.63,56.93,2170360
2010-08-12,56.12,56.99,56.11,56.53,2011601
2010-08-13,56.34,56.84,56.27,56.57,2178403
2010-08-16,56.23,56.52,55.62,56.23,1930266
2010-08-17,56.76,58.21,56.38,57.52,1896695
2010-08-18,57.25,58.34,57.25,58.23,2576587
