Date,Open,High,Low,Close,Volume
2010-01-04,34.59,34.87,34.0,34.19,5320088
2010-01-05,34.1,34.35,33.38,33.59,7933856
2010-01-06,33.47,33.99,33.1,33.35,5193893
2010-01-07,33.24,33.53,32.99,33.27,5373017
2010-01-08,33.12,33.58,32.78,33.54,4718348
2010-01-11,33.54,33.75,32.73,32.94,5529027
2010-01-12,32.8,33.02,32.05,32.45,7329590
2010-01-13,32.71,33.87,32.7,33.73,6934470
2010-01-14,33.63,34.25,33.6,33.65,5474484
2010-01-15,33.88,34.0,32.99,33.15,5337779
2010-01-19,33.16,33.84,33.16,33.3,5129365
2010-01-20,33.07,33.07,31.8,32.5,5545817
2010-01-21,32.38,33.04,31.62,31.78,9320419
2010-01-22,31.54,32.11,30.76,30.78,9246452
2010-01-25,31.02,31.42,30.58,30.93,5594809
2010-01-26,30.79,31.54,30.53,30.91,5227396
2010-01-27,30.68,31.21,30.31,30.93,5722509
2010-01-28,30.6,30.92,29.48,29.82,9192946
2010-01-29,29.96,30.28,28.92,29.13,8728503
2010-02-01,29.1,30.16,29.1,30.11,5679321
2010-02-02,30.14,31.13,30.0,30.97,8362925
2010-02-03,30.84,31.16,30.66,31.02,5400432
2010-02-04,30.74,30.95,29.84,29.89,8937424
2010-02-05,30.07,30.47,29.47,30.38,9856339
2010-02-08,30.5,31.07,30.2,30.52,5737980
2010-02-09,30.91,31.18,30.41,31.01,6610829
2010-02-10,30.89,31.1,30.53,30.76,4356553
2010-02-11,30.75,31.63,30.5,31.54,5711196
2010-02-12,31.08,31.61,30.79,31.46,4397367
2010-02-16,31.91,32.32,31.74,32.3,7300656
2010-02-17,32.3,32.31,31.7,32.08,11614730
2010-02-18,31.58,31.7,30.26,31.68,19886427
2010-02-19,31.47,31.86,31.0,31.29,10254137
2010-02-22,31.51,31.51,30.54,30.64,6246079
2010-02-23,30.41,30.55,29.62,29.9,7964570
2010-02-24,30.06,30.35,29.57,29.83,9370726
2010-02-25,29.35,30.16,29.2,30.01,7590829
2010-02-26,29.99,30.29,29.8,30.01,6076208
2010-03-01,30.27,31.52,30.12,31.46,9051341
2010-03-02,31.53,31.69,30.79,31.09,7709137
2010-03-03,31.26,32.01,30.98,31.24,7451836
2010-03-04,31.33,31.42,31.03,31.36,5097983
2010-03-05,31.47,32.23,31.47,32.05,6557681
2010-03-08,32.34,32.89,32.34,32.51,5319316
2010-03-09,32.25,32.86,32.21,32.55,4808228
2010-03-10,32.42,33.31,32.42,33.18,7204322
2010-03-11,33.15,33.34,32.88,33.32,5345759
2010-03-12,33.53,33.69,32.75,32.91,4583821
2010-03-15,33.27,33.3,32.55,32.82,3756066
2010-03-16,32.99,33.23,32.65,33.19,4010325
2010-03-17,32.75,33.4,32.75,33.04,5094872
2010-03-18,32.97,33.37,32.83,33.3,3209617
2010-03-19,33.34,33.58,32.16,32.46,8786507
2010-03-22,32.2,33.17,32.2,32.94,3625202
