Date,Open,High,Low,Close,Volume
2010-01-04,47.38,48.28,47.32,47.79,4923967
2010-01-05,47.77,48.26,47.39,48.12,3610125
2010-01-06,48.05,50.1,48.05,49.57,6650858
2010-01-07,49.29,49.29,48.11,49.23,4738091
2010-01-08,49.13,50.44,48.83,49.93,6612237
2010-01-11,50.68,50.72,48.96,49.64,4523104
2010-01-12,48.8,48.94,47.86,48.41,5210773
2010-01-13,48.41,48.88,47.39,48.43,3397494
2010-01-14,48.39,48.54,47.38,47.91,4454008
2010-01-15,47.94,48.08,47.01,47.43,3922347
2010-01-19,47.45,48.25,47.12,48.11,3438363
2010-01-20,47.58,47.69,46.95,47.11,5049497
2010-01-21,47.11,47.25,45.6,45.69,5713146
2010-01-22,44.43,45.49,43.52,44.19,7093699
2010-01-25,44.93,45.35,43.99,44.13,5991704
2010-01-26,42.93,44.61,42.75,43.56,7586174
2010-01-27,43.39,44.06,41.65,42.59,7339916
2010-01-28,43.31,43.32,41.1,41.4,6790319
2010-01-29,42.04,42.29,40.57,40.8,6653668
2010-02-01,41.3,42.17,41.07,41.97,4805303
2010-02-02,42.34,43.04,41.71,42.92,5357828
2010-02-03,42.42,43.18,41.8,41.94,5049759
2010-02-04,40.67,41.3,39.5,39.5,9181854
2010-02-05,39.97,40.54,38.93,40.46,8421528
2010-02-08,40.62,40.85,39.56,39.57,4748392
2010-02-09,40.42,40.98,39.88,40.46,5044310
2010-02-10,40.1,40.23,39.24,39.92,6147732
2010-02-11,40.08,41.17,39.9,41.15,5956972
2010-02-12,40.34,41.45,40.0,41.13,5982350
2010-02-16,41.98,42.77,41.73,42.69,7459586
2010-02-17,42.98,42.98,42.2,42.44,4983225
2010-02-18,42.45,43.78,42.28,43.62,6233028
2010-02-19,43.26,45.04,43.2,44.35,7040421
2010-02-22,44.46,44.49,43.53,43.66,5399118
2010-02-23,43.51,43.7,41.69,42.0,6989009
2010-02-24,42.34,42.91,41.68,42.09,5767390
2010-02-25,41.11,41.97,40.5,41.88,5943463
2010-02-26,41.98,42.07,40.87,41.4,6457770
2010-03-01,41.78,42.61,41.49,42.37,5729553
