Date,Open,High,Low,Close,Volume
2010-01-04,22.44,22.86,22.44,22.79,1540494
2010-01-05,22.75,22.88,22.3,22.59,2910974
2010-01-06,22.64,22.76,22.5,22.72,1549114
2010-01-07,22.76,22.76,22.42,22.57,1409346
2010-01-08,22.56,22.72,22.38,22.7,929170
2010-01-11,22.84,23.26,22.72,23.2,1569776
2010-01-12,23.1,23.18,22.78,22.86,1428122
2010-01-13,23.0,23.0,22.78,22.96,767646
2010-01-14,22.86,23.0,22.75,22.82,1346134
2010-01-15,22.76,22.76,22.32,22.46,1068750
2010-01-19,22.38,23.03,22.34,22.98,1414416
2010-01-20,22.87,23.0,22.5,22.98,1474212
2010-01-21,23.02,23.26,22.6,22.79,1445586
2010-01-22,22.77,22.8,22.35,22.4,796614
2010-01-25,22.52,22.74,22.38,22.61,1154404
2010-01-26,22.51,22.85,22.48,22.66,593550
2010-01-27,22.34,22.38,21.68,21.96,1299494
2010-01-28,22.04,22.08,21.66,21.72,759022
2010-01-29,21.78,21.84,21.1,21.1,1779772
2010-02-01,21.21,21.58,21.08,21.54,1167222
2010-02-02,21.52,21.69,21.4,21.65,1223842
2010-02-03,21.5,21.61,21.38,21.47,850556
2010-02-04,21.32,21.32,20.69,20.69,1016736
2010-02-05,20.7,20.7,19.98,20.38,1551102
2010-02-08,20.46,20.6,20.25,20.31,761934
2010-02-09,20.67,20.84,20.46,20.68,945770
2010-02-10,20.68,20.79,20.33,20.55,842704
2010-02-11,20.48,20.81,20.39,20.81,660002
2010-02-12,20.56,20.84,20.39,20.84,1317182
2010-02-16,21.0,21.22,20.96,21.22,1248724
2010-02-17,21.26,21.36,21.16,21.36,1787114
2010-02-18,21.28,21.34,21.14,21.34,1043976
2010-02-19,21.3,21.52,21.24,21.5,1516116
2010-02-22,21.58,21.76,21.46,21.74,1555188
2010-02-23,21.88,21.88,21.25,21.48,1567410
2010-02-24,21.58,21.96,21.46,21.96,1176462
2010-02-25,21.7,22.09,21.58,22.08,744388
2010-02-26,22.12,22.3,22.0,22.16,1323720
2010-03-01,22.28,22.62,22.22,22.62,913318
2010-03-02,22.7,22.82,22.62,22.78,878892
2010-03-03,22.86,23.01,22.82,22.94,1058860
2010-03-04,23.49,23.56,23.0,23.42,2809896
