Date,Open,High,Low,Close,Volume
2010-01-04,16.8,17.0,16.69,16.75,2932125
2010-01-05,16.75,16.88,16.56,16.85,3562976
2010-01-06,16.81,16.89,16.68,16.84,2061672
2010-01-07,16.83,17.07,16.67,16.92,3082127
2010-01-08,16.85,17.0,16.8,17.0,2442805
2010-01-11,17.03,17.08,16.79,16.83,1720676
2010-01-12,16.81,16.96,16.51,16.54,3802654
2010-01-13,16.67,16.8,16.55,16.71,3226710
2010-01-14,16.67,16.92,16.61,16.86,2227309
2010-01-15,16.93,16.97,16.53,16.62,3112476
2010-01-19,16.68,16.8,16.58,16.65,2966549
2010-01-20,16.56,16.69,16.5,16.63,2782472
2010-01-21,16.59,16.74,16.39,16.58,4496588
2010-01-22,16.5,16.86,16.0,16.15,7107129
2010-01-25,16.46,16.49,16.01,16.27,4747390
2010-01-26,16.09,16.26,15.89,15.91,3323296
2010-01-27,15.92,16.09,15.76,15.97,5643535
2010-01-28,15.87,16.0,15.6,15.64,5202915
2010-01-29,15.54,16.35,15.53,16.17,9942597
2010-02-01,16.12,16.17,15.68,15.76,5793670
2010-02-02,15.76,15.86,15.54,15.66,5081688
2010-02-03,15.57,15.75,15.44,15.51,3330669
2010-02-04,15.59,15.59,15.17,15.19,3955791
2010-02-05,15.18,15.42,15.07,15.35,4942960
2010-02-08,15.18,15.51,15.15,15.24,3667490
2010-02-09,15.37,15.61,15.31,15.51,3613023
2010-02-10,15.55,15.58,15.38,15.5,3356826
2010-02-11,15.42,15.62,15.37,15.58,2333786
2010-02-12,15.45,15.61,15.38,15.59,3533582
2010-02-16,15.59,15.83,15.59,15.83,3432045
2010-02-17,15.82,15.88,15.7,15.83,2901372
2010-02-18,15.87,15.94,15.55,15.57,10637815
2010-02-19,15.68,15.94,15.6,15.8,4894215
2010-02-22,15.76,15.81,15.64,15.68,4316333
2010-02-23,15.73,15.83,15.49,15.5,4717375
2010-02-24,15.63,15.73,15.44,15.73,4256026
2010-02-25,15.52,15.68,15.45,15.66,2704703
2010-02-26,15.75,15.77,15.53,15.75,4748309
2010-03-01,15.73,15.76,15.54,15.71,3337785
2010-03-02,15.78,15.78,15.55,15.61,3122970
2010-03-03,15.65,15.68,15.33,15.44,3285420
2010-03-04,15.42,15.52,15.29,15.36,1968384
2010-03-05,15.45,15.72,15.23,15.6,5172660
2010-03-08,15.46,15.66,15.46,15.64,3018394
2010-03-09,15.54,15.65,15.49,15.61,5402270
2010-03-10,15.56,15.65,15.48,15.58,3984425
2010-03-11,15.5,15.74,15.5,15.73,5809417
2010-03-12,15.87,15.87,15.55,15.58,4237223
2010-03-15,15.76,15.76,15.41,15.54,5079988
2010-03-16,15.57,15.63,15.5,15.56,3279418
2010-03-17,15.64,15.68,15.53,15.61,4111316
2010-03-18,15.57,15.59,15.5,15.55,3049431
2010-03-19,15.86,15.99,15.59,15.79,10916851
2010-03-22,15.79,15.85,15.6,15.76,5245633
2010-03-23,15.8,15.83,15.63,15.71,3728693
2010-03-24,15.73,15.75,15.51,15.54,5453684
2010-03-25,15.58,15.75,15.53,15.67,5980870
2010-03-26,15.75,15.87,15.56,15.68,6959844
2010-03-29,15.79,15.79,15.6,15.75,3095723
2010-03-30,15.77,15.8,15.65,15.69,4395761
2010-03-31,15.61,15.74,15.58,15.62,5686228
2010-04-05,15.81,15.81,15.54,15.61,5538189
2010-04-06,15.61,15.85,15.52,15.81,7560061
2010-04-07,15.94,16.34,15.74,16.17,8994191
2010-04-08,16.22,16.51,16.14,16.47,7734448
2010-04-09,16.45,16.58,16.3,16.56,6331442
2010-04-12,16.56,16.61,16.43,16.6,3337665
2010-04-13,16.6,16.65,16.38,16.65,4852583
2010-04-14,16.65,16.79,16.5,16.53,4778637
2010-04-15,16.56,16.72,16.54,16.65,5953454
2010-04-16,16.73,16.75,15.84,16.4,12088346
2010-04-19,16.2,16.34,15.86,16.0,8395928
2010-04-20,16.1,16.3,16.01,16.27,5037788
2010-04-21,16.31,16.35,16.1,16.17,4000986
2010-04-22,16.12,16.17,15.95,16.03,5564742
2010-04-23,16.0,16.06,15.84,15.91,5031655
2010-04-26,16.2,16.41,15.99,16.05,12095366
2010-04-27,16.0,16.06,15.61,15.65,8183043
2010-04-28,15.61,15.92,15.55,15.61,6168595
2010-04-29,15.7,15.82,15.39,15.57,6527495
2010-04-30,15.62,15.64,15.42,15.52,5077941
2010-05-03,15.6,15.6,15.29,15.47,5932329
2010-05-04,15.25,15.35,15.14,15.2,5614805
2010-05-05,15.15,15.18,14.92,15.0,8584524
2010-05-06,14.91,15.02,14.07,14.6,12246349
2010-05-07,14.74,14.92,14.35,14.39,8873787
2010-05-10,14.97,15.12,14.72,14.97,6768933
2010-05-11,14.83,14.92,14.61,14.71,6927862
2010-05-12,14.74,14.89,14.53,14.83,6720965
2010-05-13,14.83,14.89,14.68,14.68,6585341
2010-05-14,14.63,14.78,14.5,14.55,6205184
2010-05-17,14.62,14.83,14.56,14.8,6309845
2010-05-18,14.94,14.94,14.62,14.66,5284314
2010-05-19,14.62,14.74,14.35,14.65,6398741
2010-05-20,14.42,14.59,14.27,14.29,9159681
2010-05-21,14.13,14.39,14.1,14.37,6709857
2010-05-24,14.29,14.41,14.15,14.2,4796262
2010-05-25,14.04,14.27,13.99,14.16,7163762
2010-05-26,14.21,14.36,13.99,14.04,5992273
2010-05-27,14.2,14.26,13.94,14.14,10434545
2010-05-28,14.13,14.13,13.97,13.97,9144347
2010-06-01,13.91,14.03,13.83,13.84,7014269
2010-06-02,13.92,13.98,13.84,13.98,6002550
2010-06-03,13.94,14.03,13.9,13.92,5569003
2010-06-04,13.78,14.28,13.75,13.94,10985277
2010-06-07,13.98,14.25,13.94,14.0,5930948
2010-06-08,14.01,14.18,13.94,14.14,7329213
2010-06-09,14.25,14.3,14.01,14.05,7300946
2010-06-10,14.28,14.29,14.0,14.24,6328103
2010-06-11,14.1,14.2,14.02,14.18,4984399
2010-06-14,14.23,14.31,14.07,14.08,3724054
2010-06-15,14.12,14.23,14.05,14.19,5620659
2010-06-16,14.18,14.7,14.1,14.58,12051955
2010-06-17,14.67,14.67,14.39,14.58,4904653
2010-06-18,14.61,14.69,14.47,14.54,5542149
2010-06-21,14.59,14.66,14.52,14.66,5502627
2010-06-22,14.65,14.67,14.16,14.2,7229774
2010-06-23,14.18,14.31,14.05,14.12,4269507
2010-06-24,14.05,14.13,13.83,13.87,5518548
2010-06-25,13.93,14.02,13.78,14.01,5472158
2010-06-28,13.98,14.03,13.74,13.78,6873121
2010-06-29,13.68,13.75,13.5,13.53,7714045
2010-06-30,13.59,13.8,13.49,13.5,7137418
2010-07-01,13.48,13.69,13.27,13.52,5698932
2010-07-02,13.65,13.66,13.27,13.36,3984269
2010-07-06,13.64,13.67,13.34,13.42,11870296
2010-07-07,13.41,13.83,13.4,13.81,3921985
2010-07-08,13.78,13.94,13.52,13.72,5613830
2010-07-09,13.74,13.89,13.68,13.88,2873848
2010-07-12,13.8,14.25,13.8,14.11,6131448
2010-07-13,14.25,14.34,14.05,14.11,7569705
2010-07-14,14.08,14.13,13.99,14.09,3031769
2010-07-15,14.08,14.23,13.84,14.15,5881796
2010-07-16,14.0,14.05,13.47,13.63,8653451
2010-07-19,13.64,13.89,13.56,13.78,4741444
2010-07-20,13.69,14.09,13.65,14.08,3644213
2010-07-21,14.15,14.15,13.6,13.63,5038130
2010-07-22,13.79,13.98,13.71,13.93,3532488
2010-07-23,13.93,14.06,13.69,14.05,4556439
2010-07-26,14.14,14.24,14.01,14.18,3072168
2010-07-27,14.22,14.35,14.02,14.2,5113392
2010-07-28,14.0,14.2,13.87,13.96,2794842
2010-07-29,14.01,14.12,13.77,13.84,6236999
2010-07-30,13.8,13.9,13.77,13.84,3187278
2010-08-02,13.96,13.99,13.73,13.9,3928203
2010-08-03,13.88,13.92,13.69,13.75,4412398
2010-08-04,13.79,13.82,13.63,13.67,2473770
2010-08-05,13.62,13.71,13.61,13.68,3015192
2010-08-06,13.64,13.71,13.42,13.57,3241864
2010-08-09,13.68,13.7,13.51,13.68,2346725
2010-08-10,13.62,13.89,13.57,13.75,5012062
2010-08-11,13.64,13.65,13.38,13.4,3492829
2010-08-12,13.25,13.41,13.2,13.25,3588544
2010-08-13,13.21,13.36,13.15,13.22,2286236
2010-08-16,13.22,13.36,13.12,13.36,2779013
2010-08-17,13.42,13.58,13.35,13.48,2640876
2010-08-18,13.46,13.5,13.35,13.43,3072662
2010-08-19,13.35,13.49,13.12,13.13,2951055
2010-08-20,13.1,13.25,13.07,13.24,4029242
2010-08-23,13.27,13.33,13.13,13.14,8716807
2010-08-24,13.05,13.05,12.83,12.84,3762945
2010-08-25,12.8,12.89,12.68,12.78,3367776
2010-08-26,12.84,12.91,12.67,12.67,2056089
2010-08-27,12.83,12.83,12.62,12.79,2715484
2010-08-30,12.78,12.79,12.62,12.62,1855169
2010-08-31,12.57,12.75,12.57,12.7,2719172
2010-09-01,12.81,12.85,12.56,12.73,4243621
2010-09-02,12.73,12.81,12.62,12.72,3871863
2010-09-03,12.83,13.0,12.76,12.88,2417195
2010-09-07,12.88,13.06,12.82,12.95,3336322
2010-09-08,12.95,13.11,12.94,13.06,2694888
2010-09-09,13.24,13.26,13.01,13.16,4090971
2010-09-10,13.22,13.23,13.07,13.1,2128202
2010-09-13,13.22,13.28,13.16,13.26,1977030
2010-09-14,13.31,13.32,13.11,13.11,4019947
2010-09-15,13.11,13.2,13.04,13.14,2994849
2010-09-16,13.1,13.16,12.93,13.03,2558947
2010-09-17,13.1,13.11,12.93,12.96,3361874
2010-09-20,13.01,13.2,12.98,13.1,2836698
2010-09-21,13.12,13.2,13.0,13.0,4565959
2010-09-22,13.03,13.05,12.83,12.85,2294903
2010-09-23,12.83,13.03,12.76,12.79,2748218
2010-09-24,12.89,13.18,12.85,13.16,2723719
2010-09-27,13.1,13.14,12.89,12.9,4209993
2010-09-28,12.91,13.07,12.82,13.05,2948832
2010-09-29,13.0,13.19,12.96,13.04,3053398
2010-09-30,13.1,13.29,13.04,13.09,2949804
2010-10-01,13.12,13.23,12.96,13.04,2986194
2010-10-04,13.07,13.15,12.99,13.11,2415281
2010-10-05,13.23,13.33,13.14,13.29,4253913
2010-10-06,13.38,13.45,13.3,13.43,2287186
2010-10-07,13.45,13.51,13.3,13.39,2672138
2010-10-08,13.42,13.44,13.26,13.32,2360548
2010-10-11,13.31,13.37,13.24,13.28,1651354
2010-10-12,13.23,13.36,13.16,13.33,1829503
2010-10-13,13.4,13.4,13.26,13.27,1973272
