Date,Open,High,Low,Close,Volume
2010-01-04,36.99,37.0,36.32,36.61,2631678
2010-01-05,36.58,37.29,36.48,37.27,2299291
2010-01-06,37.07,38.13,37.05,37.76,3564980
2010-01-07,37.65,38.3,37.48,38.26,2455614
2010-01-08,38.19,38.61,37.93,38.31,2404257
2010-01-11,38.25,39.13,37.99,38.94,2623550
2010-01-12,38.64,39.0,38.2,38.83,2259608
2010-01-13,38.98,39.13,38.36,39.0,2716416
2010-01-14,38.76,39.12,38.63,38.93,2043493
2010-01-15,38.92,39.13,37.9,38.0,4074668
2010-01-19,37.86,38.69,37.57,38.41,1868471
2010-01-20,37.94,38.0,36.73,37.7,2157276
2010-01-21,37.65,38.12,36.7,37.09,2984589
2010-01-22,37.13,37.26,36.09,36.16,3116278
2010-01-25,36.7,36.86,36.01,36.11,3457109
2010-01-26,36.12,36.3,35.57,35.68,2452927
2010-01-27,35.4,35.98,35.01,35.91,2871513
2010-01-28,36.0,36.4,34.91,35.23,4466331
2010-01-29,36.02,37.07,35.82,36.03,5301321
2010-02-01,36.16,36.3,35.63,36.11,3491630
2010-02-02,36.51,36.65,35.48,36.12,3708773
2010-02-03,35.85,36.7,35.75,35.87,2442902
2010-02-04,35.63,35.65,34.5,34.58,3303528
2010-02-05,34.69,34.77,33.45,34.16,5544747
2010-02-08,33.74,34.62,33.66,33.97,3114349
2010-02-09,34.45,35.49,34.33,34.95,2949031
2010-02-10,34.98,35.15,34.52,34.88,2405564
2010-02-11,34.7,35.77,34.62,35.69,2894159
2010-02-12,35.17,35.81,34.82,35.55,3004011
2010-02-16,35.96,36.21,35.45,36.17,2021421
2010-02-17,36.51,36.6,35.67,36.06,1645440
2010-02-18,36.12,36.34,35.82,35.93,2082862
2010-02-19,35.75,36.2,35.69,35.95,3029927
2010-02-22,36.05,36.23,35.13,35.36,2562905
2010-02-23,35.43,35.76,34.78,34.9,2630164
2010-02-24,35.18,35.89,35.15,35.71,2658816
2010-02-25,35.01,35.79,34.7,35.7,2751622
2010-02-26,35.7,35.88,35.17,35.35,2807879
2010-03-01,35.43,36.25,35.39,36.03,2145685
2010-03-02,36.1,37.65,36.1,37.11,5291640
2010-03-03,37.1,38.41,36.93,38.25,5350237
2010-03-04,38.3,38.61,38.14,38.44,3577440
2010-03-05,38.54,39.23,38.39,39.21,3147675
2010-03-08,39.12,39.41,38.84,38.99,2294499
2010-03-09,38.82,39.75,38.7,39.6,3788189
2010-03-10,39.48,39.96,39.14,39.76,2958481
2010-03-11,39.48,39.84,39.17,39.81,2562084
2010-03-12,40.0,41.84,39.83,41.35,6948060
2010-03-15,41.11,41.4,40.65,41.4,2590743
2010-03-16,41.8,41.93,41.48,41.75,2547766
2010-03-17,41.67,42.52,41.31,42.42,3477177
2010-03-18,42.22,42.42,41.83,42.04,3197312
2010-03-19,42.39,42.49,41.69,42.25,3969152
2010-03-22,42.03,43.37,41.81,43.23,2991871
2010-03-23,43.23,43.25,42.65,43.24,3118460
2010-03-24,43.23,43.6,42.97,43.06,2686612
2010-03-25,43.42,44.54,43.05,43.44,4161865
2010-03-26,43.57,44.01,43.28,43.67,2482783
2010-03-29,43.77,44.11,43.54,43.87,1773830
2010-03-30,43.87,44.08,43.47,43.83,1965009
2010-03-31,43.61,43.82,43.14,43.34,2733374
2010-04-05,44.02,44.98,43.83,44.76,3137699
2010-04-06,44.7,44.99,44.48,44.69,2261678
2010-04-07,44.64,44.77,44.1,44.43,1930254
2010-04-08,44.38,44.67,43.76,44.55,2196142
2010-04-09,44.48,45.5,44.48,45.44,2208438
2010-04-12,45.5,45.61,45.13,45.39,1377502
2010-04-13,45.43,45.79,45.15,45.77,2001885
2010-04-14,45.55,46.45,45.44,46.42,1652563
2010-04-15,46.31,46.87,46.2,46.71,2457957
2010-04-16,46.64,46.97,45.66,45.89,3367949
2010-04-19,45.82,46.85,45.67,46.64,3692302
2010-04-20,47.09,47.21,44.81,45.31,6253280
2010-04-21,45.11,46.03,45.01,45.75,3247629
2010-04-22,45.3,46.58,45.01,46.43,2824137
2010-04-23,46.47,48.12,46.47,48.04,3565797
2010-04-26,48.0,48.64,47.76,48.04,2181949
2010-04-27,47.98,48.59,46.34,46.47,3823761
2010-04-28,46.79,47.2,46.24,46.44,2428258
2010-04-29,46.71,47.95,46.39,47.76,2311176
2010-04-30,47.95,48.31,46.51,46.52,2028295
2010-05-03,46.77,48.15,46.64,48.06,1925111
2010-05-04,47.19,47.37,45.0,46.1,4926637
2010-05-05,45.84,46.46,44.94,45.15,3767896
2010-05-06,44.62,45.35,39.75,42.85,6346607
2010-05-07,42.12,43.86,41.45,41.58,6321137
2010-05-10,44.2,45.24,44.01,44.77,4056678
2010-05-11,44.54,45.28,43.95,44.54,2660346
2010-05-12,44.73,45.35,44.04,45.32,5399677
2010-05-13,45.21,46.79,45.03,45.14,3470157
2010-05-14,44.82,44.86,43.14,44.1,3619531
2010-05-17,44.22,44.48,42.44,43.51,3522608
2010-05-18,43.79,44.58,42.76,42.92,2099076
2010-05-19,42.65,43.35,41.3,42.0,3480771
