Date,Open,High,Low,Close,Volume
2010-01-04,61.19,61.52,60.64,61.24,6585871
2010-01-05,61.0,62.1,60.9,61.98,8886806
2010-01-06,61.99,62.47,61.23,61.36,9999180
2010-01-07,61.35,61.38,60.53,60.97,10792877
2010-01-08,60.76,60.82,60.27,60.77,8674678
2010-01-11,60.68,60.81,60.1,60.7,6461476
2010-01-12,60.52,61.68,60.5,61.55,9081816
2010-01-13,61.41,62.34,61.41,62.05,7380176
2010-01-14,62.02,62.92,61.76,62.8,7211549
2010-01-15,62.61,62.91,61.82,62.29,8361153
2010-01-19,62.23,62.41,61.97,62.33,5615716
2010-01-20,62.09,62.15,61.44,61.95,5605975
2010-01-21,62.01,62.16,60.74,60.94,7122291
2010-01-22,60.75,61.24,60.31,60.39,7228937
2010-01-25,60.7,60.7,60.08,60.23,4903991
2010-01-26,60.1,60.53,59.82,60.25,5001683
2010-01-27,60.05,60.39,59.6,60.29,6145842
2010-01-28,60.3,60.5,59.5,59.74,9289135
2010-01-29,59.84,60.36,59.12,59.62,8127732
2010-02-01,59.93,60.75,59.52,60.7,7303177
2010-02-02,60.68,61.28,60.34,61.15,6296694
2010-02-03,60.92,61.4,60.56,61.29,4862961
2010-02-04,60.83,60.93,59.62,59.64,6921365
2010-02-05,59.51,59.79,58.95,59.51,7347742
2010-02-08,59.6,59.66,58.75,58.96,7047679
2010-02-09,59.29,60.48,59.29,60.05,7941529
2010-02-10,59.96,60.67,59.51,60.38,10917642
2010-02-11,60.87,61.7,60.5,61.19,14391015
2010-02-12,61.06,61.22,60.49,60.92,8566952
2010-02-16,61.03,61.45,60.5,61.31,6930727
2010-02-17,61.48,62.2,61.25,62.11,6703447
2010-02-18,61.97,62.72,61.97,62.53,6942874
2010-02-19,62.32,62.92,61.98,62.66,6416623
2010-02-22,62.69,62.87,62.1,62.41,4709493
2010-02-23,62.22,62.48,61.7,61.78,5159370
2010-02-24,61.98,62.16,61.58,62.08,6888073
2010-02-25,61.51,62.34,61.02,62.3,8074547
2010-02-26,62.5,62.59,61.91,62.47,14786326
2010-03-01,62.65,63.58,62.47,63.43,9016428
2010-03-02,63.61,64.0,63.42,63.8,9527605
2010-03-03,63.82,64.27,63.8,63.98,8487012
2010-03-04,64.43,64.5,63.96,64.11,7831010
2010-03-05,64.3,64.48,63.91,64.37,8448583
2010-03-08,64.27,64.46,63.8,64.15,5086252
2010-03-09,63.88,64.65,63.8,64.36,7655363
2010-03-10,64.3,64.59,64.01,64.43,6449994
2010-03-11,64.2,65.0,63.9,64.97,7536854
2010-03-12,64.92,65.25,64.68,65.1,6896362
2010-03-15,65.69,66.26,65.4,66.15,10468221
2010-03-16,66.25,66.3,65.83,66.07,7474600
2010-03-17,66.15,66.58,66.02,66.57,6922345
2010-03-18,66.57,66.73,66.16,66.52,6962566
2010-03-19,66.96,66.98,66.26,66.56,10947400
2010-03-22,66.43,66.56,66.15,66.31,6762968
2010-03-23,66.39,67.0,66.24,66.86,6413388
2010-03-24,66.62,67.0,66.25,66.26,7661330
2010-03-25,66.37,67.0,66.35,66.55,6246719
2010-03-26,66.64,66.81,66.34,66.59,5313363
2010-03-29,66.61,66.87,66.3,66.55,6825572
2010-03-30,66.52,67.0,66.36,66.77,5733730
2010-03-31,66.68,66.71,66.06,66.16,8123852
2010-04-01,66.32,66.68,66.25,66.68,5074072
2010-04-05,66.68,66.68,65.83,65.98,6732659
2010-04-06,65.79,66.63,65.79,66.39,6734645
2010-04-07,66.39,66.52,65.75,65.99,8204144
2010-04-08,65.75,66.19,65.62,65.97,6649298
2010-04-09,65.93,66.43,65.86,66.36,4757609
2010-04-12,66.35,66.67,66.26,66.32,5073991
2010-04-13,66.16,66.5,66.02,66.39,5190708
2010-04-14,66.2,66.3,65.83,66.29,5202275
2010-04-15,65.97,66.5,65.8,66.27,5968597
2010-04-16,66.01,66.65,65.96,66.14,7375475
2010-04-19,66.08,66.39,65.7,66.12,6354595
2010-04-20,66.17,66.4,65.72,65.9,6780858
2010-04-21,65.82,66.31,65.61,65.98,6534367
2010-04-22,65.75,65.79,64.5,64.76,9689877
2010-04-23,64.85,64.85,64.17,64.71,9008965
2010-04-26,64.84,65.44,64.61,65.02,8096854
2010-04-27,64.93,65.2,64.07,64.23,8615261
2010-04-28,64.28,64.82,63.6,64.75,10229590
2010-04-29,64.95,65.5,64.83,65.2,7713902
2010-04-30,65.33,65.98,65.18,65.22,8274180
2010-05-03,65.28,66.0,64.89,65.69,5807835
2010-05-04,65.3,65.98,65.05,65.43,8383505
2010-05-05,65.1,65.95,65.02,65.2,7658715
2010-05-06,65.16,66.2,61.91,64.7,14046746
2010-05-07,64.46,65.04,63.66,64.57,13221594
2010-05-10,65.8,66.49,65.66,66.41,10833826
2010-05-11,66.16,67.0,66.02,66.55,7241111
2010-05-12,67.24,67.61,66.81,66.94,13170512
2010-05-13,67.02,67.08,66.46,66.48,7800677
2010-05-14,66.41,66.6,65.77,66.07,9731735
2010-05-17,66.11,66.96,66.07,66.75,6944094
2010-05-18,66.92,67.3,66.4,66.53,7238366
2010-05-19,66.3,66.38,65.5,66.04,7867739
2010-05-20,65.23,65.23,63.86,63.86,11588613
2010-05-21,63.21,63.64,62.14,63.58,14586377
2010-05-24,63.09,64.01,62.6,63.32,6334528
2010-05-25,61.93,62.92,61.65,62.89,9156870
2010-05-26,63.06,63.06,61.04,61.23,15153946
2010-05-27,61.97,62.93,61.52,62.9,9428372
2010-05-28,62.92,63.46,62.73,62.89,7546977
2010-06-01,62.66,63.59,61.9,62.76,7180024
2010-06-02,62.6,63.46,61.83,63.46,10023959
2010-06-03,63.5,63.65,63.0,63.37,6448378
2010-06-04,62.46,62.46,61.29,61.44,10309768
2010-06-07,61.37,62.56,61.29,61.73,7695109
2010-06-08,61.44,62.8,61.4,62.65,7538206
2010-06-09,62.86,63.07,62.33,62.49,7062784
2010-06-10,63.03,63.9,63.03,63.84,6568085
2010-06-11,63.5,63.56,62.94,63.56,5466071
2010-06-14,63.9,64.23,63.24,63.85,4941710
2010-06-15,63.88,64.29,63.84,64.24,6249044
2010-06-16,63.79,64.05,63.56,63.91,5959954
2010-06-17,63.96,64.56,63.75,64.49,5179847
2010-06-18,64.61,64.67,64.03,64.08,8948013
2010-06-21,64.54,64.79,63.74,64.02,5158727
2010-06-22,64.03,64.25,63.18,63.3,5979066
2010-06-23,63.22,63.22,62.31,62.73,6516802
2010-06-24,62.37,62.99,62.25,62.4,6185402
2010-06-25,62.49,62.49,60.77,60.77,22935607
2010-06-28,61.12,62.17,61.0,61.96,8532306
2010-06-29,61.46,61.77,60.89,61.23,9054980
2010-06-30,61.28,61.73,60.5,60.95,8760617
2010-07-01,61.13,61.66,60.32,61.52,10852860
2010-07-02,61.54,62.15,61.38,61.53,5988251
2010-07-06,61.74,61.89,60.95,61.64,6950041
2010-07-07,61.6,63.08,61.27,62.93,7296226
2010-07-08,63.21,64.0,62.91,64.0,6660775
2010-07-09,64.03,64.11,63.3,63.5,5020479
2010-07-12,63.25,63.75,63.05,63.74,4205389
2010-07-13,64.25,64.26,63.35,63.43,7312242
2010-07-14,63.23,63.7,63.06,63.56,5687463
2010-07-15,63.58,63.71,62.99,63.16,8124055
2010-07-16,63.05,63.53,62.24,62.45,9510104
2010-07-19,62.39,62.52,62.0,62.05,5969392
2010-07-20,61.77,64.87,61.71,64.73,11243027
2010-07-21,64.78,64.98,63.67,63.95,8691356
2010-07-22,64.46,64.86,64.0,64.21,7032786
