Date,Open,High,Low,Close,Volume
2010-01-04,18.27,18.94,18.24,18.93,52087601
2010-01-05,18.92,18.93,18.55,18.66,43375154
2010-01-06,18.66,18.81,18.51,18.6,41407171
2010-01-07,18.64,18.67,18.46,18.53,39429578
2010-01-08,18.62,18.71,18.52,18.68,30409108
2010-01-11,18.83,18.95,18.67,18.83,32449989
2010-01-12,18.8,18.99,18.64,18.77,41273509
2010-01-13,18.87,19.3,18.87,19.21,59517792
2010-01-14,19.2,19.5,19.13,19.38,47268682
2010-01-15,19.43,19.68,19.26,19.49,76629050
2010-01-19,19.53,20.07,19.5,20.0,78340771
2010-01-20,20.05,20.36,19.87,19.94,79245678
2010-01-21,20.04,20.15,19.17,19.24,77180528
2010-01-22,19.26,19.92,18.9,18.96,61707506
2010-01-25,19.24,19.25,18.84,18.85,49275499
2010-01-26,18.72,18.9,18.63,18.78,43601156
2010-01-27,18.78,19.09,18.66,19.0,54617924
2010-01-28,19.07,19.1,18.61,18.63,50943814
2010-01-29,18.7,18.97,18.52,18.66,56044605
2010-02-01,18.79,18.99,18.7,18.79,39455683
2010-02-02,18.87,19.33,18.77,19.24,67643086
2010-02-03,18.69,18.85,18.42,18.62,114002864
2010-02-04,18.35,18.44,18.01,18.03,94261821
2010-02-05,17.91,18.18,17.6,17.96,90400890
2010-02-08,17.91,18.0,17.72,17.84,55630348
2010-02-09,17.87,18.15,17.65,17.88,70977165
2010-02-10,17.92,17.98,17.63,17.74,59958492
2010-02-11,17.75,18.03,17.62,17.87,54698325
2010-02-12,17.85,17.89,17.62,17.8,50345242
2010-02-16,17.96,18.08,17.61,17.72,63287911
2010-02-17,17.85,17.86,17.53,17.67,58260429
2010-02-18,17.68,17.75,17.55,17.73,57122915
2010-02-19,17.82,18.1,17.73,17.99,50659579
2010-02-22,17.98,18.15,17.78,17.95,58002299
2010-02-23,17.84,17.94,17.61,17.67,47873501
2010-02-24,17.74,18.02,17.6,17.81,67724824
2010-02-25,17.57,17.73,17.43,17.69,53460168
2010-02-26,17.69,17.81,17.5,17.55,59237623
2010-03-01,17.61,17.86,17.58,17.75,45625301
2010-03-02,17.87,17.88,17.55,17.6,64662303
2010-03-03,17.45,17.6,17.21,17.32,109071005
2010-03-04,17.35,17.4,17.22,17.33,56919092
2010-03-05,17.38,17.5,17.23,17.48,64708932
2010-03-08,17.59,17.6,17.27,17.35,48738797
2010-03-09,17.27,17.32,17.15,17.23,54551191
2010-03-10,17.21,17.35,17.11,17.15,56305799
2010-03-11,17.12,17.32,17.1,17.29,49142516
2010-03-12,17.19,17.23,16.99,17.08,85448501
2010-03-15,17.03,17.28,16.99,17.26,43939429
2010-03-16,17.32,17.38,17.11,17.26,53166129
2010-03-17,17.26,17.31,17.16,17.21,56649323
2010-03-18,17.34,17.35,17.12,17.23,50910679
2010-03-19,17.3,17.3,16.8,16.91,113238819
2010-03-22,17.0,17.25,16.98,17.15,71077871
2010-03-23,17.28,17.58,17.2,17.54,73917072
2010-03-24,17.61,17.71,17.54,17.61,74003581
2010-03-25,17.74,17.78,17.35,17.39,48204683
2010-03-26,17.36,17.38,17.1,17.14,54182241
2010-03-29,17.2,17.34,17.14,17.28,48742497
2010-03-30,17.32,17.39,17.13,17.26,41833362
2010-03-31,17.18,17.27,17.09,17.15,59034428
2010-04-01,17.21,17.28,16.99,17.08,69116753
2010-04-05,17.14,17.14,16.85,16.9,68750168
2010-04-06,16.94,17.05,16.86,16.96,77606653
2010-04-07,17.02,17.12,16.99,17.07,84540499
2010-04-08,17.07,17.16,17.02,17.14,52796664
2010-04-09,17.2,17.31,17.17,17.25,44001996
2010-04-12,17.32,17.33,17.19,17.29,49243543
2010-04-13,17.21,17.25,17.1,17.18,66164139
2010-04-14,17.18,17.18,16.94,17.07,95889663
2010-04-15,17.05,17.16,16.96,16.99,59604713
2010-04-16,16.98,17.01,16.8,16.8,75522835
2010-04-19,16.74,16.82,16.6,16.79,65927613
2010-04-20,16.83,16.87,16.73,16.76,56520185
2010-04-21,16.75,16.82,16.44,16.6,68570205
2010-04-22,16.5,16.56,16.33,16.48,69718028
2010-04-23,16.43,17.01,16.4,16.91,98313106
2010-04-26,16.86,16.97,16.7,16.82,83473241
2010-04-27,16.71,16.85,16.4,16.46,91545211
2010-04-28,16.47,16.64,16.39,16.53,60666475
2010-04-29,16.63,17.01,16.63,16.86,67504501
2010-04-30,16.99,17.0,16.68,16.72,51071141
2010-05-03,16.8,17.0,16.62,16.91,71969032
2010-05-04,17.15,17.39,17.06,17.26,120901477
2010-05-05,16.97,17.34,16.96,17.18,99299909
2010-05-06,17.16,17.21,15.85,16.74,119230974
2010-05-07,16.7,16.81,16.38,16.46,106900700
2010-05-10,16.9,17.25,16.84,17.0,81597229
2010-05-11,16.85,17.19,16.8,17.01,53957491
2010-05-12,16.98,17.09,16.72,16.9,53526381
2010-05-13,16.84,16.94,16.54,16.56,67786761
2010-05-14,16.53,16.54,16.06,16.2,62673216
2010-05-17,16.2,16.27,15.78,16.11,98828781
2010-05-18,16.14,16.25,15.78,15.81,73473366
2010-05-19,15.75,15.94,15.6,15.82,82054239
2010-05-20,15.54,15.67,15.22,15.23,112465774
2010-05-21,14.99,15.42,14.96,15.4,102435658
2010-05-24,15.28,15.38,15.15,15.22,54189122
2010-05-25,14.95,15.1,14.75,15.06,102961192
2010-05-26,15.11,15.41,15.0,15.11,92243347
2010-05-27,15.34,15.45,15.17,15.37,66977770
2010-05-28,15.33,15.59,15.22,15.23,61382171
2010-06-01,15.16,15.42,14.96,14.99,56881518
2010-06-02,15.12,15.22,14.92,15.2,49548599
2010-06-03,15.24,15.34,15.12,15.23,34247401
2010-06-04,15.01,15.04,14.67,14.76,77938276
2010-06-07,14.84,14.89,14.5,14.52,68785729
2010-06-08,14.53,14.57,14.35,14.55,63246241
2010-06-09,14.64,14.75,14.39,14.52,86583300
2010-06-10,14.65,15.11,14.65,14.91,60176980
2010-06-11,15.23,15.52,15.2,15.46,75621133
2010-06-14,15.56,15.6,15.3,15.33,51261192
2010-06-15,15.4,15.53,15.3,15.52,50477737
2010-06-16,15.42,15.57,15.36,15.48,37923622
2010-06-17,15.43,15.47,15.13,15.47,49723119
2010-06-18,15.49,15.55,15.09,15.21,69824755
2010-06-21,15.36,15.38,15.01,15.1,45715790
