Date,Open,High,Low,Close,Volume
2010-01-04,24.11,25.03,24.1,25.0,3470818
2010-01-05,24.91,25.63,24.71,25.59,3689835
2010-01-06,25.44,25.49,24.78,25.42,2179262
2010-01-07,25.41,25.64,24.92,25.64,2642101
2010-01-08,25.47,25.76,25.29,25.67,3806017
2010-01-11,25.75,26.12,25.56,25.79,1318372
2010-01-12,26.59,26.98,25.21,25.35,3634166
2010-01-13,25.54,25.73,25.16,25.53,1946194
2010-01-14,25.53,25.83,25.08,25.65,1713595
2010-01-15,25.47,25.88,25.17,25.26,2081966
2010-01-19,25.16,25.96,25.03,25.78,2072667
2010-01-20,25.48,25.48,24.77,25.17,2338775
2010-01-21,25.16,25.38,23.75,23.81,5080710
2010-01-22,23.76,24.35,23.19,23.34,5751560
2010-01-25,23.76,24.08,23.42,23.76,2916415
2010-01-26,23.55,23.98,23.28,23.36,2805946
2010-01-27,23.36,24.02,23.14,24.01,3707887
2010-01-28,24.26,24.26,23.06,23.17,4017839
2010-01-29,23.38,23.66,22.98,23.05,3480129
2010-02-01,23.24,23.69,23.1,23.33,1883682
2010-02-02,23.41,24.05,23.1,24.0,3614737
2010-02-03,23.88,24.08,23.3,23.45,2894784
2010-02-04,23.01,23.31,22.53,22.57,3661487
2010-02-05,22.47,22.8,21.59,22.46,3843897
2010-02-08,22.61,22.93,22.08,22.19,3291152
2010-02-09,21.64,22.82,20.89,21.45,6365476
2010-02-10,21.33,22.05,21.18,21.9,3778370
2010-02-11,21.88,22.24,21.39,22.21,3834791
2010-02-12,21.94,22.12,21.66,22.04,3531225
2010-02-16,22.31,22.81,22.2,22.81,2727703
2010-02-17,22.91,23.1,22.77,22.84,3088304
2010-02-18,22.67,22.99,22.59,22.97,2654837
2010-02-19,22.8,22.93,22.45,22.83,2801102
2010-02-22,22.86,23.15,22.85,23.0,2344723
2010-02-23,22.81,22.85,22.1,22.21,3261409
2010-02-24,22.32,23.22,22.3,23.2,3551138
2010-02-25,22.67,23.17,22.4,23.12,3051836
2010-02-26,23.2,23.25,22.79,23.21,2308799
2010-03-01,23.24,23.55,23.1,23.16,2442078
2010-03-02,23.25,23.93,23.25,23.78,3145138
2010-03-03,23.87,24.21,23.73,23.96,2833826
2010-03-04,23.99,24.2,23.73,24.16,2784417
2010-03-05,24.32,24.86,24.11,24.8,2654889
2010-03-08,24.79,24.98,24.61,24.91,2499314
2010-03-09,24.73,25.24,24.69,25.04,2148818
2010-03-10,25.16,25.64,24.9,25.43,2716134
2010-03-11,25.3,25.46,24.93,25.44,2001867
2010-03-12,25.7,25.86,25.34,25.61,3234400
2010-03-15,25.55,25.97,25.36,25.97,3925057
2010-03-16,26.0,26.88,25.81,26.83,3894558
2010-03-17,27.01,28.1,26.97,27.76,6069245
2010-03-18,27.7,28.03,27.56,27.76,4021167
2010-03-19,27.8,27.94,27.24,27.4,4655685
2010-03-22,27.02,27.61,26.61,27.45,4335326
2010-03-23,27.57,28.1,27.32,28.04,3559002
2010-03-24,27.87,28.86,27.78,28.66,5912759
2010-03-25,28.91,29.61,28.8,29.18,6958403
2010-03-26,29.3,29.51,28.94,29.17,4691389
2010-03-29,29.36,29.49,28.92,29.32,4435914
2010-03-30,29.39,29.41,28.63,28.82,3183857
2010-03-31,28.7,29.24,28.64,29.21,5143221
2010-04-01,29.48,29.91,29.24,29.44,5247508
2010-04-05,29.58,30.22,29.58,30.09,4041193
2010-04-06,29.95,30.48,29.86,30.32,3186732
2010-04-07,30.24,30.33,29.28,29.63,4462008
2010-04-08,28.85,29.64,28.85,29.42,4243541
2010-04-09,29.58,29.67,28.86,29.3,3543333
2010-04-12,29.38,29.56,29.04,29.07,3001776
2010-04-13,28.97,29.26,28.89,29.1,2707901
2010-04-14,29.22,29.97,29.16,29.86,3053537
2010-04-15,29.74,30.12,29.48,29.9,3869409
2010-04-16,29.79,30.0,28.79,29.04,4965267
2010-04-19,28.58,29.67,28.58,29.67,3657110
2010-04-20,30.02,30.22,29.84,30.22,2992994
2010-04-21,30.22,30.41,29.65,30.08,2981035
2010-04-22,29.7,29.89,29.16,29.63,4029147
2010-04-23,30.0,31.1,29.82,31.04,4051591
2010-04-26,31.0,31.41,30.71,30.77,2915346
2010-04-27,30.43,30.65,28.74,28.82,5051966
2010-04-28,29.16,30.14,28.97,29.25,3061978
2010-04-29,29.64,30.56,29.64,30.33,4049803
2010-04-30,29.95,30.44,29.19,29.22,3014282
2010-05-03,29.58,30.38,29.47,30.26,2199353
2010-05-04,30.6,30.68,29.38,29.55,4663523
2010-05-05,29.08,30.13,28.82,29.4,3296461
2010-05-06,29.19,29.9,26.01,28.34,4691679
2010-05-07,28.42,28.93,27.35,27.67,5649334
2010-05-10,28.99,30.49,28.87,30.23,5321337
2010-05-11,29.76,30.53,29.54,29.85,5120602
2010-05-12,30.11,30.74,29.91,30.68,2031729
2010-05-13,30.47,30.68,30.1,30.11,1998148
2010-05-14,29.67,29.8,28.54,28.9,2635516
2010-05-17,28.93,29.54,28.4,29.31,2453954
2010-05-18,29.59,29.83,28.18,28.49,4272902
2010-05-19,27.98,28.68,27.45,28.16,4060767
2010-05-20,27.42,27.52,26.13,26.13,5003016
2010-05-21,25.11,26.55,25.11,26.2,7250862
2010-05-24,25.96,26.71,25.84,25.91,3450679
2010-05-25,25.01,26.12,24.58,26.1,4793126
2010-05-26,26.54,26.88,25.87,26.07,2690677
2010-05-27,26.78,28.13,26.76,28.12,3944910
2010-05-28,28.08,28.08,27.0,27.19,2874948
2010-06-01,26.81,27.29,26.27,26.3,2949651
2010-06-02,26.62,27.58,26.11,27.55,2720506
2010-06-03,27.59,27.79,26.99,27.41,1921033
2010-06-04,26.8,26.8,25.69,25.87,3420897
2010-06-07,26.01,26.23,24.97,25.03,3342868
2010-06-08,25.22,25.79,24.79,25.7,4905080
2010-06-09,25.9,26.29,25.13,25.29,3377479
2010-06-10,26.12,26.42,25.74,26.36,2839474
2010-06-11,25.9,26.1,25.62,25.75,5013852
2010-06-14,26.03,26.52,25.85,25.88,4779246
2010-06-15,26.27,27.13,26.06,27.04,3473836
2010-06-16,26.81,26.9,26.22,26.42,4323112
2010-06-17,26.47,26.55,25.94,26.4,2872214
2010-06-18,26.43,26.49,26.19,26.35,2279914
2010-06-21,26.78,26.84,25.88,26.07,2577349
2010-06-22,26.1,26.37,25.62,25.68,2266800
2010-06-23,25.69,25.84,25.16,25.51,3116665
2010-06-24,25.3,25.65,24.8,24.87,3763889
2010-06-25,25.13,25.76,24.84,25.4,8871854
2010-06-28,25.41,25.85,25.22,25.4,2572821
2010-06-29,24.69,24.91,23.71,23.93,5152352
2010-06-30,23.85,24.3,23.33,23.44,3480552
2010-07-01,23.45,23.65,22.35,23.14,4709626
2010-07-02,23.38,23.57,22.52,23.01,4776061
2010-07-06,23.57,23.68,22.61,22.96,4122146
2010-07-07,23.08,24.12,22.9,24.07,4036974
2010-07-08,24.33,24.53,23.98,24.51,2729708
2010-07-09,24.48,24.89,24.28,24.87,2811623
2010-07-12,24.72,24.87,24.42,24.61,2292378
2010-07-13,25.1,25.67,24.92,25.48,3151570
2010-07-14,25.4,25.67,25.07,25.4,3776990
2010-07-15,25.45,25.45,24.72,25.3,3234986
2010-07-16,24.9,24.96,23.71,23.8,3628381
2010-07-19,23.92,24.27,23.62,24.12,2507308
2010-07-20,23.55,24.53,23.49,24.49,2539434
2010-07-21,24.9,24.9,24.02,24.24,4540968
2010-07-22,24.74,25.44,24.65,25.35,2874733
2010-07-23,25.19,25.69,24.95,25.59,2349912
2010-07-26,25.63,25.81,25.17,25.63,2681577
2010-07-27,26.09,26.13,25.46,25.53,3153600
2010-07-28,25.39,25.48,24.8,24.92,3136083
2010-07-29,25.11,26.01,24.99,25.9,5322038
2010-07-30,25.49,25.83,25.28,25.61,4192575
2010-08-02,26.15,26.28,25.76,26.08,6349970
2010-08-03,24.78,25.6,24.0,24.8,5587879
2010-08-04,24.87,25.1,24.4,24.74,2735484
2010-08-05,24.51,24.6,24.25,24.55,3200332
2010-08-06,24.19,24.47,23.54,24.0,4198124
2010-08-09,24.12,24.51,23.95,24.51,3661550
2010-08-10,24.2,24.4,23.9,24.23,3916690
2010-08-11,23.72,23.72,22.92,22.98,3170338
2010-08-12,22.63,22.99,22.45,22.76,2631995
2010-08-13,22.72,23.21,22.6,22.89,2704700
2010-08-16,22.74,22.94,22.5,22.76,3338182
2010-08-17,23.0,23.14,22.92,23.01,4470178
2010-08-18,23.03,23.26,22.85,23.03,2555577
2010-08-19,22.87,23.02,22.6,22.74,6780463
2010-08-20,22.49,22.66,22.27,22.39,3105136
2010-08-23,22.53,22.53,21.99,21.99,2383082
2010-08-24,21.66,21.94,21.51,21.56,5029781
2010-08-25,21.29,22.12,21.19,22.03,4137670
2010-08-26,22.12,22.41,21.92,22.02,4618276
2010-08-27,22.2,23.22,21.74,23.21,4430121
2010-08-30,23.06,23.12,22.39,22.51,3553846
2010-08-31,22.5,23.13,22.23,22.96,4242560
2010-09-01,23.39,24.47,23.35,24.46,4461036
2010-09-02,24.45,24.82,24.26,24.79,2239941
2010-09-03,25.12,25.6,25.05,25.56,3207684
2010-09-07,25.19,25.19,24.7,24.78,3024031
2010-09-08,24.94,25.51,24.94,25.07,2258367
2010-09-09,25.6,25.77,25.22,25.49,2021751
2010-09-10,25.49,25.64,25.24,25.45,1879984
2010-09-13,26.0,26.15,25.72,26.11,1966971
2010-09-14,25.9,26.27,25.67,26.01,2096543
2010-09-15,25.85,26.0,25.54,25.94,2067135
2010-09-16,25.86,25.89,25.31,25.55,2010607
2010-09-17,25.67,25.87,25.1,25.35,2267145
2010-09-20,25.38,26.22,25.32,26.13,2158961
2010-09-21,26.21,26.64,26.05,26.2,2399176
2010-09-22,26.01,26.09,25.49,25.75,4589178
2010-09-23,25.35,25.63,24.79,24.8,3962243
2010-09-24,25.24,26.02,25.2,25.9,2384249
2010-09-27,25.83,26.21,25.62,25.92,3330412
2010-09-28,25.99,26.35,25.54,26.26,2310543
2010-09-29,26.03,26.29,25.84,25.95,2486997
2010-09-30,26.04,26.48,25.77,25.92,4185312
2010-10-01,26.22,26.5,25.66,25.92,2641606
2010-10-04,25.77,26.0,25.42,25.69,2884419
2010-10-05,26.09,26.75,25.86,26.55,4191082
2010-10-06,26.55,26.95,26.35,26.84,3685262
2010-10-07,26.98,27.1,26.57,26.7,2612745
2010-10-08,26.79,27.5,26.69,27.36,2696046
2010-10-11,27.33,27.33,27.05,27.22,1886845
2010-10-12,27.14,27.16,26.9,27.01,3958222
2010-10-13,27.15,27.51,27.01,27.02,3196856
2010-10-14,26.87,27.14,26.09,26.67,4699728
2010-10-15,26.98,27.03,26.19,26.48,3504519
2010-10-18,26.53,26.96,26.41,26.92,5650263
2010-10-19,26.37,27.1,26.12,26.26,3134086
2010-10-20,26.35,27.07,26.3,26.85,2080840
2010-10-21,26.97,27.34,26.74,27.09,3157873
2010-10-22,27.13,27.14,26.86,27.07,1896150
2010-10-25,27.83,28.38,27.08,27.23,2611472
2010-10-26,27.02,27.26,26.92,27.11,1765948
2010-10-27,26.61,27.3,26.61,27.26,2200889
2010-10-28,27.49,27.57,26.92,27.1,1849039
2010-10-29,27.01,27.17,26.8,26.84,1860574
2010-11-01,27.19,27.34,26.68,26.99,2081470
2010-11-02,27.39,27.91,27.12,27.5,2375681
2010-11-03,27.52,28.17,27.42,28.17,2437548
2010-11-04,28.48,29.63,28.35,29.59,7347742
2010-11-05,29.51,30.23,29.34,29.8,6974896
2010-11-08,29.56,29.63,29.19,29.46,6035373
2010-11-09,29.47,29.47,28.81,28.92,2244477
2010-11-10,28.87,29.36,28.81,29.28,2317714
2010-11-11,28.62,29.09,28.47,28.91,1906457
2010-11-12,28.57,28.82,28.2,28.34,1897854
2010-11-15,28.56,29.03,28.36,28.56,1661562
2010-11-16,28.26,28.48,27.75,27.86,3088371
2010-11-17,27.37,27.73,27.13,27.67,2023130
2010-11-18,28.16,28.64,28.11,28.53,2385208
