Date,Open,High,Low,Close,Volume
2010-01-04,10.02,10.26,9.99,10.24,6121292
2010-01-05,10.23,10.39,10.0,10.37,7035959
2010-01-06,10.34,10.49,10.19,10.37,5368720
2010-01-07,10.62,11.33,10.58,11.21,19444059
2010-01-08,11.13,11.27,10.91,11.03,8829271
2010-01-11,11.03,11.2,10.89,10.97,5883251
2010-01-12,10.87,10.92,10.58,10.9,5851851
2010-01-13,10.84,11.36,10.82,11.32,10455727
2010-01-14,11.31,11.41,11.15,11.23,6357202
2010-01-15,11.25,11.31,10.93,11.0,5089543
2010-01-19,10.97,11.13,10.88,10.99,6264771
2010-01-20,10.91,11.01,10.75,10.9,6675810
2010-01-21,10.9,10.97,10.49,10.52,11734156
2010-01-22,10.49,10.78,10.19,10.22,8865786
2010-01-25,10.33,10.4,10.03,10.23,9852312
2010-01-26,10.18,10.44,10.14,10.35,7834007
2010-01-27,10.31,10.37,10.05,10.33,11140737
2010-01-28,10.4,10.65,10.17,10.56,10253196
2010-01-29,10.61,10.83,10.5,10.52,10002365
2010-02-01,10.52,10.57,10.34,10.56,6952770
2010-02-02,10.82,11.41,10.81,11.35,11006343
2010-02-03,11.71,11.79,11.23,11.37,8513644
2010-02-04,11.22,11.25,10.89,10.92,7729254
2010-02-05,10.9,10.96,10.52,10.88,11050899
2010-02-08,10.92,11.46,10.7,11.13,10092714
2010-02-09,11.07,11.25,10.63,11.08,17560326
2010-02-10,11.03,11.37,10.84,11.23,13911024
2010-02-11,11.2,11.75,11.14,11.71,8790704
2010-02-12,11.54,11.8,11.48,11.74,6547959
2010-02-16,11.46,11.66,11.27,11.66,7848915
2010-02-17,11.73,11.82,11.41,11.61,6581792
2010-02-18,11.62,11.62,11.37,11.49,4328031
2010-02-19,11.43,11.58,11.35,11.43,5365345
2010-02-22,11.44,11.59,11.26,11.38,4399514
2010-02-23,11.4,11.48,10.85,10.97,6741362
2010-02-24,11.04,11.1,10.5,10.81,9053925
2010-02-25,10.57,10.75,10.5,10.7,6269078
2010-02-26,10.69,10.88,10.45,10.83,6145617
2010-03-01,10.88,11.02,10.83,10.92,4018106
