Date,Open,High,Low,Close,Volume
2010-01-04,20.76,20.81,20.28,20.64,1880130
2010-01-05,20.66,21.06,20.49,20.89,1568111
2010-01-06,20.82,21.41,20.8,21.3,1245531
2010-01-07,21.8,22.0,21.2,21.24,2581891
2010-01-08,21.32,21.51,21.21,21.43,2273232
2010-01-11,21.56,21.66,21.4,21.46,2347567
2010-01-12,21.4,21.44,21.04,21.16,2656899
2010-01-13,21.27,21.44,21.04,21.41,1352506
2010-01-14,21.34,21.67,21.32,21.65,1147699
2010-01-15,21.72,21.89,21.28,21.41,1239088
2010-01-19,21.41,21.75,21.01,21.44,2234981
2010-01-20,21.38,21.38,20.92,21.16,1301516
2010-01-21,21.14,21.18,20.41,20.48,1668821
2010-01-22,20.53,21.17,20.37,20.37,2016028
2010-01-25,20.48,20.7,20.4,20.52,796208
2010-01-26,20.49,20.77,20.22,20.57,879114
2010-01-27,20.49,20.6,20.2,20.39,1135154
2010-01-28,20.42,20.55,20.06,20.07,1114362
2010-01-29,20.14,20.49,20.03,20.14,1939589
2010-02-01,20.3,20.35,19.98,20.19,1742690
2010-02-02,20.23,20.89,20.13,20.82,1357939
2010-02-03,20.84,21.18,20.64,20.68,1190128
2010-02-04,20.45,20.49,19.73,19.82,1678262
2010-02-05,21.5,22.06,20.12,20.52,6011935
2010-02-08,20.46,21.29,20.43,20.95,2804090
2010-02-09,21.19,21.19,20.82,20.89,2224221
2010-02-10,20.9,21.0,20.6,20.7,1458061
2010-02-11,20.67,20.91,20.53,20.87,1542684
2010-02-12,20.71,21.02,20.5,21.0,1706893
2010-02-16,21.1,21.6,20.9,21.59,1879191
2010-02-17,21.73,21.78,21.55,21.59,1321861
2010-02-18,21.6,21.98,21.59,21.92,1537752
2010-02-19,21.87,22.06,21.66,21.79,985590
2010-02-22,21.85,22.73,21.78,22.38,4185544
2010-02-23,22.38,22.5,22.15,22.32,1983666
2010-02-24,22.48,22.5,22.23,22.35,1331472
2010-02-25,22.1,22.43,21.9,22.41,1302736
2010-02-26,22.49,22.49,22.03,22.21,945255
2010-03-01,22.38,23.54,22.26,23.26,3154378
2010-03-02,23.24,23.69,23.24,23.43,1398759
2010-03-03,23.44,23.54,23.2,23.34,866743
2010-03-04,23.33,23.45,22.95,23.12,775610
2010-03-05,23.19,23.79,23.16,23.79,1550302
2010-03-08,23.68,23.82,23.48,23.68,1490703
2010-03-09,23.52,23.71,23.44,23.52,1059670
2010-03-10,23.58,23.58,23.3,23.5,1225963
2010-03-11,23.5,23.57,23.28,23.46,1008561
2010-03-12,23.6,23.6,23.24,23.37,884934
2010-03-15,23.67,23.67,23.37,23.5,656516
2010-03-16,23.49,23.67,23.38,23.63,1046641
2010-03-17,23.69,24.09,23.63,24.0,1109766
2010-03-18,24.05,24.28,23.99,24.11,981057
2010-03-19,24.45,24.45,23.6,23.61,1714481
2010-03-22,23.55,24.09,23.42,24.06,1017601
2010-03-23,24.05,24.24,23.82,24.19,683352
2010-03-24,24.09,24.18,23.91,23.98,849376
2010-03-25,24.11,24.21,23.86,23.9,1186900
2010-03-26,23.95,24.13,23.82,24.0,1113948
2010-03-29,24.09,24.3,24.06,24.23,737727
2010-03-30,24.23,24.44,24.14,24.31,602862
2010-03-31,24.26,24.3,23.88,23.9,863367
2010-04-01,24.0,24.15,23.92,24.15,1344811
2010-04-05,24.29,24.35,24.03,24.2,1191808
2010-04-06,24.1,24.17,23.9,24.01,966639
2010-04-07,24.02,24.07,23.81,23.88,916966
2010-04-08,23.73,23.82,23.5,23.67,1367882
2010-04-09,23.66,23.87,23.66,23.8,2262481
2010-04-12,23.84,23.94,23.75,23.76,407325
2010-04-13,23.76,23.82,23.59,23.74,637546
2010-04-14,23.45,23.9,23.24,23.82,965090
2010-04-15,23.81,23.95,23.77,23.87,938875
2010-04-16,23.79,24.04,23.46,23.5,1475291
2010-04-19,23.47,23.64,23.33,23.44,1433767
2010-04-20,23.53,23.99,23.52,23.99,1527883
2010-04-21,23.92,24.03,23.74,23.94,1279154
2010-04-22,23.73,24.0,23.48,23.88,1726270
2010-04-23,23.93,23.96,23.64,23.83,1796638
2010-04-26,23.85,23.96,23.71,23.74,1330567
2010-04-27,23.63,24.02,23.43,23.45,2192743
2010-04-28,23.64,24.76,23.59,24.61,3568191
2010-04-29,24.86,25.22,24.72,25.12,2816584
2010-04-30,25.16,25.45,24.94,25.05,1971650
2010-05-03,25.09,25.33,25.01,25.19,1927561
2010-05-04,24.95,24.95,24.27,24.33,2066394
2010-05-05,24.18,24.34,23.92,24.0,2049971
2010-05-06,23.94,24.1,21.76,23.02,2920786
2010-05-07,23.51,23.62,21.32,22.23,5277633
2010-05-10,23.12,23.62,22.79,23.46,2027259
2010-05-11,23.22,23.66,23.04,23.06,2114391
2010-05-12,23.07,23.61,23.04,23.55,1566707
2010-05-13,23.55,23.76,23.25,23.31,1300703
2010-05-14,23.19,23.19,22.5,22.71,1847818
2010-05-17,22.75,22.91,22.28,22.78,1361389
2010-05-18,22.89,23.1,22.69,22.73,2621275
2010-05-19,22.57,23.18,22.52,23.06,3763699
2010-05-20,22.59,22.72,21.97,22.03,3621341
2010-05-21,21.76,22.2,21.38,22.01,2400739
2010-05-24,21.87,22.2,21.81,21.84,1818236
2010-05-25,21.35,21.78,21.0,21.76,3169348
2010-05-26,21.89,22.4,21.82,21.97,2328785
2010-05-27,22.34,23.1,22.29,23.08,1573497
2010-05-28,23.02,23.04,22.61,22.69,1412650
2010-06-01,22.37,22.81,22.17,22.22,1162411
2010-06-02,22.34,22.73,22.04,22.73,1395337
2010-06-03,22.85,23.07,22.76,23.0,1016426
2010-06-04,22.35,22.51,21.65,21.72,2152464
2010-06-07,21.81,21.89,21.29,21.31,1326639
2010-06-08,21.32,21.47,21.19,21.36,2716093
2010-06-09,21.55,22.36,21.52,21.79,3786484
2010-06-10,22.09,22.55,22.0,22.48,1036202
2010-06-11,22.27,22.65,22.2,22.58,767824
2010-06-14,22.7,22.91,22.43,22.45,1435450
2010-06-15,22.66,22.89,22.53,22.85,1473249
2010-06-16,22.7,23.06,22.57,22.96,1480167
2010-06-17,23.03,23.09,22.65,22.94,782110
2010-06-18,22.88,23.01,22.66,22.72,1193455
2010-06-21,22.93,23.21,22.78,22.9,1185255
2010-06-22,22.96,23.08,22.46,22.53,1432673
2010-06-23,22.52,22.54,22.1,22.24,700233
2010-06-24,22.1,22.15,21.36,21.43,2975843
2010-06-25,21.46,21.99,21.32,21.9,3739305
2010-06-28,21.87,22.02,21.58,21.82,1050254
2010-06-29,21.5,21.5,20.76,20.87,1131006
2010-06-30,20.75,21.04,20.61,20.67,921344
2010-07-01,20.69,20.69,19.69,19.81,2632445
2010-07-02,19.94,19.96,19.55,19.65,1852954
2010-07-06,19.98,20.2,19.34,19.55,1864950
2010-07-07,19.63,19.63,19.17,19.53,2686317
2010-07-08,19.68,19.74,19.45,19.73,2460355
2010-07-09,19.79,19.79,19.47,19.59,2088419
2010-07-12,19.58,19.58,19.22,19.47,1449845
2010-07-13,19.62,20.0,19.49,19.66,1880590
2010-07-14,19.65,19.69,19.2,19.52,1902019
2010-07-15,19.55,19.67,19.27,19.5,1569901
2010-07-16,19.36,19.52,19.0,19.06,1907504
2010-07-19,19.11,19.17,18.97,19.14,1800112
2010-07-20,18.9,19.26,18.69,19.23,2136928
2010-07-21,19.21,19.34,18.88,18.89,1531242
2010-07-22,19.26,19.78,19.17,19.62,2349619
2010-07-23,19.62,19.8,19.4,19.62,1359086
2010-07-26,19.65,20.17,19.51,19.99,1773627
2010-07-27,19.98,19.98,19.25,19.35,2023851
2010-07-28,19.39,19.6,19.28,19.48,2469110
2010-07-29,19.59,19.67,18.91,19.24,2569400
2010-07-30,19.07,19.54,18.99,19.46,1755598
2010-08-02,19.7,20.08,19.65,20.04,1821359
2010-08-03,19.78,20.01,19.46,19.75,1000217
2010-08-04,19.76,20.15,19.72,20.09,1492814
2010-08-05,19.98,20.14,19.94,20.05,1693692
2010-08-06,21.12,22.45,21.02,22.29,5146476
2010-08-09,22.4,22.54,22.04,22.2,2340074
2010-08-10,22.06,22.39,21.74,22.18,1874438
2010-08-11,21.75,21.81,21.28,21.52,1636241
2010-08-12,21.17,21.6,21.12,21.51,2128915
2010-08-13,21.47,21.61,21.33,21.44,1028882
2010-08-16,21.27,21.64,21.13,21.35,923823
2010-08-17,21.5,22.17,21.46,22.01,1538988
2010-08-18,21.98,22.15,21.75,22.06,734919
2010-08-19,21.89,22.02,21.32,21.55,1227208
2010-08-20,21.37,21.49,20.77,21.07,1799848
2010-08-23,21.16,21.49,21.12,21.27,881309
2010-08-24,20.98,21.01,20.57,20.58,1133906
2010-08-25,20.49,21.1,20.32,21.06,1396562
2010-08-26,21.16,21.56,21.16,21.27,2040302
2010-08-27,21.35,21.69,20.97,21.67,1391762
2010-08-30,21.66,21.75,21.04,21.04,1009945
2010-08-31,20.94,21.31,20.83,20.98,1058624
2010-09-01,21.3,22.28,21.3,22.07,3789789
2010-09-02,22.07,22.21,21.95,22.2,1181340
2010-09-03,22.4,22.59,22.24,22.4,953861
2010-09-07,22.25,22.41,22.13,22.16,1414184
2010-09-08,22.1,22.14,21.81,21.83,1167493
2010-09-09,22.2,22.2,21.9,22.03,827651
2010-09-10,22.03,22.12,21.78,22.0,774119
2010-09-13,22.16,22.27,22.06,22.24,734070
2010-09-14,22.23,22.64,22.16,22.58,1174368
2010-09-15,22.53,22.8,22.33,22.75,764658
2010-09-16,22.69,22.8,22.32,22.32,1211518
2010-09-17,22.27,22.47,22.18,22.23,1267774
2010-09-20,22.34,22.5,22.2,22.42,1862644
2010-09-21,22.4,22.76,22.32,22.71,1317177
2010-09-22,22.69,22.85,22.36,22.45,1070217
2010-09-23,22.27,22.65,22.16,22.48,791786
2010-09-24,22.89,23.37,22.8,23.17,1755628
2010-09-27,23.17,23.21,22.94,23.09,696776
2010-09-28,23.15,23.26,22.95,23.18,1627263
2010-09-29,23.11,23.2,22.88,23.02,1711248
2010-09-30,23.06,23.35,22.98,23.14,1752408
2010-10-01,23.18,23.34,22.78,23.02,2043356
2010-10-04,22.91,23.12,22.49,22.64,2250320
2010-10-05,22.92,23.36,22.88,23.33,1271796
2010-10-06,23.3,23.31,22.6,22.77,1099424
2010-10-07,22.92,23.01,22.61,22.67,1828063
2010-10-08,22.67,23.0,22.67,22.88,2016421
2010-10-11,23.28,23.48,23.09,23.27,1743975
2010-10-12,23.22,23.24,22.9,23.14,2537202
2010-10-13,23.28,23.74,23.24,23.52,1368148
2010-10-14,23.53,23.6,23.19,23.3,725055
2010-10-15,23.49,23.59,23.01,23.21,908509
2010-10-18,23.25,23.62,23.18,23.6,753158
2010-10-19,23.29,23.29,22.66,22.79,1843100
2010-10-20,22.76,23.29,22.6,23.1,1591111
2010-10-21,23.16,23.54,23.09,23.25,985937
2010-10-22,23.32,23.43,23.16,23.43,756950
2010-10-25,23.46,23.78,23.46,23.61,887605
2010-10-26,23.47,23.51,23.26,23.31,784146
2010-10-27,23.17,23.63,23.13,23.34,1192818
2010-10-28,23.51,23.65,23.16,23.26,630651
2010-10-29,23.17,23.5,23.17,23.45,1469101
2010-11-01,23.56,23.65,23.34,23.53,1004216
2010-11-02,23.79,23.93,23.53,23.63,935804
2010-11-03,23.61,23.74,23.24,23.64,619583
2010-11-04,23.96,24.11,23.79,24.07,1178620
2010-11-05,24.19,24.51,23.96,24.0,2969213
2010-11-08,23.89,24.05,23.67,23.77,1432212
2010-11-09,23.78,23.87,23.65,23.74,1572721
2010-11-10,23.73,23.94,23.49,23.94,938891
2010-11-11,23.72,24.08,23.5,24.07,1395411
2010-11-12,23.89,24.14,23.72,23.94,1032900
2010-11-15,23.99,24.06,23.72,23.75,803216
2010-11-16,23.54,23.66,23.14,23.21,1148842
2010-11-17,23.2,23.51,23.14,23.38,887380
