Date,Open,High,Low,Close,Volume
2010-01-04,25.76,26.03,25.25,25.37,1169614
2010-01-05,25.35,25.76,25.11,25.74,1048138
2010-01-06,25.75,26.0,25.34,25.51,1163367
2010-01-07,25.38,25.84,25.15,25.72,950476
2010-01-08,25.53,25.89,25.41,25.65,1072611
2010-01-11,25.73,26.0,25.37,25.68,876601
2010-01-12,25.35,25.64,24.87,25.11,962109
2010-01-13,25.27,25.85,25.2,25.79,989130
2010-01-14,25.58,25.78,25.38,25.69,766685
2010-01-15,25.52,25.75,25.45,25.57,739805
2010-01-19,25.57,26.13,25.57,26.07,956140
2010-01-20,25.57,25.63,24.98,25.46,1192510
2010-01-21,25.44,25.59,24.21,24.25,2000881
2010-01-22,24.28,24.54,23.57,23.68,2069288
2010-01-25,24.04,24.13,23.14,23.7,1571519
2010-01-26,23.57,24.74,23.5,24.25,1891240
2010-01-27,24.17,24.65,23.76,24.65,1801253
2010-01-28,24.79,24.87,23.78,24.02,1328222
2010-01-29,24.1,24.66,23.8,24.0,2014670
2010-02-01,24.37,24.63,24.14,24.59,2266313
2010-02-02,24.73,25.02,24.33,24.69,3403657
2010-02-03,24.49,24.49,23.48,23.86,1532847
2010-02-04,23.57,23.68,22.66,22.8,2093275
2010-02-05,22.84,23.29,22.5,23.15,2099014
2010-02-08,22.82,23.22,22.45,22.52,1720937
2010-02-09,22.95,23.0,22.18,22.49,2011620
2010-02-10,22.38,22.76,21.96,22.42,1431602
2010-02-11,22.45,22.45,21.92,22.14,2218547
2010-02-12,21.95,22.69,21.8,22.63,1838282
2010-02-16,22.96,23.39,22.8,23.3,2016445
2010-02-17,23.49,23.58,23.27,23.46,739029
2010-02-18,23.38,24.03,23.29,23.91,1435304
2010-02-19,23.78,23.94,23.58,23.76,1272625
2010-02-22,23.86,24.09,23.71,23.97,969780
2010-02-23,23.78,24.05,23.63,23.68,1082837
2010-02-24,23.73,23.92,23.61,23.92,950071
2010-02-25,23.55,24.33,23.41,24.28,1146197
2010-02-26,24.29,24.66,24.11,24.34,1331984
2010-03-01,24.46,24.65,24.3,24.46,1014574
2010-03-02,24.52,24.78,24.36,24.64,761805
2010-03-03,24.67,24.78,24.35,24.45,858802
2010-03-04,24.57,24.65,24.3,24.55,910743
2010-03-05,24.8,25.47,24.55,25.41,1198870
2010-03-08,25.36,25.93,25.27,25.81,825172
2010-03-09,25.66,26.17,25.55,26.01,1460868
2010-03-10,26.06,26.62,25.85,26.6,1518078
2010-03-11,26.32,26.99,26.3,26.92,1761038
2010-03-12,27.0,27.32,26.87,27.27,1503226
2010-03-15,27.12,27.59,26.85,27.37,1490957
2010-03-16,27.42,28.07,27.13,27.98,1975531
2010-03-17,28.12,28.84,27.86,28.58,1299851
2010-03-18,28.51,28.69,28.28,28.6,1366367
2010-03-19,28.67,28.8,27.98,28.06,1943091
2010-03-22,27.72,28.3,27.52,28.09,1490455
2010-03-23,28.18,28.59,27.92,28.47,1373415
2010-03-24,28.24,28.91,28.23,28.78,1744565
2010-03-25,28.88,29.6,28.86,28.89,1629382
2010-03-26,29.06,29.22,28.73,28.86,1393417
2010-03-29,29.06,29.12,28.44,28.5,1513452
2010-03-30,28.47,28.71,27.66,27.77,1641768
2010-03-31,27.46,27.94,27.2,27.24,2417764
2010-04-01,27.48,27.55,27.05,27.24,1880065
2010-04-05,27.38,27.94,27.31,27.75,1696247
2010-04-06,27.53,28.94,27.48,28.64,1719877
2010-04-07,28.26,28.26,27.28,27.53,14614065
2010-04-08,27.5,27.65,27.28,27.53,2879244
2010-04-09,27.6,27.91,27.29,27.9,3068018
2010-04-12,27.93,27.99,27.75,27.78,1706890
2010-04-13,27.76,28.45,27.63,28.28,2098699
2010-04-14,28.59,28.59,27.92,28.36,2997875
2010-04-15,28.19,28.32,27.29,27.42,2602951
2010-04-16,27.33,27.64,26.83,26.86,3120633
2010-04-19,26.64,27.2,26.51,27.17,1929403
2010-04-20,27.4,27.86,26.93,27.73,2161022
2010-04-21,27.63,28.24,27.37,27.7,2459820
2010-04-22,27.32,27.94,27.11,27.88,1752846
2010-04-23,28.01,28.36,27.53,28.31,2023747
2010-04-26,28.3,28.77,28.05,28.36,1820578
2010-04-27,28.16,28.38,27.5,27.54,1992082
2010-04-28,27.78,28.09,27.52,27.85,1427902
2010-04-29,28.17,29.03,28.08,28.89,2044421
2010-04-30,28.89,29.17,27.8,27.86,2417799
2010-05-03,28.13,29.0,28.13,28.88,1620259
2010-05-04,28.29,28.44,27.63,28.03,2133777
2010-05-05,27.7,28.62,27.3,27.94,2499343
2010-05-06,27.76,28.0,23.89,26.58,3698682
2010-05-07,26.52,27.82,25.33,25.47,4177957
2010-05-10,26.93,28.08,26.88,27.57,4120876
2010-05-11,27.01,28.11,26.97,27.63,2515225
2010-05-12,27.83,28.99,27.67,28.88,2435210
2010-05-13,28.84,28.85,28.13,28.31,1424068
2010-05-14,28.09,28.12,26.36,26.61,2232702
2010-05-17,26.79,27.4,25.79,26.54,1896263
2010-05-18,27.04,27.28,26.0,26.2,2444784
2010-05-19,26.13,27.08,25.19,26.22,2434675
2010-05-20,25.26,25.61,24.82,24.86,3543428
2010-05-21,24.32,25.9,24.04,25.57,3572034
2010-05-24,24.8,25.08,24.33,24.53,2654096
2010-05-25,23.86,24.52,23.14,24.49,2369621
2010-05-26,24.84,25.78,24.39,24.66,2503538
2010-05-27,25.4,26.19,25.02,26.14,2237675
2010-05-28,26.13,26.5,25.83,25.93,1910563
2010-06-01,25.74,25.87,25.04,25.11,1571989
2010-06-02,25.4,25.67,24.69,25.65,2614888
2010-06-03,25.84,25.91,25.26,25.58,1426331
2010-06-04,24.9,25.44,24.05,24.15,2760631
2010-06-07,24.45,24.83,24.0,24.06,1685004
2010-06-08,24.21,24.8,23.49,24.72,2652884
2010-06-09,25.0,26.01,25.0,25.17,1913501
2010-06-10,25.8,26.6,25.51,26.45,2256439
2010-06-11,26.12,26.83,25.98,26.82,1174628
2010-06-14,27.17,27.59,26.79,27.11,2428410
2010-06-15,27.24,27.78,27.06,27.69,1763918
2010-06-16,27.48,27.75,26.96,27.11,1389491
2010-06-17,27.23,27.33,26.74,26.94,1468692
2010-06-18,26.8,26.95,26.45,26.7,3121051
2010-06-21,27.2,27.25,26.43,26.53,1665980
2010-06-22,26.63,26.84,25.22,25.3,2359746
2010-06-23,25.23,25.63,24.9,25.4,2735953
2010-06-24,25.22,25.45,24.69,24.74,1724241
2010-06-25,24.88,25.72,24.67,25.43,2622497
2010-06-28,25.54,25.55,24.92,25.08,1161829
2010-06-29,24.52,24.78,24.0,24.2,2527906
2010-06-30,24.19,24.6,23.7,23.71,2126767
2010-07-01,23.6,23.68,22.6,23.41,1954797
2010-07-02,23.65,23.67,22.65,22.75,1762813
2010-07-06,23.19,23.54,22.09,22.24,2411634
2010-07-07,22.35,23.82,22.28,23.72,2801506
2010-07-08,24.1,24.47,23.8,24.37,3190478
2010-07-09,24.31,24.66,24.18,24.56,1128703
2010-07-12,24.42,24.8,24.17,24.69,1113540
2010-07-13,25.09,25.46,24.92,25.3,1856137
2010-07-14,25.23,25.38,24.72,24.87,1991962
2010-07-15,24.82,24.87,24.02,24.36,2073207
2010-07-16,24.19,24.2,22.81,23.0,3748958
2010-07-19,23.03,23.95,22.71,23.8,2874964
2010-07-20,23.39,24.13,23.12,24.04,2347849
2010-07-21,24.18,24.18,22.05,22.5,3820809
2010-07-22,22.14,23.09,22.14,22.95,3909592
2010-07-23,22.89,23.55,22.77,23.4,3975471
2010-07-26,23.47,24.56,23.34,24.52,1932146
2010-07-27,24.73,25.06,24.48,24.69,2312428
2010-07-28,24.7,25.12,24.45,24.58,1598727
2010-07-29,24.87,24.97,24.0,24.22,1806406
2010-07-30,23.83,25.07,23.78,24.96,2724167
2010-08-02,25.42,26.13,25.35,26.06,2234179
2010-08-03,25.93,26.13,25.68,25.72,2128735
2010-08-04,25.81,26.1,25.55,25.96,1853784
2010-08-05,25.63,26.08,25.6,25.82,1314886
2010-08-06,25.4,25.99,25.0,25.63,2054526
2010-08-09,25.8,26.18,25.42,26.12,1111213
2010-08-10,25.7,26.0,25.36,25.6,885985
2010-08-11,24.51,24.98,24.28,24.47,1672980
2010-08-12,24.06,24.51,23.9,23.95,1797729
2010-08-13,23.9,24.41,23.89,24.19,1032401
2010-08-16,24.03,24.55,23.91,24.22,790174
2010-08-17,24.52,24.97,24.26,24.69,1019303
2010-08-18,24.68,25.1,24.37,24.77,1043111
2010-08-19,24.6,24.61,23.71,23.84,1486846
2010-08-20,23.66,23.97,23.54,23.92,1250382
2010-08-23,24.08,24.37,23.49,23.53,1435954
2010-08-24,23.08,23.64,22.97,23.37,2043275
2010-08-25,23.17,24.12,23.1,24.02,1824034
2010-08-26,24.14,24.23,23.49,23.51,1440966
2010-08-27,23.82,23.89,23.09,23.88,2000284
2010-08-30,23.71,24.07,23.62,23.63,1053085
2010-08-31,23.51,24.01,23.35,23.79,1768559
2010-09-01,24.27,24.53,23.9,24.5,2678789
2010-09-02,24.67,25.23,24.44,25.15,1597608
2010-09-03,25.64,25.92,25.35,25.76,1394766
2010-09-07,25.59,25.69,25.06,25.06,1033117
2010-09-08,25.11,25.36,25.11,25.26,785736
2010-09-09,25.65,25.71,24.9,25.05,1449804
2010-09-10,25.16,25.49,24.96,25.4,1298223
2010-09-13,25.74,26.04,25.67,25.96,1234583
2010-09-14,25.82,26.18,25.7,26.02,1002253
2010-09-15,25.87,26.49,25.71,26.32,1436998
2010-09-16,26.27,26.49,26.11,26.11,1142066
2010-09-17,26.29,26.39,25.56,25.7,1225472
2010-09-20,25.76,26.59,25.68,26.52,1268586
2010-09-21,26.46,26.57,25.7,25.77,1333768
2010-09-22,25.7,26.07,25.36,25.46,1209635
2010-09-23,25.17,25.57,24.86,25.0,1724024
2010-09-24,25.45,25.97,25.36,25.86,1275748
2010-09-27,25.81,25.81,25.26,25.46,1182255
2010-09-28,25.52,26.18,25.15,26.08,1554220
2010-09-29,26.0,26.37,25.77,26.24,1638234
2010-09-30,26.48,26.97,26.15,26.47,3064927
2010-10-01,26.44,26.81,26.14,26.6,2586323
2010-10-04,26.55,27.1,26.54,27.01,1906034
2010-10-05,27.32,27.37,26.85,27.1,3058169
2010-10-06,26.93,27.0,26.42,26.6,3274991
2010-10-07,26.82,27.0,26.65,26.82,1800712
2010-10-08,26.88,26.92,26.35,26.67,3016053
2010-10-11,26.61,27.0,26.45,26.95,1102937
2010-10-12,26.9,26.92,26.38,26.75,3170503
2010-10-13,26.91,27.63,26.83,27.2,1554490
2010-10-14,27.11,27.23,26.68,26.9,1119508
2010-10-15,27.16,27.32,26.82,26.93,1335763
2010-10-18,26.99,27.04,26.63,27.01,1392947
2010-10-19,26.57,27.0,26.26,26.48,2022311
2010-10-20,26.68,28.34,26.58,27.82,3257392
2010-10-21,27.9,27.97,27.45,27.81,1491282
2010-10-22,27.88,27.95,27.65,27.87,1492313
2010-10-25,28.12,28.15,27.78,27.93,1164480
2010-10-26,27.68,27.93,27.21,27.47,1626602
2010-10-27,27.24,28.0,27.23,27.54,1905438
2010-10-28,27.78,28.1,27.3,27.7,1084114
2010-10-29,27.62,28.35,27.61,28.19,1703016
2010-11-01,28.58,28.91,28.28,28.52,1638628
2010-11-02,28.76,28.85,28.43,28.57,1128776
2010-11-03,28.6,28.94,28.4,28.74,1791610
