Date,Open,High,Low,Close,Volume
2010-01-04,53.74,54.1,53.2,53.51,4890214
2010-01-05,53.27,54.07,53.03,54.05,6379247
2010-01-06,54.03,54.85,53.67,54.05,3013779
2010-01-07,53.85,57.21,53.75,56.98,5700753
2010-01-08,56.81,57.52,56.1,57.13,3771194
2010-01-11,57.18,58.0,56.93,57.29,2840829
2010-01-12,56.84,57.76,55.92,56.7,2778257
2010-01-13,56.58,57.49,56.29,57.04,2945716
2010-01-14,56.93,57.98,56.44,57.84,3064097
2010-01-15,57.51,58.0,56.43,56.68,3956788
2010-01-19,56.54,58.2,55.72,57.83,3770763
2010-01-20,57.71,58.94,57.3,58.79,6109616
2010-01-21,57.64,58.05,55.01,55.7,9861287
2010-01-22,56.18,56.64,53.31,53.62,7256460
2010-01-25,54.37,54.91,53.07,54.01,3369790
2010-01-26,53.87,54.81,52.6,52.66,4635062
2010-01-27,52.48,54.66,52.44,54.36,4513734
2010-01-28,54.87,55.0,53.2,54.14,4652579
2010-01-29,55.37,56.89,55.2,55.43,8374695
2010-02-01,55.82,56.22,55.01,55.86,5043084
2010-02-02,55.89,56.25,53.8,54.65,9560110
2010-02-03,54.17,54.6,53.67,53.71,74686006
2010-02-04,53.57,53.65,51.0,51.03,20036551
2010-02-05,51.72,51.89,50.46,51.79,12992940
2010-02-08,51.66,52.2,50.61,50.75,6601830
2010-02-09,51.49,52.08,50.46,51.06,9228034
2010-02-10,51.18,52.03,50.91,51.28,5768058
2010-02-11,51.31,51.7,50.74,51.4,4962421
2010-02-12,51.41,51.61,50.6,51.52,7488861
2010-02-16,51.74,52.5,51.27,52.44,6836653
2010-02-17,52.8,52.8,51.4,51.85,6298107
2010-02-18,51.47,52.22,51.44,51.87,3665295
2010-02-19,51.65,52.14,51.31,51.7,5378444
2010-02-22,52.38,53.61,52.37,53.17,6449232
2010-02-23,53.07,53.39,52.09,52.56,6263644
2010-02-24,52.82,53.82,52.29,53.78,5567343
2010-02-25,53.49,53.65,52.6,53.64,4679596
2010-02-26,53.6,54.06,53.13,53.76,7781358
2010-03-01,53.89,54.0,53.28,53.81,3469220
2010-03-02,53.53,54.23,53.11,53.51,6209517
2010-03-03,53.59,54.34,53.41,53.75,4097405
2010-03-04,53.94,54.3,53.69,54.2,4973745
2010-03-05,54.65,55.68,54.32,55.57,5536111
2010-03-08,56.27,56.29,55.5,55.53,3620719
2010-03-09,55.44,56.5,55.05,56.19,5344504
2010-03-10,56.49,57.6,56.12,57.4,6290810
2010-03-11,57.26,58.45,56.93,58.44,5276702
2010-03-12,58.77,58.92,57.67,57.86,3832297
2010-03-15,57.42,57.58,56.35,57.3,4619062
2010-03-16,57.43,58.62,57.33,58.62,4174687
2010-03-17,58.85,60.1,58.59,59.96,6055012
2010-03-18,59.91,59.98,58.43,59.2,4276950
2010-03-19,59.48,60.14,58.84,59.61,4548048
2010-03-22,58.96,60.09,58.84,59.85,3035549
2010-03-23,59.81,59.98,58.8,59.81,2574691
2010-03-24,59.62,60.56,59.36,59.87,3476822
2010-03-25,60.21,61.8,59.84,59.93,5465605
2010-03-26,59.98,60.96,59.18,59.57,3660993
2010-03-29,60.0,60.16,58.96,59.47,2715868
2010-03-30,59.47,59.58,58.12,58.69,4012288
2010-03-31,58.43,60.0,58.28,59.7,3886872
2010-04-01,60.17,60.73,59.89,60.24,3070681
2010-04-05,60.5,61.7,60.34,61.66,3057698
2010-04-06,61.38,62.65,61.37,62.58,3588879
