Date,Open,High,Low,Close,Volume
2010-01-04,36.66,37.09,36.59,36.88,873483
2010-01-05,36.77,37.02,36.11,36.38,1432202
2010-01-06,36.34,36.76,36.19,36.76,961085
2010-01-07,36.59,36.71,36.38,36.69,685959
2010-01-08,36.54,36.94,36.28,36.92,613973
2010-01-11,37.0,37.53,37.0,37.52,719124
2010-01-12,37.29,37.7,37.27,37.45,789928
2010-01-13,37.63,37.74,37.21,37.65,737034
2010-01-14,37.57,37.81,37.47,37.73,375300
2010-01-15,37.58,37.63,36.9,37.13,970431
2010-01-19,37.08,37.54,37.07,37.54,831007
2010-01-20,37.44,37.44,36.68,37.32,1911370
2010-01-21,37.26,37.7,36.66,36.82,699087
2010-01-22,36.88,36.88,35.98,35.99,885226
2010-01-25,36.37,36.53,35.87,36.4,784682
2010-01-26,36.25,36.94,36.08,36.93,1153981
2010-01-27,36.93,36.97,36.21,36.57,2482021
2010-01-28,36.22,36.29,35.62,36.08,1181325
2010-01-29,36.12,36.34,35.81,35.82,1064477
2010-02-01,35.97,36.1,35.57,36.08,664951
2010-02-02,36.02,36.32,35.65,36.29,592230
2010-02-03,36.11,36.38,36.02,36.3,870850
2010-02-04,35.99,36.19,35.41,35.44,770434
2010-02-05,35.37,35.48,34.82,35.37,885322
2010-02-08,35.43,35.43,34.77,34.77,557281
2010-02-09,34.99,35.46,34.79,35.16,1154649
2010-02-10,35.16,35.28,34.77,35.03,1056949
2010-02-11,35.0,35.35,34.62,35.35,716743
2010-02-12,35.29,35.35,34.8,35.3,1150919
2010-02-16,35.58,36.37,35.45,36.37,976491
2010-02-17,36.49,36.65,36.31,36.65,857274
2010-02-18,36.58,36.93,36.42,36.89,684897
2010-02-19,36.77,37.75,36.77,37.37,1134562
2010-02-22,37.57,37.85,37.14,37.23,955106
2010-02-23,37.23,37.45,37.12,37.2,728190
2010-02-24,37.42,37.71,37.05,37.64,1303466
2010-02-25,37.28,37.58,36.88,37.57,1174280
2010-02-26,37.55,37.69,36.4,36.41,2290301
2010-03-01,36.43,36.81,36.42,36.63,1901149
2010-03-02,36.82,37.56,36.82,37.34,1893765
2010-03-03,37.54,38.0,37.48,37.56,1213480
2010-03-04,37.69,37.78,37.43,37.7,688404
2010-03-05,37.95,38.13,37.76,37.99,678132
2010-03-08,38.02,38.03,37.79,37.86,685942
2010-03-09,37.83,38.0,37.49,37.65,2269399
2010-03-10,37.56,37.7,37.14,37.41,952435
2010-03-11,37.17,37.49,37.07,37.49,1151273
2010-03-12,37.67,37.67,37.24,37.33,723420
2010-03-15,37.19,37.4,37.1,37.37,1015813
2010-03-16,37.38,37.77,37.24,37.72,539720
2010-03-17,37.75,38.15,37.68,37.91,672584
2010-03-18,37.98,38.1,37.83,37.94,734263
2010-03-19,38.04,38.23,37.54,37.77,1087876
2010-03-22,37.68,37.77,37.37,37.76,812031
2010-03-23,37.72,37.98,37.65,37.83,720784
2010-03-24,37.78,37.82,37.44,37.44,904460
2010-03-25,37.53,37.72,37.25,37.28,851018
2010-03-26,37.35,37.62,37.21,37.55,1572598
2010-03-29,37.72,38.22,37.55,38.22,721270
2010-03-30,38.25,38.37,37.92,38.09,807542
2010-03-31,38.06,38.1,37.68,37.73,784615
2010-04-01,37.89,38.11,37.86,38.11,761075
2010-04-05,38.22,38.46,38.05,38.42,760039
2010-04-06,38.22,39.1,38.22,39.07,761272
2010-04-07,38.95,38.96,38.3,38.59,992186
2010-04-08,38.0,39.06,38.0,38.51,1485838
2010-04-09,38.45,38.52,37.84,38.0,5946602
2010-04-12,38.17,38.3,37.79,37.9,2122227
2010-04-13,37.84,38.2,37.79,37.95,1523559
2010-04-14,37.95,38.09,37.71,38.06,1087578
2010-04-15,37.92,38.08,37.75,38.04,883651
2010-04-16,37.98,38.08,37.3,37.52,1372252
2010-04-19,37.47,37.63,37.23,37.49,789305
2010-04-20,37.69,38.09,37.6,38.05,882052
2010-04-21,38.06,38.35,38.0,38.3,1283135
2010-04-22,38.21,38.37,38.0,38.34,976170
2010-04-23,38.35,38.43,38.12,38.43,834051
2010-04-26,38.44,38.47,38.14,38.16,565091
2010-04-27,37.97,38.17,37.1,37.1,1077532
2010-04-28,37.36,37.92,37.2,37.78,1150078
2010-04-29,37.28,37.72,37.25,37.6,880003
2010-04-30,37.66,38.1,37.34,37.34,1366712
2010-05-03,37.43,38.19,37.43,38.17,1242889
2010-05-04,37.82,37.82,37.13,37.31,1126686
2010-05-05,37.15,37.68,37.07,37.24,1185676
2010-05-06,36.25,37.04,32.31,35.95,2184713
2010-05-07,35.92,36.18,34.93,35.14,2443207
2010-05-10,36.29,36.49,35.11,35.5,2904779
2010-05-11,35.31,36.09,35.28,35.7,1527098
2010-05-12,35.64,36.63,35.6,36.43,1159980
2010-05-13,36.3,36.86,36.3,36.42,1055884
2010-05-14,36.34,36.37,35.91,36.17,1031914
2010-05-17,36.16,36.54,35.88,36.41,935135
2010-05-18,36.6,36.82,36.28,36.33,1430950
2010-05-19,36.09,36.73,35.98,36.3,1813398
2010-05-20,35.59,35.97,35.1,35.1,1869108
2010-05-21,34.78,35.21,34.3,35.17,1577204
2010-05-24,35.01,35.53,34.81,34.98,957121
2010-05-25,34.3,34.55,33.72,34.5,1434447
2010-05-26,34.68,34.98,34.38,34.5,1158318
2010-05-27,35.05,35.25,34.8,35.15,1181755
2010-05-28,35.15,35.51,35.03,35.11,762602
2010-06-01,34.9,35.3,34.71,34.72,1302826
2010-06-02,34.97,35.55,34.81,35.53,1728295
2010-06-03,35.7,36.04,35.59,35.95,901336
2010-06-04,35.35,35.72,34.65,34.74,1306432
2010-06-07,34.86,35.3,34.73,34.77,1702636
2010-06-08,34.83,35.66,34.6,35.63,2044193
2010-06-09,35.79,35.83,34.77,34.89,1647952
2010-06-10,35.4,35.65,35.27,35.65,1042760
2010-06-11,35.38,35.66,35.18,35.66,799823
2010-06-14,35.97,36.05,35.57,35.77,842370
2010-06-15,35.97,36.42,35.92,36.42,1241603
2010-06-16,36.3,36.88,36.23,36.62,732589
2010-06-17,36.77,37.33,36.67,37.29,976091
2010-06-18,37.28,37.7,37.25,37.63,1303949
2010-06-21,37.89,37.9,37.2,37.46,806520
