Date,Open,High,Low,Close,Volume
2010-01-04,40.92,41.55,40.52,41.1,540498
2010-01-05,41.03,42.72,41.0,42.64,834576
2010-01-06,42.51,43.76,42.51,43.66,1111303
2010-01-07,43.45,44.5,43.45,43.66,476800
2010-01-08,43.39,43.73,43.14,43.59,332337
2010-01-11,43.84,43.87,43.13,43.5,327794
2010-01-12,44.76,44.92,42.85,43.35,851522
2010-01-13,43.62,43.92,43.35,43.72,433382
2010-01-14,43.55,44.13,43.51,43.64,571417
2010-01-15,43.29,43.9,43.06,43.21,308197
2010-01-19,43.32,43.6,42.94,43.51,417323
2010-01-20,43.04,43.44,42.89,43.25,509732
2010-01-21,43.29,43.52,42.25,42.64,598142
2010-01-22,42.67,42.84,41.34,41.51,397533
2010-01-25,41.99,41.99,40.95,41.02,662296
2010-01-26,40.94,41.31,39.94,40.01,1022823
2010-01-27,39.87,40.33,39.54,40.22,602634
2010-01-28,40.31,40.48,39.8,40.0,876903
2010-01-29,40.2,40.33,39.2,39.29,635158
2010-02-01,39.58,39.96,39.3,39.81,440650
2010-02-02,39.76,40.69,39.69,40.66,373247
2010-02-03,40.34,40.35,39.74,40.04,691387
2010-02-04,39.67,40.41,39.5,39.54,747816
2010-02-05,39.52,39.52,38.25,38.69,1108150
2010-02-08,38.86,39.42,38.47,38.6,578237
2010-02-09,38.94,39.5,38.65,39.26,353670
2010-02-10,39.03,39.51,38.86,39.13,441943
2010-02-11,39.16,39.93,38.9,39.87,370475
2010-02-12,39.56,40.25,39.26,40.22,443454
2010-02-16,40.46,40.87,40.08,40.85,422632
2010-02-17,41.6,43.07,41.5,42.38,1246959
2010-02-18,42.39,42.73,42.28,42.68,408843
2010-02-19,42.71,42.99,42.13,42.38,502022
2010-02-22,42.35,42.51,42.15,42.36,328819
2010-02-23,42.15,42.79,41.9,42.5,431993
2010-02-24,42.56,43.28,42.41,43.22,478892
2010-02-25,42.61,43.03,42.33,42.99,458671
2010-02-26,43.09,43.61,42.97,43.52,401796
2010-03-01,43.61,44.32,43.5,44.3,400248
2010-03-02,44.31,44.59,43.85,44.14,513166
2010-03-03,43.89,43.89,42.38,42.44,1443093
2010-03-04,42.63,43.0,42.49,42.9,990567
2010-03-05,43.19,44.31,43.13,44.31,902675
2010-03-08,44.42,46.64,44.35,46.24,1511641
2010-03-09,46.01,46.78,45.46,45.71,780510
2010-03-10,45.6,46.45,45.41,46.28,588336
2010-03-11,45.94,48.37,45.71,47.67,1777516
2010-03-12,47.82,48.78,47.44,47.74,634804
2010-03-15,52.0,54.64,51.25,52.4,4418238
2010-03-16,52.64,53.9,52.61,53.78,2330508
2010-03-17,53.78,54.18,53.09,54.18,1135516
2010-03-18,54.22,54.75,53.62,54.08,1173278
2010-03-19,54.34,54.48,53.25,53.73,1418087
2010-03-22,53.46,56.07,52.97,55.43,1719473
2010-03-23,56.57,56.88,55.01,56.09,2206233
2010-03-24,55.92,56.84,55.09,56.7,1582190
2010-03-25,56.93,57.28,55.44,55.52,1151368
2010-03-26,55.56,57.07,55.55,57.03,941686
2010-03-29,56.98,57.57,55.88,57.02,1002641
2010-03-30,56.92,57.37,56.46,57.08,548516
2010-03-31,56.97,57.8,56.88,57.36,1038975
2010-04-01,57.76,58.37,57.52,58.27,954355
2010-04-05,58.29,60.3,58.29,60.03,1089424
2010-04-06,59.99,60.2,59.5,60.08,821153
2010-04-07,60.13,60.48,59.53,59.93,777226
2010-04-08,59.79,61.39,59.05,61.31,989618
2010-04-09,61.68,62.67,61.68,62.67,1218572
2010-04-12,62.8,63.0,62.13,62.75,871974
2010-04-13,62.75,63.04,62.51,62.86,673393
2010-04-14,62.68,64.25,62.68,64.16,706486
2010-04-15,63.91,64.62,63.76,64.25,829427
2010-04-16,63.91,64.83,63.3,63.71,1058424
2010-04-19,63.38,63.92,61.54,62.84,945304
2010-04-20,63.23,63.52,61.97,62.43,978513
2010-04-21,62.39,65.84,62.39,65.64,2092417
2010-04-22,65.14,67.5,65.0,67.08,1817109
2010-04-23,67.88,68.18,66.65,67.05,5589657
2010-04-26,66.79,67.24,65.7,66.24,1629153
2010-04-27,66.06,66.38,64.11,64.31,1372283
2010-04-28,64.72,65.59,63.17,63.57,1335421
2010-04-29,64.14,65.91,64.13,65.41,770258
2010-04-30,65.27,65.75,62.89,63.01,1291629
2010-05-03,62.96,65.22,62.96,64.36,1517565
2010-05-04,63.24,63.27,62.0,62.53,1009893
2010-05-05,61.66,63.24,58.8,60.41,1455460
2010-05-06,59.94,60.84,53.86,58.18,2729635
2010-05-07,57.65,58.27,54.63,54.8,1769284
2010-05-10,57.11,59.76,57.05,59.58,1469856
2010-05-11,58.84,62.77,58.75,61.18,1654479
2010-05-12,61.54,62.18,60.96,61.79,773233
2010-05-13,61.5,62.17,58.76,59.29,1234157
2010-05-14,58.67,58.8,57.01,57.89,880703
2010-05-17,58.09,58.57,55.58,57.52,1209470
2010-05-18,56.86,58.49,55.72,56.29,1964407
2010-05-19,55.93,56.56,53.81,54.3,2023482
2010-05-20,52.56,53.01,50.79,51.41,3143540
2010-05-21,50.0,53.82,49.96,52.98,2039757
2010-05-24,54.02,55.75,54.01,54.28,2230811
2010-05-25,51.66,54.04,50.34,53.93,2480662
2010-05-26,54.27,55.29,53.2,53.27,1284919
2010-05-27,54.62,56.08,54.3,56.04,1299082
2010-05-28,55.77,56.57,54.26,54.73,1820653
2010-06-01,54.17,54.55,52.06,52.14,1173087
2010-06-02,52.28,53.3,51.44,53.27,1552036
2010-06-03,53.86,54.73,53.2,54.55,1356209
2010-06-04,53.0,53.49,50.78,51.06,760176
2010-06-07,51.24,51.86,48.79,48.97,1047404
2010-06-08,49.4,50.46,47.58,50.05,1939895
2010-06-09,50.55,53.06,50.55,51.44,1505928
2010-06-10,52.36,53.92,52.36,53.25,820164
2010-06-11,52.15,54.0,51.8,53.14,713424
2010-06-14,53.56,54.96,53.5,54.09,894735
2010-06-15,54.47,57.12,54.06,57.0,1604214
2010-06-16,55.9,56.62,55.38,55.61,1544054
2010-06-17,55.54,56.03,54.85,55.2,1009131
2010-06-18,55.11,55.92,54.42,54.93,721416
2010-06-21,56.24,56.24,53.25,53.57,1227492
2010-06-22,53.76,54.6,51.01,51.05,959643
2010-06-23,51.12,51.68,49.4,51.2,1200402
2010-06-24,50.97,50.97,49.6,49.71,884994
2010-06-25,49.88,50.75,49.34,50.25,1396659
2010-06-28,50.19,50.66,48.79,49.05,860820
2010-06-29,48.08,48.2,45.36,45.75,1662459
2010-06-30,45.77,47.35,45.45,46.27,1170254
2010-07-01,46.3,46.86,44.38,46.35,1528389
2010-07-02,46.53,46.7,44.99,45.47,956845
2010-07-06,46.36,47.0,42.81,43.01,1701878
2010-07-07,43.22,45.79,43.06,45.64,1803068
2010-07-08,46.61,47.91,45.9,47.66,1837474
2010-07-09,47.69,48.09,47.05,47.95,904043
2010-07-12,47.75,48.19,46.26,47.11,800969
2010-07-13,48.01,49.23,47.9,48.95,771507
2010-07-14,48.86,49.29,48.0,48.23,844016
2010-07-15,48.18,48.37,46.7,47.58,783890
2010-07-16,47.11,47.33,44.98,45.15,741032
2010-07-19,45.27,46.17,44.57,46.06,1148108
2010-07-20,45.43,47.54,45.11,47.23,910598
2010-07-21,47.61,47.93,46.53,47.18,787170
2010-07-22,48.42,50.43,48.17,50.05,990141
2010-07-23,49.71,51.67,49.35,51.17,921016
2010-07-26,51.17,52.57,50.8,52.53,644408
2010-07-27,53.11,53.2,50.63,50.85,1120137
2010-07-28,50.6,51.43,50.3,50.65,969335
2010-07-29,51.11,51.77,49.94,51.44,1325914
2010-07-30,50.55,52.15,50.28,51.89,817972
2010-08-02,52.9,53.45,52.68,53.41,737173
2010-08-03,52.98,53.09,51.15,51.18,930336
2010-08-04,51.65,53.46,51.47,53.33,898671
2010-08-05,52.77,53.42,52.27,53.0,445159
2010-08-06,52.18,53.32,52.12,53.1,586413
2010-08-09,53.37,53.88,53.02,53.78,461746
2010-08-10,52.67,53.71,52.55,53.27,426134
2010-08-11,52.16,52.16,50.12,50.24,868897
2010-08-12,49.04,51.02,49.0,50.77,638674
2010-08-13,50.68,50.71,49.18,49.24,675413
