Date,Open,High,Low,Close,Volume
2010-01-04,26.14,26.28,25.72,25.8,2792560
2010-01-05,26.11,26.5,25.56,25.89,3588963
2010-01-06,25.9,25.95,25.01,25.24,4139539
2010-01-07,25.47,25.72,25.15,25.7,3156177
2010-01-08,25.75,25.96,25.59,25.91,2507610
2010-01-11,26.07,26.15,25.69,26.02,2055255
2010-01-12,25.62,26.0,25.49,25.67,2315229
2010-01-13,26.0,26.65,25.7,26.54,3398905
2010-01-14,26.67,27.55,26.59,27.46,3337431
2010-01-15,27.37,27.37,26.9,27.13,3139666
2010-01-19,26.9,27.62,26.9,27.62,2612280
2010-01-20,27.07,27.24,26.4,26.98,3417819
2010-01-21,27.17,27.31,26.46,26.57,5390416
2010-01-22,25.91,25.97,24.91,25.42,7670202
2010-01-25,25.78,25.87,25.03,25.19,4135122
2010-01-26,24.75,25.64,24.73,25.16,4465185
2010-01-27,24.85,25.5,24.73,25.43,4166877
2010-01-28,26.64,26.67,25.53,25.99,10680915
2010-01-29,26.59,27.09,25.89,26.09,5566990
2010-02-01,26.67,26.68,26.06,26.6,4373396
2010-02-02,26.81,27.91,26.76,27.6,5915932
2010-02-03,27.24,27.64,27.17,27.39,3074268
2010-02-04,26.79,26.85,25.12,25.19,6606364
2010-02-05,25.04,25.44,24.14,25.21,4688996
2010-02-08,24.83,25.69,24.63,25.16,3005655
2010-02-09,25.6,25.89,25.18,25.61,2094452
2010-02-10,25.49,25.77,24.9,25.16,2715621
2010-02-11,25.21,26.02,25.01,26.0,2689480
2010-02-12,25.16,25.8,25.14,25.59,3069781
2010-02-16,25.75,25.92,25.62,25.85,1694546
2010-02-17,26.08,26.25,25.71,25.91,2309157
2010-02-18,25.58,25.9,25.52,25.87,1883421
2010-02-19,25.71,26.35,25.66,26.3,1980087
2010-02-22,26.6,26.76,26.44,26.61,1456971
2010-02-23,26.32,26.48,25.45,25.78,2775475
2010-02-24,26.4,27.89,26.34,27.71,9446816
2010-02-25,26.97,27.85,26.97,27.79,4702259
2010-02-26,27.45,28.47,27.3,28.27,3132184
2010-03-01,28.3,28.61,27.91,28.36,2073400
2010-03-02,28.79,28.96,28.33,28.41,2211473
2010-03-03,28.69,28.9,28.25,28.43,1917013
2010-03-04,28.81,29.05,28.54,28.94,1776855
2010-03-05,29.28,30.02,29.2,29.81,3913291
2010-03-08,29.78,30.51,29.7,30.23,2840512
2010-03-09,29.83,30.22,29.58,29.73,2666484
2010-03-10,29.81,30.93,29.7,30.69,2924413
2010-03-11,30.57,30.71,30.22,30.6,1793459
2010-03-12,30.65,31.02,30.58,30.9,3058879
2010-03-15,30.46,30.67,30.12,30.56,2417651
2010-03-16,30.68,31.15,30.59,31.11,2306115
2010-03-17,31.32,31.8,31.3,31.62,2664261
2010-03-18,31.42,31.58,31.1,31.11,2547058
2010-03-19,31.58,31.84,30.97,31.01,2848473
2010-03-22,30.51,31.64,30.28,31.43,2461398
2010-03-23,31.96,33.69,31.94,33.61,9239739
2010-03-24,33.09,33.3,32.79,33.13,3411377
2010-03-25,33.55,33.88,33.14,33.25,2217185
2010-03-26,33.14,33.93,32.85,32.99,2289327
2010-03-29,33.19,33.47,32.64,33.47,2214333
2010-03-30,33.47,33.75,33.29,33.43,2273079
2010-03-31,33.17,33.47,32.9,32.99,1949369
2010-04-01,33.38,33.93,33.25,33.83,2227692
2010-04-05,33.99,34.64,33.9,34.44,2037787
2010-04-06,34.19,35.12,34.13,34.77,3446971
2010-04-07,34.08,34.15,32.86,33.1,7187998
2010-04-08,32.76,34.04,32.57,33.93,3144680
2010-04-09,33.82,33.89,33.21,33.77,2547367
2010-04-12,34.01,34.42,33.91,34.25,3010682
2010-04-13,34.2,34.43,33.67,34.21,3267434
2010-04-14,34.46,35.44,34.34,35.16,3300198
2010-04-15,35.02,35.54,34.93,35.41,2291505
2010-04-16,34.98,35.3,34.2,34.53,4669689
2010-04-19,33.64,34.37,33.16,33.72,4713370
2010-04-20,33.79,34.65,33.76,34.51,2689142
2010-04-21,34.21,34.75,34.11,34.65,3016103
2010-04-22,33.97,35.56,33.7,35.03,4755844
2010-04-23,35.4,36.52,35.39,36.23,3733828
2010-04-26,36.66,38.12,36.56,37.64,6426638
2010-04-27,36.9,37.53,36.12,36.3,7485929
2010-04-28,35.67,35.67,34.16,34.52,9143119
2010-04-29,35.09,37.38,35.0,37.31,4678362
2010-04-30,36.86,37.2,35.68,35.84,3791102
2010-05-03,36.29,37.02,35.96,36.61,2287021
2010-05-04,35.52,35.53,33.87,34.23,4347201
2010-05-05,33.02,34.17,32.63,33.04,5401116
2010-05-06,32.3,33.23,28.64,30.8,6227500
2010-05-07,30.8,30.93,28.77,29.47,6929076
2010-05-10,32.95,33.27,32.0,32.59,5449664
2010-05-11,31.47,32.71,31.25,32.02,2560452
2010-05-12,32.57,33.41,32.54,33.24,3309878
2010-05-13,33.24,33.38,31.85,32.03,2287001
2010-05-14,31.75,31.75,30.41,30.9,5009993
2010-05-17,31.08,31.5,30.17,31.3,6320851
2010-05-18,31.96,32.12,30.36,30.46,3740386
2010-05-19,30.03,30.59,29.06,29.82,4889325
2010-05-20,28.22,28.76,27.51,27.76,7557906
2010-05-21,27.54,28.98,27.38,28.34,4381972
2010-05-24,28.38,28.9,27.88,27.91,2499120
2010-05-25,26.8,27.95,26.11,27.74,5287162
2010-05-26,28.24,28.98,27.74,27.96,4229627
2010-05-27,29.08,29.78,28.81,29.74,2960292
2010-05-28,29.75,30.13,28.64,29.0,3199124
2010-06-01,28.74,30.0,28.74,29.02,3514530
2010-06-02,29.51,29.87,29.08,29.87,2748302
2010-06-03,30.38,30.7,29.9,30.3,3141698
2010-06-04,29.39,29.66,27.72,27.92,4624818
2010-06-07,28.26,28.55,26.6,26.66,4289654
2010-06-08,26.99,27.17,26.06,26.87,3688897
2010-06-09,27.47,28.25,26.56,26.78,4859736
2010-06-10,28.0,28.75,27.59,28.53,4503197
2010-06-11,27.89,28.69,27.89,28.5,1866498
2010-06-14,29.33,30.01,29.01,29.17,3477253
2010-06-15,30.04,30.89,29.66,30.7,4021715
2010-06-16,30.2,30.57,29.96,30.17,3120110
2010-06-17,30.61,30.61,29.51,30.14,4299735
2010-06-18,30.17,30.27,29.13,29.45,4001865
2010-06-21,30.2,30.38,29.21,29.52,3811589
2010-06-22,28.97,29.66,27.81,27.88,5816264
2010-06-23,28.09,28.1,27.08,27.29,4405905
2010-06-24,27.51,27.58,26.28,26.37,3725613
2010-06-25,26.4,26.52,25.67,26.25,3657163
2010-06-28,26.32,26.33,25.21,25.31,4189220
2010-06-29,24.38,24.52,22.66,23.06,11578986
2010-06-30,22.66,23.61,22.55,22.77,5506758
2010-07-01,22.9,23.74,21.97,23.47,7745552
2010-07-02,24.02,24.05,22.62,22.95,5580302
2010-07-06,23.76,24.01,22.74,23.02,4031724
2010-07-07,23.19,24.11,23.11,24.11,3216415
2010-07-08,24.69,24.73,24.01,24.61,2823083
2010-07-09,24.36,24.8,24.25,24.72,2620561
2010-07-12,24.6,24.96,23.86,23.91,3073147
2010-07-13,24.5,25.15,24.45,25.01,3685067
2010-07-14,24.8,25.23,24.5,25.22,2711325
2010-07-15,25.31,25.46,24.38,24.73,4184613
2010-07-16,24.54,24.59,23.34,23.39,3412498
2010-07-19,23.86,23.99,23.1,23.63,3139028
2010-07-20,23.04,24.38,22.94,24.29,3651440
2010-07-21,24.7,25.47,24.3,24.58,4760069
2010-07-22,26.22,27.63,26.05,27.56,8755075
2010-07-23,27.38,28.17,26.85,28.12,3601723
2010-07-26,28.01,29.31,27.8,29.26,3185377
2010-07-27,29.34,29.38,28.03,28.16,2865652
2010-07-28,28.21,29.04,28.16,28.68,2896129
2010-07-29,29.32,29.57,28.28,29.02,2967842
2010-07-30,28.31,29.14,28.07,28.86,2321349
2010-08-02,29.56,29.99,29.3,29.85,1927935
2010-08-03,29.5,29.54,28.61,29.15,2368745
2010-08-04,29.29,29.65,29.12,29.54,2220194
