Date,Open,High,Low,Close,Volume
2010-01-04,23.94,24.29,23.74,24.27,598019
2010-01-05,24.26,24.67,24.11,24.66,554199
2010-01-06,24.52,25.07,24.36,25.01,757186
2010-01-07,24.9,24.95,24.59,24.86,697966
2010-01-08,24.77,24.88,24.33,24.59,463043
2010-01-11,24.8,24.8,24.25,24.53,501969
2010-01-12,24.23,24.4,23.71,24.05,462479
2010-01-13,24.86,25.0,24.41,24.95,737743
2010-01-14,25.01,25.21,24.8,25.11,484597
2010-01-15,25.03,25.24,24.75,24.8,539013
2010-01-19,24.78,25.2,24.72,25.05,336111
2010-01-20,24.74,25.31,24.7,25.13,630239
2010-01-21,25.28,27.03,25.28,26.72,1943999
2010-01-22,26.54,26.89,26.2,26.45,1643986
2010-01-25,26.69,26.76,25.75,26.28,680791
2010-01-26,26.16,26.7,26.03,26.06,720124
2010-01-27,26.06,26.35,25.72,26.26,832473
2010-01-28,26.38,26.38,25.5,25.69,745176
2010-01-29,25.79,26.25,25.14,25.31,914949
2010-02-01,25.41,25.71,25.24,25.58,1404384
2010-02-02,25.65,26.58,25.62,26.36,826451
2010-02-03,26.45,27.31,26.45,26.73,1580306
2010-02-04,26.49,26.66,25.56,25.56,1125356
2010-02-05,25.61,25.82,24.7,25.17,1766788
2010-02-08,25.19,25.52,24.8,25.26,720158
2010-02-09,25.63,25.87,25.4,25.54,845838
2010-02-10,25.42,26.07,25.39,25.75,720895
2010-02-11,25.63,25.8,25.47,25.65,631167
2010-02-12,25.3,25.93,25.3,25.91,582722
2010-02-16,26.07,26.37,25.71,26.29,470838
2010-02-17,26.33,26.48,26.18,26.43,897133
2010-02-18,26.41,26.49,26.13,26.35,535390
2010-02-19,26.22,26.89,26.22,26.69,569788
2010-02-22,26.81,26.93,26.57,26.81,375221
2010-02-23,26.77,26.87,26.08,26.15,626525
2010-02-24,26.18,26.24,25.72,25.87,1075391
2010-02-25,25.44,25.7,25.16,25.58,777828
2010-02-26,25.66,25.92,25.49,25.86,462329
2010-03-01,25.9,26.43,25.77,26.35,509628
2010-03-02,26.39,26.77,26.25,26.66,737995
2010-03-03,27.17,27.25,26.63,26.85,751377
2010-03-04,26.81,27.07,26.65,27.03,551854
2010-03-05,27.18,27.46,27.04,27.39,574325
2010-03-08,27.35,27.91,27.25,27.77,372362
2010-03-09,27.65,27.93,27.45,27.61,313660
2010-03-10,27.56,27.88,27.48,27.75,475918
2010-03-11,27.56,27.7,27.4,27.62,562161
2010-03-12,27.65,27.7,27.26,27.5,857606
2010-03-15,27.35,27.92,27.32,27.85,710649
2010-03-16,27.66,28.09,27.66,27.76,655011
2010-03-17,27.88,28.23,27.87,27.98,604958
2010-03-18,28.03,28.15,27.77,27.98,643989
2010-03-19,28.0,28.24,27.79,27.86,921350
2010-03-22,27.65,28.17,27.52,28.12,383476
