Date,Open,High,Low,Close,Volume
2010-01-04,47.61,47.96,47.01,47.73,903966
2010-01-05,47.65,47.82,47.14,47.35,964807
2010-01-06,47.35,48.28,47.23,48.25,893106
2010-01-07,48.22,48.87,47.8,48.78,673731
2010-01-08,48.63,49.51,48.35,49.46,664371
2010-01-11,48.36,49.03,48.24,49.0,1416890
2010-01-12,48.47,48.8,48.01,48.22,1765397
2010-01-13,48.31,48.64,47.97,48.45,777351
2010-01-14,48.2,48.86,48.2,48.6,627376
2010-01-15,48.5,48.53,47.26,47.69,877152
2010-01-19,47.73,49.17,47.45,49.17,1150661
2010-01-20,48.48,48.5,47.96,48.36,1094241
2010-01-21,48.2,48.7,47.5,47.68,1406307
2010-01-22,47.42,47.57,45.92,46.02,989845
2010-01-25,46.62,46.87,46.09,46.63,687440
2010-01-26,46.34,46.89,45.72,46.16,1920509
2010-01-27,50.25,51.86,49.03,50.84,8160163
2010-01-28,51.09,51.36,49.73,49.94,3285418
2010-01-29,50.2,50.41,48.24,48.24,2637178
2010-02-01,48.46,49.75,48.44,49.75,1364933
2010-02-02,50.0,50.6,49.58,49.68,2382177
2010-02-03,49.59,49.93,48.93,49.23,1512514
2010-02-04,48.7,48.7,47.15,47.91,1962610
2010-02-05,48.0,48.55,47.51,48.51,3071066
2010-02-08,48.2,48.34,47.25,47.71,2015923
2010-02-09,48.89,50.07,48.3,49.5,1899029
2010-02-10,49.27,49.99,48.84,49.71,1867617
2010-02-11,49.44,50.84,49.05,50.72,1303684
2010-02-12,49.74,51.48,49.36,51.43,1826612
2010-02-16,51.72,53.0,51.72,52.83,1509767
2010-02-17,52.96,53.58,52.86,53.09,1191013
2010-02-18,53.08,53.8,53.01,53.78,726338
2010-02-19,53.52,54.52,53.29,54.31,1207807
2010-02-22,54.38,54.49,53.64,54.04,736984
2010-02-23,53.97,54.26,52.81,53.25,926754
2010-02-24,53.36,53.8,53.0,53.78,785451
2010-02-25,53.1,53.63,52.11,53.52,1060405
2010-02-26,53.48,54.21,53.24,54.09,790626
2010-03-01,54.45,55.22,54.41,55.13,864229
2010-03-02,55.5,55.91,55.3,55.65,765693
2010-03-03,55.71,56.14,55.1,55.26,993614
2010-03-04,55.46,55.62,54.86,55.0,684363
2010-03-05,55.31,56.05,55.31,55.98,2167137
2010-03-08,56.13,56.88,55.95,56.14,1171126
2010-03-09,56.01,56.26,55.71,56.05,804332
2010-03-10,56.03,56.49,55.84,56.16,858432
2010-03-11,56.03,56.05,55.41,55.84,1245898
2010-03-12,56.09,56.09,55.2,55.36,1413685
2010-03-15,55.47,55.47,54.51,54.99,1045438
2010-03-16,55.08,55.5,54.79,55.33,1227931
2010-03-17,55.32,55.82,55.16,55.23,852779
2010-03-18,55.4,55.4,54.94,55.13,797259
2010-03-19,55.24,55.58,54.9,55.37,1785343
2010-03-22,55.07,56.17,54.86,55.86,1201428
2010-03-23,55.92,57.0,55.8,56.78,1914190
2010-03-24,56.72,56.77,55.77,55.82,796504
2010-03-25,56.14,56.7,55.86,55.92,1108305
2010-03-26,56.19,56.65,55.29,55.43,1276566
2010-03-29,55.72,56.1,55.52,55.55,1077982
2010-03-30,55.74,56.5,55.5,56.16,1120964
2010-03-31,55.83,56.75,55.63,56.36,1057648
2010-04-01,56.64,57.28,56.28,56.64,876599
2010-04-05,56.87,57.72,56.6,57.32,696342
