Date,Open,High,Low,Close,Volume
2010-01-04,10.69,10.73,10.58,10.67,15746156
2010-01-05,10.71,10.88,10.65,10.87,9369400
2010-01-06,10.82,11.04,10.79,11.04,13144468
2010-01-07,11.42,11.61,11.39,11.49,23984776
2010-01-08,11.26,11.34,11.2,11.26,15950116
2010-01-11,11.3,11.34,11.13,11.32,10197976
2010-01-12,11.29,11.38,11.26,11.36,9478312
2010-01-13,11.42,11.52,11.38,11.48,7984648
2010-01-14,11.43,11.47,11.38,11.4,8125588
2010-01-15,11.45,11.45,11.2,11.22,6539560
2010-01-19,11.24,11.46,11.23,11.44,6685088
2010-01-20,11.39,11.42,11.21,11.32,5241584
2010-01-21,11.34,11.39,11.09,11.11,8159716
2010-01-22,11.04,11.2,10.94,10.96,9143304
2010-01-25,11.04,11.14,11.0,11.09,10186380
2010-01-26,11.05,11.35,11.01,11.3,10211464
2010-01-27,11.38,11.52,11.21,11.5,12769360
2010-01-28,11.53,11.54,11.36,11.51,13791472
2010-01-29,11.53,11.73,11.48,11.48,13900260
2010-02-01,11.57,11.7,11.5,11.62,9601628
2010-02-02,11.59,11.75,11.56,11.71,10828480
2010-02-03,11.65,11.68,11.46,11.55,12430244
2010-02-04,11.3,11.52,11.26,11.3,13031568
2010-02-05,11.34,11.54,11.31,11.49,11873400
2010-02-08,11.36,11.54,11.23,11.3,8436568
2010-02-09,11.42,11.48,11.28,11.38,7817364
2010-02-10,11.38,11.46,11.29,11.33,7723324
2010-02-11,11.37,11.59,11.31,11.55,7793504
2010-02-12,11.51,11.62,11.41,11.61,6904584
2010-02-16,11.67,11.7,11.56,11.65,5942424
2010-02-17,11.67,11.78,11.65,11.77,5645268
2010-02-18,11.81,11.85,11.72,11.78,4888268
2010-02-19,11.73,11.82,11.64,11.78,6316304
2010-02-22,11.76,11.82,11.65,11.79,7892840
2010-02-23,11.79,11.82,11.65,11.76,8288560
2010-02-24,11.82,12.05,11.75,12.04,7453588
2010-02-25,11.96,12.24,11.88,12.22,9108020
2010-02-26,12.26,12.27,12.14,12.23,8029496
2010-03-01,12.26,12.35,12.09,12.32,8996592
2010-03-02,12.36,12.4,12.3,12.32,10063464
2010-03-03,12.36,12.41,12.3,12.36,7550872
2010-03-04,12.5,12.89,12.42,12.76,15166980
2010-03-05,12.8,12.85,12.69,12.78,12360920
2010-03-08,12.77,12.97,12.74,12.95,7447016
2010-03-09,12.95,12.97,12.83,12.87,10383828
2010-03-10,12.92,13.06,12.9,13.02,9565100
2010-03-11,12.96,13.17,12.9,13.15,11039948
2010-03-12,13.14,13.24,13.1,13.23,6421060
2010-03-15,13.23,13.43,13.15,13.39,8616928
2010-03-16,13.39,13.58,13.38,13.55,8392952
2010-03-17,13.59,13.62,13.42,13.49,9939948
2010-03-18,13.36,13.49,12.96,13.04,19119260
2010-03-19,13.04,13.52,13.02,13.52,20169924
2010-03-22,13.48,13.74,13.45,13.67,8683032
2010-03-23,13.68,13.68,13.44,13.56,10936788
2010-03-24,13.56,13.56,13.34,13.4,8197760
2010-03-25,13.42,13.54,13.38,13.44,7838868
2010-03-26,13.22,13.42,13.2,13.4,11890424
2010-03-29,13.4,13.46,13.27,13.37,5477208
2010-03-30,13.39,13.45,13.26,13.32,9963004
2010-03-31,13.12,13.46,13.12,13.37,7000272
2010-04-05,13.44,13.78,13.42,13.74,8811700
2010-04-06,13.74,13.78,13.56,13.67,8561116
2010-04-07,13.66,13.73,13.46,13.54,9813408
2010-04-08,13.82,14.14,13.73,14.03,18852376
2010-04-09,14.07,14.1,13.88,13.97,7982440
