Date,Open,High,Low,Close,Volume
2010-01-04,11.64,11.66,11.46,11.52,16369892
2010-01-05,11.48,12.0,11.44,11.8,30062592
2010-01-06,11.74,11.81,11.63,11.71,14210424
2010-01-07,11.64,11.76,11.6,11.68,10257208
2010-01-08,11.6,11.8,11.6,11.64,10276902
2010-01-11,11.68,11.68,11.44,11.6,11391606
2010-01-12,11.45,11.6,11.25,11.41,15429414
2010-01-13,11.45,11.75,11.38,11.69,15098304
2010-01-14,11.62,11.8,11.6,11.78,15517262
2010-01-15,11.86,11.88,11.46,11.64,21862424
2010-01-19,11.7,11.9,11.58,11.79,18916280
2010-01-20,11.87,11.9,11.42,11.64,33950256
2010-01-21,12.06,12.22,11.66,11.84,53672162
2010-01-22,11.82,11.92,11.42,11.46,24561348
2010-01-25,11.5,11.53,11.14,11.2,24674152
2010-01-26,11.1,11.37,11.08,11.27,22492582
2010-01-27,11.27,11.28,11.06,11.2,21202326
2010-01-28,11.25,11.32,10.93,11.04,28732860
2010-01-29,11.06,11.26,10.88,10.9,18741914
2010-02-01,11.0,11.14,10.88,11.12,13498616
2010-02-02,10.99,11.24,10.96,11.22,15336140
2010-02-03,11.2,11.24,11.05,11.22,14938584
2010-02-04,11.13,11.2,10.9,10.9,19542546
2010-02-05,10.9,11.02,10.63,10.85,22084124
2010-02-08,10.83,11.08,10.7,10.96,15988560
2010-02-09,11.08,11.15,10.83,11.1,20816200
2010-02-10,11.02,11.26,11.02,11.18,20032630
2010-02-11,11.13,11.34,10.96,11.28,18518108
2010-02-12,11.04,11.34,11.03,11.3,15750752
2010-02-16,11.34,11.44,11.24,11.44,16822580
2010-02-17,11.54,11.65,11.48,11.58,12954804
2010-02-18,11.6,11.66,11.5,11.63,9301748
2010-02-19,11.58,11.73,11.58,11.68,9732982
2010-02-22,11.66,11.68,11.41,11.45,16983774
2010-02-23,11.38,11.46,11.24,11.34,16513502
2010-02-24,11.38,11.54,11.36,11.54,12921000
2010-02-25,11.32,11.49,11.22,11.45,18623650
2010-02-26,11.46,11.5,11.34,11.46,12099852
2010-03-01,11.46,11.67,11.46,11.64,12703578
2010-03-02,11.59,11.7,11.54,11.66,17122068
2010-03-03,11.65,11.69,11.47,11.53,11034988
2010-03-04,11.52,11.58,11.44,11.46,12892504
2010-03-05,11.5,11.7,11.44,11.68,12328652
2010-03-08,11.64,11.8,11.62,11.66,8997052
2010-03-09,11.75,11.88,11.6,11.81,13357104
2010-03-10,11.76,12.14,11.76,12.12,24465668
2010-03-11,12.02,12.34,12.02,12.14,17978960
2010-03-12,12.14,12.24,12.07,12.14,12833316
2010-03-15,12.15,12.25,12.12,12.21,11841624
2010-03-16,12.48,12.68,12.43,12.64,33808094
2010-03-17,12.68,12.83,12.56,12.78,21365978
2010-03-18,12.72,12.75,12.48,12.51,21416700
2010-03-19,12.48,12.58,12.38,12.48,22038548
2010-03-22,12.37,12.69,12.18,12.62,16329424
2010-03-23,12.72,12.72,12.48,12.7,17655864
2010-03-24,12.92,13.0,12.62,12.64,24298002
2010-03-25,12.53,12.56,12.08,12.1,37964944
2010-03-26,12.2,12.42,12.2,12.3,20463456
2010-03-29,12.32,12.38,12.14,12.3,13718706
2010-03-30,12.21,12.32,12.12,12.28,12786192
2010-03-31,12.21,12.27,12.1,12.14,15088494
2010-04-05,12.06,12.39,12.06,12.3,15765718
2010-04-06,12.22,12.35,12.18,12.3,11589120
2010-04-07,12.4,12.51,12.34,12.46,16811802
2010-04-08,12.38,12.5,12.32,12.42,14334732
2010-04-09,12.42,12.48,12.22,12.36,12381820
2010-04-12,12.32,12.4,12.16,12.24,12610246
2010-04-13,12.2,12.4,12.16,12.36,14704726
2010-04-14,12.35,12.42,12.2,12.42,15765742
2010-04-15,12.36,12.62,12.31,12.56,19206336
2010-04-16,12.55,12.61,12.36,12.48,21814506
2010-04-19,12.5,12.62,12.28,12.45,16982922
2010-04-20,12.55,12.64,12.31,12.63,15067776
2010-04-21,12.6,12.71,12.5,12.7,27465822
2010-04-22,12.99,13.72,12.84,13.62,62100954
2010-04-23,13.5,13.64,13.38,13.63,20898244
2010-04-26,13.53,13.8,13.5,13.7,15876304
2010-04-27,13.75,13.75,13.22,13.26,19240926
2010-04-28,13.32,13.44,13.06,13.11,21195566
2010-04-29,13.14,13.36,13.13,13.3,15192582
2010-04-30,13.37,13.37,12.99,12.99,15007614
2010-05-03,13.01,13.62,12.99,13.59,19331144
2010-05-04,13.32,13.32,12.9,13.02,22470244
2010-05-05,12.97,13.28,12.88,13.11,22306946
2010-05-06,13.0,13.12,12.2,12.8,35574288
2010-05-07,12.64,13.0,12.32,12.73,44814822
2010-05-10,13.04,13.55,12.94,13.52,29335198
2010-05-11,13.35,13.62,13.26,13.35,23993768
2010-05-12,13.4,13.96,13.36,13.92,23335146
2010-05-13,13.89,13.9,13.68,13.72,21925762
2010-05-14,13.63,13.66,13.09,13.26,23081656
2010-05-17,13.22,13.48,13.04,13.46,17651528
2010-05-18,13.3,13.56,13.2,13.29,17119898
2010-05-19,13.16,13.41,12.9,13.1,20713416
2010-05-20,12.76,12.9,12.54,12.55,25200484
2010-05-21,12.27,12.76,12.2,12.64,25733180
2010-05-24,12.58,12.72,12.46,12.54,17087844
2010-05-25,12.22,12.5,12.04,12.46,23753612
2010-05-26,12.4,12.68,12.34,12.36,24204656
2010-05-27,12.73,13.02,12.65,13.01,20103988
2010-05-28,13.0,13.16,12.84,12.94,16524398
2010-06-01,12.88,13.16,12.76,12.85,19534622
2010-06-02,12.86,13.3,12.78,13.29,19932036
2010-06-03,13.27,13.46,13.23,13.43,18458134
2010-06-04,13.13,13.42,13.0,13.08,22817610
2010-06-07,13.12,13.12,12.76,12.77,19664082
2010-06-08,12.79,12.96,12.6,12.92,19871170
2010-06-09,13.02,13.36,13.0,13.16,23721154
2010-06-10,13.38,13.5,13.2,13.49,18876360
2010-06-11,13.38,13.6,13.37,13.58,17275862
2010-06-14,13.72,13.93,13.64,13.73,17480570
2010-06-15,13.82,13.97,13.71,13.96,17347790
2010-06-16,13.92,14.08,13.81,14.0,18969548
2010-06-17,14.0,14.06,13.8,13.99,14355788
2010-06-18,13.99,14.18,13.87,14.04,18837872
2010-06-21,14.12,14.25,13.93,14.01,13239618
2010-06-22,14.04,14.24,13.58,13.62,20633374
2010-06-23,13.6,13.76,13.48,13.66,15791990
2010-06-24,13.55,13.64,13.3,13.34,12959256
2010-06-25,13.42,13.52,13.32,13.4,17869490
2010-06-28,13.54,13.54,13.18,13.2,14396280
2010-06-29,13.0,13.05,12.44,12.5,37893300
2010-06-30,12.54,12.66,12.14,12.15,33930106
2010-07-01,12.22,12.38,11.84,12.33,31499322
2010-07-02,12.38,12.4,12.06,12.18,16931128
2010-07-06,12.29,12.34,11.74,11.81,29292068
2010-07-07,11.83,12.22,11.76,12.2,18170306
2010-07-08,12.28,12.46,12.2,12.42,20986326
