Date,Open,High,Low,Close,Volume
2010-01-04,62.2,62.29,61.42,62.18,773605
2010-01-05,62.22,62.34,61.58,61.89,677717
2010-01-06,61.88,62.38,61.81,62.11,1060202
2010-01-07,62.44,62.44,61.52,61.94,981438
2010-01-08,61.89,62.14,61.18,62.08,635821
2010-01-11,62.39,62.49,61.71,61.94,449875
2010-01-12,61.91,62.67,61.81,62.65,770570
2010-01-13,62.65,63.0,62.41,62.63,478253
2010-01-14,62.46,62.67,62.1,62.11,653045
2010-01-15,62.01,62.58,61.59,61.9,693886
2010-01-19,61.79,62.5,61.79,62.44,464612
2010-01-20,62.15,62.15,61.14,61.62,549003
2010-01-21,61.54,62.12,60.28,60.57,1038411
2010-01-22,60.37,60.52,59.72,59.97,858543
2010-01-25,60.33,60.53,59.7,60.37,467193
2010-01-26,60.26,60.81,59.64,60.71,786298
2010-01-27,60.59,61.22,60.59,61.14,643583
2010-01-28,61.14,61.27,60.66,60.99,577291
2010-01-29,61.11,61.11,59.94,60.07,802030
2010-02-01,60.18,61.17,60.11,61.12,657494
2010-02-02,61.21,62.4,61.21,62.35,781765
2010-02-03,62.34,62.34,61.44,61.87,499393
2010-02-04,61.6,61.66,60.27,60.3,652501
2010-02-05,60.04,60.23,59.04,59.51,1000129
2010-02-08,59.55,59.98,59.18,59.38,378159
2010-02-09,59.92,60.76,59.75,60.04,638355
2010-02-10,59.94,59.95,59.44,59.71,359236
2010-02-11,59.59,59.87,58.94,59.7,620711
2010-02-12,59.33,59.72,58.7,59.02,939202
2010-02-16,59.14,60.0,59.02,59.85,655104
2010-02-17,59.79,60.59,59.69,60.34,695322
2010-02-18,60.33,61.05,60.32,60.9,447068
2010-02-19,60.74,61.2,60.46,60.55,821800
2010-02-22,60.75,60.96,60.27,60.39,802081
2010-02-23,60.35,60.56,59.71,60.11,1380582
2010-02-24,60.15,60.15,57.72,58.67,3051188
2010-02-25,58.12,59.41,57.75,59.39,1258003
2010-02-26,59.52,59.92,59.03,59.68,1118605
2010-03-01,59.92,59.93,59.32,59.51,780808
2010-03-02,59.55,59.95,59.44,59.85,818944
2010-03-03,59.85,59.95,59.4,59.56,702653
2010-03-04,59.6,59.85,59.38,59.7,739843
2010-03-05,59.87,59.95,59.42,59.66,602757
2010-03-08,59.48,59.56,58.91,59.17,932290
2010-03-09,59.17,59.53,59.03,59.2,939841
2010-03-10,59.28,59.28,58.87,59.19,665472
2010-03-11,59.01,59.18,58.51,58.95,864811
2010-03-12,58.92,59.33,58.88,59.18,658595
2010-03-15,59.16,59.51,59.13,59.38,689373
