Date,Open,High,Low,Close,Volume
2010-01-04,33.43,33.56,33.17,33.25,5119269
2010-01-05,33.35,33.35,32.5,32.58,4948044
2010-01-06,32.68,33.21,32.56,33.04,5061805
2010-01-07,33.09,33.09,32.63,32.9,3481053
2010-01-08,32.92,32.92,32.6,32.83,3513852
2010-01-11,33.03,33.32,32.86,33.26,3609416
2010-01-12,33.22,33.43,33.0,33.05,4354545
2010-01-13,33.21,33.61,33.11,33.52,4961271
2010-01-14,33.49,33.51,33.27,33.44,2654126
2010-01-15,33.15,33.36,32.93,33.34,7412520
2010-01-19,33.39,33.65,33.1,33.65,4693071
2010-01-20,33.51,33.54,33.14,33.43,8747946
2010-01-21,33.49,33.73,33.01,33.15,4380794
2010-01-22,33.13,33.35,32.52,32.54,5910392
2010-01-25,32.79,32.92,32.43,32.8,4476588
2010-01-26,32.78,33.11,32.6,32.97,5362143
2010-01-27,32.92,33.23,32.11,32.91,9757005
2010-01-28,32.42,32.58,31.94,31.95,5069485
2010-01-29,32.06,32.2,31.85,32.0,5421236
2010-02-01,32.09,32.14,31.75,32.0,3771824
2010-02-02,31.98,32.17,31.71,32.15,4712366
2010-02-03,32.0,32.14,31.85,32.0,3143098
2010-02-04,31.89,32.03,31.58,31.58,4894961
2010-02-05,31.57,31.74,31.31,31.7,7399798
2010-02-08,31.69,31.71,31.1,31.13,3802565
2010-02-09,31.28,31.6,31.16,31.29,4217985
2010-02-10,31.29,31.36,31.01,31.28,3165786
2010-02-11,31.19,31.38,30.85,31.32,3605113
2010-02-12,31.09,31.27,30.99,31.17,6224270
2010-02-16,31.53,31.92,31.01,31.88,3798140
2010-02-17,32.02,32.1,31.58,31.64,3320653
2010-02-18,31.58,31.87,31.58,31.81,2978008
2010-02-19,31.74,32.35,31.73,32.29,4249720
2010-02-22,32.41,32.49,32.2,32.34,3799328
2010-02-23,32.33,32.45,32.02,32.02,4050094
2010-02-24,32.04,32.22,31.73,32.13,3603142
2010-02-25,31.93,32.03,31.59,32.01,3895687
2010-02-26,32.07,32.09,31.75,31.77,3852070
2010-03-01,31.89,32.13,31.83,32.06,2971003
2010-03-02,32.2,32.37,32.02,32.23,3216727
2010-03-03,32.33,32.37,32.01,32.18,3455018
2010-03-04,32.18,32.32,32.0,32.29,3264018
2010-03-05,32.1,32.24,32.03,32.22,5062814
2010-03-08,32.49,32.49,32.23,32.35,3070055
2010-03-09,32.38,32.41,32.08,32.31,10894309
2010-03-10,32.32,32.45,32.15,32.36,3721014
2010-03-11,32.26,32.5,32.23,32.5,2547864
2010-03-12,32.52,32.54,32.26,32.48,3238035
2010-03-15,32.52,32.89,32.46,32.86,3353808
2010-03-16,32.86,33.27,32.69,33.21,4859311
2010-03-17,33.24,33.45,33.11,33.45,3424552
2010-03-18,33.4,33.46,33.25,33.38,3375833
2010-03-19,33.39,33.5,33.13,33.18,8062946
2010-03-22,33.18,33.29,33.04,33.11,3480216
2010-03-23,33.15,33.35,33.01,33.35,4174044
2010-03-24,33.33,33.33,33.01,33.03,2922315
2010-03-25,33.18,33.23,32.85,33.01,3877747
2010-03-26,33.02,33.3,32.94,33.1,2678395
2010-03-29,33.11,33.35,33.11,33.34,2640092
2010-03-30,33.39,33.45,33.05,33.21,3324241
2010-03-31,33.15,33.25,33.0,33.16,2740527
2010-04-01,33.29,33.45,33.2,33.42,2661497
2010-04-05,33.51,33.52,33.3,33.49,2126761
2010-04-06,33.38,33.88,33.3,33.88,3050563
2010-04-07,33.79,33.82,33.5,33.56,3302590
2010-04-08,33.48,33.58,33.35,33.51,2773378
2010-04-09,33.61,33.93,33.32,33.93,3197112
2010-04-12,33.91,33.99,33.85,33.95,2428967
2010-04-13,33.89,33.97,33.72,33.91,3044963
2010-04-14,33.8,34.0,33.7,33.99,3039959
2010-04-15,33.89,33.96,33.7,33.95,2774348
2010-04-16,33.93,33.99,33.76,33.87,4464054
2010-04-19,33.91,34.2,33.81,34.09,3428530
2010-04-20,34.24,34.44,34.21,34.4,2881621
2010-04-21,34.42,34.55,34.32,34.45,3077751
2010-04-22,34.26,34.59,34.15,34.55,3319666
2010-04-23,34.6,34.73,34.31,34.73,3459155
2010-04-26,34.78,35.17,34.7,34.87,5202919
2010-04-27,34.99,35.2,34.44,34.5,5196857
2010-04-28,34.97,35.45,34.71,35.26,9757412
2010-04-29,34.84,34.84,34.5,34.64,6296731
2010-04-30,34.67,35.03,34.55,34.56,6479613
2010-05-03,34.75,34.84,34.51,34.61,5212448
2010-05-04,34.46,34.62,34.22,34.32,5907339
2010-05-05,34.25,34.85,34.02,34.02,7230218
2010-05-06,34.01,34.15,32.04,33.48,13047603
2010-05-07,33.57,34.27,33.32,33.92,14377460
2010-05-10,34.68,34.98,34.5,34.87,5961560
2010-05-11,34.69,35.1,34.57,34.88,5170225
2010-05-12,34.82,35.1,34.71,35.06,3646464
2010-05-13,34.97,35.03,34.58,34.63,4665394
2010-05-14,34.52,34.77,34.31,34.47,3821647
2010-05-17,34.62,34.74,34.17,34.63,3469969
2010-05-18,34.74,34.8,34.14,34.27,5314703
2010-05-19,34.19,34.31,33.78,33.93,5972188
2010-05-20,33.51,33.97,33.37,33.41,11055556
2010-05-21,33.08,33.62,33.01,33.62,6904138
2010-05-24,33.44,33.6,33.06,33.11,6329318
2010-05-25,32.86,33.07,32.45,32.99,6889218
2010-05-26,33.2,33.2,32.54,32.67,8774639
2010-05-27,33.0,33.09,32.72,32.92,5475424
2010-05-28,33.0,33.07,32.62,32.7,7506472
2010-06-01,32.57,32.76,32.26,32.27,6616204
2010-06-02,32.47,32.71,32.23,32.69,5779084
2010-06-03,32.63,33.0,32.63,32.83,4789376
2010-06-04,32.61,32.61,32.04,32.13,7466059
2010-06-07,32.79,32.79,32.25,32.28,5066547
2010-06-08,32.37,32.85,32.13,32.84,5627967
2010-06-09,32.89,32.89,32.47,32.57,3925871
2010-06-10,32.87,33.04,32.68,33.02,4602231
2010-06-11,32.76,33.03,32.59,33.03,3565754
2010-06-14,33.25,33.35,33.05,33.17,3421008
2010-06-15,33.4,33.72,33.27,33.71,2718000
2010-06-16,33.57,33.86,33.48,33.86,3171059
