Date,Open,High,Low,Close,Volume
2010-01-04,56.4,56.61,55.8,55.9,2081171
2010-01-05,55.82,55.84,54.37,54.71,3408580
2010-01-06,54.59,54.85,53.91,53.96,2956446
2010-01-07,53.79,54.22,52.91,53.84,2221216
2010-01-08,53.71,53.97,53.06,53.81,1364433
2010-01-11,54.03,54.8,53.95,54.59,1225967
2010-01-12,54.43,54.91,53.93,54.4,1238152
2010-01-13,53.62,53.91,52.86,53.87,2641356
2010-01-14,53.77,54.02,53.51,53.6,1411436
2010-01-15,53.58,53.6,51.93,52.42,3162233
2010-01-19,52.5,52.99,52.31,52.53,3581299
2010-01-20,52.2,52.27,51.68,51.88,2452225
2010-01-21,51.78,52.6,51.52,52.2,3035980
2010-01-22,52.21,52.6,51.5,51.55,3159175
2010-01-25,51.85,52.21,51.56,51.59,1602152
2010-01-26,51.44,51.71,50.68,51.45,1750501
2010-01-27,51.25,51.36,50.42,51.08,1665252
2010-01-28,51.14,51.31,50.2,50.8,1582876
2010-01-29,50.88,51.13,50.34,50.75,2364206
2010-02-01,50.93,51.3,50.38,51.22,1964564
2010-02-02,51.34,51.56,50.76,51.49,1524064
2010-02-03,51.34,51.34,50.71,50.83,757004
2010-02-04,50.59,50.64,49.56,49.57,1898014
2010-02-05,49.67,49.78,48.73,49.68,3613460
2010-02-08,49.57,49.7,49.01,49.01,1136757
2010-02-09,49.5,50.18,49.23,49.59,1166224
2010-02-10,49.61,49.61,48.72,49.26,1091048
2010-02-11,49.12,49.88,48.56,49.77,1354878
2010-02-12,49.49,49.59,48.98,49.48,2110735
2010-02-16,49.89,50.7,48.94,49.0,4834991
2010-02-17,49.1,49.1,47.94,48.19,4002624
2010-02-18,48.06,48.29,47.55,48.13,2694408
2010-02-19,48.19,49.35,47.96,48.95,2888605
2010-02-22,49.17,49.28,48.59,48.63,2569716
2010-02-23,48.6,48.99,48.21,48.24,2183251
2010-02-24,48.39,49.08,48.12,48.53,2501725
2010-02-25,47.9,50.94,47.55,50.32,4572750
2010-02-26,50.27,50.27,49.15,49.17,3376136
2010-03-01,49.2,49.58,49.12,49.3,2559484
2010-03-02,49.36,49.5,48.62,48.79,3512467
2010-03-03,48.78,49.06,48.62,48.94,2218558
2010-03-04,48.68,49.07,48.38,48.81,1962204
2010-03-05,49.01,49.83,48.86,49.73,2281291
2010-03-08,51.36,51.74,50.91,51.0,3446680
2010-03-09,50.98,50.98,50.48,50.65,3347326
