Date,Open,High,Low,Close,Volume
2010-01-04,20.65,20.69,20.21,20.44,6669251
2010-01-05,20.3,20.78,20.16,20.72,8286651
2010-01-06,20.62,21.47,20.33,21.3,8225403
2010-01-07,21.4,23.29,21.04,22.56,15575109
2010-01-08,22.43,23.04,22.32,23.01,6714701
2010-01-11,23.11,23.35,22.72,23.27,7180118
2010-01-12,23.03,23.1,22.38,22.45,9228676
2010-01-13,22.61,22.9,22.11,22.78,8276992
2010-01-14,22.78,23.99,22.66,23.7,7962068
2010-01-15,23.49,23.6,22.95,23.39,10337087
2010-01-19,23.28,23.47,23.0,23.35,5851898
2010-01-20,23.26,23.93,23.11,23.42,8259024
2010-01-21,23.53,25.89,23.51,24.53,18109785
2010-01-22,24.52,25.67,23.66,24.55,20886246
2010-01-25,24.54,24.7,23.06,24.0,12374377
2010-01-26,23.72,24.38,23.46,23.62,9919433
2010-01-27,23.57,24.81,23.44,24.7,11197620
2010-01-28,26.01,26.2,24.57,24.81,20529811
2010-01-29,24.59,24.77,24.2,24.33,13431518
2010-02-01,24.46,24.58,23.64,24.5,11488522
2010-02-02,24.5,24.68,23.98,24.27,11749018
2010-02-03,24.05,24.05,22.86,23.27,13874873
2010-02-04,23.22,23.3,21.92,22.0,12493953
2010-02-05,21.96,22.67,21.44,22.49,9157748
2010-02-08,22.37,23.09,21.84,22.4,7661973
2010-02-09,22.61,23.07,22.4,22.69,5773434
2010-02-10,22.59,23.41,22.49,22.99,5819786
2010-02-11,22.94,23.0,22.38,22.48,9105600
2010-02-12,22.26,22.4,21.8,22.37,8346550
2010-02-16,22.71,22.89,22.53,22.69,9009703
2010-02-17,22.91,23.02,22.41,22.6,9022566
2010-02-18,22.44,22.78,22.08,22.62,9497247
2010-02-19,22.65,23.12,22.65,23.03,7952628
2010-02-22,23.16,23.9,23.05,23.65,7016603
2010-02-23,23.71,23.74,22.69,22.76,7776400
2010-02-24,22.85,23.87,22.77,23.77,8697623
2010-02-25,23.39,23.55,22.93,23.52,6841434
2010-02-26,23.59,23.86,23.19,23.81,6849360
2010-03-01,23.78,23.86,23.3,23.64,4387336
2010-03-02,23.67,24.72,23.67,24.43,7657861
2010-03-03,24.51,24.64,24.08,24.16,3922993
2010-03-04,24.17,24.44,24.0,24.38,4261623
2010-03-05,24.45,25.09,24.35,25.06,4958275
2010-03-08,25.02,25.9,24.96,25.64,7261359
2010-03-09,25.35,26.45,25.07,25.83,10530189
2010-03-10,26.02,27.25,25.92,26.49,12604562
2010-03-11,26.69,27.13,26.28,27.08,6654938
2010-03-12,27.55,28.0,26.76,26.86,8986820
2010-03-15,26.72,27.39,26.72,26.99,7241844
2010-03-16,27.15,27.45,26.81,27.38,6803415
2010-03-17,27.3,28.39,27.27,28.09,7544724
2010-03-18,28.0,28.13,27.12,27.38,6382237
2010-03-19,27.61,27.8,26.89,27.18,6921043
2010-03-22,26.39,27.15,26.39,27.09,7136528
2010-03-23,27.02,27.09,26.16,26.87,7817862
2010-03-24,26.67,27.3,26.67,27.26,6019906
2010-03-25,27.54,27.65,26.54,26.57,8433629
2010-03-26,26.71,27.07,26.25,26.5,8355741
2010-03-29,26.7,26.76,26.18,26.34,3207058
2010-03-30,26.35,26.75,26.15,26.34,3405240
2010-03-31,26.21,26.9,26.15,26.79,5623166
2010-04-01,26.97,27.23,26.84,27.16,4972536
2010-04-05,27.3,27.79,27.05,27.74,6326240
2010-04-06,27.52,28.97,27.43,28.71,8130013
2010-04-07,29.0,29.41,28.34,28.53,7916915
2010-04-08,28.18,28.6,27.72,28.56,6717130
2010-04-09,28.7,28.82,28.24,28.65,4002897
2010-04-12,28.91,29.64,28.79,29.44,6926124
2010-04-13,29.28,29.28,28.71,29.02,5442431
2010-04-14,29.31,30.29,29.17,30.28,8111906
2010-04-15,30.26,30.42,29.59,29.77,6806818
2010-04-16,29.64,29.64,27.64,28.48,14852175
2010-04-19,28.12,29.05,27.98,28.97,8845753
2010-04-20,29.01,30.29,28.76,30.19,8139660
2010-04-21,29.67,31.42,29.29,29.72,13491189
2010-04-22,29.24,29.46,28.4,29.32,9776241
2010-04-23,29.4,29.78,29.07,29.44,6465717
2010-04-26,29.43,29.61,28.24,28.37,5090096
2010-04-27,28.07,29.3,27.68,27.79,11377547
2010-04-28,28.4,29.45,28.37,29.12,10329413
2010-04-29,29.51,29.89,28.93,29.7,5949012
2010-04-30,29.49,29.97,29.41,29.6,6206828
2010-05-03,29.87,30.49,29.49,30.44,5437117
2010-05-04,30.04,30.19,28.96,29.15,5484168
2010-05-05,28.79,30.1,28.31,29.4,5198018
