Date,Open,High,Low,Close,Volume
2010-01-04,43.81,44.78,43.55,44.46,3440447
2010-01-05,44.52,45.0,44.02,44.55,3993348
2010-01-06,44.4,44.67,43.65,43.81,4062389
2010-01-07,44.34,44.86,43.98,44.6,5273341
2010-01-08,44.76,45.88,44.39,45.51,6038651
2010-01-11,45.89,46.1,44.21,44.36,4260499
2010-01-12,43.91,44.85,43.91,44.2,3432967
2010-01-13,44.5,44.77,43.65,44.61,2747233
2010-01-14,44.33,44.42,43.19,43.79,4269026
2010-01-15,43.52,44.1,42.52,42.67,6887078
2010-01-19,42.51,43.33,42.45,43.2,6996321
2010-01-20,43.89,46.82,43.88,46.28,12516240
2010-01-21,46.21,46.9,45.35,45.47,8062402
2010-01-22,45.4,45.85,43.05,43.36,6370532
2010-01-25,43.85,44.42,43.17,43.94,3559103
2010-01-26,43.89,44.34,42.48,43.08,5315310
2010-01-27,42.88,44.61,42.7,44.51,5125138
2010-01-28,44.76,44.76,43.14,43.83,4129481
2010-01-29,44.15,44.52,42.61,42.88,5285619
2010-02-01,43.27,44.22,43.09,44.16,4831673
2010-02-02,44.16,44.76,43.85,44.57,5885192
2010-02-03,44.4,44.61,44.1,44.4,4762516
2010-02-04,44.02,44.35,43.0,43.07,7108550
2010-02-05,43.29,43.63,42.02,43.35,8363952
2010-02-08,43.32,44.31,42.9,43.0,5984723
2010-02-09,43.5,44.36,43.32,44.22,8471008
2010-02-10,44.22,45.33,43.99,44.64,5670225
2010-02-11,44.65,45.3,44.13,45.05,4879527
2010-02-12,44.58,44.91,44.11,44.62,5845670
2010-02-16,44.81,45.57,44.46,45.47,5039303
2010-02-17,45.38,45.45,44.52,44.84,4456980
2010-02-18,44.54,45.32,44.48,45.23,5357508
2010-02-19,45.28,47.55,45.21,46.64,9715547
2010-02-22,46.74,47.15,46.39,46.78,5889174
2010-02-23,46.61,46.96,45.64,45.86,5167150
2010-02-24,44.6,45.8,44.45,45.38,8404635
2010-02-25,44.41,45.05,44.13,44.99,7236439
2010-02-26,44.89,45.17,44.43,44.91,4912000
2010-03-01,45.04,45.22,44.72,44.97,3333374
2010-03-02,45.12,45.54,44.96,45.03,3427402
2010-03-03,45.06,45.6,44.85,44.92,2751216
2010-03-04,45.06,45.26,44.73,45.1,3835701
2010-03-05,45.48,45.92,45.07,45.64,3927780
2010-03-08,45.77,46.1,45.25,45.49,4222329
2010-03-09,45.42,46.25,45.26,45.78,3886054
2010-03-10,46.0,46.0,45.09,45.31,5213824
2010-03-11,45.3,45.33,44.56,45.03,3876333
2010-03-12,45.25,45.39,44.5,44.65,3986818
2010-03-15,44.33,44.78,43.84,44.53,2946553
2010-03-16,44.66,45.22,44.2,45.09,5488157
2010-03-17,45.73,46.72,45.22,46.27,5726014
2010-03-18,46.4,46.41,45.77,46.24,3737211
2010-03-19,46.53,46.59,45.77,45.95,4840877
2010-03-22,45.78,45.95,45.35,45.69,4227607
2010-03-23,45.74,46.18,45.56,46.16,3665773
2010-03-24,45.86,46.2,45.37,45.37,3975276
2010-03-25,45.68,47.41,45.57,46.06,5512044
2010-03-26,46.16,46.97,45.9,46.16,3392665
2010-03-29,46.51,47.11,46.07,46.27,3042399
2010-03-30,46.2,46.32,45.65,45.78,3781018
2010-03-31,45.51,45.69,44.93,45.14,5739713
2010-04-01,45.58,46.2,45.5,45.97,5157692
2010-04-05,46.23,46.43,45.86,46.35,4020515
2010-04-06,46.33,46.84,45.96,46.61,4923546
2010-04-07,46.61,46.72,46.3,46.41,4159546
2010-04-08,46.17,46.48,45.79,46.38,3751840
2010-04-09,46.6,47.32,46.26,46.96,4852957
2010-04-12,47.3,48.5,47.2,48.07,6115536
2010-04-13,48.18,48.8,47.71,47.85,5413312
2010-04-14,48.41,48.41,47.02,47.85,8090930
2010-04-15,47.88,48.33,47.75,47.95,3817256
2010-04-16,47.8,48.0,45.81,46.5,8209386
2010-04-19,46.54,47.66,46.24,47.25,6393396
2010-04-20,45.5,45.97,44.45,45.28,15819294
2010-04-21,45.04,45.05,43.14,43.67,9492550
2010-04-22,43.2,44.51,43.06,44.39,7571565
2010-04-23,44.33,44.73,43.96,44.48,5775641
2010-04-26,44.28,44.39,43.68,43.75,5516034
2010-04-27,43.38,44.11,42.7,42.78,7172672
2010-04-28,43.24,43.92,43.05,43.54,5406519
2010-04-29,43.94,44.45,43.65,44.32,4620217
2010-04-30,44.05,44.27,43.44,43.5,6039313
2010-05-03,43.51,43.85,43.44,43.79,4462165
2010-05-04,43.08,43.54,42.27,42.61,6004158
2010-05-05,41.87,43.91,41.79,43.41,7915348
2010-05-06,43.28,44.65,40.22,42.12,11344996
2010-05-07,42.01,42.95,41.1,41.34,9491600
2010-05-10,42.82,43.34,42.47,43.28,5958233
2010-05-11,42.55,43.49,42.55,42.81,5107387
2010-05-12,42.93,43.05,42.55,42.8,6078343
2010-05-13,42.66,42.9,41.9,41.91,5897121
2010-05-14,41.37,41.92,40.95,41.63,6284949
2010-05-17,41.65,41.94,40.63,41.54,4534717
2010-05-18,41.85,41.93,40.35,40.58,5665757
2010-05-19,40.48,41.18,39.72,40.6,5385552
2010-05-20,39.72,40.13,38.97,39.01,7045818
2010-05-21,38.42,39.92,38.25,39.65,8708845
2010-05-24,39.67,39.67,38.57,38.59,4243997
2010-05-25,37.83,38.94,37.48,38.88,7755593
2010-05-26,39.39,39.39,38.17,38.29,5450593
2010-05-27,39.05,39.32,38.55,39.14,6862058
2010-05-28,38.99,39.21,37.98,38.17,5511900
2010-06-01,37.89,38.19,37.02,37.02,4500065
2010-06-02,37.2,38.41,37.15,38.38,5427337
2010-06-03,38.77,39.09,38.49,38.91,5731150
2010-06-04,37.94,37.94,36.32,36.48,7684661
2010-06-07,36.76,37.02,36.21,36.28,6838921
2010-06-08,36.47,36.92,35.92,36.86,5767022
2010-06-09,37.16,37.6,36.39,36.5,4613070
2010-06-10,37.09,37.57,36.54,37.55,5543593
2010-06-11,37.02,37.7,37.02,37.68,2894661
2010-06-14,37.91,38.14,37.01,37.03,4692198
2010-06-15,37.19,38.54,37.16,38.49,6124157
2010-06-16,38.26,38.53,37.81,38.15,3894419
2010-06-17,38.23,38.32,37.19,37.57,4142218
2010-06-18,37.75,37.8,36.93,37.2,7297660
2010-06-21,37.72,37.82,37.0,37.17,5040828
2010-06-22,37.26,37.48,36.34,36.41,4624399
2010-06-23,36.37,36.57,35.6,35.81,7182485
2010-06-24,35.63,35.74,34.78,34.86,8866549
2010-06-25,35.6,36.34,35.06,35.83,11300953
2010-06-28,36.06,36.06,35.14,35.31,5216919
2010-06-29,34.58,34.89,33.76,33.95,8299261
2010-06-30,33.75,34.43,33.73,33.82,6132547
2010-07-01,33.73,33.99,32.47,33.28,8025569
2010-07-02,33.56,33.56,32.47,32.81,5082938
2010-07-06,33.34,33.92,32.98,33.34,6092884
2010-07-07,36.07,37.02,35.75,36.63,17720297
2010-07-08,36.99,37.24,35.58,36.38,8912613
